dataset	started_utc	finished_utc	exit
cs/cshyphen_cstenten	2026-08-31T07:30:56Z	2026-08-31T08:08:43Z	0
cs/cshyphen_ujc	2026-08-31T08:08:43Z	2026-08-31T08:18:45Z	0
cs/wiktionary	2026-08-31T08:18:45Z	2026-08-31T08:25:35Z	0
cssk/cshyphen	2026-08-31T07:30:56Z	2026-08-31T08:33:25Z	0
de/wortliste	2026-08-31T08:33:25Z	2026-08-31T09:28:43Z	0
el/wiktionary	2026-08-31T09:28:43Z	2026-08-31T09:33:59Z	0
de/wiktionary	2026-08-31T08:25:35Z	2026-08-31T09:36:10Z	0
is/hyphenation-is	2026-08-31T09:36:10Z	2026-08-31T09:52:54Z	0
it/wiktionary	2026-08-31T09:52:54Z	2026-08-31T10:00:01Z	0
es/wiktionary	2026-08-31T09:33:59Z	2026-08-31T10:11:27Z	0
pl/wiktionary	2026-08-31T10:11:27Z	2026-08-31T10:22:10Z	0
pt/wiktionary	2026-08-31T10:22:10Z	2026-08-31T10:29:00Z	0
ru/wiktionary	2026-08-31T10:29:00Z	2026-08-31T10:45:55Z	0
nl/wiktionary	2026-08-31T10:00:01Z	2026-08-31T10:47:43Z	0
tr/wiktionary	2026-08-31T10:47:43Z	2026-08-31T10:53:44Z	0
uk/wiktionary	2026-08-31T10:53:44Z	2026-08-31T11:00:26Z	0
th/orchid	2026-08-31T10:45:55Z	2026-08-31T11:01:48Z	0
