observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,164539,10675,1798,0.9400270092299627,0.9400229599212101,1317704,707,13650,3448,4834
2,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,166019,5922,318,0.9661877639689522,0.9661812828969996,1330211,2820,1143,5585,7737
3,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,165790,18546,547,0.9011500520556972,0.9011477099234522,1327454,31713,3900,1629,2796
4,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,163388,5049,2949,0.9702663380741708,0.9702627461345905,1309293,629,22061,3113,4288
5,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,163633,5437,2704,0.9681547248906519,0.9681516229894704,1311045,3927,20309,2658,3703
6,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,164090,15064,2247,0.917228319252471,0.9172241250263798,1313675,5159,17679,3306,5007
7,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,165568,11123,769,0.9381477927280852,0.9381411591997417,1326731,444,4623,6529,7919
8,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,165682,7996,655,0.9547678981955866,0.9547644101273933,1326719,21466,4635,3125,4164
9,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,162425,4880,3912,0.9709440690784936,0.9709394216715925,1302043,101,29311,3965,5548
10,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,164453,5502,1884,0.9680388767210115,0.968035398704888,1317751,4353,13603,2917,4152
11,12,29,6,11,15,32,9,14,1,1,1,1,12,29,6,11,3,2,42,35,165629,5735,708,0.9671006296381026,0.967094667085413,1326886,948,4468,5424,7118
12,4,1,28,1/5,7,4,31,0,1,1,1,5,4,1,28,1,2,42,15,42,164275,12280,2062,0.9315248303039898,0.931521093447071,1315439,2163,15915,3324,4461
13,1/5,1/5,10,24,0,0,13,27,5,5,1,1,1,1,10,24,41,1,8,41,165333,11645,1004,0.9353256110734025,0.9353213079498893,1324711,6357,6643,4079,5137
14,16,30,26,25,19,33,29,28,1,1,1,1,16,30,26,25,39,40,2,26,166046,6562,291,0.9626827242496026,0.9626762741715315,1330324,8376,1030,5231,7700
15,28,13,1/2,19,31,16,3,22,1,1,2,1,28,13,1,19,36,22,25,4,165375,5808,962,0.9666186752306208,0.9666137480411126,1324763,2893,6591,4454,5882
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,161735,11227,4602,0.9358066765222371,0.9358043410913719,1295987,3376,35367,2193,2788
17,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,163214,5109,3123,0.9698765082306454,0.9698732279052265,1307680,806,23674,2859,3916
18,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,166155,13296,182,0.9272626089410092,0.9272580645678228,1330683,16743,671,3448,5425
19,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,165866,14800,471,0.9195394907024316,0.919526354322651,1329741,173,1613,10610,15682
20,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,166163,7117,174,0.9596968115145829,0.959688335944463,1331128,5499,226,7947,10118
