observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,26795,6318,257,0.8121720016319218,0.812167709477692,214174,21568,1151,435,895
2,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,25979,859,1073,0.9678387975984156,0.9677966050029811,210905,2482,4420,5546,8798
3,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,24729,569,2323,0.9761544983870892,0.9761464655844804,198174,3564,17151,988,1675
4,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,23620,256,3432,0.986653032308083,0.9866432970308914,190232,960,25093,1203,2030
5,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,24825,1823,2227,0.931307228969901,0.9312914223326481,199320,1679,16005,2000,3296
6,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,24765,503,2287,0.9787113969193416,0.9787020261155818,199197,3112,16128,1155,1954
7,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,25232,3706,1820,0.873071125954489,0.8730610885480052,202188,4337,13137,1267,2093
8,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,26636,4071,416,0.8694942530986913,0.8694847815851674,213005,21840,2320,1431,1975
9,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,22582,173,4470,0.9886633387242381,0.9886473450545661,182689,127,32636,1923,3335
10,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,25489,2147,1563,0.9227014456826448,0.9226678949441065,205894,113,9431,5415,6996
11,1,20,1,25,4,23,4,28,1,1,1,1,1,20,1,25,6,41,41,37,26759,6616,293,0.8048172942330701,0.8048133809393813,213861,25111,1464,392,816
12,1/2,28,28,3,3,31,31,6,2,1,1,1,1,28,28,3,38,32,5,42,26614,5714,438,0.8259451165769985,0.8259408531969871,212772,16939,2553,416,889
13,27,3,11,1/2,30,6,14,3,1,1,1,2,27,3,11,1,39,8,24,8,23375,255,3677,0.9863518442564153,0.9863429913885848,188081,1161,27244,1065,1846
14,3,1/4,30,1/5,6,1,33,0,1,4,1,5,3,1,30,1,2,42,36,4,23646,2037,3406,0.9197063598437673,0.9196841653300516,190843,13,24482,3332,4628
15,1/2,15,25,30,3,18,28,33,2,1,1,1,1,15,25,30,8,2,4,2,26602,4418,450,0.8597753634055405,0.8597349308331254,214104,4436,1221,4770,8431
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,22959,2188,4093,0.9116104363294171,0.911604585571696,185193,2422,30132,883,1220
17,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,23626,369,3426,0.9821193258768863,0.9821107175899114,189962,1143,25363,1074,1795
