observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,11412,3041,98,0.7928226347666483,0.7928170629354534,92380,11743,541,239,601
2,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,10225,411,1285,0.9597802783691339,0.9597703028443991,83329,2084,9592,609,1076
3,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,10158,535,1352,0.9485178358330206,0.9485015282605219,82696,972,10225,1055,1759
4,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,10991,547,519,0.9526376735220292,0.9525915784393325,90633,1358,2288,3109,4972
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,9557,212,1953,0.9748240991776677,0.9748123807173843,77961,632,14960,706,1264
6,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,11293,2404,217,0.8271284660220343,0.8271156072368975,91464,10745,1457,980,1387
7,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,10239,348,1271,0.9654461004048858,0.9654344468411388,83570,1585,9351,725,1257
8,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,10449,1827,1061,0.8522365806790488,0.8522247416966265,84631,2597,8290,715,1277
9,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,10655,886,855,0.9232798226748167,0.9232408383983204,87500,53,5421,3272,4205
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,8863,180,2647,0.9747765701678555,0.9747582322608614,72444,62,20477,1068,1978
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,10389,308,1121,0.9697328357568098,0.9697008417643749,85378,594,7543,2151,3451
