observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,211013,7080,649,0.9681077247575958,0.9681002201301417,2202913,3280,2048,9168,12520
2,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,209321,10475,2341,0.9530475612716687,0.9530433689901661,2184183,862,20778,5056,6994
3,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,207524,3991,4138,0.9811177245769318,0.9811139842514276,2166237,639,38724,4629,6240
4,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,208105,4393,3557,0.9794039267835736,0.9794006462064125,2171850,5346,33111,3976,5473
5,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,210915,29761,747,0.87846214001649,0.8784594924174913,2198893,54360,6068,2737,4417
6,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,210323,14485,1339,0.9366626959717842,0.9366555977450821,2196323,642,8638,9656,11842
7,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,206232,3862,5430,0.9814712512568688,0.9814665884376225,2153075,46,51886,5683,7779
8,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,208946,4725,2716,0.978070486271597,0.9780668106824957,2180925,6157,24036,4400,6132
9,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,208382,23974,3280,0.8984224167650102,0.8984178450562569,2172446,7605,32515,5202,7627
10,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,210772,10118,890,0.9549923191743709,0.9549888252068446,2197865,35539,7096,4498,5829
11,12,29,6,11,15,32,9,14,1,1,1,1,12,29,6,11,3,2,42,35,210445,7899,1217,0.9644134219841808,0.9644069615309301,2195659,1139,9302,8312,10778
12,4,1,28,1/5,7,4,31,0,1,1,1,5,4,1,28,1,2,42,15,42,209667,17439,1995,0.9244694112517832,0.9244657770220505,2187555,2456,17406,4552,6063
13,28,13,1/2,19,31,16,3,22,1,1,2,1,28,13,1,19,36,22,25,4,210440,4962,1222,0.9773033783005584,0.9772982011865552,2195459,4058,9502,6700,8637
14,16,30,26,25,19,33,29,28,1,1,1,1,16,30,26,25,39,40,2,26,211059,7743,603,0.9652418009395443,0.9652341950116079,2203030,12353,1931,8696,12689
15,1/5,1/5,10,24,0,0,13,27,5,5,1,1,1,1,10,24,41,1,8,41,210121,15245,1541,0.9334897494321432,0.9334852058957135,2192625,9925,12336,6168,7580
