observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,231813,2918,6193,0.9872932518159342,0.9872886380285897,1861848,14495,46908,4561,7448
2,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,232073,4208,5933,0.9820473054031581,0.9820387499497457,1863812,4723,44944,8911,13811
3,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,229940,1501,8066,0.9929512294864281,0.992944751104574,1847599,3402,61157,6308,10458
4,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,236473,3828,1533,0.9842579824528177,0.9842414073846144,1902620,13215,6136,17712,26757
5,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,236193,69440,1813,0.7762345304723149,0.7762310323443431,1896215,62607,12541,3607,5647
6,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,232961,3075,5045,0.9868076046890105,0.9868021459492038,1871489,14971,37267,5355,8812
7,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,226960,1135,11046,0.9941600543371372,0.994151757201303,1822701,944,86055,8004,13394
8,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,236648,14864,1358,0.9419130281941849,0.9419084094511074,1899181,74011,9575,5459,7456
9,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,232307,27694,5699,0.8949992891847046,0.8949933478804053,1864759,16776,43997,6509,9591
10,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,234691,5500,3315,0.9772793614585716,0.9772644224016972,1888333,1946,20423,19383,24116
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,234888,3263,3118,0.9863106193162994,0.9862981426392174,1888516,13994,20240,12395,20141
12,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,236376,6155,1630,0.974985615027192,0.9749716658779675,1898434,8604,10322,17023,22518
13,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,234494,20193,3512,0.9219220912259943,0.921916810273106,1882732,22696,26024,5392,8525
14,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,237405,17429,601,0.932838459986081,0.9328322888596676,1906112,66520,2644,6754,9962
15,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,235364,6785,2642,0.9723127736906946,0.9723060369912623,1890202,14419,18554,7830,10875
16,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,236905,9086,1101,0.9636893267862962,0.9636770477190642,1904352,37208,4404,11790,19822
17,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,226504,6472,11502,0.9718006869844505,0.9717970953170199,1818206,12436,90550,4115,5798
18,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,229465,1676,8541,0.9921596621905298,0.9921539779648754,1843170,4403,65586,5652,9176
19,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,237486,9317,520,0.9629356973237242,0.9629200390661103,1907129,14728,1627,19771,25277
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,236874,59979,1132,0.801126746615874,0.8011060527141511,1903551,1558,5205,23380,33406
21,16,1/3,7,8,19,2,10,11,1,3,1,1,16,1,7,8,42,42,12,42,233433,3199,4573,0.9863665719201278,0.9863606696422251,1875201,15259,33555,5917,9528
22,28,15,21,1/4,31,18,24,1,1,1,1,4,28,15,21,1,1,42,40,42,230598,2640,7408,0.9882770299111966,0.9882655084516341,1851924,8169,56832,14509,18599
23,3,1/5,30,29,6,0,33,32,1,5,1,1,3,1,30,29,34,17,41,36,226471,5376,11535,0.9762935908399951,0.9762894974046067,1817905,7634,90851,4663,6608
24,13,23,6,24,16,26,9,27,1,1,1,1,13,23,6,24,41,2,7,8,235268,2777,2738,0.9883373769797897,0.9883271811787823,1890503,6987,18253,10959,16459
25,1/5,2,13,5,0,5,16,8,5,1,1,1,1,2,13,5,1,15,17,1,233444,34161,4562,0.8742794639752024,0.8742665357069584,1876446,834,32310,14029,20870
26,30,28,13,12,33,31,16,15,1,1,1,1,30,28,13,12,2,19,31,40,232107,3333,5899,0.98562868474303,0.98561828080124,1865880,14013,42876,12696,16795
27,15,14,30,30,18,17,33,33,1,1,1,1,15,14,30,30,38,40,35,42,228367,3863,9639,0.9828767087912863,0.9828736653518094,1833453,22711,75303,2769,4913
28,23,1/5,16,27,26,0,19,30,1,5,1,1,23,1,16,27,15,3,4,18,234932,1990,3074,0.9915098811666977,0.9914939782197711,1890950,1974,17806,18297,25672
29,25,1/2,29,1/2,28,3,32,3,1,2,1,2,25,1,29,1,2,42,39,1,230076,1728,7930,0.9920145921122776,0.9920015071189803,1850431,193,58325,15967,21123
