observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,166728,3850,7045,0.977063663730889,0.9770571919060346,1343526,19345,53938,4427,7567
2,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,165587,2677,8186,0.9834465118107778,0.9834349665268197,1335653,7697,61811,8598,13499
3,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,163766,1510,10007,0.989845988363329,0.9898367180964336,1320894,3569,76570,6328,10839
4,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,171953,43319,1820,0.8018624334913466,0.801857956155135,1383814,78093,13650,3516,5235
5,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,171704,4428,2069,0.9751209672702053,0.9750900783543278,1387989,13927,9475,23138,36116
6,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,159841,1597,13932,0.9885969420730595,0.9885840112523941,1289075,1372,108389,8835,15119
7,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,167629,3793,6144,0.9776051673940868,0.9775972304924547,1351565,18273,45899,5382,9280
8,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,164104,22322,9669,0.8814600016522273,0.8814519655393248,1321714,16190,75750,6689,9396
9,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,172422,20479,1351,0.8956129085608631,0.8956068541075599,1387841,93895,9623,5311,7079
10,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,169183,3382,4590,0.9802643456866006,0.9802401407024316,1367848,2029,29616,22365,28301
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,169629,3835,4144,0.9778568281879917,0.9778354396065247,1370168,12957,27296,14895,25008
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,169074,12155,4699,0.9336984318743751,0.9336918103773454,1361679,29147,35785,4875,7742
13,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,173197,15980,576,0.9170222395511131,0.9170132583653331,1394716,84045,2748,7296,10501
14,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,171835,11239,1938,0.9395642075548103,0.9395399204647624,1386663,11350,10801,20742,28397
15,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,170324,4954,3449,0.9719032296535365,0.9718926799033607,1373082,19325,24382,8324,12335
16,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,162980,1551,10793,0.989461608549609,0.9894535544760455,1314222,4379,83242,5614,9417
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,172168,7942,1605,0.9565778506289976,0.9565548541407345,1390081,41836,7383,15690,26888
18,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,172812,17427,961,0.9099694128282456,0.9099443021135994,1394924,18719,2540,22403,29360
19,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,159988,3642,13785,0.9765318141916098,0.9765267356008889,1289163,13547,108301,3967,5938
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,171992,32396,1781,0.8440260541369751,0.8439847446166273,1392094,992,5370,35589,48300
21,13,12,28,1/3,16,15,31,2,1,1,1,3,13,12,28,1,28,1,25,31,163905,2135,9868,0.9862230230501992,0.9862095063698767,1322395,4740,75069,10159,15804
22,11,21,23,14,14,24,26,17,1,1,1,1,11,21,23,14,5,39,4,42,171149,6357,2624,0.9645928391230096,0.9645748049088056,1380646,30243,16818,12211,21086
23,20,1/4,6,26,23,1,9,29,1,4,1,1,20,1,6,26,39,2,37,3,160867,1341,12906,0.9903206920985255,0.9903110985397316,1298020,2467,99444,7586,11217
24,10,19,1/4,1,13,22,1,4,1,1,4,1,10,19,1,1,18,41,40,1,159296,3824,14477,0.9752832647597491,0.975263586717427,1286480,224,110984,16834,23008
25,8,1/3,1/3,12,11,2,2,15,1,3,3,1,8,1,1,12,42,23,1,30,173139,14854,634,0.922381819479768,0.9223693590573675,1394862,85110,2602,11313,14569
26,30,15,8,4,33,18,11,7,1,1,1,1,30,15,8,4,1,8,41,38,165876,4371,7897,0.973922119110236,0.9739041062777712,1337194,14879,60270,17043,21061
27,24,29,30,7,27,32,33,10,1,1,1,1,24,29,30,7,36,2,2,20,171462,4487,2311,0.9747393884488421,0.9747029924521879,1387259,7010,10205,28943,42555
28,5,1/2,5,21,8,3,8,24,1,2,1,1,5,1,5,21,28,1,9,42,168620,3584,5153,0.9790090746744368,0.9789938064020299,1361344,6619,36120,13237,17852
29,1/5,13,18,2,0,16,21,5,5,1,1,1,1,13,18,2,41,42,23,15,170752,48815,3021,0.780933571252688,0.780928030816398,1374346,40994,23118,4165,6478
30,2,1,1/5,24,5,4,0,27,1,1,5,1,2,1,1,24,4,34,37,2,172113,14682,1660,0.9226869272911143,0.9226580876011324,1390377,6273,7087,24474,33720
31,21,1/5,22,18,24,0,25,21,1,5,1,1,21,1,22,18,31,37,32,17,160473,1786,13300,0.9875913044848249,0.9875851884521125,1293921,7378,103543,4069,7151
32,9,30,8,29,12,33,11,32,1,1,1,1,9,30,8,29,39,9,6,19,170658,5190,3115,0.9707149621885426,0.9707025137399161,1376445,23677,21019,8616,14555
33,29,25,29,1/5,32,28,32,0,1,1,1,5,29,25,29,1,2,7,4,40,169777,4172,3996,0.9760357095798065,0.9760081057543567,1371915,6553,25549,21498,32275
34,18,28,1/3,9,21,31,2,12,1,1,3,1,18,28,1,9,14,1,37,3,171222,9444,2551,0.9484504742584728,0.9484265438158366,1382143,9705,15321,21283,27980
35,1/3,1,1/4,27,2,4,1,30,3,1,4,1,1,1,1,27,1,3,38,42,172546,41546,1227,0.8089903107391864,0.8089815100152862,1388901,93857,8563,8852,10290
36,13,5,19,29,16,8,22,32,1,1,1,1,13,5,19,29,2,38,42,33,166323,5167,7450,0.9696117996689435,0.9696008907055473,1340215,25389,57249,9250,12755
37,27,23,9,14,30,26,12,17,1,1,1,1,27,23,9,14,38,42,24,22,164657,3500,9116,0.9785325096696177,0.9785261772537035,1326597,17026,70867,4169,7404
38,5,1/2,21,1/3,8,3,24,2,1,2,1,3,5,1,21,1,34,22,10,42,168296,4231,5477,0.9753354236800147,0.9753265451265835,1356854,14945,40610,6187,10381
39,27,22,30,21,30,25,33,24,1,1,1,1,27,22,30,21,6,1,31,8,163932,2302,9841,0.9852583872154652,0.9852437655268552,1323084,4097,74380,11780,17096
40,1/5,18,2,30,0,21,5,33,5,1,1,1,1,18,2,30,32,9,9,9,172485,49084,1288,0.781843941438105,0.7818333626087638,1389096,38132,8368,7796,12369
41,23,25,30,8,26,28,33,11,1,1,1,1,23,25,30,8,41,5,18,2,164413,1852,9360,0.9879688845655648,0.9879553901222512,1326606,2561,70858,8528,15778
42,18,1/5,26,1/4,21,0,29,1,1,5,1,4,18,1,26,1,32,40,33,42,160373,1767,13400,0.9876847493906918,0.9876789232943646,1293092,7336,104372,3926,6812
43,25,1/5,29,26,28,0,32,29,1,5,1,1,25,1,29,26,3,20,42,2,162087,1760,11686,0.9880611186456052,0.9880468476175198,1307760,1912,89704,11735,16686
44,3,1,23,4,6,4,26,7,1,1,1,1,3,1,23,4,5,22,1,24,172517,10072,1256,0.94575113966858,0.9457205039124961,1394312,33875,3152,23267,35820
