observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,6946,481,1200,0.9334290145107494,0.9334152154058265,54037,787,4131,389,777
2,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,7556,1147,590,0.8693191100638988,0.8693102836093985,57974,3510,194,140,497
3,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,7370,689,776,0.9143081156320636,0.9142712825000042,57503,502,665,1179,2074
4,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,7011,656,1135,0.9132973277162487,0.9132818769810068,54354,261,3814,415,870
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,6641,368,1505,0.9444319613637592,0.9444165816663804,51608,195,6560,449,866
6,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,7036,452,1110,0.9379882578161245,0.9379723808537035,54551,659,3617,469,894
7,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,7248,478,898,0.9371121224658668,0.9371005432941684,56079,616,2089,248,652
8,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,7465,800,681,0.9034664549501248,0.9034505247093064,57479,2855,689,535,897
9,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,7322,671,824,0.9157009827339965,0.9156711290719947,56730,9,1438,994,1681
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,6319,370,1827,0.9405877221969176,0.9405682578224059,49143,19,9025,547,1096
11,1,20,1,25,4,23,4,28,1,1,1,1,1,20,1,25,6,41,41,37,7540,958,606,0.8880032410940576,0.8879947698288733,57914,4030,254,128,477
12,1/2,28,28,3,3,31,31,6,2,1,1,1,1,28,28,3,38,32,5,42,7506,725,640,0.9121067405490139,0.91209805617024,57608,2175,560,138,489
13,27,3,11,1/2,30,6,14,3,1,1,1,2,27,3,11,1,39,8,24,8,6522,371,1624,0.942749846055108,0.9427354964067455,50696,230,7472,400,808
14,1/2,15,25,30,3,18,28,33,2,1,1,1,1,15,25,30,8,2,4,2,7528,824,618,0.9017858426330997,0.9017551542762055,57967,685,201,814,1728
15,3,1/4,30,1/5,6,1,33,0,1,4,1,5,3,1,30,1,2,42,36,4,7221,704,925,0.9106592916001424,0.910633646931534,55796,2,2372,732,1444
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,6977,426,1169,0.9405677648270526,0.9405579616019336,54016,429,4152,216,552
17,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,6626,383,1520,0.9422987766896957,0.9422847111927859,51595,225,6573,393,792
18,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,7457,888,689,0.8940153602317222,0.893991438231296,57735,1743,433,653,1347
19,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,7553,658,593,0.9200092573419248,0.9199793681609915,58148,1506,20,1080,1683
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,7504,851,642,0.898594389533004,0.8985308461643885,58079,27,89,1826,3578
21,25,9,15,21,28,12,18,24,1,1,1,1,25,9,15,21,41,38,13,25,6884,403,1262,0.9424740354153376,0.942455956279158,53475,470,4693,549,1018
22,1/2,23,27,7,3,26,30,10,2,1,1,1,1,23,27,7,31,32,27,10,7527,721,619,0.9128106369664659,0.9127999102491255,57813,2106,355,194,604
23,19,30,5,28,22,33,8,31,1,1,1,1,19,30,5,28,42,3,38,33,6542,450,1604,0.9325624226665982,0.9325497601674861,51115,548,7053,316,713
24,29,5,1/4,1/5,32,8,1,0,1,1,4,5,29,5,1,1,6,22,18,34,7054,437,1092,0.9400194560307032,0.9399921242128443,54836,415,3332,1052,1539
25,13,2,1/3,8,16,5,2,11,1,1,3,1,13,2,1,8,34,1,5,6,7528,838,618,0.9003061615001914,0.9002832340298497,57936,1274,232,775,1291
26,1/4,1/3,15,26,1,2,18,29,4,3,1,1,1,1,15,26,41,40,39,9,7120,467,1026,0.9370665080321867,0.9370573974262337,54937,617,3231,180,513
27,4,5,28,4,7,8,31,7,1,1,1,1,4,5,28,4,10,1,41,38,7362,708,784,0.912095862984915,0.9120704136704303,56981,61,1187,655,1433
28,23,27,18,1/5,26,30,21,0,1,1,1,5,23,27,18,1,12,16,2,21,7346,416,800,0.9454700837100112,0.9454237315042855,57374,210,794,1609,2610
29,13,17,1/5,25,16,20,0,28,1,1,5,1,13,17,1,25,39,7,19,42,7528,1023,618,0.8811995926441841,0.8811867170314825,57878,2788,290,400,725
30,1/3,26,30,22,2,29,33,25,3,1,1,1,1,26,30,22,36,3,3,3,7541,648,605,0.9209661779109785,0.9209418474428389,58009,1208,159,625,1370
31,27,12,1/3,1/5,30,15,2,0,1,1,3,5,27,12,1,1,34,33,40,13,6502,418,1644,0.9362778132973913,0.9362624158405468,50570,258,7598,543,867
