observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,253152,54002,13514,0.8263644846072511,0.8263641662564064,2001596,1667,223,212,520
2,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,253011,3877,13655,0.9841586136429727,0.9841582065212194,2000673,814,1146,350,665
3,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,253026,6418,13640,0.9747198295887136,0.9747193183907227,2000753,296,1066,490,835
4,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,253138,4072,13528,0.9834454756488678,0.9834448781288209,2001606,810,213,576,976
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,253005,3858,13661,0.9842290717160486,0.9842286119439633,2000617,334,1202,433,751
6,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,253090,4107,13576,0.9833076637543914,0.9833072498982933,2001288,1942,531,355,676
7,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,253140,47907,13526,0.8427903932948589,0.8427900302524534,2001556,850,263,291,593
8,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,253043,3964,13623,0.9838367920271285,0.9838363726611119,2000937,872,882,371,685
9,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,253084,7993,13582,0.9689696471647825,0.9689687931274203,2001287,61,532,997,1395
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,252949,3799,13717,0.9844428230078838,0.9844420657002013,2000212,32,1607,727,1237
11,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,253083,20953,13583,0.9240362687603646,0.9240358983714011,2001139,732,680,317,605
12,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,253101,3861,13565,0.9842310553186221,0.9842305116733335,2001331,392,488,546,888
13,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,253099,3961,13567,0.9838558376117561,0.9838553417190942,2001309,1323,510,440,810
14,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,253093,6599,13573,0.9740659599829861,0.9740654953131955,2001266,600,553,484,759
15,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,253150,8831,13516,0.9659459688401818,0.9659455225367861,2001635,1579,184,381,729
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,252930,6601,13736,0.9740301000832969,0.9740296776562146,1999985,635,1834,425,690
17,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,252984,3874,13682,0.9841661383733293,0.9841656914577205,2000470,375,1349,418,730
18,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,253168,3798,13498,0.9844765904495257,0.9844758319174169,2001808,663,11,779,1239
19,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,253140,53822,13526,0.8268331630062679,0.8268321589766808,2001693,17,126,919,1640
20,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,253147,6605,13519,0.9740533582094723,0.9740528592557446,2001650,1657,169,436,815
21,20,1/4,30,18,23,1,33,21,1,4,1,1,20,1,30,18,2,28,41,40,253078,3860,13588,0.9842316352312596,0.9842310034272755,2001111,555,708,630,1032
22,9,29,1/5,19,12,32,0,22,1,1,5,1,9,29,1,19,1,33,21,24,253152,4216,13514,0.9829085912715146,0.9829078584523587,2001755,1313,64,680,1197
23,18,21,14,27,21,24,17,30,1,1,1,1,18,21,14,27,41,1,16,35,253023,3974,13643,0.9837965168059551,0.9837957325608936,2000857,42,962,771,1281
24,22,1/2,1/4,1/5,25,3,1,0,1,2,4,5,22,1,1,1,2,4,30,4,253111,3913,13555,0.9840374370511666,0.9840365273024066,2001427,8,392,960,1486
25,9,10,1/4,2,12,13,1,5,1,1,4,1,9,10,1,2,35,42,4,3,253143,4106,13523,0.9833188922787968,0.9833181594596409,2001702,438,117,741,1197
26,30,30,4,11,33,33,7,14,1,1,1,1,30,30,4,11,2,25,14,25,253136,3852,13530,0.9842696342614923,0.9842689761323422,2001605,997,214,638,1075
27,20,27,5,30,23,30,8,33,1,1,1,1,20,27,5,30,41,41,42,21,252943,3976,13723,0.9837778535072815,0.9837774659763494,2000062,1114,1757,322,633
28,7,1/5,25,15,10,0,28,18,1,5,1,1,7,1,25,15,32,2,42,35,252860,6201,13806,0.9754908220302139,0.975490138188111,1999502,48,2317,728,1117
29,29,3,19,1/4,32,6,22,1,1,1,1,4,29,3,19,1,37,40,1,17,253124,3841,13542,0.9843092418068788,0.9843083106306582,2001608,404,211,900,1521
30,12,1/5,25,30,15,0,28,33,1,5,1,1,12,1,25,30,3,27,20,1,253098,3899,13568,0.9840881295793412,0.9840872235038602,2001328,12,491,920,1480
31,17,27,30,26,20,30,33,29,1,1,1,1,17,27,30,26,7,34,41,17,253090,4082,13576,0.9834012713926397,0.9834008097839149,2001243,1026,576,419,754
32,4,4,25,4,7,7,28,7,1,1,1,1,4,4,25,4,2,39,4,42,253152,8570,13514,0.9668900356610214,0.9668895458904911,2001643,1670,176,430,800
33,30,18,1/4,11,33,21,1,14,1,1,4,1,30,18,1,11,36,25,27,24,253109,3927,13557,0.9839846735549626,0.9839842168439431,2001436,1447,383,428,746
34,1,3,3,30,4,6,6,33,1,1,1,1,1,3,3,30,2,2,28,5,253123,44341,13543,0.8527022782431037,0.8527018031656893,2001473,318,346,463,776
35,24,20,19,1/5,27,23,22,0,1,1,1,5,24,20,19,1,21,3,1,5,253116,3839,13550,0.9843156436562398,0.9843145288160703,2001652,10,167,1120,1821
36,4,9,1/2,15,7,12,3,18,1,1,2,1,4,9,1,15,42,42,32,4,253078,8439,13588,0.9673496649606044,0.9673492333503246,2001154,542,665,402,705
37,24,29,18,23,27,32,21,26,1,1,1,1,24,29,18,23,1,1,19,42,253134,3914,13532,0.9840368750844541,0.9840357516733004,2001753,38,66,1205,1835
38,26,1/5,23,1/4,29,0,26,1,1,5,1,4,26,1,23,1,27,30,2,31,253129,3733,13537,0.9847152052174355,0.9847145354562353,2001561,467,258,669,1094
39,23,26,22,1/5,26,29,25,0,1,1,1,5,23,26,22,1,2,37,40,1,253043,3903,13623,0.9840655144038044,0.9840646438366869,2000988,8,831,937,1422
40,19,2,1/4,13,22,5,1,16,1,1,4,1,19,2,1,13,10,2,4,5,253157,3963,13509,0.9838564177532768,0.9838556084074755,2001800,430,19,814,1322
41,1/4,20,17,9,1,23,20,12,4,1,1,1,1,20,17,9,13,35,39,15,253151,53972,13515,0.8264431782486108,0.8264428433680108,2001606,1333,213,235,547
42,11,22,30,1,14,25,33,4,1,1,1,1,11,22,30,1,38,42,3,39,253133,4230,13533,0.9828535192479445,0.9828529994789693,2001502,1810,317,455,849
43,29,27,1/5,7,32,30,0,10,1,1,5,1,29,27,1,7,25,8,38,40,253113,3930,13553,0.9839739824361695,0.9839735153175263,2001425,987,394,448,763
44,11,4,5,25,14,7,8,28,1,1,1,1,11,4,5,25,8,1,18,6,253074,4031,13592,0.98359004263646,0.9835892424738562,2001205,38,614,802,1307
45,30,1/4,24,30,33,1,27,33,1,4,1,1,30,1,24,30,40,20,40,1,252837,3579,13829,0.9852545193105787,0.9852537736349464,1999295,10,2524,700,1218
46,12,28,3,3,15,31,6,6,1,1,1,1,12,28,3,3,8,1,39,34,253074,3986,13592,0.9837586566827906,0.9837578326438734,2001225,38,594,826,1346
47,17,1/3,10,26,20,2,13,29,1,3,1,1,17,1,10,26,40,42,9,15,253070,3956,13596,0.9838705413445675,0.983870088306827,2001112,838,707,421,740
48,28,25,30,29,31,28,33,32,1,1,1,1,28,25,30,29,1,25,17,40,253137,3992,13529,0.9837449703625536,0.9837441059175677,2001660,1152,159,845,1412
49,15,30,25,12,18,33,28,15,1,1,1,1,15,30,25,12,38,18,34,4,252952,4003,13714,0.9836778816595284,0.9836774408660511,2000076,441,1743,406,720
50,26,1/2,26,1/2,29,3,29,3,1,2,1,2,26,1,26,1,13,1,5,5,253070,3827,13596,0.9843543398680273,0.984353571540508,2001157,19,662,794,1255
51,21,20,25,1,24,23,28,4,1,1,1,1,21,20,25,1,1,11,13,41,253146,4025,13520,0.9836226093396473,0.9836217920350749,2001751,798,68,795,1335
52,29,4,1/4,27,32,7,1,30,1,1,4,1,29,4,1,27,6,5,38,26,253102,3907,13564,0.9840586862924237,0.9840581567280378,2001371,510,448,523,865
53,5,1/5,22,4,8,0,25,7,1,5,1,1,5,1,22,4,19,35,41,19,252969,7704,13697,0.9699997154830081,0.9699992912192863,2000252,622,1567,398,693
54,26,27,6,26,29,30,9,29,1,1,1,1,26,27,6,26,42,12,2,16,253143,3908,13523,0.9840606149897781,0.9840600462437499,2001632,866,187,528,929
