observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,39335,2385,2267,0.9428865103586876,0.9428365740301976,322241,3430,5207,13587,21803
2,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,35857,1678,5745,0.953229367875769,0.9532171626427953,288939,1690,38509,3384,5329
3,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,35801,1169,5801,0.9659592516884928,0.9659514232992447,288256,4397,39192,1870,3418
4,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,39876,14072,1726,0.7425548983372402,0.7425481990866402,320890,38439,6558,2115,2925
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,34829,832,6773,0.9734258025892809,0.9734163366054416,280634,1225,46814,2235,4133
6,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,38448,2918,3154,0.9293529336690296,0.9293168172646834,312711,178,14737,12521,15769
7,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,36419,1370,5183,0.9618050952244882,0.9617950245903383,293868,4074,33580,2403,4397
8,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,33004,562,8598,0.9785712930281985,0.9785601299008737,265725,136,61723,2890,4874
9,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,39617,8682,1985,0.822525706393805,0.8225162564423603,318990,40956,8458,2957,4126
10,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,37619,6407,3983,0.8554143116756016,0.8554028256100428,303063,8158,24385,3873,5015
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,38029,1525,3573,0.9604505219856265,0.9604208551845931,309258,2299,18190,7468,12953
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,37730,5223,3872,0.8789548893234354,0.8789460760870904,303392,9581,24056,2588,3848
13,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,39065,3659,2537,0.9148377717348032,0.9148108487635882,316164,5102,11284,9086,11755
14,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,40135,7311,1467,0.8479980189785908,0.8479794122394883,324371,30645,3077,5755,8124
15,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,38022,2970,3580,0.927270864935787,0.9272579176319777,306696,5858,20752,4222,5653
16,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,34739,914,6863,0.9711232087236994,0.9711146932318255,279873,1498,47575,1999,3718
17,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,33606,2119,7996,0.937600962431792,0.9375940845345093,269795,3277,57653,2161,3003
18,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,39579,4013,2023,0.9087715431137806,0.9087329920757976,322920,11697,4528,10046,16832
19,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,40217,7238,1385,0.8495722458560724,0.8495383419221808,326594,11096,854,12782,14803
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,39773,9654,1829,0.8072375965334226,0.8071830543269987,324906,45,2542,19707,23814
21,29,30,17,2,32,33,20,5,1,1,1,1,29,30,17,2,30,42,40,14,33014,811,8588,0.9715560729758856,0.9715491859172346,265337,1965,62111,1529,3007
22,22,1/5,20,25,25,0,23,28,1,5,1,1,22,1,20,25,11,8,30,15,35158,1043,6444,0.9682993371894917,0.9682864013373929,283646,665,43802,3496,5648
23,11,13,30,1/5,14,16,33,0,1,1,1,5,11,13,30,1,19,3,17,39,35879,1060,5723,0.9688579633001067,0.9688469788194646,289077,1933,38371,2767,4796
24,10,18,1/3,4,13,21,2,7,1,1,3,1,10,18,1,4,38,36,5,34,39990,7336,1612,0.8470390277627156,0.8470236252121907,323056,34622,4392,4898,6725
25,27,29,1/3,1/3,30,32,2,2,1,1,3,3,27,29,1,1,2,4,12,7,32082,2406,9520,0.9264146868001067,0.9263770450279316,259214,1607,68234,13043,16435
26,23,1/5,7,28,26,0,10,31,1,5,1,1,23,1,7,28,2,42,1,41,39714,2871,1888,0.9330126342230556,0.9329341671032065,327321,2962,127,23945,34260
27,18,10,30,10,21,13,33,13,1,1,1,1,18,10,30,10,8,40,39,15,35802,1466,5800,0.9584341239170032,0.9584210849995105,289366,3412,38082,3481,5693
28,14,25,30,25,17,28,33,28,1,1,1,1,14,25,30,25,38,18,1,25,39707,3009,1895,0.930043107042441,0.9299586277746176,327311,3998,137,25545,36885
29,28,19,1/2,28,31,22,3,31,1,1,2,1,28,19,1,28,38,5,40,6,38633,3098,2969,0.9258198609005566,0.9258066754011703,311381,10406,16067,4160,5757
30,4,1/5,1,1/4,7,0,4,1,1,5,1,4,4,1,1,1,35,7,7,40,35250,3160,6352,0.9162069603657966,0.9161941298694337,284428,5354,43020,4744,5602
31,26,29,29,30,29,32,32,33,1,1,1,1,26,29,29,30,4,8,8,39,37846,1663,3756,0.9568944897784776,0.9568668338977953,307335,2152,20113,7632,12075
32,27,9,29,3,30,12,32,6,1,1,1,1,27,9,29,3,16,16,37,17,34209,916,7393,0.9703431104192538,0.9703335505313889,275716,2179,51732,2329,4174
33,15,1/4,2,24,18,1,5,27,1,4,1,1,15,1,2,24,28,40,4,34,39224,2764,2378,0.9343434584047557,0.9343233560722713,317903,11142,9545,5594,8777
34,11,7,9,30,14,10,12,33,1,1,1,1,11,7,9,30,40,4,33,7,34228,1010,7374,0.9678419059597436,0.9678351150954602,275529,2512,51919,1588,2965
35,24,1/4,1/4,15,27,1,1,18,1,4,4,1,24,1,1,15,5,2,32,41,39578,7104,2024,0.8496706769370809,0.8496485705552717,319115,31413,8333,7409,9652
36,29,8,21,16,32,11,24,19,1,1,1,1,29,8,21,16,4,40,37,37,36287,1660,5315,0.9544162166853848,0.9543935995572905,293862,2587,33586,6603,9875
37,28,6,27,1/3,31,9,30,2,1,1,1,3,28,6,27,1,21,1,3,32,38792,1819,2810,0.9547432220171781,0.9546982580213557,316989,209,10459,12573,19632
38,11,2,23,1/2,14,5,26,3,1,1,1,2,11,2,23,1,41,19,41,7,33286,838,8316,0.9711859520866815,0.9711801460694948,267744,1754,59704,1385,2535
39,17,28,25,3,20,31,28,6,1,1,1,1,17,28,25,3,12,41,11,1,36684,1061,4918,0.9699081014453439,0.9698870532015782,296704,30,30744,5587,9190
40,15,25,7,21,18,28,10,24,1,1,1,1,15,25,7,21,34,3,1,3,39790,2559,1812,0.9399051260379939,0.9398309601805814,327328,2477,120,22640,32382
41,27,30,29,13,30,33,32,16,1,1,1,1,27,30,29,13,42,41,41,24,31888,689,9714,0.973456460352591,0.9734505741734313,256412,2132,71036,1198,2570
42,4,1/5,7,2,7,0,10,5,1,5,1,1,4,1,7,2,1,40,26,34,37667,3594,3935,0.9127450880613514,0.9127104031208086,305622,4899,21826,11739,15144
43,20,15,23,25,23,18,26,28,1,1,1,1,20,15,23,25,20,2,40,4,34172,819,7430,0.9729176311283533,0.9729078101414906,274788,927,52660,2498,4288
44,16,27,17,1/3,19,30,20,2,1,1,1,3,16,27,17,1,42,10,3,29,38879,1999,2723,0.9507616070240787,0.9507229620820702,317077,2824,10371,10276,16873
45,23,9,25,1/5,26,12,28,0,1,1,1,5,23,9,25,1,10,36,2,4,38865,1967,2737,0.9514681472994609,0.9514113147509515,318886,16,8562,16271,24814
46,7,4,19,26,10,7,22,29,1,1,1,1,7,4,19,26,39,2,40,41,34501,1511,7101,0.9550767084304531,0.9550673592540602,277094,1545,50354,2538,4082
47,23,20,8,2,26,23,11,5,1,1,1,1,23,20,8,2,6,3,2,37,39359,2237,2243,0.9462180607229713,0.946168412977584,322321,2309,5127,13865,21677
48,14,1,25,16,17,4,28,19,1,1,1,1,14,1,25,16,1,40,38,26,37903,2729,3699,0.9323910123636578,0.9323444405476914,308887,5235,18561,15766,20334
49,30,28,30,6,33,31,33,9,1,1,1,1,30,28,30,6,16,27,29,2,34410,761,7192,0.9747980289872809,0.9747863940494865,277236,688,50212,2877,5080
50,12,1/3,2,20,15,2,5,23,1,3,1,1,12,1,2,20,41,41,13,1,37510,1278,4092,0.9656505410835263,0.9656267993974681,303966,38,23482,7240,10366
51,21,26,18,29,24,29,21,32,1,1,1,1,21,26,18,29,37,3,34,35,33305,857,8297,0.9706856150250067,0.9706782767689648,267708,1402,59740,1649,3204
52,9,18,26,1,12,21,29,4,1,1,1,1,9,18,26,1,5,1,4,38,38711,1815,2891,0.9547069709812093,0.9546724028481129,315030,261,12418,10391,15093
53,30,30,24,1/4,33,33,27,1,1,1,1,4,30,30,24,1,4,37,30,23,36387,1363,5215,0.9619309361768724,0.9619075953006792,294566,1297,32882,6826,10191
54,25,28,27,10,28,31,30,13,1,1,1,1,25,28,27,10,42,24,3,7,38845,1994,2757,0.9508188374969955,0.9507757813561303,317128,1841,10320,11571,18799
55,20,1/2,14,22,23,3,17,25,1,2,1,1,20,1,14,22,24,35,41,5,33855,881,7747,0.9707994535650749,0.9707919412430345,272320,1879,55128,1760,3280
56,30,14,30,24,33,17,33,27,1,1,1,1,30,14,30,24,37,3,41,40,32171,591,9431,0.9766901040717938,0.976683168915959,258431,1029,69017,1500,3028
57,29,25,30,6,32,28,33,9,1,1,1,1,29,25,30,6,3,38,7,34,38203,1915,3399,0.951561833709943,0.9515282550046276,310437,2596,17011,9604,14661
58,14,29,21,19,17,32,24,22,1,1,1,1,14,29,21,19,4,6,33,1,37008,1488,4594,0.9597978324669356,0.9597709759156411,300389,31,27059,8223,11726
59,13,7,6,1/5,16,10,9,0,1,1,1,5,13,7,6,1,25,4,1,20,39684,2576,1918,0.9393365278917905,0.9392660609368461,326123,2721,1325,21383,30767
60,11,1/5,1/4,24,14,0,1,27,1,5,4,1,11,1,1,24,40,24,41,3,39441,5310,2161,0.8825855341095892,0.8825601113124402,319450,6284,7998,8852,11100
61,29,19,17,22,32,22,20,25,1,1,1,1,29,19,17,22,4,20,42,40,36206,1623,5396,0.955191025013943,0.9551685659194527,293088,2324,34360,6586,9806
62,13,30,30,19,16,33,33,22,1,1,1,1,13,30,30,19,21,2,5,25,38189,1459,3413,0.9622527028947456,0.9622259975060288,310386,1239,17062,6970,11660
63,17,26,21,8,20,29,24,11,1,1,1,1,17,26,21,8,41,40,29,19,33904,1054,7698,0.9661769667788327,0.9661702423344697,272577,3479,54871,1403,2936
64,29,2,21,22,32,5,24,25,1,1,1,1,29,2,21,22,13,40,3,5,38821,1910,2781,0.9526995157112841,0.9526577261295922,317056,1638,10392,11117,18246
65,18,1/4,10,1/2,21,1,13,3,1,4,1,2,18,1,10,1,31,6,12,1,36352,945,5250,0.9724180177673869,0.9724011631399797,293943,19,33505,4518,7359
66,29,1/3,27,8,32,2,30,11,1,3,1,1,29,1,27,8,33,2,39,16,32408,505,9194,0.9794848576984524,0.9794755978454007,260376,128,67072,2340,4043
67,23,16,29,28,26,19,32,31,1,1,1,1,23,16,29,28,24,41,42,37,33499,1074,8103,0.9650113874742968,0.9650041797677538,269408,3055,58040,1651,3147
68,7,1/5,17,22,10,0,20,25,1,5,1,1,7,1,17,22,33,8,3,41,38877,2342,2725,0.9430062973813547,0.9429690541287025,317240,1029,10208,10600,16261
69,30,29,9,2,33,32,12,5,1,1,1,1,30,29,9,2,7,32,35,6,35856,1257,5746,0.9637989419070295,0.9637826713168541,289768,1621,37680,4470,7104
70,12,16,27,30,15,19,30,33,1,1,1,1,12,16,27,30,1,18,9,1,38765,2170,2837,0.9466806224623515,0.946626494807845,316968,32,10480,18921,23633
71,19,1/5,30,23,22,0,33,26,1,5,1,1,19,1,30,23,31,39,4,42,38373,1789,3229,0.954770743553251,0.954738005403481,312819,1843,14629,8467,14294
72,19,3,21,15,22,6,24,18,1,1,1,1,19,3,21,15,42,1,30,14,33619,723,7983,0.9748254424830081,0.9748139174816338,270667,221,56781,2925,5032
73,20,17,28,30,23,20,31,33,1,1,1,1,20,17,28,30,2,41,38,19,37272,2187,4330,0.9435505062293269,0.9435178894676873,302825,3281,24623,10232,14241
74,30,29,13,1/2,33,32,16,3,1,1,1,2,30,29,13,1,10,30,1,37,39669,2697,1933,0.9366782902392214,0.9365941132965533,327253,2391,195,25572,36753
75,17,1/5,7,25,20,0,10,28,1,5,1,1,17,1,7,25,11,17,9,1,37259,1140,4343,0.9686956783989624,0.9686739361815448,301626,30,25822,6014,9493
76,30,6,30,14,33,9,33,17,1,1,1,1,30,6,30,14,9,37,41,30,34913,1094,6689,0.9666130474626858,0.966599522992671,281704,2253,45744,3565,5905
77,13,28,30,1/2,16,31,33,3,1,1,1,2,13,28,30,1,1,2,8,40,38856,2278,2746,0.9444051239373741,0.9443540676316042,317284,1509,10164,17337,22292
78,29,29,5,27,32,32,8,30,1,1,1,1,29,29,5,27,33,28,23,41,35426,1182,6176,0.9650788876938684,0.9650707455277545,285480,4516,41968,1906,3555
79,26,11,24,29,29,14,27,32,1,1,1,1,26,11,24,29,4,8,17,2,37062,1467,4540,0.9603928017442652,0.9603678988547697,300658,881,26790,7246,10873
80,11,1/3,11,11,14,2,14,14,1,3,1,1,11,1,11,11,39,24,19,4,35453,986,6149,0.9701917724847889,0.9701830233780223,285609,1999,41839,2068,3820
81,10,30,14,8,13,33,17,11,1,1,1,1,10,30,14,8,40,2,42,40,33807,924,7795,0.9695592745527328,0.9695504704777562,271721,1391,55727,2277,3844
82,29,1/5,29,30,32,0,32,33,1,5,1,1,29,1,29,30,6,2,2,9,39157,2066,2445,0.9497077169421339,0.949648328371857,321597,100,5851,17322,25930
83,12,30,24,22,15,33,27,25,1,1,1,1,12,30,24,22,3,36,10,42,38228,2317,3374,0.9423622755332403,0.9423373405789555,310332,6241,17116,7152,10887
84,30,1/2,8,5,33,3,11,8,1,2,1,1,30,1,8,5,30,19,41,5,33456,834,8146,0.9715346390895173,0.9715274428346847,269056,1595,58392,1656,3142
85,19,21,20,1/3,22,24,23,2,1,1,1,3,19,21,20,1,42,40,7,4,37289,1159,4313,0.9682667949068164,0.9682451053672668,302288,710,25160,5450,9470
86,8,7,25,2,11,10,28,5,1,1,1,1,8,7,25,2,28,5,35,41,34878,1412,6724,0.9582858009508675,0.9582790581837678,280288,3570,47160,1700,2944
87,30,12,5,9,33,15,8,12,1,1,1,1,30,12,5,9,1,40,6,38,39062,2691,2540,0.9356172146669292,0.9355600477284752,319088,3830,8360,19424,24960
88,11,1,28,28,14,4,31,31,1,1,1,1,11,1,28,28,41,42,20,25,35283,1321,6319,0.9612859211921547,0.9612781431904324,283871,4986,43577,1656,3396
89,24,28,16,1/3,27,31,19,2,1,1,1,3,24,28,16,1,10,2,42,2,34974,1032,6628,0.9683281872267285,0.9683119830564737,282546,16,44902,4542,7075
90,15,1/4,8,25,18,1,11,28,1,4,1,1,15,1,8,25,21,10,1,1,39700,2405,1902,0.9431062260689765,0.9430263297756661,327317,30,131,25662,34884
91,26,3,25,30,29,6,28,33,1,1,1,1,26,3,25,30,41,35,11,42,36404,1250,5198,0.9647798635463531,0.9647641334769099,294079,2560,33369,3581,6868
92,8,1/4,24,1/3,11,1,27,2,1,4,1,3,8,1,24,1,3,10,25,31,37078,1893,4524,0.9501425034376615,0.9501207749622964,300635,1690,26813,6825,9487
93,27,1/5,11,6,30,0,14,9,1,5,1,1,27,1,11,6,37,2,8,7,37190,1133,4412,0.9687776937828907,0.9687573853196186,301301,901,26147,5371,8867
94,18,30,11,16,21,33,14,19,1,1,1,1,18,30,11,16,16,7,41,1,34918,898,6684,0.9717876015954705,0.9717719493976582,281291,30,46157,4190,6834
95,9,24,22,1/4,12,27,25,1,1,1,1,4,9,24,22,1,41,39,2,10,38660,2105,2942,0.9479732841217663,0.9479237531838254,316421,1295,11027,13821,21626
96,27,1/4,18,6,30,1,21,9,1,4,1,1,27,1,18,6,36,38,4,23,38437,1797,3165,0.9546870746542094,0.9546536104659983,313086,1841,14362,8680,14611
97,21,24,22,21,24,27,25,24,1,1,1,1,21,24,22,21,7,41,14,42,36818,1629,4784,0.956060877536023,0.9560437366158552,297882,3525,29566,4449,7484
98,22,1/4,10,30,25,1,13,33,1,4,1,1,22,1,10,30,1,3,20,21,37807,2190,3795,0.9444878850636163,0.9444344376407091,308513,259,18935,18870,23336
