observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,21397,437,873,0.9795941164836613,0.9795913098926994,170834,1992,199,142,434
2,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,21076,38,1194,0.9971084045508565,0.9971043369340014,169158,110,1875,318,629
3,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,21012,28,1258,0.997502919590213,0.9974986450357755,168829,199,2204,328,661
4,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,21260,56,1010,0.9964809131252379,0.9964718466724067,170642,222,391,714,1402
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,21008,17,1262,0.9980094917315522,0.9980050813743262,168813,90,2220,347,682
6,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,21265,244,1005,0.9879568225933392,0.9879521600309346,170248,1290,785,374,721
7,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,21271,156,999,0.9919389512895533,0.9919356855558302,170134,468,899,181,505
8,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,21077,32,1193,0.9973869285858277,0.9973824406270082,169213,216,1820,347,694
9,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,21233,62,1037,0.9961763119003495,0.9961687910125873,170350,57,683,684,1163
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,20963,13,1307,0.9981487371606732,0.9981437189242988,168442,11,2591,408,776
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,21174,44,1096,0.9969377146989694,0.9969312155655206,169981,251,1052,498,1005
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,21233,183,1037,0.9906648974389123,0.9906618839103678,170015,480,1018,171,466
13,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,21195,87,1075,0.9949882075471699,0.9949841269967159,169925,296,1108,361,631
14,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,21361,326,909,0.9844386704063754,0.9844340919123638,170820,1495,213,308,708
15,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,21251,83,1019,0.9952362040995246,0.9952297502336719,170199,301,834,531,998
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,21005,80,1265,0.9950873336586338,0.9950837057841414,168381,307,2652,289,561
17,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,21012,18,1258,0.997967209377434,0.9979628830886008,168814,108,2219,335,669
18,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,21275,149,995,0.9922615260912312,0.9922539728694717,170687,736,346,535,1168
19,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,21375,224,895,0.9890146499096353,0.9890013994375589,170956,27,77,1024,2049
