observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,142968,2752,6036,0.9806724501336483,0.9806667995767311,1148850,13324,44344,3583,5971
2,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,142938,1924,6066,0.9861544571024399,0.9861434313716338,1148845,4087,44349,7331,11651
3,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,141258,1392,7746,0.9893604771858341,0.989352440922337,1135383,2893,57811,5054,8492
4,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,147622,32085,1382,0.8242759318150676,0.8242717480749686,1184671,59535,8523,2727,4421
5,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,147496,3196,1508,0.9790105074903305,0.9789858829481193,1188210,10530,4984,16695,26021
6,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,143984,2925,5020,0.979810263155925,0.9798034457698872,1157385,12963,35809,4258,7204
7,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,147718,21092,1286,0.8771129790489953,0.8771074117694201,1184895,68296,8299,4234,5883
8,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,137981,919,11023,0.9919405949932598,0.9919300433755028,1109477,513,83717,6629,11150
9,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,143513,15598,5491,0.9031151567005138,0.9031079711907712,1151841,14899,41353,5173,7593
10,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,145832,2506,3172,0.9830178794499433,0.9829978039325356,1174582,1111,18612,16888,21214
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,145847,2723,3157,0.9816145896571434,0.9815967843936368,1173693,10266,19501,11380,18815
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,145324,9064,3680,0.9419477480990446,0.9419415865220746,1166708,18714,26486,4072,6511
