observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,29985,6158,1481,0.8317739017449914,0.8317701959518248,237727,13199,1060,511,1051
2,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,28738,421,2728,0.9840048703755573,0.983998706982165,227781,2312,11006,1050,1748
3,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,29017,934,2449,0.9678366181586522,0.9678276198863769,230218,1040,8569,1552,2552
4,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,29703,690,1763,0.9766078371932299,0.9765897877591478,236521,1924,2266,3103,5119
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,28121,189,3345,0.9911141249182325,0.9911069601497123,223275,588,15512,1230,2032
6,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,29331,1374,2135,0.9547783186448534,0.9547630688299668,233533,75,5254,3257,4325
7,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,29104,3407,2362,0.8957805608477659,0.8957738262474345,230900,2559,7887,1164,1910
8,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,29864,2827,1602,0.9142087459629896,0.9142016129281884,236891,11232,1896,1417,2023
9,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,28906,434,2560,0.9837821943114478,0.9837750612766465,229503,2207,9284,1218,2023
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,27586,156,3880,0.9917142643497666,0.991704243546551,218669,172,20118,1654,2842
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,29220,452,2246,0.9835774212094568,0.9835630423088538,232660,1476,6127,2489,4078
12,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,29752,825,1714,0.9724534708208395,0.9724379459803897,236421,2383,2366,2952,4403
13,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,29676,3073,1790,0.906875642889754,0.9068702728393326,235155,3965,3632,893,1523
14,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,30045,4082,1421,0.8817630447810604,0.8817570682640123,238296,12150,491,1000,1695
15,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,29514,2242,1952,0.9295689475971806,0.9295625514898501,234251,2547,4536,1327,1814
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,27916,1532,3550,0.9466786216663117,0.9466741542638929,220996,1710,17791,877,1267
17,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,30018,2574,1448,0.9216604010871527,0.9216439559688565,238621,4458,166,3428,4664
18,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,29850,2445,1616,0.9247664538722775,0.9247549697920264,237245,7390,1542,1807,3257
19,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,28086,202,3380,0.9906333196480194,0.9906266520410943,222680,640,16107,1152,1891
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,29890,4211,1576,0.8778705544770223,0.8778379286880869,238278,405,509,5542,9253
21,30,23,4,2,33,26,7,5,1,1,1,1,30,23,4,2,22,41,40,36,28084,382,3382,0.9845053635280095,0.9844986712393032,222879,1830,15908,1129,1898
22,29,1/5,28,29,32,0,31,32,1,5,1,1,29,1,28,29,24,1,35,30,27404,146,4062,0.9918807947786906,0.9918724523366047,217460,27,21327,1507,2366
23,22,30,12,20,25,33,15,23,1,1,1,1,22,30,12,20,36,5,1,42,29806,619,1660,0.9789849641100158,0.978950977297139,238147,1371,640,6079,9639
24,13,1,23,12,16,4,26,15,1,1,1,1,13,1,23,12,2,42,39,5,29509,751,1957,0.9744050677384715,0.9743911824734949,234388,1752,4399,2655,3938
25,13,19,2,1/5,16,22,5,0,1,1,1,5,13,19,2,1,40,1,42,3,28240,420,3226,0.9834197656229325,0.9834064127792387,224321,11,14466,2359,3787
26,20,1/5,9,1/3,23,0,12,2,1,5,1,3,20,1,9,1,14,15,39,37,28307,231,3159,0.9898743065599498,0.9898665423767404,224957,585,13830,1425,2202
27,29,30,28,1/4,32,33,31,1,1,1,1,4,29,30,28,1,40,17,6,29,29078,365,2388,0.986247882711188,0.9862347802112762,231474,738,7313,2282,3716
28,13,23,15,24,16,26,18,27,1,1,1,1,13,23,15,24,30,41,2,13,29748,924,1718,0.96937292507661,0.9693558206021556,236790,3043,1997,2893,4851
29,28,19,1/2,28,31,22,3,31,1,1,2,1,28,19,1,28,38,5,40,6,29645,967,1821,0.9678710558723932,0.9678628227353387,235348,3718,3439,1580,2335
30,21,13,11,4,24,16,14,7,1,1,1,1,21,13,11,4,2,5,2,1,29639,430,1827,0.9847844996866794,0.984757071175696,236522,71,2265,5023,7779
31,24,3,30,11,27,6,33,14,1,1,1,1,24,3,30,11,36,35,39,30,27148,311,4318,0.9857969420976836,0.985791942273982,214816,1879,23971,782,1418
32,20,2,19,1/4,23,5,22,1,1,1,1,4,20,2,19,1,22,4,1,41,29785,578,1681,0.9802514788517778,0.9802163778327728,238067,859,720,6318,9955
33,11,29,26,4,14,32,29,7,1,1,1,1,11,29,26,4,32,1,31,1,28504,531,2962,0.9800705689319281,0.9800543741574138,226509,117,12278,2473,4593
34,10,14,1/4,30,13,17,1,33,1,1,4,1,10,14,1,30,7,2,3,15,30049,1900,1417,0.9408146818312464,0.9407999362298924,238751,6484,36,2938,4182
35,22,1/2,20,28,25,3,23,31,1,2,1,1,22,1,20,28,2,42,14,3,29417,463,2049,0.9834606635793595,0.9834422544964639,234118,864,4669,3609,5221
36,11,12,10,1/4,14,15,13,1,1,1,1,4,11,12,10,1,13,40,42,37,28776,677,2690,0.9756805453178117,0.9756747662550141,228048,1603,10739,1017,1639
37,18,1,27,28,21,4,30,31,1,1,1,1,18,1,27,28,2,42,14,19,29507,678,1959,0.9767095147335606,0.9766933799005152,234679,2512,4108,3103,4576
38,30,18,28,15,33,21,31,18,1,1,1,1,30,18,28,15,27,24,30,3,27473,219,3993,0.9893947884359688,0.9893877682321679,217762,641,21025,1125,1991
39,6,1/5,1/2,4,9,0,3,7,1,5,2,1,6,1,1,4,40,5,27,5,29648,1879,1818,0.940436683882207,0.9404278760122448,235436,2304,3351,1985,2498
40,15,1/5,1/4,25,18,0,1,28,1,5,4,1,15,1,1,25,17,2,4,37,30074,3029,1392,0.9093971441409896,0.9093848032503299,238700,12515,87,2866,3500
41,30,1/4,24,27,33,1,27,30,1,4,1,1,30,1,24,27,38,13,9,11,28746,295,2720,0.9881916155313774,0.9881806673983778,228913,509,9874,1918,3105
42,30,22,11,1,33,25,14,4,1,1,1,1,30,22,11,1,3,25,2,40,29624,561,1842,0.980582325023452,0.9805582814424781,236354,1586,2433,4292,6819
43,30,7,17,4,33,10,20,7,1,1,1,1,30,7,17,4,23,42,42,11,27693,284,3773,0.987386074265923,0.9873794771783732,219410,1117,19377,1091,1871
44,18,19,13,27,21,22,16,30,1,1,1,1,18,19,13,27,40,5,42,41,27489,319,3977,0.9859345880874396,0.9859294190172375,217793,1501,20994,818,1466
45,13,27,29,28,16,30,32,31,1,1,1,1,13,27,29,28,3,2,7,2,29573,625,1893,0.9784815454006438,0.9784666164489143,235087,910,3700,2766,4234
46,20,1/3,30,9,23,2,33,12,1,3,1,1,20,1,30,9,42,5,13,42,28478,223,2988,0.990322120717895,0.9903130519262445,226313,322,12474,1592,2572
47,17,8,4,21,20,11,7,24,1,1,1,1,17,8,4,21,10,8,40,39,28996,479,2470,0.9824217122110181,0.9824139339239337,230013,1967,8774,1404,2206
48,30,30,24,26,33,33,27,29,1,1,1,1,30,30,24,26,38,35,40,13,26769,216,4697,0.9887119376006015,0.988706599283899,212130,1143,26657,826,1514
