observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,11502,1500,674,0.8857585549398252,0.8857543336255743,88864,1146,132,110,374
2,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,11256,100,920,0.9897646934683972,0.9897591741564489,87060,349,1936,191,489
3,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,11473,135,703,0.9874037812753886,0.9873943228226019,88775,413,221,447,838
4,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,11309,283,867,0.9746046081932628,0.9745982310741405,87546,155,1450,249,565
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,11241,77,935,0.9916931035821284,0.991687223088212,87023,188,1973,218,521
6,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,11430,322,746,0.9718991061589324,0.971893135369524,88425,1219,571,244,529
7,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,11470,1121,706,0.9115690591049616,0.9115640251312827,88674,394,322,174,446
8,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,11448,291,728,0.9744853052587136,0.9744735104100714,88544,14,452,622,1045
9,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,11306,105,870,0.9894716574919264,0.9894659463020576,87541,387,1455,205,506
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,11202,70,974,0.9921984609497896,0.9921894765483358,86670,39,2326,360,796
11,12,29,6,11,15,32,9,14,1,1,1,1,12,29,6,11,3,2,42,35,11460,105,716,0.9898749440712019,0.9898655759139071,88648,159,348,463,830
12,4,1,28,1/5,7,4,31,0,1,1,1,5,4,1,28,1,2,42,15,42,11451,338,725,0.9706919030172744,0.9706842504743276,88482,401,514,348,678
13,1/5,1/5,10,24,0,0,13,27,5,5,1,1,1,1,10,24,41,1,8,41,11401,290,775,0.9743861478373089,0.9743770392795537,88183,73,813,464,807
14,16,30,26,25,19,33,29,28,1,1,1,1,16,30,26,25,39,40,2,26,11476,146,700,0.9864971271580701,0.9864869914890935,88774,543,222,490,898
15,28,13,1/2,19,31,16,3,22,1,1,2,1,28,13,1,19,36,22,25,4,11397,182,779,0.9832679661873843,0.983261453625024,88161,287,835,282,577
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,11281,313,895,0.9720273935776054,0.972022303169244,87266,337,1730,196,451
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,11476,404,700,0.9655121353668878,0.96550432480683,88807,895,189,329,692
18,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,11235,79,941,0.9915066665254643,0.991500966622532,86925,206,2071,204,505
19,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,11498,1378,678,0.893951174000933,0.8939368508785149,88926,14,70,628,1269
20,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,11505,285,671,0.97518842623829,0.9751772973189013,88991,520,5,614,986
21,15,20,2,7,18,23,5,10,1,1,1,1,15,20,2,7,2,14,40,42,11478,155,698,0.985755582770662,0.9857457857097802,88769,502,227,484,868
22,29,30,17,2,32,33,20,5,1,1,1,1,29,30,17,2,30,42,40,14,11140,89,1036,0.9904035761214942,0.9903980455226093,86268,327,2728,190,490
23,23,1/5,25,28,26,0,28,31,1,5,1,1,23,1,25,28,13,13,36,13,11304,76,872,0.9919339553103216,0.9919276120520087,87409,174,1587,256,562
24,11,13,27,1/4,14,16,30,1,1,1,1,4,11,13,27,1,5,2,2,26,11476,115,700,0.9890801279012645,0.9890700260930974,88782,150,214,508,895
25,10,18,1/3,4,13,21,2,7,1,1,3,1,10,18,1,4,38,36,5,34,11499,347,677,0.9701668832154972,0.9701599643234229,88875,1297,121,301,613
26,28,25,12,20,31,28,15,23,1,1,1,1,28,25,12,20,10,12,40,41,11360,92,816,0.9907138023177121,0.9907071091643678,87832,350,1164,274,593
27,19,7,1/2,1/3,22,10,3,2,1,1,2,3,19,7,1,1,3,33,5,37,11473,125,703,0.9882372803103651,0.9882281040309908,88709,395,287,455,813
