observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,41053,16142,515,0.7217163252081574,0.7217121889646931,330325,66894,3229,622,1261
2,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,36973,3663,4595,0.909441087167418,0.9094334247846007,297996,25869,35558,1367,2336
3,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,27348,1141,14220,0.9512155928680395,0.9512030857337576,222841,6805,110713,2051,3813
4,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,35451,2646,6117,0.9288531646405401,0.9287463931409304,299088,9371,34466,20774,32551
5,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,33916,2352,7652,0.9324242590861604,0.9324077928354142,274699,14077,58855,2749,5020
6,1,1/5,11,22,4,0,14,25,1,5,1,1,1,1,11,22,3,40,41,42,30538,2435,11030,0.9213483824057398,0.9213428521071824,247672,14920,85882,1124,1686
7,27,20,1/2,22,30,23,3,25,1,1,2,1,27,20,1,22,42,10,41,42,40653,13512,915,0.7540473495661347,0.7540408024273918,326720,68972,6834,1394,1996
8,7,30,15,2,10,33,18,5,1,1,1,1,7,30,15,2,38,42,28,1,32514,1880,9054,0.9414120543826593,0.9413292999922058,268668,2861,64886,12745,25229
9,1/2,25,1/5,26,3,28,0,29,2,1,5,1,1,25,1,26,1,3,22,8,40866,11727,702,0.780295002148074,0.7802597145135067,331820,46136,1734,6390,10758
10,11,1/4,27,5,14,1,30,8,1,4,1,1,11,1,27,5,10,25,5,14,33926,2080,7642,0.9393298048245103,0.9392960752515176,279711,11137,53843,5669,10283
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,28382,1358,13186,0.9468064380969665,0.946732805747016,241245,1899,92309,14441,22448
12,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,41059,11288,509,0.7876056320737091,0.7875950667761686,330721,64490,2833,2040,3221
13,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,39318,8037,2250,0.8323161709137695,0.8323076327363408,316239,33581,17315,1481,2603
14,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,37414,3860,4154,0.9063495339618236,0.9063399691038204,302544,23893,31010,1888,2916
15,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,40537,10242,1031,0.8012091365947239,0.801151540798538,329124,39252,4430,12608,17559
16,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,29258,1289,12310,0.9509409628756652,0.9509299022785505,237579,8404,95975,1827,3372
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,38171,4193,3397,0.9013631786848423,0.9013151543069189,313225,25240,20329,7611,14641
18,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,40901,11933,667,0.7774572561029853,0.7774157427823789,332291,48390,1263,8228,12656
19,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,23323,1586,18245,0.9239693243610497,0.9239630232320291,189718,8119,143836,1165,1921
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,39395,9485,2173,0.8083718555678856,0.8081653451665946,331884,10706,1670,38176,62958
21,12,30,17,12,15,33,20,15,1,1,1,1,12,30,17,12,20,38,35,36,29293,1695,12275,0.9388902421825922,0.9388830422980528,237680,11756,95874,1169,2195
22,1/3,1/2,1/5,2,2,3,0,5,3,2,5,1,1,1,1,2,40,30,6,37,38956,12772,2612,0.756063099711207,0.7560569363476308,313813,43529,19741,1590,1879
23,30,1/5,29,16,33,0,32,19,1,5,1,1,30,1,29,16,40,11,2,4,32801,2412,8767,0.9281524387310733,0.9279881534385186,284229,1841,49325,36759,50085
24,28,1,1/5,16,31,4,0,19,1,1,5,1,28,1,1,16,2,8,38,24,40920,13212,648,0.7594553302183044,0.7593828327932061,329776,63517,3778,19253,22102
