observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,14898,237,5841,0.977105124391031,0.9770627524871067,121259,1024,45166,1443,2939
2,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,20245,4713,494,0.813914500583349,0.8138817304786807,163281,35542,3144,1544,2273
3,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,16154,425,4585,0.9694998259533556,0.9694511537697392,131673,2268,34752,1853,3376
4,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,18809,635,1930,0.966055295610147,0.965810824574133,157567,1978,8858,10336,16957
5,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,16589,607,4150,0.9607421384084889,0.9607052161744126,134088,4150,32337,1329,2561
6,1,1/5,11,22,4,0,14,25,1,5,1,1,1,1,11,22,3,40,41,42,15969,788,4770,0.9484671525910159,0.9484026504140314,130185,4909,36240,3499,4474
7,7,30,15,2,10,33,18,5,1,1,1,1,7,30,15,2,38,42,28,1,15345,269,5394,0.9763624216587664,0.9762780238617017,125251,660,41174,2543,5854
8,11,1/4,27,5,14,1,30,8,1,4,1,1,11,1,27,5,10,25,5,14,17938,469,2801,0.9720575452864585,0.9719427273746336,147498,1976,18927,4630,7964
9,27,20,1/2,22,30,23,3,25,1,1,2,1,27,20,1,22,42,10,41,42,19436,3534,1303,0.8477940169366878,0.8477596176979115,156620,27510,9805,1519,2386
10,1/2,25,1/5,26,3,28,0,29,2,1,5,1,1,25,1,26,1,3,22,8,20237,2218,502,0.9026042029055319,0.9024571771565627,165697,14311,728,7425,10198
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,17340,355,3399,0.9765778998281134,0.9764340890960123,143693,860,22732,5680,9975
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,18436,1329,2303,0.9318415242654849,0.9318031459026926,148801,9766,17624,1532,2662
13,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,19546,1437,1193,0.9317326814795606,0.9315726659090753,159555,9380,6870,6990,11099
14,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,18427,932,2312,0.9505018930601549,0.9504361654283103,149497,5842,16928,3487,4559
15,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,20183,2797,556,0.8800018138074348,0.8798930799185619,163890,20679,2535,5383,7542
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,14558,507,6181,0.9591210714116302,0.9590858648143579,118940,3086,47485,1823,2442
17,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,15017,257,5722,0.9761884641136818,0.9761494513977854,121834,1271,44591,1331,2706
18,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,19851,1568,888,0.927382809945154,0.9269878242180988,165436,3463,989,16574,27397
19,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,19274,1149,1465,0.9434479463829437,0.9432609852226542,159882,6616,6543,7847,12968
20,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,20303,2353,436,0.8976613849531737,0.8974901961177884,166048,15660,377,9052,11874
21,19,5,30,1,22,8,33,4,1,1,1,1,19,5,30,1,18,1,40,38,14550,201,6189,0.978430154208662,0.9783733363545055,119031,551,47394,2165,3941
22,16,24,16,25,19,27,19,28,1,1,1,1,16,24,16,25,34,28,26,32,14382,287,6357,0.9723874945910861,0.9723542775558218,116363,1704,50062,1091,2304
23,4,1/3,29,15,7,2,32,18,1,3,1,1,4,1,29,15,42,41,16,3,16808,497,3931,0.9674404041055206,0.9673942549172042,136525,3061,29900,1604,3201
24,1/5,4,7,1/3,0,7,10,2,5,1,1,3,1,4,7,1,11,10,12,4,16965,484,3774,0.9686094046178089,0.9685239111199282,138012,1821,28413,4571,5930
25,30,30,29,18,33,33,32,21,1,1,1,1,30,30,29,18,12,3,4,8,17642,374,3097,0.976289480179254,0.9761196465527726,146902,696,19523,6824,11780
26,25,1/5,30,15,28,0,33,18,1,5,1,1,25,1,30,15,17,1,14,25,14969,179,5770,0.9809421080982608,0.9808697053417081,122647,147,43778,2720,5022
27,28,30,5,28,31,33,8,31,1,1,1,1,28,30,5,28,14,42,4,20,18494,587,2245,0.9675549435601668,0.9674184999743417,152611,2706,13814,5777,9464
28,1/3,23,1/5,30,2,26,0,33,3,1,5,1,1,23,1,30,32,41,41,39,20289,5676,450,0.7845562031331205,0.7845297044739122,163738,43220,2687,1177,1838
29,11,9,1/5,20,14,12,0,23,1,1,5,1,11,9,1,20,9,16,36,1,19525,1188,1214,0.9426210513712783,0.9422689133129755,161972,3176,4453,14390,24425
30,1/5,15,19,1/5,0,18,22,0,5,1,1,5,1,15,19,1,30,31,1,6,11312,240,9427,0.9638932014512931,0.9638022582835644,92252,791,74173,4988,6308
31,8,5,18,25,11,8,21,28,1,1,1,1,8,5,18,25,4,2,6,42,18518,621,2221,0.965938135725836,0.965805195499199,151956,2754,14469,5964,9221
32,12,1/4,8,1/4,15,1,11,1,1,4,1,4,12,1,8,1,5,36,38,36,17450,466,3289,0.9709299672944048,0.970825890134,143253,2072,23172,4765,7219
33,8,2,25,1/5,11,5,28,0,1,1,1,5,8,2,25,1,34,3,41,11,14707,245,6032,0.9760587851927364,0.9760248328845561,119645,1285,46780,1187,2355
34,29,29,1/4,6,32,32,1,9,1,1,4,1,29,29,1,6,11,39,17,1,19486,1033,1253,0.9494528197082355,0.9491266612929649,161472,2432,4953,14092,22623
35,18,24,28,23,21,27,31,26,1,1,1,1,18,24,28,23,31,12,1,7,19072,749,1667,0.961321332946224,0.9608670928724083,162546,1205,3879,21074,31507
36,15,21,1/4,11,18,24,1,14,1,1,4,1,15,21,1,11,39,3,2,39,20406,4873,333,0.8101412566201635,0.8100403944766267,165727,37166,698,5668,6996
37,12,28,30,24,15,31,33,27,1,1,1,1,12,28,30,24,37,39,19,4,15176,320,5563,0.9727668859280835,0.9727259413186431,123642,1865,42783,1354,2840
38,18,6,1,27,21,9,4,30,1,1,1,1,18,6,1,27,3,42,5,35,19390,1155,1349,0.9436037389872344,0.943426682385637,159003,7201,7422,8523,12281
39,20,1/5,18,5,23,0,21,8,1,5,1,1,20,1,18,5,3,31,40,5,17466,397,3273,0.974636896697194,0.9744690526327207,144440,1027,21985,8013,11642
40,2,16,30,1/4,5,19,33,1,1,1,1,4,2,16,30,1,15,7,3,9,17147,509,3592,0.9677914577884439,0.967687481547851,140276,2388,26149,4574,7212
41,29,1/5,21,30,32,0,24,33,1,5,1,1,29,1,21,30,35,18,40,28,12616,153,8123,0.975836143683673,0.9758081023930528,102166,659,64259,897,1945
42,30,20,16,2,33,23,19,5,1,1,1,1,30,20,16,2,2,42,29,35,17600,444,3139,0.972488520767603,0.9722551797451411,147100,894,19325,11531,16185
43,10,28,29,23,13,31,32,26,1,1,1,1,10,28,29,23,40,40,6,22,17598,589,3141,0.9649063166875388,0.96481061587153,145065,3392,21360,3593,6638
44,6,2,8,23,9,5,11,26,1,1,1,1,6,2,8,23,25,1,8,2,17700,455,3039,0.9721706538479284,0.9720680039820077,145276,1512,21149,3920,7120
45,1/4,9,26,10,1,12,29,13,4,1,1,1,1,9,26,10,1,12,40,8,20001,2819,738,0.8780694676267583,0.8779930569119577,162326,20078,4099,3777,5300
46,28,22,14,13,31,25,17,16,1,1,1,1,28,22,14,13,20,37,15,1,15354,206,5385,0.9802356804766217,0.980153820091973,125742,287,40683,2744,5678
47,1/4,26,15,29,1,29,18,32,4,1,1,1,1,26,15,29,1,1,31,2,19865,1689,874,0.922336182600742,0.9220031616382554,165068,5545,1357,16354,23099
48,6,29,18,19,9,32,21,22,1,1,1,1,6,29,18,19,41,42,40,31,15303,735,5436,0.9486102794318381,0.9485898215442339,123574,5603,42851,670,1419
49,10,1/2,2,29,13,3,5,32,1,2,1,1,10,1,2,29,39,7,1,29,19873,1476,866,0.9313955232274755,0.9311376586906975,165259,8278,1166,12415,17886
50,1,2,24,1/5,4,5,27,0,1,1,1,5,1,2,24,1,7,4,38,41,17925,884,2814,0.9510494704896114,0.9509860207620949,145588,5510,20837,3093,4401
51,18,13,6,10,21,16,9,13,1,1,1,1,18,13,6,10,1,39,9,42,18800,688,1939,0.9634592697593709,0.9631174399390082,157753,1768,8672,17941,23710
52,23,1/2,26,26,26,3,29,29,1,2,1,1,23,1,26,26,42,40,34,27,12721,173,8018,0.9747220498203188,0.9746950321449346,103220,917,63205,821,1874
53,1/4,9,1,1/2,1,12,4,3,4,1,1,2,1,9,1,1,38,10,37,39,19185,2061,1554,0.9034246788215783,0.903378760307118,154879,14422,11546,2211,3185
54,26,18,22,20,29,21,25,23,1,1,1,1,26,18,22,20,12,19,2,2,18565,517,2174,0.9712196719459026,0.9709378317452164,156524,700,9901,12099,19549
55,1/5,21,30,1/4,0,24,33,1,5,1,1,4,1,21,30,1,17,40,38,5,12082,250,8657,0.966549174649244,0.9664949518759676,97600,974,68825,3191,3761
56,27,28,19,6,30,31,22,9,1,1,1,1,27,28,19,6,1,31,5,38,18623,617,2116,0.9664254970684973,0.9660545302566984,156782,1019,9643,19256,25731
57,20,16,5,29,23,19,8,32,1,1,1,1,20,16,5,29,11,37,40,1,16115,268,4624,0.97843852989535,0.9783402195813452,131758,472,34667,3661,6819
58,6,1/3,14,9,9,2,17,12,1,3,1,1,6,1,14,9,1,1,35,14,18363,552,2376,0.9689480716017957,0.9686562115054894,153044,573,13381,15645,20244
59,21,28,23,28,24,31,26,31,1,1,1,1,21,28,23,28,31,1,2,7,18634,512,2105,0.9716412571579937,0.9713549620684634,156888,572,9537,12395,19858
60,1/4,1,30,1/4,1,4,33,1,4,1,1,4,1,1,30,1,40,10,13,27,17584,862,3155,0.9509048846357262,0.9508539057135498,142125,5264,24300,2554,3536
61,30,5,17,16,33,8,20,19,1,1,1,1,30,5,17,16,33,27,40,19,12970,174,7769,0.9754886844816824,0.9754597204956381,105160,942,61265,941,2009
62,26,12,1/3,1/4,29,15,2,1,1,1,3,4,26,12,1,1,2,42,1,11,14801,589,5938,0.9550893141760524,0.954804475215238,121356,2554,45069,15540,19757
