observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,3391,1091,192,0.7596292131307655,0.7596163876850812,28246,2108,99,128,400
2,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,3221,35,362,0.9872675890563793,0.9872510121678325,26966,252,1379,198,517
3,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,3243,40,340,0.9860139860139859,0.9859957418175002,27037,111,1308,247,569
4,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,3352,41,231,0.986811116344795,0.9867783473310718,28128,225,217,549,1022
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,3146,19,437,0.9913782237124059,0.991360877297118,26331,112,2014,210,541
6,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,3250,32,333,0.988436809995073,0.9884192391344856,27161,222,1184,220,548
7,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,3336,89,247,0.9731167740128815,0.973097054890142,27864,670,481,295,615
8,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,3384,904,199,0.7917826809237465,0.7917662002260423,28170,677,175,229,514
9,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,3319,23,264,0.9916876318415692,0.9916564660085565,27864,26,481,632,972
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,3066,11,517,0.9931586721604603,0.9931368047755686,25646,16,2699,279,682
11,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,3348,298,235,0.9185840416600363,0.9185682342982304,27880,551,465,216,493
12,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,3291,24,292,0.9911575853220737,0.991131613794563,27647,156,698,387,810
13,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,3387,344,196,0.9085202948466219,0.9085016979503797,28241,1364,104,273,580
14,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,3321,29,262,0.9899661962762247,0.9899394872855873,27835,157,510,443,833
15,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,3341,74,242,0.9773692647936438,0.9773510847243865,27913,417,432,301,567
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,3135,71,448,0.9755596631751899,0.9755437275589273,26344,456,2001,235,497
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,3376,116,207,0.9662775987314746,0.9662536151480451,28207,767,138,377,748
18,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,3146,23,437,0.9901551012186526,0.9901379792486641,26354,123,1991,204,534
19,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,3381,845,202,0.8024893547330496,0.8024478002890327,28317,11,28,722,1296
20,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,3388,126,195,0.9637649414857001,0.963732172471977,28337,434,8,707,1022
21,13,28,24,16,16,31,27,19,1,1,1,1,13,28,24,16,18,15,39,40,3215,36,368,0.9869107697597033,0.9868935515988722,26809,291,1536,213,537
22,25,1/5,1/5,27,28,0,0,30,1,5,5,1,25,1,1,27,8,33,41,32,3341,55,242,0.9827222081688598,0.9826975512495318,27935,453,410,407,769
23,8,9,13,12,11,12,16,15,1,1,1,1,8,9,13,12,40,6,16,18,3248,26,335,0.9901895627678967,0.9901729858793499,27098,192,1247,201,517
24,20,1/3,27,1/2,23,2,30,3,1,3,1,2,20,1,27,1,4,8,36,2,3310,14,273,0.9942388215716784,0.9942042249319452,27786,6,559,588,1079
25,14,13,28,25,17,16,31,28,1,1,1,1,14,13,28,25,2,41,3,7,3357,39,226,0.9874284504109138,0.9873953286974342,28154,203,191,583,1033
26,29,1/2,1,2,32,3,4,5,1,2,1,1,29,1,1,2,14,41,37,33,3258,37,325,0.9870454077242817,0.9870249832020296,27280,273,1065,289,637
27,15,14,30,30,18,17,33,33,1,1,1,1,15,14,30,30,38,40,35,42,3046,31,537,0.9866801420093809,0.9866651041743162,25387,271,2958,156,469
28,12,30,19,29,15,33,22,32,1,1,1,1,12,30,19,29,30,2,11,23,3262,20,321,0.992086422831978,0.9920665754547816,27264,97,1081,270,619
29,18,18,9,5,21,21,12,8,1,1,1,1,18,18,9,5,42,17,42,3,2976,15,607,0.9910617948342237,0.9910466928719306,24915,108,3430,157,471
30,20,24,29,1/3,23,27,32,2,1,1,1,3,20,24,29,1,6,37,6,2,3283,13,300,0.9943242048132196,0.9942928465985217,27548,4,797,517,978
31,23,21,17,1/3,26,24,20,2,1,1,1,3,23,21,17,1,19,42,31,35,3141,19,442,0.9913333291251902,0.9913149887378617,26226,145,2119,234,572
32,5,8,26,28,8,11,29,31,1,1,1,1,5,8,26,28,38,38,3,35,3360,102,223,0.9698593126699419,0.9698379903664918,28094,712,251,294,665
33,1/2,3,30,30,3,6,33,33,2,1,1,1,1,3,30,30,14,14,42,15,3382,959,201,0.7818134743772308,0.7817994625778207,28145,1263,200,165,437
34,30,19,3,8,33,22,6,11,1,1,1,1,30,19,3,8,2,11,39,1,3337,32,246,0.9892448892472608,0.9892021484495181,28085,6,260,773,1333
35,6,1,1/3,1/5,9,4,2,0,1,1,3,5,6,1,1,1,15,7,1,41,3385,100,198,0.9707596301649575,0.970733370064919,28193,513,152,470,819
36,20,1/5,30,1,23,0,33,4,1,5,1,1,20,1,30,1,9,42,13,15,3253,21,330,0.9917138693608278,0.9916908797494388,27274,151,1071,351,717
37,28,15,3,26,31,18,6,29,1,1,1,1,28,15,3,26,16,1,2,34,3369,40,214,0.9872585333833459,0.9872266621508206,28214,201,131,553,994
38,1/2,29,25,28,3,32,28,31,2,1,1,1,1,29,25,28,41,39,39,4,3382,873,201,0.7973481454936391,0.797328939388727,28176,400,169,286,599
39,1/5,22,1/4,4,0,25,1,7,5,1,4,1,1,22,1,4,42,14,8,17,3396,994,187,0.7764308871340189,0.7764153042175125,28285,1392,60,184,486
40,16,28,18,1/5,19,31,21,0,1,1,1,5,16,28,18,1,13,1,36,1,3232,13,351,0.9939232907717667,0.9938964535266724,27067,3,1278,403,837
41,19,30,30,1,22,33,33,4,1,1,1,1,19,30,30,1,5,38,42,41,3313,29,270,0.9898948852941002,0.9898684328123765,27722,195,623,435,825
42,9,20,6,1/2,12,23,9,3,1,1,1,2,9,20,6,1,37,4,35,41,3150,23,433,0.990192380233874,0.990176861444596,26276,156,2069,178,484
43,26,3,29,21,29,6,32,24,1,1,1,1,26,3,29,21,17,42,14,11,3186,20,397,0.9914300117627289,0.9914101964491467,26677,144,1668,266,618
44,5,16,1/4,29,8,19,1,32,1,1,4,1,5,16,1,29,1,19,8,27,3395,117,188,0.9662949490809524,0.966268400408386,28319,787,26,466,828
45,12,22,24,17,15,25,27,20,1,1,1,1,12,22,24,17,42,7,2,1,3345,24,238,0.9916164682445573,0.9915776392077482,28134,6,211,637,1211
46,14,29,1/5,6,17,32,0,9,1,1,5,1,14,29,1,6,4,28,38,33,3362,55,221,0.9829489638396409,0.9829222548490035,28078,448,267,450,833
47,1/2,1/5,7,1/4,3,0,10,1,2,5,1,4,1,1,7,1,35,33,8,41,3337,78,246,0.9761991130249593,0.9761813818463009,27869,491,476,286,553
48,3,1/5,12,29,6,0,15,32,1,5,1,1,3,1,12,29,12,7,24,29,3256,36,327,0.9873188955127933,0.9872985030541553,27225,166,1120,356,636
49,28,22,19,9,31,25,22,12,1,1,1,1,28,22,19,9,39,40,4,6,3311,24,272,0.9913292374758981,0.9913027529305601,27813,136,532,403,826
50,29,2,21,1/3,32,5,24,2,1,1,1,3,29,2,21,1,9,17,40,2,3227,12,356,0.9941833955660716,0.9941548268858099,27135,4,1210,449,891
51,15,1/5,1/4,6,18,0,1,9,1,5,4,1,15,1,1,6,17,39,23,31,3364,73,219,0.9779297192957975,0.9779091344554743,28035,630,310,326,642
52,30,7,29,30,33,10,32,33,1,1,1,1,30,7,29,30,36,31,10,27,3220,21,363,0.9914281491699098,0.9914067948028455,27043,155,1302,281,666
53,9,18,26,1,12,21,29,4,1,1,1,1,9,18,26,1,5,1,4,38,3339,22,244,0.9921436721498527,0.9921126345712968,27980,25,365,550,968
54,9,4,30,24,12,7,33,27,1,1,1,1,9,4,30,24,9,34,40,1,3294,20,289,0.9923539938181227,0.9923246235475058,27634,6,711,473,916
55,21,29,14,30,24,32,17,33,1,1,1,1,21,29,14,30,29,3,30,1,3059,11,524,0.9930979852350125,0.9930748353055524,25599,6,2746,284,722
56,23,29,29,22,26,32,32,25,1,1,1,1,23,29,29,22,42,41,36,42,2981,23,602,0.9885328858793333,0.9885179442351112,24927,190,3418,151,466
57,7,24,1/3,14,10,27,2,17,1,1,3,1,7,24,1,14,36,3,17,35,3363,102,220,0.9699021734114714,0.9698834161971582,28060,579,285,278,585
58,10,1/5,24,1/4,13,0,27,1,1,5,1,4,10,1,24,1,16,15,1,42,3370,41,213,0.9869846885580065,0.9869440318951874,28328,134,17,700,1268
59,25,21,28,27,28,24,31,30,1,1,1,1,25,21,28,27,2,1,7,14,3343,25,240,0.9913115677727368,0.9912709111099177,28102,22,243,749,1268
60,16,6,1/5,1/4,19,9,0,1,1,1,5,4,16,6,1,1,35,29,41,8,3201,25,382,0.9900591994160474,0.9900375564764552,26716,102,1629,377,675
61,13,6,30,25,16,9,33,28,1,1,1,1,13,6,30,25,41,36,8,42,3265,39,318,0.9865300128717239,0.9865098127947712,27355,328,990,260,630
62,7,15,26,1/4,10,18,29,1,1,1,1,4,7,15,26,1,3,41,41,4,3322,38,261,0.9873798469888184,0.9873470138478668,27882,4,463,589,1024
63,22,1/4,1/5,2,25,1,0,5,1,4,5,1,22,1,1,2,39,18,42,37,3337,190,246,0.9458295069328708,0.9458103970188013,27909,1207,436,286,596
64,30,30,1/3,15,33,33,2,18,1,1,3,1,30,30,1,15,11,2,23,12,3336,54,247,0.982951565474121,0.9829273895090062,27921,326,424,403,754
65,25,25,11,1/4,28,28,14,1,1,1,1,4,25,25,11,1,39,33,4,6,3320,19,263,0.9928585954041413,0.9928319184771182,27857,87,488,419,832
