observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,3144,61,936,0.9756400310318075,0.9756188239585117,25626,329,5960,258,662
2,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,3896,1452,184,0.7319675950280313,0.7319538841105531,31251,5183,335,113,428
3,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,3461,111,619,0.9661768318556402,0.9661573866993101,27864,810,3722,237,607
4,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,3424,188,656,0.9455011376941259,0.9454728188832597,27726,505,3860,396,884
5,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,3708,156,372,0.9585556520660132,0.9584910057308005,30487,603,1099,1083,2018
6,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,3476,98,604,0.9698335993214513,0.9698122641087399,27940,612,3646,280,666
7,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,3809,757,271,0.8359890085771726,0.8359631244152044,30756,4547,830,448,808
8,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,3541,635,539,0.848330650107329,0.8483089625112245,28306,1229,3280,306,677
9,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,3565,265,515,0.9295958279009128,0.9295338724934294,29209,2,2377,1331,1934
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,2817,48,1263,0.9749766379399856,0.9749423286114361,23099,22,8487,433,1071
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,3437,87,643,0.9722442236755753,0.9721965558129407,28255,242,3331,782,1488
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,3733,700,347,0.8434366484859713,0.8434154734475295,30108,2437,1478,262,661
13,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,3679,384,401,0.9054127884941945,0.9053903320615958,29457,1077,2129,397,701
14,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,3868,766,212,0.8367006134650826,0.8366749535470919,31212,3925,374,393,801
15,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,3764,309,316,0.9241027806557104,0.9240525179699083,30514,1383,1072,948,1569
16,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,3759,327,321,0.9199976504449471,0.9199476440379762,30678,1307,908,776,1561
17,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,3186,61,894,0.9762046291586747,0.9761840627824574,25853,327,5733,247,642
18,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,3021,334,1059,0.8965721917198398,0.8965533231908803,24284,727,7302,283,589
19,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,3870,798,210,0.8311427246018247,0.8310776297786571,31567,2698,19,1426,2032
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,3789,1021,291,0.7901322100346165,0.7899718435558877,31500,41,86,2993,5006
21,28,15,21,1/4,31,18,24,1,1,1,1,4,28,15,21,1,1,42,40,42,3685,195,395,0.9487641606591144,0.9486293900286684,30923,278,663,2892,4207
22,9,1/5,10,28,12,0,13,31,1,5,1,1,9,1,10,28,16,26,33,31,3393,111,687,0.9651488257782633,0.9651284836460234,27345,468,4241,267,635
23,15,1/3,30,8,18,2,33,11,1,3,1,1,15,1,30,8,34,5,7,15,3440,71,640,0.976612404113128,0.9765785753073873,28048,247,3538,512,1056
24,23,30,1,26,26,33,4,29,1,1,1,1,23,30,1,26,40,41,26,9,3613,429,467,0.8936963856375348,0.8936757231567558,29190,1756,2396,284,645
25,30,21,23,23,33,24,26,26,1,1,1,1,30,21,23,23,2,22,2,1,3637,133,443,0.9631375456808432,0.9630278263061636,30255,2,1331,2027,3425
26,30,30,1/2,28,33,33,3,31,1,1,2,1,30,30,1,28,33,23,12,42,3840,946,240,0.8047142845167943,0.8046883042502643,30920,4607,666,459,811
27,21,1/5,29,17,24,0,32,20,1,5,1,1,21,1,29,17,29,15,38,22,2895,50,1185,0.9755029147150992,0.9754836297330387,23620,263,7966,212,602
28,15,17,5,5,18,20,8,8,1,1,1,1,15,17,5,5,4,34,1,36,3761,228,319,0.9424128374619752,0.9422879976362448,31504,605,82,2190,3897
29,11,24,1,27,14,27,4,30,1,1,1,1,11,24,1,27,14,25,41,4,3521,145,559,0.958282983332789,0.9582600143425276,28481,777,3105,317,717
30,14,26,9,1,17,29,12,4,1,1,1,1,14,26,9,1,42,6,6,3,3592,93,488,0.9726772996831758,0.972648019826692,29062,469,2524,439,914
31,18,29,30,8,21,32,33,11,1,1,1,1,18,29,30,8,40,21,41,32,2779,61,1301,0.9700502652890254,0.9700341197226492,22682,372,8904,144,504
32,8,2,9,8,11,5,12,11,1,1,1,1,8,2,9,8,35,41,6,39,3640,170,440,0.9540284111757614,0.9540028153274785,29347,1065,2239,351,799
33,10,1/4,1/4,16,13,1,1,19,1,4,4,1,10,1,1,16,2,17,36,30,3771,270,309,0.9330047652272019,0.9329527085895801,30747,1397,839,965,1625
34,26,15,29,25,29,18,32,28,1,1,1,1,26,15,29,25,9,38,2,6,3636,146,444,0.9598834200994731,0.9597943311707187,30234,274,1352,1596,2781
35,6,1/5,1/5,28,9,0,0,31,1,5,5,1,6,1,1,28,33,1,15,1,3749,522,331,0.8785661725073702,0.8784190043884569,31169,35,417,3207,4594
