observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,211103,9054,559,0.9596153592642477,0.9596093957228308,2202578,4948,2383,6946,9949
2,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,209999,10739,1663,0.9521325331271157,0.9521289995984542,2190998,3972,13963,4143,5895
3,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,210913,25742,749,0.8931120449040407,0.8931048783444688,2200406,16473,4555,8038,11956
4,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,208598,7535,3064,0.9655366755170417,0.9655328111134318,2176875,1331,28086,4747,6447
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,211338,9974,324,0.9557658998096048,0.955759707293133,2204041,18039,920,8133,10331
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,207592,7222,4070,0.9666638975676757,0.966661475347265,2166252,10988,38709,2797,4041
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,210892,17272,770,0.9256390048261461,0.9256350738878999,2199035,8354,5926,4624,6558
8,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,210877,27007,785,0.8884285090518369,0.8884203918261994,2200335,9859,4626,9053,13542
9,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,210812,26078,850,0.8918146566049078,0.8918115120940752,2198342,21090,6619,4039,5246
10,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,211361,28327,301,0.8838841943217902,0.8838810414192018,2203420,44829,1541,3331,5260
11,28,24,18,26,31,27,21,29,1,1,1,1,28,24,18,26,34,8,38,23,205425,3820,6237,0.9815171376212928,0.9815139553475585,2144081,3544,60880,3740,5309
12,26,18,8,1/3,29,21,11,2,1,1,1,3,26,18,8,1,14,14,31,27,208183,4152,3479,0.9805081481605682,0.9805039894460893,2172855,2374,32106,5128,6938
13,27,13,1,21,30,16,4,24,1,1,1,1,27,13,1,21,32,24,33,21,208418,5081,3244,0.9763693123084145,0.976366284682754,2174227,11515,30734,3771,5051
14,27,5,10,22,30,8,13,25,1,1,1,1,27,5,10,22,10,4,13,7,209237,4204,2425,0.9804671315283371,0.9804618429238621,2184062,1456,20899,6507,8823
15,14,11,1/5,1/2,17,14,0,3,1,1,5,2,14,11,1,1,2,27,14,22,208933,7317,2729,0.9665743022334008,0.9665679376859322,2179498,4458,25463,8252,10618
16,24,27,7,1/2,27,30,10,3,1,1,1,2,24,27,7,1,10,18,35,37,208973,4601,2689,0.9786323377405265,0.9786278799198895,2180865,5418,24096,5486,7437
17,6,1/4,17,14,9,1,20,17,1,4,1,1,6,1,17,14,3,12,39,11,207633,15719,4029,0.930596428260895,0.9305925081120492,2166047,953,38914,5177,6540
18,14,20,9,30,17,23,12,33,1,1,1,1,14,20,9,30,41,11,21,13,208468,6837,3194,0.9685728163089398,0.968569822250303,2175372,5709,29589,3492,4995
19,1,13,30,5,4,16,33,8,1,1,1,1,1,13,30,5,29,32,10,31,210984,28065,678,0.8846242573309676,0.8846218878587371,2199266,44943,5695,2333,3953
20,1/5,14,11,4,0,17,14,7,5,1,1,1,1,14,11,4,6,15,40,14,210636,29580,1026,0.8789504071273448,0.878946599068382,2196451,28589,8510,4121,6353
21,20,10,28,1,23,13,31,4,1,1,1,1,20,10,28,1,15,5,39,37,208246,6190,3416,0.9713849000832725,0.9713810188961507,2173443,2117,31518,4763,6475
22,27,18,8,8,30,21,11,11,1,1,1,1,27,18,8,8,31,38,38,33,206227,4815,5435,0.9771272240711399,0.977124363681187,2151852,10222,53109,3366,4772
23,1/4,17,20,1/5,1,20,23,0,4,1,1,5,1,17,20,1,22,10,28,8,204943,23175,6719,0.8997059031152004,0.8997007943340669,2137466,477,67495,6410,8523
24,9,18,18,15,12,21,21,18,1,1,1,1,9,18,18,15,4,36,14,8,210729,9047,933,0.9595438754919319,0.9595390412410999,2198308,5090,6653,5925,8065
25,5,19,24,15,8,22,27,18,1,1,1,1,5,19,24,15,23,11,4,38,211177,18231,485,0.9219566049930437,0.9219524720532437,2202158,9795,2803,4621,6895
26,6,5,30,10,9,8,33,13,1,1,1,1,6,5,30,10,38,27,34,22,209017,17409,2645,0.924319349445312,0.9243176297347556,2179451,10439,25510,2040,2869
27,16,13,3,21,19,16,6,24,1,1,1,1,16,13,3,21,12,2,28,8,209420,6309,2242,0.9711211334266275,0.9711165731066859,2185403,1057,19558,5716,7608
28,18,1/3,2,27,21,2,5,30,1,3,1,1,18,1,2,27,26,1,5,28,210667,7003,995,0.968362008448271,0.9683567378261302,2198612,5920,6349,7208,8793
29,1/5,2,15,20,0,5,18,23,5,1,1,1,1,2,15,20,28,10,30,10,209123,22940,2539,0.9027347480291597,0.9027323252093379,2180565,8143,24396,2859,4042
30,8,22,19,25,11,25,22,28,1,1,1,1,8,22,19,25,28,24,4,16,210949,10154,713,0.9548911708610104,0.9548864235247935,2200926,11376,4035,5376,7920
31,26,22,20,20,29,25,23,23,1,1,1,1,26,22,20,20,16,13,34,35,207791,4421,3871,0.979217817069665,0.9792139071108086,2169048,5375,35913,4672,6523
32,29,26,7,10,32,29,10,13,1,1,1,1,29,26,7,10,36,14,8,24,209898,4440,1764,0.9795296420907386,0.9795244817602472,2190845,6698,14116,6170,8609
33,28,20,16,1/2,31,23,19,3,1,1,1,2,28,20,16,1,26,42,6,22,209810,4432,1852,0.9795490367448775,0.9795429005730527,2190717,2651,14244,7345,10237
34,26,28,14,14,29,31,17,17,1,1,1,1,26,28,14,14,34,28,30,34,206198,4821,5464,0.9770941695723101,0.9770912714194555,2152020,10287,52941,3365,4835
35,28,29,28,9,31,32,31,12,1,1,1,1,28,29,28,9,1,39,18,41,210508,5802,1154,0.9735957906000379,0.973585603008328,2197472,12108,7489,13323,16996
36,27,8,9,1/2,30,11,12,3,1,1,1,2,27,8,9,1,25,2,20,23,207567,3983,4095,0.9811619106467508,0.981157626655344,2167071,858,37890,5210,7147
37,23,4,18,1/3,26,7,21,2,1,1,1,3,23,4,18,1,3,23,23,27,210018,4592,1644,0.9788719737736997,0.9788651147120419,2192014,2344,12947,8835,11443
