observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,168723,4142,5050,0.9759365805206244,0.9759283468404507,1359764,19808,37700,5653,9627
2,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,167040,3186,6733,0.9808749352748205,0.9808645386178982,1346657,12844,50807,7508,12156
3,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,171628,5528,2145,0.9691660105910983,0.9691456671490488,1385251,23064,12213,14458,23786
4,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,173018,10267,755,0.9449642360054433,0.9449490181939413,1394443,38167,3021,13212,17793
5,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,172037,36913,1736,0.8261220863010108,0.8261091717304673,1386250,36282,11214,10669,15100
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,163742,3893,10031,0.9760621505675803,0.9760566272366816,1319311,21425,78153,3380,6458
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,170112,5531,3661,0.9687162596181443,0.968706955140466,1370355,26185,27109,7004,10879
8,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,173147,31636,626,0.8480830004290693,0.8480760428110976,1394079,72961,3385,5204,8135
9,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,172038,45977,1735,0.7923265934129095,0.7923082726833988,1387212,19463,10252,14055,21421
10,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,172199,30041,1574,0.8538624309554995,0.8538554536663278,1386920,47036,10544,6088,8158
11,28,24,18,26,31,27,21,29,1,1,1,1,28,24,18,26,34,8,38,23,160377,2906,13396,0.9809422800270104,0.9809367216300593,1292579,11997,104885,3587,6499
12,27,13,1,21,30,16,4,24,1,1,1,1,27,13,1,21,32,24,33,21,169166,7660,4607,0.9570110452898635,0.9570056288676614,1361336,43485,36128,4088,6333
13,26,18,8,1/3,29,21,11,2,1,1,1,3,26,18,8,1,14,14,31,27,163615,2650,10158,0.9831736483623248,0.9831663187020891,1319249,9125,78215,5317,8570
14,27,5,10,22,30,8,13,25,1,1,1,1,27,5,10,22,10,4,13,7,167630,3009,6143,0.9820055666704627,0.9819939350042778,1351732,9547,45732,8355,13600
15,14,11,1/5,1/2,17,14,0,3,1,1,5,2,14,11,1,1,2,27,14,22,144029,3834,29744,0.9706687909249958,0.9706554649697879,1159416,13094,238048,12501,15581
16,24,27,7,1/2,27,30,10,3,1,1,1,2,24,27,7,1,10,18,35,37,164675,3200,9098,0.9802494104514856,0.98024208079125,1326839,13962,70625,5492,8570
17,14,20,9,30,17,23,12,33,1,1,1,1,14,20,9,30,41,11,21,13,166090,3691,7683,0.9778004159169353,0.9777939115918372,1338428,18599,59036,4179,7605
18,6,1/4,17,14,9,1,20,17,1,4,1,1,6,1,17,14,3,12,39,11,163231,2741,10542,0.9825615209282575,0.9825517571708189,1315614,5903,81850,8804,11416
19,1/5,14,11,4,0,17,14,7,5,1,1,1,1,14,11,4,6,15,40,14,171372,49726,2401,0.7784275828236467,0.7784201223071665,1379927,46085,17537,5702,8723
20,1,13,30,5,4,16,33,8,1,1,1,1,1,13,30,5,29,32,10,31,171302,29828,2471,0.8540211262318226,0.8540164564599572,1378810,62322,18654,2950,5460
21,27,18,8,8,30,21,11,11,1,1,1,1,27,18,8,8,31,38,38,33,162594,3418,11179,0.9784962401128212,0.9784911273113173,1309031,17967,88433,3405,5978
22,20,10,28,1,23,13,31,4,1,1,1,1,20,10,28,1,15,5,39,37,162747,2727,11026,0.9825345306127181,0.9825275909554075,1311092,11310,86372,4933,8114
23,9,18,18,15,12,21,21,18,1,1,1,1,9,18,18,15,4,36,14,8,169234,4436,4539,0.9744457456196466,0.9744348879724247,1363957,17570,33507,8065,12695
24,5,19,24,15,8,22,27,18,1,1,1,1,5,19,24,15,23,11,4,38,171482,6879,2291,0.961927026782635,0.9619124760813994,1382977,32947,14487,9798,17013
25,1/4,17,20,1/5,1,20,23,0,4,1,1,5,1,17,20,1,22,10,28,8,155475,26364,18298,0.8557738077676905,0.8557618587964942,1253218,1622,144246,10736,13971
26,6,5,30,10,9,8,33,13,1,1,1,1,6,5,30,10,38,27,34,22,165460,5460,8313,0.967732162431615,0.96772853181228,1332659,31266,64805,2340,4245
27,16,13,3,21,19,16,6,24,1,1,1,1,16,13,3,21,12,2,28,8,167197,3073,6576,0.9815483216337954,0.9815376641196535,1347977,12161,49487,8099,12461
28,8,22,19,25,11,25,22,28,1,1,1,1,8,22,19,25,28,24,4,16,171229,5568,2544,0.9688376799543186,0.9688209081180035,1381452,25925,16012,11258,19610
29,18,1/3,2,27,21,2,5,30,1,3,1,1,18,1,2,27,26,1,5,28,171247,5605,2526,0.9686441154447171,0.9686288292116493,1381779,28935,15685,13324,17873
30,1/5,2,15,20,0,5,18,23,5,1,1,1,1,2,15,20,28,10,30,10,166765,24483,7008,0.8735794152389883,0.8735735421028346,1342408,22406,55056,4410,6867
31,28,29,28,9,31,32,31,12,1,1,1,1,28,29,28,9,1,39,18,41,167119,4440,6654,0.9738683316542667,0.973848292688185,1348071,14260,49393,17918,23430
32,26,22,20,20,29,25,23,23,1,1,1,1,26,22,20,20,16,13,34,35,162589,3119,11184,0.9802235856786037,0.980216876088808,1310440,13627,87024,4641,7845
33,26,28,14,14,29,31,17,17,1,1,1,1,26,28,14,14,34,28,30,34,162396,3356,11377,0.9788055650083339,0.9787997679911721,1308753,16159,88711,3698,6778
34,29,26,7,10,32,29,10,13,1,1,1,1,29,26,7,10,36,14,8,24,169491,4243,4282,0.9755732271914697,0.9755612705228472,1367073,19231,30391,8376,13980
35,28,20,16,1/2,31,23,19,3,1,1,1,2,28,20,16,1,26,42,6,22,169090,3262,4683,0.9809118692250547,0.9808947296228234,1365318,9581,32146,11969,20040
36,27,8,9,1/2,30,11,12,3,1,1,1,2,27,8,9,1,25,2,20,23,165240,2566,8533,0.9840087267353457,0.9839990690313339,1332304,8005,65160,6830,11292
37,21,30,14,7,24,33,17,10,1,1,1,1,21,30,14,7,34,12,19,4,165387,2311,8386,0.9855052601157791,0.9854952688566342,1333506,6883,63958,6329,11682
38,23,4,18,1/3,26,7,21,2,1,1,1,3,23,4,18,1,3,23,23,27,165711,2850,8062,0.9824845949289848,0.9824717616090507,1336254,8395,61210,10492,15005
39,6,17,1/4,1/4,9,20,1,1,1,1,4,4,6,17,1,1,35,16,6,22,134908,2361,38865,0.9776007202366856,0.9775921393170656,1086096,5866,311368,7854,10033
40,1/5,29,25,20,0,32,28,23,5,1,1,1,1,29,25,20,18,8,7,11,172654,49221,1119,0.7815476285320698,0.7815359737736065,1390723,39718,6741,8971,13627
41,15,21,19,6,18,24,22,9,1,1,1,1,15,21,19,6,41,31,24,26,164519,3778,9254,0.9769158581271082,0.9769099884120327,1325138,19853,72326,3646,6863
42,26,20,13,1/2,29,23,16,3,1,1,1,2,26,20,13,1,21,20,8,19,168364,3127,5409,0.9815045928380084,0.9814908871431104,1358304,9392,39160,9478,16025
43,10,17,18,1/4,13,20,21,1,1,1,1,4,10,17,18,1,16,27,22,36,163097,2968,10676,0.9812166058353321,0.9812100809837642,1314582,9675,82882,4545,7629
44,19,2,1/3,18,22,5,2,21,1,1,3,1,19,2,1,18,2,25,40,25,172138,15101,1635,0.9206733412604653,0.9206598228696037,1386049,58686,11415,12499,15806
45,11,5,9,22,14,8,12,25,1,1,1,1,11,5,9,22,1,5,2,2,171980,4029,1793,0.9773574500461116,0.9773232982768155,1390800,4120,6664,28678,39931
46,21,24,6,3,24,27,9,6,1,1,1,1,21,24,6,3,32,34,42,18,162940,3320,10833,0.9791463579228828,0.9791416907168262,1311860,17615,85604,3150,5457
47,10,18,12,15,13,21,15,18,1,1,1,1,10,18,12,15,40,17,41,39,163480,4828,10293,0.9706841280557285,0.9706803272377487,1315972,26040,81492,2429,4444
48,25,1/5,24,6,28,0,27,9,1,5,1,1,25,1,24,6,5,30,27,37,163943,2210,9830,0.9857948088276147,0.9857839776937496,1322308,6605,75156,8680,12664
49,9,23,8,28,12,26,11,31,1,1,1,1,9,23,8,28,37,19,32,32,165279,5203,8494,0.969106494589025,0.9691023388341726,1330869,28908,66595,2694,4859
