observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,145038,3025,3966,0.9794450122236478,0.9794377680412325,1165663,12788,27531,4574,7655
2,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,143260,2333,5744,0.9835150357795988,0.9835052270335852,1151208,6301,41986,6470,10365
3,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,147305,3533,1699,0.9768150570565299,0.9767981536487832,1185047,13676,8147,11088,17862
4,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,147786,25547,1218,0.8550133696723368,0.855001022860061,1186547,22946,6647,8689,13047
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,148347,14077,657,0.9148435206678031,0.9148298830567272,1191279,28278,1915,10531,14411
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,140694,2912,8310,0.9789863142035751,0.9789816147117562,1130388,16030,62806,2628,4966
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,145921,4231,3083,0.9719705128334931,0.9719624538579937,1172371,17935,20823,5691,8516
8,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,148238,21216,766,0.8769144310686503,0.8769085552843765,1189916,52513,3278,3807,6209
9,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,147385,21740,1619,0.8735345322481437,0.8735290984015822,1182756,32646,10438,4152,5742
10,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,147729,33678,1275,0.817270780631929,0.8172546551102627,1186458,13742,6736,11101,17040
11,28,24,18,26,31,27,21,29,1,1,1,1,28,24,18,26,34,8,38,23,138007,1710,10997,0.9864495863340489,0.9864444240851821,1109214,7559,83980,3077,5455
12,26,18,8,1/3,29,21,11,2,1,1,1,3,26,18,8,1,14,14,31,27,141330,2084,7674,0.9847010084598031,0.9846941607910955,1135617,7256,57577,4590,7236
13,27,13,1,21,30,16,4,24,1,1,1,1,27,13,1,21,32,24,33,21,144924,5661,4080,0.9626087438222909,0.9626039496971288,1163209,30008,29985,3297,5066
14,27,5,10,22,30,8,13,25,1,1,1,1,27,5,10,22,10,4,13,7,144132,2023,4872,0.9857742163125073,0.9857636012904104,1159401,6088,33793,7098,11217
15,14,11,1/5,1/2,17,14,0,3,1,1,5,2,14,11,1,1,2,27,14,22,127220,3308,21784,0.9719053500784431,0.9718923625984345,1022249,11040,170945,10899,13724
