observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,36423,3903,5145,0.9026577885367442,0.9026452420409067,294148,21333,39406,2181,3825
2,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,40972,12623,596,0.7679208073701805,0.7679013365206926,331158,54800,2396,3321,5936
3,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,34823,2780,6745,0.9241208737258606,0.9241127062030801,281706,18722,51848,1248,2490
4,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,41073,12998,495,0.7631416322345913,0.7631229978181592,331733,59000,1821,3774,5681
5,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,36496,3038,5072,0.9222058144247787,0.9221605420756155,300382,16691,33172,7590,13802
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,24315,1080,17253,0.9454298585529617,0.9454227669127001,197657,7592,135897,1007,2162
7,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,40862,11771,706,0.7796350814798986,0.7796080007296673,330913,47755,2641,4428,8256
8,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,41112,15553,456,0.7294139104583748,0.7294085999285026,330914,65703,2640,842,1619
9,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,40693,11779,875,0.7787549718757942,0.7787492742906257,327730,49981,5824,1090,1737
10,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,39152,4591,2416,0.8959370244510808,0.8959233725515577,315598,31190,17956,2591,4162
11,28,24,18,26,31,27,21,29,1,1,1,1,28,24,18,26,34,8,38,23,18002,483,23566,0.9501410802748348,0.9501332932470915,146748,2927,186806,1112,2374
12,27,13,1,21,30,16,4,24,1,1,1,1,27,13,1,21,32,24,33,21,39906,9661,1662,0.8076989869050997,0.807690340483393,320749,49513,12805,1747,2636
13,26,18,8,1/3,29,21,11,2,1,1,1,3,26,18,8,1,14,14,31,27,28035,1342,13533,0.9464626570094953,0.9464457479412489,229005,7903,104549,3160,5155
14,14,11,1/5,1/2,17,14,0,3,1,1,5,2,14,11,1,1,2,27,14,22,31670,4770,9898,0.8666606827764667,0.8666107067214129,254453,20062,79101,12283,15236
15,27,5,10,22,30,8,13,25,1,1,1,1,27,5,10,22,10,4,13,7,29119,1333,12449,0.9492956975085347,0.9492691054976184,239182,6669,94372,5123,8107
16,14,20,9,30,17,23,12,33,1,1,1,1,14,20,9,30,41,11,21,13,30105,1635,11463,0.9426500537315228,0.9426413810687791,244648,11431,88906,1368,2644
17,1/5,14,11,4,0,17,14,7,5,1,1,1,1,14,11,4,6,15,40,14,40691,11525,877,0.7824734861654242,0.7824657384992365,327856,49712,5698,1274,2362
18,1,13,30,5,4,16,33,8,1,1,1,1,1,13,30,5,29,32,10,31,40582,14353,986,0.7423401696725268,0.7423365287286368,326606,56605,6948,559,1110
19,24,27,7,1/2,27,30,10,3,1,1,1,2,24,27,7,1,10,18,35,37,29020,1412,12548,0.9466731387531838,0.9466519884773249,236855,8389,96699,4113,6448
20,6,1/4,17,14,9,1,20,17,1,4,1,1,6,1,17,14,3,12,39,11,34310,2351,7258,0.9333733052514287,0.933354329701515,279104,12333,54450,3897,5785
21,20,10,28,1,23,13,31,4,1,1,1,1,20,10,28,1,15,5,39,37,23208,816,18360,0.9521277643213014,0.9521140238582784,189726,4443,143828,2390,4189
22,27,18,8,8,30,21,11,11,1,1,1,1,27,18,8,8,31,38,38,33,29616,1650,11952,0.9410257485692062,0.9410174564014997,239373,12174,94181,1394,2528
23,1/4,17,20,1/5,1,20,23,0,4,1,1,5,1,17,20,1,22,10,28,8,26391,3620,15177,0.872656498514986,0.8726364634832015,214034,5545,119520,3725,6108
24,5,19,24,15,8,22,27,18,1,1,1,1,5,19,24,15,23,11,4,38,37778,4837,3790,0.886931182423089,0.8869111244303971,306972,25809,26582,2979,6115
25,9,18,18,15,12,21,21,18,1,1,1,1,9,18,18,15,4,36,14,8,35277,2727,6291,0.9265066468322755,0.9264868118883984,287121,16978,46433,3816,6047
26,6,5,30,10,9,8,33,13,1,1,1,1,6,5,30,10,38,27,34,22,34460,3109,7108,0.9152970412478638,0.9152936299130479,277892,22513,55662,517,1040
27,1/5,2,15,20,0,5,18,23,5,1,1,1,1,2,15,20,28,10,30,10,38812,9207,2756,0.8104409314850413,0.810435844003984,312641,33660,20913,897,1551
28,8,22,19,25,11,25,22,28,1,1,1,1,8,22,19,25,28,24,4,16,35972,2982,5596,0.9222104748261049,0.9221761023477045,294708,17942,38846,5483,10479
29,16,13,3,21,19,16,6,24,1,1,1,1,16,13,3,21,12,2,28,8,35943,3627,5625,0.9074232844466392,0.9074056307889666,290935,20301,42619,3392,5382
30,18,1/3,2,27,21,2,5,30,1,3,1,1,18,1,2,27,26,1,5,28,39505,6816,2063,0.8546067424480714,0.8545793500855253,318744,36096,14810,5259,8351
31,28,29,28,9,31,32,31,12,1,1,1,1,28,29,28,9,1,39,18,41,28278,2278,13290,0.9188256915074745,0.9187138850088817,239384,2585,94170,31435,34086
32,26,22,20,20,29,25,23,23,1,1,1,1,26,22,20,20,16,13,34,35,20528,625,21040,0.952076173514584,0.9520610291560789,168622,2684,164932,2600,4617
33,26,28,14,14,29,31,17,17,1,1,1,1,26,28,14,14,34,28,30,34,22652,811,18916,0.9507620114920818,0.9507528960118381,185148,5152,148406,1405,2779
34,29,26,7,10,32,29,10,13,1,1,1,1,29,26,7,10,36,14,8,24,35371,2524,6197,0.9315890083506152,0.9315715843020168,287142,17160,46412,3075,5312
35,28,20,16,1/2,31,23,19,3,1,1,1,2,28,20,16,1,26,42,6,22,29913,1407,11655,0.9488671833366323,0.9488179485908752,250268,4595,83286,9167,15010
36,27,8,9,1/2,30,11,12,3,1,1,1,2,27,8,9,1,25,2,20,23,29468,1489,12100,0.9454198725537566,0.9454064338626595,239960,9670,93594,2348,4097
37,21,30,14,7,24,33,17,10,1,1,1,1,21,30,14,7,34,12,19,4,24963,946,16605,0.9519803464090323,0.9519670356429908,204377,5322,129177,2146,4058
