observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,16941,573,3798,0.9637341070057173,0.9636864007688729,138377,3917,28048,1717,3309
2,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,16543,552,4196,0.9636017959119006,0.9635579822963763,134449,3539,31976,1608,3039
3,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,20186,2769,553,0.8810738048805186,0.880990733458126,164082,19252,2343,3977,5762
4,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,18748,707,1991,0.9623894032446506,0.9622303392038213,155078,3573,11347,6579,11033
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,20346,3016,393,0.8728614979102977,0.8727577523435608,165336,22086,1089,5477,7196
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,14102,287,6637,0.9714797464866355,0.9714488938583953,114463,1809,51962,993,2140
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,18769,967,1970,0.9500376087134783,0.9499302156163935,153265,5940,13160,5009,7449
8,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,20119,2392,620,0.8951501097191794,0.8950465371578346,163774,15504,2651,4726,7184
9,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,20216,3533,523,0.8533990746681975,0.8533502438963051,163774,26747,2651,2228,3387
10,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,19912,2482,827,0.8904829412054076,0.8904382481458073,160998,18451,5427,2266,3100
