observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,211103,9054,559,0.9596153592642477,0.9596093957228308,2202578,4948,2383,6946,9949
2,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,210913,25742,749,0.8931120449040407,0.8931048783444688,2200406,16473,4555,8038,11956
3,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,208598,7535,3064,0.9655366755170417,0.9655328111134318,2176875,1331,28086,4747,6447
4,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,209999,10739,1663,0.9521325331271157,0.9521289995984542,2190998,3972,13963,4143,5895
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,211338,9974,324,0.9557658998096048,0.955759707293133,2204041,18039,920,8133,10331
6,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,210892,17272,770,0.9256390048261461,0.9256350738878999,2199035,8354,5926,4624,6558
7,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,207592,7222,4070,0.9666638975676757,0.966661475347265,2166252,10988,38709,2797,4041
8,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,210877,27007,785,0.8884285090518369,0.8884203918261994,2200335,9859,4626,9053,13542
9,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,211361,28327,301,0.8838841943217902,0.8838810414192018,2203420,44829,1541,3331,5260
10,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,210812,26078,850,0.8918146566049078,0.8918115120940752,2198342,21090,6619,4039,5246
11,26,1/4,30,1/2,29,1,33,3,1,4,1,2,26,1,30,1,42,41,42,42,203735,3646,7927,0.9820133956971004,0.9820108032439264,2127067,2077,77894,3168,4325
12,28,1/5,30,1/4,31,0,33,1,1,5,1,4,28,1,30,1,39,42,42,40,203719,3411,7943,0.9831018763381872,0.9830990974681492,2126381,1589,78580,3442,4636
13,28,1/5,28,1/5,31,0,31,0,1,5,1,5,28,1,28,1,41,42,42,39,203458,3392,8204,0.9831442214171178,0.9831414869035039,2124126,1505,80835,3381,4562
14,29,1/5,29,1/5,32,0,32,0,1,5,1,5,29,1,29,1,42,39,41,42,203278,3361,8384,0.9832568973528325,0.983254120880439,2122156,1500,82805,3415,4632
