observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,171628,5528,2145,0.9691660105910983,0.9691456671490488,1385251,23064,12213,14458,23786
2,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,167040,3186,6733,0.9808749352748205,0.9808645386178982,1346657,12844,50807,7508,12156
3,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,168723,4142,5050,0.9759365805206244,0.9759283468404507,1359764,19808,37700,5653,9627
4,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,172037,36913,1736,0.8261220863010108,0.8261091717304673,1386250,36282,11214,10669,15100
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,173018,10267,755,0.9449642360054433,0.9449490181939413,1394443,38167,3021,13212,17793
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,163742,3893,10031,0.9760621505675803,0.9760566272366816,1319311,21425,78153,3380,6458
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,170112,5531,3661,0.9687162596181443,0.968706955140466,1370355,26185,27109,7004,10879
8,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,173147,31636,626,0.8480830004290693,0.8480760428110976,1394079,72961,3385,5204,8135
9,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,172038,45977,1735,0.7923265934129095,0.7923082726833988,1387212,19463,10252,14055,21421
10,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,172199,30041,1574,0.8538624309554995,0.8538554536663278,1386920,47036,10544,6088,8158
11,26,20,7,1/2,29,23,10,3,1,1,1,2,26,20,7,1,23,19,42,1,160961,1141,12812,0.9915334558533191,0.9915209954309185,1298503,71,98961,9425,14569
12,27,1/5,6,1/4,30,0,9,1,1,5,1,4,27,1,6,1,23,19,42,28,161123,1766,12650,0.9878381437228689,0.9878317257799976,1298260,6210,99204,4843,7504
13,26,1/4,7,1/4,29,1,10,1,1,4,1,4,26,1,7,1,24,20,42,28,161153,1836,12620,0.9874287918704293,0.9874226459032819,1298534,6698,98930,4488,7186
14,26,1/5,7,1/5,29,0,10,0,1,5,1,5,26,1,7,1,25,18,42,28,160419,1665,13354,0.9883020824952141,0.988295679947195,1292767,5261,104697,4768,7486
15,28,1/5,7,1/5,31,0,10,0,1,5,1,5,28,1,7,1,24,19,41,28,160543,1661,13230,0.9883499518393098,0.9883433782373763,1293625,5336,103839,4883,7686
16,21,9,14,4,24,12,17,7,1,1,1,1,21,9,14,4,31,28,36,35,162117,3314,11656,0.9789801606107906,0.9789751367573223,1305689,17514,91775,3237,5874
17,30,8,13,4,33,11,16,7,1,1,1,1,30,8,13,4,18,28,36,31,162571,3181,11202,0.9798603383640596,0.9798540213429977,1309372,14641,88092,4368,7386
18,22,7,15,4,25,10,18,7,1,1,1,1,22,7,15,4,31,28,36,1,161469,1427,12304,0.9899178204335459,0.9899023597254853,1302856,340,94608,10310,18077
19,20,8,14,4,23,11,17,7,1,1,1,1,20,8,14,4,32,28,35,1,161849,1469,11924,0.989738092340658,0.9897222467612898,1305758,360,91706,10644,18527
20,30,9,14,4,33,12,17,7,1,1,1,1,30,9,14,4,19,28,38,2,162003,1838,11770,0.9875844643404483,0.9875732962303717,1305949,2479,91515,7391,13058
21,23,19,22,10,26,22,25,13,1,1,1,1,23,19,22,10,42,34,30,11,161577,2642,12196,0.9827682098323899,0.982761956956546,1302999,11477,94465,3834,7311
22,22,18,20,10,25,21,23,13,1,1,1,1,22,18,20,10,42,34,22,12,163942,2879,9831,0.9819235788395835,0.9819162106922171,1321634,12484,75830,4605,8615
23,21,19,19,9,24,22,22,12,1,1,1,1,21,19,19,9,41,34,21,12,164408,2960,9365,0.9815631528137074,0.9815557136789665,1325049,13007,72415,4673,8698
24,22,19,20,1,25,22,23,4,1,1,1,1,22,19,20,1,41,33,30,12,161735,2535,12038,0.983430262642492,0.9834242535184762,1303977,10695,93487,3761,7026
25,22,18,20,10,25,21,23,13,1,1,1,1,22,18,20,10,40,34,19,12,164858,2933,8915,0.9818198537031364,0.981811795353225,1328960,12536,68504,5087,9422
26,17,6,10,1,20,9,13,4,1,1,1,1,17,6,10,1,30,24,38,1,161969,1421,11804,0.9900447231335707,0.990030665067609,1306877,201,90587,9943,16437
27,18,5,11,1,21,8,14,4,1,1,1,1,18,5,11,1,30,23,38,1,161656,1439,12117,0.9898807508926661,0.9898668749991233,1304580,197,92884,9736,16224
28,18,6,11,1,21,9,14,4,1,1,1,1,18,6,11,1,30,24,39,1,161527,1436,12246,0.9898749350407406,0.9898611207266069,1303619,197,93845,9701,16152
29,17,6,11,1,20,9,14,4,1,1,1,1,17,6,11,1,29,24,38,1,161809,1412,11964,0.9900690219616668,0.990055022054036,1305657,197,91807,9868,16369
30,18,5,11,1,21,8,14,4,1,1,1,1,18,5,11,1,29,24,38,1,161711,1437,12062,0.9899026998570647,0.9898888265293305,1304907,197,92557,9763,16221
31,12,11,4,18,15,14,7,21,1,1,1,1,12,11,4,18,36,15,32,5,165632,2918,8141,0.9820789797079781,0.9820708905683622,1334547,11992,62917,5065,9458
32,12,12,4,14,15,15,7,17,1,1,1,1,12,12,4,14,36,14,32,4,165604,2673,8169,0.9834730631096524,0.9834636773813648,1334560,9746,62904,5825,10974
33,12,11,4,15,15,14,7,18,1,1,1,1,12,11,4,15,36,14,32,5,165632,2911,8141,0.9821189272779453,0.9821108637964165,1334528,11952,62936,5059,9428
34,12,1,3,15,15,4,6,18,1,1,1,1,12,1,3,15,36,9,32,5,165887,2916,7886,0.9821470861278465,0.9821396717959232,1336448,11422,61016,4887,8669
35,12,11,3,14,15,14,6,17,1,1,1,1,12,11,3,14,37,15,2,5,172423,4631,1350,0.9742051992339836,0.9741821505742766,1392191,15482,5273,17748,26949
36,24,25,17,7,27,28,20,10,1,1,1,1,24,25,17,7,29,25,9,8,168249,3029,5524,0.9820291966457303,0.9820161076001941,1357374,10543,40090,8848,15304
