observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,40972,12623,596,0.7679208073701805,0.7679013365206926,331158,54800,2396,3321,5936
2,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,36496,3038,5072,0.9222058144247787,0.9221605420756155,300382,16691,33172,7590,13802
3,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,34823,2780,6745,0.9241208737258606,0.9241127062030801,281706,18722,51848,1248,2490
4,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,36423,3903,5145,0.9026577885367442,0.9026452420409067,294148,21333,39406,2181,3825
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,41073,12998,495,0.7631416322345913,0.7631229978181592,331733,59000,1821,3774,5681
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,24315,1080,17253,0.9454298585529617,0.9454227669127001,197657,7592,135897,1007,2162
7,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,40862,11771,706,0.7796350814798986,0.7796080007296673,330913,47755,2641,4428,8256
8,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,40693,11779,875,0.7787549718757942,0.7787492742906257,327730,49981,5824,1090,1737
9,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,39152,4591,2416,0.8959370244510808,0.8959233725515577,315598,31190,17956,2591,4162
10,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,41112,15553,456,0.7294139104583748,0.7294085999285026,330914,65703,2640,842,1619
11,28,1/5,30,1/4,31,0,33,1,1,5,1,4,28,1,30,1,39,42,42,40,14296,329,27272,0.9427678704498723,0.9427612708290553,116976,1740,216578,844,2012
12,26,1/4,30,1/2,29,1,33,3,1,4,1,2,26,1,30,1,42,41,42,42,14322,353,27246,0.9414403340331798,0.9414341706696037,116906,1894,216648,774,1879
13,28,1/4,30,1/4,31,1,33,1,1,4,1,4,28,1,30,1,42,42,42,41,14004,328,27564,0.9413365311708496,0.9413302628431253,114715,1746,218839,775,1911
14,29,1/5,29,1/5,32,0,32,0,1,5,1,5,29,1,29,1,42,39,41,42,13899,317,27669,0.9414727589981468,0.9414662052991446,113735,1585,219819,815,1998
15,28,1/5,28,1/5,31,0,31,0,1,5,1,5,28,1,28,1,41,42,42,39,14201,329,27367,0.9422882455828372,0.9422817837274646,115983,1730,217571,808,1970
16,20,5,22,5,23,8,25,8,1,1,1,1,20,5,22,5,34,32,25,32,21100,684,20468,0.9513212093231281,0.9513113656541063,172355,4076,161199,1444,3001
17,20,5,23,7,23,8,26,10,1,1,1,1,20,5,23,7,32,32,22,31,21788,717,19780,0.9520122553881675,0.9520009192601637,178333,4158,155221,1703,3456
18,21,5,20,9,24,8,23,12,1,1,1,1,21,5,20,9,32,32,21,31,22058,706,19510,0.9532378453315633,0.9532255284447999,180908,3996,152646,1874,3755
19,20,5,20,7,23,8,23,10,1,1,1,1,20,5,20,7,32,32,25,31,21483,708,20085,0.9514787050004121,0.951468739966594,175612,4254,157942,1477,3038
20,21,5,22,6,24,8,25,9,1,1,1,1,21,5,22,6,33,32,22,32,21497,682,20071,0.9525949204981836,0.9525833022790315,176185,3858,157369,1747,3542
21,24,9,14,11,27,12,17,14,1,1,1,1,24,9,14,11,28,20,18,26,25163,941,16405,0.9526647201710654,0.9526497988613752,206274,5216,127280,2475,4549
22,24,10,13,12,27,13,16,15,1,1,1,1,24,10,13,12,24,21,18,26,25840,980,15728,0.952979462259948,0.952964380223906,211806,5681,121748,2537,4598
23,23,9,13,11,26,12,16,14,1,1,1,1,23,9,13,11,27,21,17,26,26417,1048,15151,0.9520648313731256,0.9520494475651575,216315,5935,117239,2570,4690
24,24,10,15,12,27,13,18,15,1,1,1,1,24,10,15,12,26,20,18,25,24187,861,17381,0.9530545660876966,0.9530390313937654,198322,4434,135232,2546,4736
25,24,9,15,12,27,12,18,15,1,1,1,1,24,9,15,12,27,20,19,26,23934,858,17634,0.9525014804485281,0.9524868018684306,196275,4454,137279,2389,4475
26,17,11,7,16,20,14,10,19,1,1,1,1,17,11,7,16,21,25,9,22,33800,1992,7768,0.9413070019873274,0.9412875180173209,275030,12796,58524,3499,5940
27,17,17,8,18,20,20,11,21,1,1,1,1,17,17,8,18,21,14,9,22,32940,1824,8628,0.9438373780232023,0.9438164015942139,269045,11292,64509,3712,6395
28,17,17,8,16,20,20,11,19,1,1,1,1,17,17,8,16,21,16,11,22,32249,1748,9319,0.9443775143915883,0.9443598607339158,262990,11067,70564,3112,5382
29,17,18,8,16,20,21,11,19,1,1,1,1,17,18,8,16,21,16,11,23,32249,1748,9319,0.9443775143915883,0.9443598607339158,262990,11067,70564,3112,5382
30,17,17,8,17,20,20,11,20,1,1,1,1,17,17,8,17,22,15,11,21,32300,1759,9268,0.9441910037013457,0.9441734418873028,263411,11182,70143,3090,5354
31,12,2,18,4,15,5,21,7,1,1,1,1,12,2,18,4,17,27,5,34,33715,2200,7853,0.9357983749333159,0.9357606796835995,278242,11848,55312,6315,11492
32,30,11,18,4,33,14,21,7,1,1,1,1,30,11,18,4,17,24,3,34,32287,1889,9281,0.9406581547985309,0.9405567364704785,274493,3558,59061,20881,30919
33,11,1,18,2,14,4,21,5,1,1,1,1,11,1,18,2,17,25,20,35,31007,1976,10561,0.9352218539151311,0.9352136109493692,251801,13177,81753,1330,2513
34,12,1,18,3,15,4,21,6,1,1,1,1,12,1,18,3,17,27,4,36,34378,2334,7190,0.9339533246108573,0.9339056872882303,284330,11791,49224,8219,14523
35,12,1,18,2,15,4,21,5,1,1,1,1,12,1,18,2,17,25,2,29,36031,2953,5537,0.9230273431896152,0.9229304022385089,302241,11807,31313,18289,29554
36,25,9,14,10,28,12,17,13,1,1,1,1,25,9,14,10,30,18,17,26,25657,1001,15911,0.9518032957167553,0.951787593736213,210457,5445,123097,2617,4787
37,24,9,14,10,27,12,17,13,1,1,1,1,24,9,14,10,29,19,16,27,25932,1008,15636,0.9522424626990633,0.95222579308028,213059,5401,120495,2797,5082
38,25,8,14,10,28,11,17,13,1,1,1,1,25,8,14,10,30,18,17,27,25657,1001,15911,0.9518032957167553,0.951787593736213,210457,5445,123097,2617,4787
39,25,8,14,10,28,11,17,13,1,1,1,1,25,8,14,10,29,19,17,27,25631,985,15937,0.9522928444468224,0.952277027661743,210171,5385,123383,2646,4822
40,25,8,14,9,28,11,17,12,1,1,1,1,25,8,14,9,29,19,17,27,25631,985,15937,0.9522928444468224,0.952277027661743,210171,5385,123383,2646,4822
41,21,12,11,13,24,15,14,16,1,1,1,1,21,12,11,13,37,10,31,16,25289,1105,16279,0.9472429607588433,0.947234835877748,205832,7175,127722,1268,2477
42,22,12,10,14,25,15,13,17,1,1,1,1,22,12,10,14,37,9,31,17,26638,1219,14930,0.9469194723869068,0.9469112228608855,216693,8299,116861,1323,2515
43,22,14,11,14,25,17,14,17,1,1,1,1,22,14,11,14,37,10,29,15,25792,1167,15776,0.9464544287623509,0.9464457954611628,209639,7339,123915,1370,2632
44,22,12,25,14,25,15,28,17,1,1,1,1,22,12,25,14,24,9,29,16,19891,598,21677,0.9512409507531594,0.9512305724230078,163032,3276,170522,1606,3164
45,22,12,11,13,25,15,14,16,1,1,1,1,22,12,11,13,37,10,29,14,25792,1167,15776,0.9464544287623509,0.9464457954611628,209639,7339,123915,1370,2632
46,27,6,16,8,30,9,19,11,1,1,1,1,27,6,16,8,24,35,22,24,22151,754,19417,0.9515745592668868,0.9515610976148824,182005,3761,151549,2161,4104
47,27,7,16,19,30,10,19,22,1,1,1,1,27,7,16,19,25,36,22,24,22191,726,19377,0.9528115476070868,0.9527982106000082,182231,3811,151323,2130,4066
48,19,6,20,8,22,9,23,11,1,1,1,1,19,6,20,8,25,35,22,24,22798,786,18770,0.9521510477921523,0.9521397641462226,186468,4812,147086,1705,3440
49,27,6,16,8,30,9,19,11,1,1,1,1,27,6,16,8,24,35,22,29,22151,754,19417,0.9515745592668868,0.9515610976148824,182005,3761,151549,2161,4104
50,19,6,16,8,22,9,19,11,1,1,1,1,19,6,16,8,25,34,23,24,23568,864,18000,0.9512922850389429,0.951281447490643,192771,5303,140783,1662,3304
51,5,29,25,28,8,32,28,31,1,1,1,1,5,29,25,28,12,23,19,19,37133,4831,4435,0.8850445513498878,0.8850391620969045,299241,27570,34313,935,1643
52,6,30,5,21,9,33,8,24,1,1,1,1,6,30,5,21,10,23,13,19,36791,3514,4777,0.9122430651327316,0.9122352748248586,296857,24633,36697,1299,2375
53,30,30,12,20,33,33,15,23,1,1,1,1,30,30,12,20,12,23,14,19,27353,1136,14215,0.9513895024030821,0.951365236004074,224972,5396,108582,4509,7398
54,30,26,4,28,33,29,7,31,1,1,1,1,30,26,4,28,12,23,14,29,36706,3399,4862,0.914580211520033,0.9145598222342484,296072,23443,37482,4137,6216
55,30,3,5,20,33,6,8,23,1,1,1,1,30,3,5,20,3,23,14,19,34032,2411,7536,0.9312227223597981,0.9311646017428713,279494,11712,54060,14192,17719
56,27,4,24,6,30,7,27,9,1,1,1,1,27,4,24,6,32,38,24,31,18666,518,22902,0.9508101191543465,0.9507981794824907,153412,2307,180142,1790,3640
57,27,4,24,11,30,7,27,14,1,1,1,1,27,4,24,11,34,29,24,32,18618,512,22950,0.9509284551217747,0.9509165515313448,153043,2292,180511,1782,3629
58,15,4,20,12,18,7,23,15,1,1,1,1,15,4,20,12,32,29,24,31,25363,1156,16205,0.9456755747021437,0.9456674695018262,206533,7956,127021,1190,2471
59,15,4,24,12,18,7,27,15,1,1,1,1,15,4,24,12,27,30,24,32,25494,1177,16074,0.9453096784671551,0.9453014781430783,206962,8019,126592,1226,2500
60,15,4,23,12,18,7,26,15,1,1,1,1,15,4,23,12,27,29,24,32,25495,1177,16073,0.9453124073041373,0.9453041905794124,206999,8019,126555,1228,2505
61,23,10,21,6,26,13,24,9,1,1,1,1,23,10,21,6,31,21,20,38,21117,632,20451,0.9535623231572454,0.9535483301242408,174199,3127,159355,2170,4266
62,24,10,21,25,27,13,24,28,1,1,1,1,24,10,21,25,19,37,27,29,20623,610,20945,0.9530169087371821,0.9530036438929556,169376,2995,164178,2178,4044
63,23,10,21,6,26,13,24,9,1,1,1,1,23,10,21,6,19,37,20,2,21733,643,19835,0.9548836898677672,0.9548671940958543,178941,2897,154613,2603,5029
64,23,10,19,6,26,13,22,9,1,1,1,1,23,10,19,6,23,40,20,2,21869,631,19699,0.9557561263840961,0.9557404768856279,179801,3062,153753,2426,4771
65,24,10,27,6,27,13,30,9,1,1,1,1,24,10,27,6,23,37,27,1,19171,490,22397,0.9538219048178181,0.9537943484487904,158069,611,175485,3750,8401
66,23,15,27,5,26,18,30,8,1,1,1,1,23,15,27,5,19,40,26,1,20625,567,20943,0.9548823307184604,0.9548513170928019,170347,683,163207,4421,9455
67,23,14,26,5,26,17,29,8,1,1,1,1,23,14,26,5,20,40,27,1,20265,551,21303,0.9544986962485117,0.9544686108995387,167279,674,166275,4245,9172
68,19,15,28,5,22,18,31,8,1,1,1,1,19,15,28,5,20,40,27,1,22661,703,18907,0.9550288097477758,0.9549915704360782,186884,1145,146670,5145,11353
69,23,15,28,5,26,18,31,8,1,1,1,1,23,15,28,5,19,39,27,1,20475,561,21093,0.9546950011750093,0.9546643385232213,169108,679,164446,4375,9348
