observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,16543,552,4196,0.9636017959119006,0.9635579822963763,134449,3539,31976,1608,3039
2,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,20186,2769,553,0.8810738048805186,0.880990733458126,164082,19252,2343,3977,5762
3,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,16941,573,3798,0.9637341070057173,0.9636864007688729,138377,3917,28048,1717,3309
4,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,20346,3016,393,0.8728614979102977,0.8727577523435608,165336,22086,1089,5477,7196
5,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,18748,707,1991,0.9623894032446506,0.9622303392038213,155078,3573,11347,6579,11033
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,14102,287,6637,0.9714797464866355,0.9714488938583953,114463,1809,51962,993,2140
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,18769,967,1970,0.9500376087134783,0.9499302156163935,153265,5940,13160,5009,7449
8,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,20216,3533,523,0.8533990746681975,0.8533502438963051,163774,26747,2651,2228,3387
9,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,20119,2392,620,0.8951501097191794,0.8950465371578346,163774,15504,2651,4726,7184
10,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,19912,2482,827,0.8904829412054076,0.8904382481458073,160998,18451,5427,2266,3100
11,26,1/4,30,1/2,29,1,33,3,1,4,1,2,26,1,30,1,42,41,42,42,11913,147,8826,0.973795078791327,0.9737711319616508,97007,697,69418,714,1661
12,28,1/4,30,1/4,31,1,33,1,1,4,1,4,28,1,30,1,42,42,42,41,11843,136,8896,0.9743956821510261,0.9743715046474939,96431,653,69994,715,1677
13,29,1/5,29,1/5,32,0,32,0,1,5,1,5,29,1,29,1,42,39,41,42,11850,135,8889,0.9745001677620541,0.9744757163333179,96457,617,69968,721,1696
14,28,1/5,30,1/4,31,0,33,1,1,5,1,4,28,1,30,1,39,42,42,40,11997,140,8742,0.9746495258769167,0.9746241661698725,97730,640,68695,772,1759
15,28,1/5,28,1/5,31,0,31,0,1,5,1,5,28,1,28,1,41,42,42,39,11922,136,8817,0.9746869180043201,0.9746622935701919,97022,635,69403,735,1708
16,22,5,22,4,25,8,25,7,1,1,1,1,22,5,22,4,32,32,35,30,13204,192,7535,0.9749786972618784,0.9749492719281221,107132,1111,59293,969,2041
17,22,6,22,4,25,9,25,7,1,1,1,1,22,6,22,4,31,31,36,32,13260,194,7479,0.9750215078273785,0.9749916355630263,107697,1114,58728,997,2072
18,22,5,23,3,25,8,26,6,1,1,1,1,22,5,23,3,32,31,36,32,13189,192,7550,0.9749293325921634,0.9749001090980312,107043,1112,59382,965,2027
19,22,5,23,6,25,8,26,9,1,1,1,1,22,5,23,6,30,31,36,32,13270,196,7469,0.974913785883366,0.9748830630091697,107948,1101,58477,1028,2131
20,25,6,23,5,28,9,26,8,1,1,1,1,25,6,23,5,32,31,38,31,12884,171,7855,0.975419194045128,0.9753900138023438,104789,953,61636,959,2024
21,19,10,15,10,22,13,18,13,1,1,1,1,19,10,15,10,21,20,21,26,14806,266,5933,0.9750193278517307,0.9749753412308144,120630,1380,45795,1576,3051
22,19,9,13,10,22,12,16,13,1,1,1,1,19,9,13,10,23,21,22,26,14771,270,5968,0.9746644003019473,0.974622821339403,120218,1448,46207,1480,2884
23,19,10,16,10,22,13,19,13,1,1,1,1,19,10,16,10,22,19,22,27,14645,256,6094,0.9751787217268086,0.9751364795769283,119325,1344,47100,1498,2930
