method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
gp,0,7,20,29,15,1,2760956.00,85.00,251.00,17800.0,12611,0.999968,0.999960,0.999960,0.999968
gp,1,11,8,29,21,1,2760946.00,42.00,261.00,13988.0,10336,0.999983,0.999977,0.999977,0.999983
gp,2,7,26,19,23,1,2761016.00,122.00,191.00,19099.0,13445,0.999955,0.999947,0.999977,0.999983
gp,3,11,11,24,21,1,2760950.00,54.00,257.00,14134.0,10295,0.999979,0.999973,0.999977,0.999983
gp,4,4,8,24,3,1,2760516.00,34.00,691.00,16199.0,12007,0.999983,0.999976,0.999977,0.999983
gp,5,4,5,4,13,1,2760414.00,71.00,793.00,15426.0,12220,0.999969,0.999962,0.999977,0.999983
gp,6,30,30,28,27,1,2760937.00,45.00,270.00,17754.0,13417,0.999982,0.999974,0.999977,0.999983
gp,7,23,1,30,4,1,2760673.00,7.00,534.00,18046.0,15503,0.999994,0.999986,0.999986,0.999994
gp,8,12,29,16,1,1,2759833.00,6.00,1374.00,14401.0,10609,0.999988,0.999982,0.999986,0.999994
gp,9,14,24,1,30,1,2761032.00,231.00,175.00,16979.0,12853,0.999917,0.999909,0.999986,0.999994
gp,10,23,26,23,25,1,2760923.00,39.00,284.00,16272.0,12233,0.999984,0.999977,0.999986,0.999994
gp,11,3,1,5,1,1,2246807.00,7.00,514400.00,9807.0,9386,0.995439,0.995435,0.999986,0.999994
gp,12,29,4,29,1,1,2760671.00,2.00,536.00,16157.0,12746,0.999995,0.999988,0.999988,0.999995
gp,13,28,2,4,30,1,2761004.00,78.00,203.00,16858.0,14151,0.999971,0.999963,0.999988,0.999995
gp,14,30,26,3,3,1,2759612.00,55.00,1595.00,17255.0,13650,0.999969,0.999961,0.999988,0.999995
gp,15,21,8,10,8,1,2760922.00,26.00,285.00,13911.0,10818,0.999989,0.999983,0.999988,0.999995
gp,16,5,28,29,28,1,2761044.00,132.00,163.00,20330.0,14362,0.999952,0.999943,0.999988,0.999995
gp,17,1,1,4,29,1,2753309.00,130.00,7898.00,18843.0,15447,0.999896,0.999888,0.999988,0.999995
gp,18,27,27,1,25,1,2760919.00,231.00,288.00,18904.0,14818,0.999916,0.999908,0.999988,0.999995
gp,19,1,3,30,2,1,2759520.00,5.00,1687.00,16530.0,12977,0.999986,0.999979,0.999988,0.999995
gp,20,18,28,22,10,1,2760892.00,48.00,315.00,14306.0,10470,0.999981,0.999974,0.999988,0.999995
gp,21,2,1,10,30,1,2759655.00,83.00,1552.00,16027.0,13355,0.999959,0.999952,0.999988,0.999995
gp,22,24,4,1,1,1,2726644.00,6.00,34563.00,14260.0,12832,0.999744,0.999738,0.999988,0.999995
gp,23,26,7,29,25,1,2760910.00,22.00,297.00,15389.0,12044,0.999990,0.999983,0.999988,0.999995
gp,24,25,24,1,28,1,2760934.00,231.00,273.00,18857.0,14764,0.999916,0.999908,0.999988,0.999995
gp,25,6,16,12,21,1,2760997.00,96.00,210.00,17401.0,12459,0.999964,0.999957,0.999988,0.999995
gp,26,22,2,29,6,1,2760884.00,7.00,323.00,16095.0,13232,0.999995,0.999988,0.999988,0.999995
gp,27,20,27,2,3,1,2758923.00,118.00,2284.00,15921.0,12212,0.999942,0.999935,0.999988,0.999995
gp,28,20,30,27,25,1,2760943.00,41.00,264.00,15444.0,11405,0.999984,0.999977,0.999988,0.999995
gp,29,6,26,30,1,1,2754946.00,10.00,6261.00,18385.0,13335,0.999951,0.999943,0.999988,0.999995
gp,30,10,26,30,22,1,2760963.00,98.00,244.00,16767.0,11868,0.999963,0.999956,0.999988,0.999995
gp,31,19,3,4,3,1,2759227.00,36.00,1980.00,13461.0,10993,0.999973,0.999967,0.999988,0.999995
gp,32,13,17,2,30,1,2761106.00,199.00,101.00,14904.0,11195,0.999929,0.999922,0.999988,0.999995
gp,33,17,30,13,8,1,2760903.00,43.00,304.00,14420.0,10578,0.999983,0.999976,0.999988,0.999995
gp,34,19,3,22,27,1,2760880.00,10.00,327.00,13441.0,10597,0.999994,0.999988,0.999988,0.999995
gp,35,16,27,13,4,1,2760717.00,38.00,490.00,14172.0,10443,0.999983,0.999977,0.999988,0.999995
gp,36,29,2,30,29,1,2760900.00,7.00,307.00,17192.0,13943,0.999995,0.999988,0.999988,0.999995
gp,37,8,5,2,19,1,2760530.00,224.00,677.00,16216.0,12937,0.999916,0.999908,0.999988,0.999995
gp,38,4,28,27,30,1,2761054.00,146.00,153.00,20213.0,14348,0.999947,0.999938,0.999988,0.999995
gp,39,29,30,2,30,1,2761102.00,218.00,105.00,18365.0,14201,0.999922,0.999914,0.999988,0.999995
gp,40,15,27,7,9,1,2760952.00,63.00,255.00,14406.0,10533,0.999976,0.999969,0.999988,0.999995
gp,41,28,2,29,25,1,2760896.00,7.00,311.00,16749.0,13697,0.999995,0.999988,0.999988,0.999995
gp,42,5,8,1,28,1,2760256.00,264.00,951.00,19657.0,15940,0.999899,0.999891,0.999988,0.999995
gp,43,2,12,24,1,1,2757516.00,7.00,3691.00,17732.0,13234,0.999971,0.999963,0.999988,0.999995
