method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
random,0,12,29,22,18,1,2760973.00,63.00,234.00,14721.0,10694,0.999976,0.999969,0.999969,0.999976
random,1,5,5,2,26,1,2760350.00,221.00,857.00,17288.0,13818,0.999915,0.999908,0.999969,0.999976
random,2,19,22,1,30,1,2761051.00,236.00,156.00,16976.0,12933,0.999915,0.999908,0.999969,0.999976
random,3,25,7,6,6,1,2760920.00,38.00,287.00,15322.0,12107,0.999984,0.999978,0.999978,0.999984
random,4,10,16,13,9,1,2760836.00,44.00,371.00,15011.0,10849,0.999982,0.999975,0.999978,0.999984
random,5,19,5,9,11,1,2760940.00,23.00,267.00,12664.0,9882,0.999990,0.999984,0.999984,0.999990
random,6,14,24,6,16,1,2761022.00,73.00,185.00,14044.0,10294,0.999973,0.999967,0.999984,0.999990
random,7,18,2,19,6,1,2760831.00,14.00,376.00,14501.0,11751,0.999992,0.999986,0.999986,0.999992
random,8,2,29,29,25,1,2761011.00,158.00,196.00,22442.0,16151,0.999943,0.999933,0.999986,0.999992
random,9,10,3,21,14,1,2760884.00,21.00,323.00,14533.0,11335,0.999990,0.999984,0.999986,0.999992
random,10,4,15,2,28,1,2761044.00,231.00,163.00,18766.0,14028,0.999917,0.999909,0.999986,0.999992
random,11,8,20,10,16,1,2760970.00,88.00,237.00,16580.0,11871,0.999967,0.999960,0.999986,0.999992
random,12,17,6,30,24,1,2760926.00,18.00,281.00,12521.0,9644,0.999992,0.999986,0.999986,0.999992
random,13,29,27,18,28,1,2760960.00,57.00,247.00,17020.0,12827,0.999978,0.999971,0.999986,0.999992
random,14,3,6,2,10,1,2759309.00,163.00,1898.00,16968.0,13819,0.999928,0.999921,0.999986,0.999992
random,15,12,9,25,11,1,2760927.00,19.00,280.00,12575.0,9472,0.999991,0.999986,0.999986,0.999992
random,16,9,17,5,25,1,2761017.00,92.00,190.00,15727.0,11448,0.999966,0.999959,0.999986,0.999992
random,17,3,30,24,6,1,2760161.00,70.00,1046.00,20815.0,15013,0.999968,0.999958,0.999986,0.999992
random,18,1,25,22,22,1,2761018.00,192.00,189.00,22105.0,16242,0.999930,0.999921,0.999986,0.999992
random,19,24,3,11,4,1,2760757.00,19.00,450.00,15315.0,12495,0.999990,0.999983,0.999986,0.999992
random,20,26,19,10,2,1,2760446.00,4.00,761.00,15908.0,12261,0.999993,0.999986,0.999986,0.999993
random,21,10,10,22,20,1,2760940.00,33.00,267.00,14569.0,10651,0.999986,0.999980,0.999986,0.999993
random,22,27,15,4,22,1,2761028.00,81.00,179.00,16207.0,12645,0.999970,0.999963,0.999986,0.999993
random,23,23,17,24,15,1,2760914.00,30.00,293.00,15687.0,11888,0.999987,0.999980,0.999986,0.999993
random,24,16,13,1,4,1,2755535.00,82.00,5672.00,14189.0,11484,0.999930,0.999923,0.999986,0.999993
