method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
tpe,0,12,29,22,18,1,2760973.00,63.00,234.00,14721.0,10694,0.999976,0.999969,0.999969,0.999976
tpe,1,5,5,2,26,1,2760350.00,221.00,857.00,17288.0,13818,0.999915,0.999908,0.999969,0.999976
tpe,2,19,22,1,30,1,2761051.00,236.00,156.00,16976.0,12933,0.999915,0.999908,0.999969,0.999976
tpe,3,25,7,6,6,1,2760920.00,38.00,287.00,15322.0,12107,0.999984,0.999978,0.999978,0.999984
tpe,4,10,16,13,9,1,2760836.00,44.00,371.00,15011.0,10849,0.999982,0.999975,0.999978,0.999984
tpe,5,19,5,9,11,1,2760940.00,23.00,267.00,12664.0,9882,0.999990,0.999984,0.999984,0.999990
tpe,6,14,24,6,16,1,2761022.00,73.00,185.00,14044.0,10294,0.999973,0.999967,0.999984,0.999990
tpe,7,18,2,19,6,1,2760831.00,14.00,376.00,14501.0,11751,0.999992,0.999986,0.999986,0.999992
tpe,8,2,29,29,25,1,2761011.00,158.00,196.00,22442.0,16151,0.999943,0.999933,0.999986,0.999992
tpe,9,10,3,21,14,1,2760884.00,21.00,323.00,14533.0,11335,0.999990,0.999984,0.999986,0.999992
tpe,10,29,11,18,1,1,2760296.00,2.00,911.00,16053.0,12384,0.999993,0.999986,0.999986,0.999992
tpe,11,29,12,19,1,1,2760277.00,2.00,930.00,16087.0,12383,0.999993,0.999986,0.999986,0.999992
tpe,12,29,12,18,1,1,2760272.00,2.00,935.00,16067.0,12372,0.999993,0.999985,0.999986,0.999992
tpe,13,28,12,19,1,1,2760375.00,2.00,832.00,15730.0,12173,0.999993,0.999986,0.999986,0.999993
tpe,14,30,11,18,1,1,2760275.00,2.00,932.00,16457.0,12789,0.999993,0.999985,0.999986,0.999993
tpe,15,23,1,26,6,1,2760755.00,10.00,452.00,17886.0,15428,0.999993,0.999985,0.999986,0.999993
tpe,16,22,17,24,7,1,2760870.00,17.00,337.00,15536.0,11784,0.999992,0.999985,0.999986,0.999993
tpe,17,22,1,26,6,1,2760752.00,10.00,455.00,17911.0,15462,0.999993,0.999985,0.999986,0.999993
tpe,18,23,1,26,7,1,2760783.00,10.00,424.00,17901.0,15438,0.999993,0.999986,0.999986,0.999993
tpe,19,23,1,26,6,1,2760755.00,10.00,452.00,17886.0,15428,0.999993,0.999985,0.999986,0.999993
tpe,20,17,8,14,12,1,2760967.00,24.00,240.00,12489.0,9546,0.999990,0.999984,0.999986,0.999993
tpe,21,16,8,13,4,1,2760884.00,24.00,323.00,12520.0,9579,0.999989,0.999984,0.999986,0.999993
tpe,22,18,20,12,12,1,2760944.00,32.00,263.00,13553.0,10011,0.999987,0.999981,0.999986,0.999993
tpe,23,17,8,14,20,1,2760970.00,29.00,237.00,12492.0,9545,0.999988,0.999983,0.999986,0.999993
tpe,24,17,8,13,11,1,2760963.00,24.00,244.00,12488.0,9551,0.999990,0.999984,0.999986,0.999993
tpe,25,26,13,17,3,1,2760723.00,21.00,484.00,15554.0,12011,0.999989,0.999982,0.999986,0.999993
tpe,26,26,14,17,3,1,2760712.00,21.00,495.00,15683.0,12074,0.999989,0.999982,0.999986,0.999993
tpe,27,26,15,16,3,1,2760704.00,22.00,503.00,15784.0,12136,0.999989,0.999982,0.999986,0.999993
tpe,28,26,15,17,3,1,2760712.00,22.00,495.00,15794.0,12135,0.999989,0.999982,0.999986,0.999993
tpe,29,26,14,17,3,1,2760712.00,21.00,495.00,15683.0,12074,0.999989,0.999982,0.999986,0.999993
tpe,30,13,18,22,19,1,2760941.00,38.00,266.00,13337.0,9836,0.999985,0.999979,0.999986,0.999993
tpe,31,13,19,21,9,1,2760896.00,31.00,311.00,13344.0,9833,0.999987,0.999981,0.999986,0.999993
tpe,32,14,18,21,9,1,2760907.00,26.00,300.00,13392.0,9881,0.999989,0.999983,0.999986,0.999993
tpe,33,28,19,21,9,1,2760890.00,29.00,317.00,16327.0,12407,0.999987,0.999980,0.999986,0.999993
tpe,34,28,18,22,9,1,2760887.00,26.00,320.00,16334.0,12404,0.999988,0.999981,0.999986,0.999993
tpe,35,21,5,30,5,1,2760879.00,11.00,328.00,13886.0,10932,0.999994,0.999988,0.999988,0.999994
tpe,36,20,5,29,4,1,2760875.00,11.00,332.00,13531.0,10595,0.999994,0.999988,0.999988,0.999994
tpe,37,20,5,30,5,1,2760879.00,11.00,328.00,13532.0,10591,0.999994,0.999988,0.999988,0.999994
tpe,38,20,5,29,5,1,2760879.00,11.00,328.00,13533.0,10595,0.999994,0.999988,0.999988,0.999994
tpe,39,20,5,30,5,1,2760879.00,11.00,328.00,13532.0,10591,0.999994,0.999988,0.999988,0.999994
tpe,40,20,4,28,22,1,2760897.00,8.00,310.00,13714.0,10820,0.999995,0.999989,0.999989,0.999995
tpe,41,20,4,29,30,1,2760897.00,8.00,310.00,13730.0,10828,0.999995,0.999989,0.999989,0.999995
tpe,42,20,4,28,22,1,2760897.00,8.00,310.00,13714.0,10820,0.999995,0.999989,0.999989,0.999995
tpe,43,20,4,28,30,1,2760897.00,8.00,310.00,13714.0,10820,0.999995,0.999989,0.999989,0.999995
tpe,44,10,4,28,28,1,2760891.00,14.00,316.00,14441.0,11038,0.999993,0.999986,0.999989,0.999995
tpe,45,19,7,27,23,1,2760923.00,19.00,284.00,12670.0,9689,0.999991,0.999986,0.999989,0.999995
tpe,46,19,3,24,23,1,2760896.00,8.00,311.00,13453.0,10601,0.999995,0.999989,0.999989,0.999995
tpe,47,19,3,24,23,1,2760896.00,8.00,311.00,13453.0,10601,0.999995,0.999989,0.999989,0.999995
tpe,48,19,3,24,23,1,2760896.00,8.00,311.00,13453.0,10601,0.999995,0.999989,0.999989,0.999995
tpe,49,24,7,24,23,1,2760907.00,19.00,300.00,15105.0,11789,0.999991,0.999984,0.999989,0.999995
tpe,50,18,3,25,22,1,2760896.00,8.00,311.00,13285.0,10477,0.999995,0.999989,0.999989,0.999995
tpe,51,15,3,24,22,1,2760902.00,10.00,305.00,13299.0,10497,0.999994,0.999988,0.999989,0.999995
tpe,52,15,25,24,22,1,2760969.00,56.00,238.00,14117.0,10296,0.999978,0.999972,0.999989,0.999995
tpe,53,15,26,23,22,1,2760969.00,56.00,238.00,14358.0,10444,0.999978,0.999972,0.999989,0.999995
tpe,54,15,3,24,21,1,2760902.00,10.00,305.00,13299.0,10497,0.999994,0.999988,0.999989,0.999995
tpe,55,18,2,27,26,1,2760891.00,7.00,316.00,14652.0,11781,0.999995,0.999989,0.999989,0.999995
tpe,56,18,2,3,26,1,2760826.00,82.00,381.00,15020.0,12447,0.999968,0.999962,0.999989,0.999995
tpe,57,22,2,25,26,1,2760896.00,7.00,311.00,16072.0,13223,0.999995,0.999988,0.999989,0.999995
tpe,58,18,2,27,26,1,2760891.00,7.00,316.00,14652.0,11781,0.999995,0.999989,0.999989,0.999995
tpe,59,18,2,4,26,1,2760904.00,68.00,303.00,14824.0,12281,0.999974,0.999967,0.999989,0.999995
tpe,60,1,7,25,17,1,2760933.00,53.00,274.00,17897.0,13588,0.999979,0.999971,0.999989,0.999995
tpe,61,6,7,25,17,1,2760934.00,45.00,273.00,16362.0,12078,0.999982,0.999975,0.999989,0.999995
tpe,62,1,10,25,17,1,2760963.00,72.00,244.00,18316.0,13736,0.999973,0.999965,0.999989,0.999995
tpe,63,3,7,25,17,1,2760934.00,50.00,273.00,17065.0,12719,0.999980,0.999973,0.999989,0.999995
tpe,64,24,10,25,18,1,2760907.00,19.00,300.00,15295.0,11806,0.999991,0.999984,0.999989,0.999995
tpe,65,21,4,27,24,1,2760897.00,8.00,310.00,14072.0,11156,0.999995,0.999989,0.999989,0.999995
tpe,66,21,4,28,24,1,2760897.00,8.00,310.00,14075.0,11160,0.999995,0.999989,0.999989,0.999995
tpe,67,21,4,27,24,1,2760897.00,8.00,310.00,14072.0,11156,0.999995,0.999989,0.999989,0.999995
tpe,68,21,4,28,24,1,2760897.00,8.00,310.00,14075.0,11160,0.999995,0.999989,0.999989,0.999995
tpe,69,21,4,28,24,1,2760897.00,8.00,310.00,14075.0,11160,0.999995,0.999989,0.999989,0.999995
tpe,70,19,6,23,28,1,2760901.00,15.00,306.00,12755.0,9792,0.999992,0.999987,0.999989,0.999995
tpe,71,19,6,23,28,1,2760901.00,15.00,306.00,12755.0,9792,0.999992,0.999987,0.999989,0.999995
tpe,72,16,6,20,28,1,2760942.00,25.00,265.00,12535.0,9648,0.999989,0.999984,0.999989,0.999995
tpe,73,16,6,20,28,1,2760942.00,25.00,265.00,12535.0,9648,0.999989,0.999984,0.999989,0.999995
tpe,74,16,6,20,28,1,2760942.00,25.00,265.00,12535.0,9648,0.999989,0.999984,0.999989,0.999995
tpe,75,17,1,9,30,1,2760726.00,45.00,481.00,16171.0,13966,0.999981,0.999973,0.999989,0.999995
tpe,76,17,1,29,30,1,2760868.00,17.00,339.00,17687.0,14893,0.999992,0.999984,0.999989,0.999995
tpe,77,17,1,29,30,1,2760868.00,17.00,339.00,17687.0,14893,0.999992,0.999984,0.999989,0.999995
tpe,78,17,1,29,30,1,2760868.00,17.00,339.00,17687.0,14893,0.999992,0.999984,0.999989,0.999995
tpe,79,17,1,26,30,1,2760873.00,17.00,334.00,17506.0,14818,0.999992,0.999984,0.999989,0.999995
tpe,80,22,3,26,20,1,2760897.00,8.00,310.00,15110.0,12195,0.999995,0.999988,0.999989,0.999995
tpe,81,22,3,26,20,1,2760897.00,8.00,310.00,15110.0,12195,0.999995,0.999988,0.999989,0.999995
tpe,82,22,3,26,20,1,2760897.00,8.00,310.00,15110.0,12195,0.999995,0.999988,0.999989,0.999995
tpe,83,22,3,26,20,1,2760897.00,8.00,310.00,15110.0,12195,0.999995,0.999988,0.999989,0.999995
tpe,84,23,3,26,20,1,2760897.00,8.00,310.00,15209.0,12289,0.999995,0.999988,0.999989,0.999995
tpe,85,19,30,30,27,1,2760975.00,59.00,232.00,14661.0,10712,0.999977,0.999971,0.999989,0.999995
tpe,86,19,2,30,27,1,2760891.00,7.00,316.00,14894.0,11942,0.999995,0.999989,0.999989,0.999995
tpe,87,19,2,30,27,1,2760891.00,7.00,316.00,14894.0,11942,0.999995,0.999989,0.999989,0.999995
tpe,88,19,2,28,27,1,2760891.00,7.00,316.00,14829.0,11919,0.999995,0.999989,0.999989,0.999995
tpe,89,19,2,30,27,1,2760891.00,7.00,316.00,14894.0,11942,0.999995,0.999989,0.999989,0.999995
tpe,90,20,9,27,23,1,2760907.00,19.00,300.00,13606.0,10416,0.999991,0.999985,0.999989,0.999995
tpe,91,20,9,22,23,1,2760910.00,22.00,297.00,13610.0,10417,0.999990,0.999984,0.999989,0.999995
tpe,92,20,5,27,23,1,2760904.00,16.00,303.00,13533.0,10591,0.999992,0.999986,0.999989,0.999995
tpe,93,20,5,27,23,1,2760904.00,16.00,303.00,13533.0,10591,0.999992,0.999986,0.999989,0.999995
tpe,94,20,9,27,23,1,2760907.00,19.00,300.00,13606.0,10416,0.999991,0.999985,0.999989,0.999995
tpe,95,18,4,28,25,1,2760897.00,8.00,310.00,12808.0,10019,0.999995,0.999989,0.999989,0.999995
tpe,96,18,4,28,25,1,2760897.00,8.00,310.00,12808.0,10019,0.999995,0.999989,0.999989,0.999995
tpe,97,18,4,28,21,1,2760897.00,8.00,310.00,12808.0,10019,0.999995,0.999989,0.999989,0.999995
tpe,98,18,4,28,25,1,2760897.00,8.00,310.00,12808.0,10019,0.999995,0.999989,0.999989,0.999995
tpe,99,18,4,28,29,1,2760897.00,8.00,310.00,12808.0,10019,0.999995,0.999989,0.999989,0.999995
tpe,100,18,5,23,25,1,2760901.00,15.00,306.00,12487.0,9700,0.999992,0.999987,0.999989,0.999995
tpe,101,18,5,23,25,1,2760901.00,15.00,306.00,12487.0,9700,0.999992,0.999987,0.999989,0.999995
tpe,102,14,5,23,25,1,2760907.00,17.00,300.00,12411.0,9613,0.999992,0.999986,0.999989,0.999995
tpe,103,18,5,23,25,1,2760901.00,15.00,306.00,12487.0,9700,0.999992,0.999987,0.999989,0.999995
tpe,104,18,5,23,25,1,2760901.00,15.00,306.00,12487.0,9700,0.999992,0.999987,0.999989,0.999995
tpe,105,16,4,28,21,1,2760903.00,10.00,304.00,12800.0,10013,0.999994,0.999989,0.999989,0.999995
tpe,106,16,4,28,21,1,2760903.00,10.00,304.00,12800.0,10013,0.999994,0.999989,0.999989,0.999995
tpe,107,16,4,28,22,1,2760903.00,10.00,304.00,12800.0,10013,0.999994,0.999989,0.999989,0.999995
tpe,108,17,4,29,21,1,2760903.00,10.00,304.00,12806.0,10019,0.999994,0.999989,0.999989,0.999995
tpe,109,16,4,28,21,1,2760903.00,10.00,304.00,12800.0,10013,0.999994,0.999989,0.999989,0.999995
tpe,110,14,23,24,22,1,2760963.00,52.00,244.00,13883.0,10133,0.999980,0.999974,0.999989,0.999995
tpe,111,18,3,24,22,1,2760896.00,8.00,311.00,13275.0,10473,0.999995,0.999989,0.999989,0.999995
tpe,112,14,3,24,22,1,2760902.00,10.00,305.00,13312.0,10485,0.999994,0.999988,0.999989,0.999995
tpe,113,14,23,25,15,1,2760947.00,52.00,260.00,13875.0,10132,0.999980,0.999974,0.999989,0.999995
tpe,114,14,23,24,22,1,2760963.00,52.00,244.00,13883.0,10133,0.999980,0.999974,0.999989,0.999995
tpe,115,18,6,29,19,1,2760920.00,16.00,287.00,12537.0,9645,0.999992,0.999987,0.999989,0.999995
tpe,116,18,6,29,19,1,2760920.00,16.00,287.00,12537.0,9645,0.999992,0.999987,0.999989,0.999995
tpe,117,18,6,29,19,1,2760920.00,16.00,287.00,12537.0,9645,0.999992,0.999987,0.999989,0.999995
tpe,118,18,6,25,19,1,2760920.00,16.00,287.00,12544.0,9646,0.999992,0.999987,0.999989,0.999995
tpe,119,18,6,25,19,1,2760920.00,16.00,287.00,12544.0,9646,0.999992,0.999987,0.999989,0.999995
tpe,120,19,3,22,24,1,2760880.00,10.00,327.00,13441.0,10597,0.999994,0.999988,0.999989,0.999995
tpe,121,19,3,22,24,1,2760880.00,10.00,327.00,13441.0,10597,0.999994,0.999988,0.999989,0.999995
tpe,122,19,3,22,24,1,2760880.00,10.00,327.00,13441.0,10597,0.999994,0.999988,0.999989,0.999995
tpe,123,19,3,27,23,1,2760896.00,8.00,311.00,13442.0,10590,0.999995,0.999989,0.999989,0.999995
tpe,124,19,3,27,24,1,2760896.00,8.00,311.00,13442.0,10590,0.999995,0.999989,0.999989,0.999995
tpe,125,17,2,26,29,1,2760897.00,9.00,310.00,14611.0,11772,0.999995,0.999988,0.999989,0.999995
tpe,126,17,2,26,23,1,2760897.00,9.00,310.00,14611.0,11772,0.999995,0.999988,0.999989,0.999995
tpe,127,17,2,26,23,1,2760897.00,9.00,310.00,14611.0,11772,0.999995,0.999988,0.999989,0.999995
tpe,128,17,2,26,29,1,2760897.00,9.00,310.00,14611.0,11772,0.999995,0.999988,0.999989,0.999995
tpe,129,17,2,26,23,1,2760897.00,9.00,310.00,14611.0,11772,0.999995,0.999988,0.999989,0.999995
tpe,130,21,3,27,26,1,2760894.00,8.00,313.00,14414.0,11537,0.999995,0.999989,0.999989,0.999995
tpe,131,21,3,27,26,1,2760894.00,8.00,313.00,14414.0,11537,0.999995,0.999989,0.999989,0.999995
tpe,132,21,3,27,26,1,2760894.00,8.00,313.00,14414.0,11537,0.999995,0.999989,0.999989,0.999995
tpe,133,21,3,27,26,1,2760894.00,8.00,313.00,14414.0,11537,0.999995,0.999989,0.999989,0.999995
tpe,134,21,3,27,26,1,2760894.00,8.00,313.00,14414.0,11537,0.999995,0.999989,0.999989,0.999995
tpe,135,20,4,28,22,1,2760897.00,8.00,310.00,13714.0,10820,0.999995,0.999989,0.999989,0.999995
tpe,136,20,4,28,22,1,2760897.00,8.00,310.00,13714.0,10820,0.999995,0.999989,0.999989,0.999995
tpe,137,20,4,11,22,1,2760942.00,19.00,265.00,13682.0,10838,0.999991,0.999985,0.999989,0.999995
tpe,138,20,4,28,22,1,2760897.00,8.00,310.00,13714.0,10820,0.999995,0.999989,0.999989,0.999995
tpe,139,20,4,28,22,1,2760897.00,8.00,310.00,13714.0,10820,0.999995,0.999989,0.999989,0.999995
tpe,140,19,1,29,25,1,2760862.00,15.00,345.00,17745.0,14916,0.999992,0.999984,0.999989,0.999995
tpe,141,19,5,29,25,1,2760920.00,16.00,287.00,12698.0,9851,0.999992,0.999987,0.999989,0.999995
tpe,142,19,1,29,25,1,2760862.00,15.00,345.00,17745.0,14916,0.999992,0.999984,0.999989,0.999995
tpe,143,19,1,29,25,1,2760862.00,15.00,345.00,17745.0,14916,0.999992,0.999984,0.999989,0.999995
tpe,144,19,1,29,25,1,2760862.00,15.00,345.00,17745.0,14916,0.999992,0.999984,0.999989,0.999995
tpe,145,18,5,30,21,1,2760920.00,16.00,287.00,12492.0,9708,0.999992,0.999987,0.999989,0.999995
tpe,146,18,5,30,21,1,2760920.00,16.00,287.00,12492.0,9708,0.999992,0.999987,0.999989,0.999995
tpe,147,18,5,30,21,1,2760920.00,16.00,287.00,12492.0,9708,0.999992,0.999987,0.999989,0.999995
tpe,148,18,5,30,21,1,2760920.00,16.00,287.00,12492.0,9708,0.999992,0.999987,0.999989,0.999995
tpe,149,18,5,30,21,1,2760920.00,16.00,287.00,12492.0,9708,0.999992,0.999987,0.999989,0.999995
