method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
gp,0,7,20,29,15,1,1804277.00,1050.00,4353.00,53100.0,45097,0.999382,0.999338,0.999338,0.999382
gp,1,11,8,29,21,1,1804349.00,1121.00,4281.00,53772.0,45627,0.999344,0.999300,0.999338,0.999382
gp,2,7,26,19,23,1,1805000.00,1219.00,3630.00,53444.0,45293,0.999298,0.999254,0.999338,0.999382
gp,3,11,11,24,21,1,1804578.00,1154.00,4052.00,53505.0,45503,0.999329,0.999285,0.999338,0.999382
gp,4,4,8,24,3,1,1799828.00,379.00,8802.00,50196.0,43812,0.999696,0.999654,0.999654,0.999696
gp,5,3,28,1,1,1,1716837.00,67.00,91793.00,43425.0,41187,0.998894,0.998858,0.999654,0.999696
gp,6,26,3,29,8,1,1803130.00,519.00,5500.00,60221.0,48811,0.999657,0.999607,0.999654,0.999696
gp,7,30,13,2,4,1,1783422.00,448.00,25208.00,48984.0,46694,0.999471,0.999431,0.999654,0.999696
gp,8,18,30,25,3,1,1797947.00,357.00,10683.00,54598.0,45261,0.999687,0.999642,0.999654,0.999696
gp,9,1,1,15,1,1,1681818.00,73.00,126812.00,47411.0,41089,0.998452,0.998413,0.999654,0.999696
gp,10,5,27,2,7,1,1803310.00,711.00,5320.00,53043.0,47340,0.999555,0.999511,0.999654,0.999696
gp,11,29,1,30,24,1,1802773.00,392.00,5857.00,65280.0,53986,0.999722,0.999668,0.999668,0.999722
gp,12,12,29,26,30,1,1804605.00,1269.00,4025.00,55295.0,46368,0.999267,0.999221,0.999668,0.999722
gp,13,2,6,27,1,1,1783345.00,68.00,25285.00,49958.0,44266,0.999679,0.999638,0.999668,0.999722
gp,14,22,14,3,28,1,1807047.00,1328.00,1583.00,54700.0,48891,0.999263,0.999218,0.999668,0.999722
gp,15,21,8,10,8,1,1804694.00,646.00,3936.00,53833.0,46184,0.999606,0.999561,0.999668,0.999722
gp,16,8,28,27,30,1,1804694.00,1299.00,3936.00,54428.0,45908,0.999252,0.999207,0.999668,0.999722
gp,17,27,27,1,25,1,1804470.00,1360.00,4160.00,59370.0,55389,0.999216,0.999167,0.999668,0.999722
gp,18,6,1,3,27,1,1804011.00,1319.00,4619.00,55421.0,54101,0.999233,0.999187,0.999668,0.999722
gp,19,24,30,30,4,1,1799746.00,364.00,8884.00,57346.0,46522,0.999703,0.999656,0.999668,0.999722
gp,20,29,4,22,6,1,1803460.00,493.00,5170.00,59491.0,48304,0.999675,0.999626,0.999668,0.999722
gp,21,3,27,1,18,1,1806866.00,1214.00,1764.00,57953.0,51613,0.999322,0.999275,0.999668,0.999722
gp,22,18,19,30,26,1,1804007.00,1092.00,4623.00,56684.0,46732,0.999356,0.999309,0.999668,0.999722
gp,23,11,30,24,6,1,1801608.00,614.00,7022.00,52537.0,44486,0.999588,0.999545,0.999668,0.999722
gp,24,12,2,9,17,1,1805553.00,776.00,3077.00,55175.0,49844,0.999545,0.999499,0.999668,0.999722
gp,25,28,6,27,8,1,1803169.00,527.00,5461.00,59542.0,47740,0.999653,0.999604,0.999668,0.999722
gp,26,2,29,3,11,1,1805584.00,914.00,3046.00,54605.0,46815,0.999470,0.999425,0.999668,0.999722
gp,27,3,3,18,23,1,1804521.00,992.00,4109.00,53896.0,47209,0.999416,0.999372,0.999668,0.999722
gp,28,14,6,2,1,1,1702571.00,68.00,106059.00,40980.0,40793,0.998717,0.998683,0.999668,0.999722
gp,29,14,30,30,15,1,1803800.00,1001.00,4830.00,55347.0,46263,0.999403,0.999357,0.999668,0.999722
gp,30,23,13,30,2,1,1795494.00,157.00,13136.00,56520.0,46123,0.999768,0.999721,0.999721,0.999768
gp,31,2,4,4,21,1,1805148.00,1164.00,3482.00,51069.0,49651,0.999330,0.999288,0.999721,0.999768
gp,32,30,30,5,14,1,1805596.00,960.00,3034.00,55193.0,48102,0.999446,0.999400,0.999721,0.999768
gp,33,1,27,16,6,1,1802691.00,665.00,5939.00,53309.0,45066,0.999573,0.999529,0.999721,0.999768
gp,34,27,1,15,14,1,1803920.00,471.00,4710.00,60991.0,52481,0.999692,0.999642,0.999721,0.999768
gp,35,19,3,20,11,1,1804094.00,668.00,4536.00,57615.0,48004,0.999587,0.999539,0.999721,0.999768
gp,36,3,22,10,30,1,1806364.00,1337.00,2266.00,54193.0,45753,0.999250,0.999205,0.999721,0.999768
gp,37,27,30,30,2,1,1794072.00,149.00,14558.00,57482.0,46589,0.999756,0.999709,0.999721,0.999768
gp,38,1,13,29,4,1,1800139.00,429.00,8491.00,51957.0,44681,0.999672,0.999629,0.999721,0.999768
gp,39,29,1,9,30,1,1805324.00,683.00,3306.00,58973.0,52561,0.999593,0.999544,0.999721,0.999768
gp,40,2,30,30,10,1,1803838.00,857.00,4792.00,54311.0,45180,0.999482,0.999437,0.999721,0.999768
gp,41,27,2,2,30,1,0.00,1.00,1.00,0.0,32218,0.000000,0.000000,0.999721,0.999768
gp,42,30,8,29,3,1,1800514.00,321.00,8116.00,59341.0,47473,0.999735,0.999686,0.999721,0.999768
gp,43,3,1,8,7,1,1793852.00,621.00,14778.00,48831.0,46579,0.999496,0.999456,0.999721,0.999768
gp,44,28,30,5,8,1,1803707.00,704.00,4923.00,53595.0,47098,0.999563,0.999519,0.999721,0.999768
gp,45,6,12,1,5,1,1791575.00,516.00,17055.00,48863.0,47545,0.999528,0.999487,0.999721,0.999768
gp,46,29,30,20,29,1,1804404.00,1015.00,4226.00,59270.0,47898,0.999402,0.999353,0.999721,0.999768
gp,47,23,17,23,1,1,1784016.00,69.00,24614.00,54778.0,45323,0.999686,0.999641,0.999721,0.999768
gp,48,3,13,18,30,1,1805309.00,1264.00,3321.00,52585.0,44789,0.999278,0.999234,0.999721,0.999768
gp,49,29,20,1,16,1,1800295.00,1103.00,8335.00,56927.0,53664,0.999307,0.999260,0.999721,0.999768
gp,50,25,27,27,2,1,1794167.00,144.00,14463.00,56757.0,46266,0.999760,0.999713,0.999721,0.999768
gp,51,1,4,4,30,1,1805003.00,1310.00,3627.00,52688.0,50148,0.999249,0.999206,0.999721,0.999768
gp,52,27,5,1,6,1,1778233.00,672.00,30397.00,49080.0,49463,0.999288,0.999248,0.999721,0.999768
gp,53,27,3,29,29,1,1803555.00,863.00,5075.00,60781.0,49052,0.999475,0.999425,0.999721,0.999768
gp,54,6,29,6,11,1,1804985.00,862.00,3645.00,52263.0,44863,0.999492,0.999449,0.999721,0.999768
gp,55,30,10,13,30,1,1805134.00,1042.00,3496.00,57013.0,47264,0.999396,0.999349,0.999721,0.999768
gp,56,1,21,23,1,1,1770491.00,69.00,38139.00,48145.0,42652,0.999531,0.999491,0.999721,0.999768
gp,57,4,1,30,30,1,1803271.00,805.00,5359.00,62080.0,53938,0.999503,0.999452,0.999721,0.999768
gp,58,25,30,10,6,1,1803167.00,602.00,5463.00,54213.0,45880,0.999612,0.999568,0.999721,0.999768
gp,59,5,19,2,25,1,1807689.00,1323.00,941.00,55913.0,49789,0.999273,0.999227,0.999721,0.999768
