method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
random,0,12,29,22,18,1,1804522.00,1104.00,4108.00,54540.0,45901,0.999355,0.999310,0.999310,0.999355
random,1,5,5,2,26,1,0.00,1.00,1.00,0.0,34389,0.000000,0.000000,0.999310,0.999355
random,2,19,22,1,30,1,1806435.00,1407.00,2195.00,59146.0,54690,0.999213,0.999164,0.999310,0.999355
random,3,25,7,6,6,1,1803867.00,636.00,4763.00,52113.0,46036,0.999602,0.999559,0.999559,0.999602
random,4,10,16,13,9,1,1804318.00,774.00,4312.00,51894.0,44709,0.999532,0.999489,0.999559,0.999602
random,5,19,5,9,11,1,1805074.00,768.00,3556.00,53762.0,46840,0.999544,0.999499,0.999559,0.999602
random,6,14,24,6,16,1,1805958.00,1066.00,2672.00,53447.0,46021,0.999392,0.999348,0.999559,0.999602
random,7,18,2,19,6,1,1803777.00,493.00,4853.00,59186.0,50168,0.999678,0.999630,0.999630,0.999678
random,8,2,29,29,25,1,1805706.00,1317.00,2924.00,56186.0,46427,0.999253,0.999207,0.999630,0.999678
random,9,10,3,21,14,1,1804231.00,831.00,4399.00,55289.0,47251,0.999500,0.999454,0.999630,0.999678
random,10,4,15,2,28,1,1807764.00,1354.00,866.00,55496.0,49727,0.999257,0.999211,0.999630,0.999678
random,11,8,20,10,16,1,1805680.00,1060.00,2950.00,52863.0,45415,0.999392,0.999349,0.999630,0.999678
random,12,17,6,30,24,1,1803863.00,1010.00,4767.00,56767.0,46663,0.999399,0.999352,0.999630,0.999678
random,13,29,27,18,28,1,1804437.00,1018.00,4193.00,58818.0,47697,0.999401,0.999352,0.999630,0.999678
random,14,3,6,2,10,1,0.00,1.00,1.00,0.0,32792,0.000000,0.000000,0.999630,0.999678
random,15,12,9,25,11,1,1804070.00,794.00,4560.00,53819.0,45464,0.999518,0.999474,0.999630,0.999678
random,16,9,17,5,25,1,1806900.00,1273.00,1730.00,53595.0,46806,0.999291,0.999247,0.999630,0.999678
random,17,3,30,24,6,1,1801850.00,658.00,6780.00,52510.0,44092,0.999567,0.999524,0.999630,0.999678
random,18,1,25,22,22,1,1805881.00,1187.00,2749.00,56012.0,46652,0.999326,0.999280,0.999630,0.999678
random,19,24,3,11,4,1,1802805.00,384.00,5825.00,55058.0,47515,0.999727,0.999681,0.999681,0.999727
random,20,26,19,10,2,1,1792225.00,169.00,16405.00,52253.0,44890,0.999725,0.999681,0.999681,0.999725
random,21,10,10,22,20,1,1804679.00,1104.00,3951.00,53018.0,45311,0.999357,0.999313,0.999681,0.999725
random,22,27,15,4,22,1,1806649.00,1164.00,1981.00,55047.0,48659,0.999347,0.999302,0.999681,0.999725
random,23,23,17,24,15,1,1804009.00,891.00,4621.00,57909.0,47091,0.999465,0.999417,0.999681,0.999725
random,24,16,13,1,4,1,1767329.00,446.00,41301.00,45949.0,44695,0.999286,0.999248,0.999681,0.999725
random,25,1,20,10,16,1,1806162.00,1091.00,2468.00,54246.0,46132,0.999381,0.999336,0.999681,0.999725
random,26,28,8,13,23,1,1805161.00,1027.00,3469.00,56580.0,47044,0.999404,0.999358,0.999681,0.999725
random,27,7,3,9,5,1,1804158.00,492.00,4472.00,51684.0,46777,0.999683,0.999641,0.999681,0.999725
random,28,28,25,20,27,1,1804434.00,1024.00,4196.00,58848.0,47649,0.999398,0.999349,0.999681,0.999725
random,29,25,6,27,17,1,1803680.00,842.00,4950.00,58958.0,47543,0.999488,0.999439,0.999681,0.999725
random,30,25,27,10,4,1,1800116.00,403.00,8514.00,53469.0,45466,0.999686,0.999642,0.999681,0.999725
random,31,7,13,25,26,1,1804790.00,1217.00,3840.00,52687.0,44880,0.999297,0.999254,0.999681,0.999725
random,32,1,16,13,7,1,1803699.00,676.00,4931.00,51854.0,44894,0.999578,0.999535,0.999681,0.999725
random,33,4,11,29,10,1,1804001.00,805.00,4629.00,51675.0,44364,0.999512,0.999469,0.999681,0.999725
random,34,16,22,11,30,1,1805708.00,1181.00,2922.00,55026.0,46561,0.999327,0.999282,0.999681,0.999725
random,35,29,8,15,10,1,1804052.00,681.00,4578.00,56996.0,46964,0.999579,0.999532,0.999681,0.999725
random,36,9,2,19,16,1,1804093.00,681.00,4537.00,57130.0,49779,0.999580,0.999533,0.999681,0.999725
random,37,2,9,28,8,1,1803808.00,684.00,4822.00,52262.0,44875,0.999575,0.999532,0.999681,0.999725
random,38,5,15,30,8,1,1802955.00,700.00,5675.00,51681.0,44336,0.999557,0.999514,0.999681,0.999725
random,39,21,23,8,22,1,1805914.00,1053.00,2716.00,54947.0,46801,0.999399,0.999353,0.999681,0.999725
random,40,12,19,20,17,1,1804620.00,1064.00,4010.00,53960.0,45644,0.999378,0.999334,0.999681,0.999725
random,41,3,26,10,6,1,1802923.00,664.00,5707.00,51710.0,44199,0.999576,0.999533,0.999681,0.999725
random,42,2,18,21,1,1,1772119.00,67.00,36511.00,47563.0,42076,0.999551,0.999512,0.999681,0.999725
random,43,16,7,20,6,1,1803589.00,567.00,5041.00,54882.0,45936,0.999636,0.999591,0.999681,0.999725
random,44,21,12,29,5,1,1801432.00,428.00,7198.00,56486.0,46120,0.999687,0.999641,0.999681,0.999725
random,45,11,4,28,27,1,1804110.00,1087.00,4520.00,55736.0,47140,0.999360,0.999314,0.999681,0.999725
random,46,8,20,25,17,1,1804483.00,1087.00,4147.00,53324.0,45315,0.999364,0.999320,0.999681,0.999725
random,47,16,8,3,27,1,1807168.00,1302.00,1462.00,52968.0,48285,0.999278,0.999235,0.999681,0.999725
random,48,28,19,11,11,1,1804473.00,761.00,4157.00,55542.0,46617,0.999541,0.999495,0.999681,0.999725
random,49,22,27,27,24,1,1804009.00,1103.00,4621.00,58162.0,47359,0.999350,0.999302,0.999681,0.999725
random,50,20,3,5,27,1,1806753.00,1145.00,1877.00,53519.0,49248,0.999359,0.999314,0.999681,0.999725
random,51,19,1,4,20,1,1805914.00,1070.00,2716.00,54995.0,54257,0.999390,0.999344,0.999681,0.999725
random,52,1,5,17,21,1,1804626.00,1107.00,4004.00,54019.0,47530,0.999355,0.999310,0.999681,0.999725
random,53,20,7,22,8,1,1803649.00,599.00,4981.00,56478.0,46437,0.999619,0.999573,0.999681,0.999725
random,54,10,23,20,26,1,1804938.00,1245.00,3692.00,53897.0,45671,0.999284,0.999239,0.999681,0.999725
random,55,20,18,3,12,1,1805182.00,973.00,3448.00,53091.0,47480,0.999434,0.999390,0.999681,0.999725
random,56,8,8,30,12,1,1804164.00,902.00,4466.00,52618.0,45093,0.999461,0.999417,0.999681,0.999725
random,57,27,19,24,16,1,1803871.00,833.00,4759.00,58752.0,47353,0.999495,0.999446,0.999681,0.999725
random,58,18,15,6,22,1,1806249.00,1144.00,2381.00,53694.0,46502,0.999353,0.999309,0.999681,0.999725
random,59,9,1,20,6,1,1802337.00,417.00,6293.00,59207.0,52568,0.999704,0.999655,0.999681,0.999725
random,60,29,29,28,12,1,1803212.00,733.00,5418.00,59731.0,47860,0.999542,0.999492,0.999681,0.999725
random,61,1,28,13,29,1,1806573.00,1373.00,2057.00,56752.0,47183,0.999233,0.999186,0.999681,0.999725
random,62,29,26,9,12,1,1804811.00,879.00,3819.00,55625.0,46791,0.999481,0.999435,0.999681,0.999725
random,63,26,10,6,17,1,1805942.00,1079.00,2688.00,53912.0,46875,0.999385,0.999341,0.999681,0.999725
random,64,29,21,18,3,1,1799316.00,333.00,9314.00,56548.0,46178,0.999715,0.999668,0.999681,0.999725
random,65,19,30,5,16,1,1806145.00,1055.00,2485.00,54673.0,47617,0.999400,0.999355,0.999681,0.999725
random,66,27,23,21,22,1,1804222.00,918.00,4408.00,58618.0,47452,0.999453,0.999404,0.999681,0.999725
random,67,11,9,25,25,1,1804585.00,1180.00,4045.00,53542.0,45547,0.999315,0.999271,0.999681,0.999725
random,68,27,28,16,16,1,1804351.00,844.00,4279.00,57268.0,47033,0.999494,0.999447,0.999681,0.999725
random,69,24,20,22,24,1,1804275.00,1022.00,4355.00,58146.0,47243,0.999397,0.999349,0.999681,0.999725
random,70,27,11,12,3,1,1799968.00,366.00,8662.00,54261.0,45596,0.999705,0.999660,0.999681,0.999725
random,71,18,2,14,17,1,1804716.00,706.00,3914.00,58009.0,50087,0.999573,0.999525,0.999681,0.999725
random,72,9,18,1,2,1,1732173.00,159.00,76457.00,42508.0,41241,0.999028,0.998993,0.999681,0.999725
random,73,25,11,4,16,1,1806074.00,1049.00,2556.00,54051.0,48261,0.999403,0.999358,0.999681,0.999725
random,74,24,7,19,3,1,1800812.00,332.00,7818.00,56443.0,46358,0.999733,0.999686,0.999686,0.999733
random,75,2,16,17,20,1,1805610.00,1175.00,3020.00,53447.0,45440,0.999329,0.999285,0.999686,0.999733
random,76,22,30,16,10,1,1803581.00,738.00,5049.00,55827.0,46312,0.999543,0.999497,0.999686,0.999733
random,77,24,9,14,3,1,1800223.00,342.00,8407.00,54524.0,45714,0.999721,0.999675,0.999686,0.999733
random,78,1,29,26,21,1,1805909.00,1218.00,2721.00,56644.0,46874,0.999309,0.999263,0.999686,0.999733
random,79,13,6,5,8,1,1805373.00,684.00,3257.00,50987.0,46717,0.999593,0.999551,0.999686,0.999733
random,80,17,22,20,9,1,1803254.00,709.00,5376.00,54872.0,45781,0.999555,0.999510,0.999686,0.999733
random,81,29,23,17,19,1,1804406.00,918.00,4224.00,58157.0,47471,0.999455,0.999407,0.999686,0.999733
random,82,13,8,11,23,1,1805753.00,1134.00,2877.00,53050.0,45856,0.999353,0.999309,0.999686,0.999733
random,83,1,4,2,2,1,1588737.00,155.00,219893.00,34454.0,35762,0.997144,0.997116,0.999686,0.999733
random,84,26,22,15,3,1,1799056.00,336.00,9574.00,54993.0,45573,0.999711,0.999665,0.999686,0.999733
random,85,15,15,6,14,1,1805833.00,963.00,2797.00,52929.0,45975,0.999447,0.999403,0.999686,0.999733
random,86,12,19,20,2,1,1791746.00,158.00,16884.00,50983.0,43749,0.999725,0.999683,0.999686,0.999733
random,87,12,19,16,26,1,1805116.00,1230.00,3514.00,54152.0,45832,0.999294,0.999249,0.999686,0.999733
random,88,20,5,3,20,1,1806712.00,1167.00,1918.00,52596.0,48997,0.999346,0.999303,0.999686,0.999733
random,89,1,18,29,18,1,1805402.00,1138.00,3228.00,55076.0,46253,0.999347,0.999301,0.999686,0.999733
random,90,12,20,14,17,1,1805077.00,1070.00,3553.00,53739.0,45638,0.999380,0.999336,0.999686,0.999733
random,91,29,12,29,28,1,1803743.00,972.00,4887.00,60164.0,48033,0.999418,0.999368,0.999686,0.999733
random,92,6,3,4,1,1,1757635.00,79.00,50995.00,44478.0,44924,0.999376,0.999339,0.999686,0.999733
random,93,3,21,3,10,1,1805404.00,857.00,3226.00,52824.0,46243,0.999499,0.999456,0.999686,0.999733
random,94,26,1,25,9,1,1802993.00,394.00,5637.00,63883.0,53539,0.999723,0.999671,0.999686,0.999733
random,95,4,21,19,27,1,1805435.00,1317.00,3195.00,53761.0,45482,0.999250,0.999206,0.999686,0.999733
random,96,23,25,9,6,1,1802957.00,616.00,5673.00,53513.0,45564,0.999602,0.999558,0.999686,0.999733
random,97,23,25,30,13,1,1803411.00,829.00,5219.00,58157.0,47200,0.999492,0.999444,0.999686,0.999733
random,98,12,24,11,28,1,1805874.00,1294.00,2756.00,54412.0,46137,0.999268,0.999223,0.999686,0.999733
random,99,26,13,23,23,1,1804182.00,977.00,4448.00,58476.0,47288,0.999420,0.999372,0.999686,0.999733
random,100,4,28,16,25,1,1805734.00,1301.00,2896.00,54692.0,45923,0.999262,0.999217,0.999686,0.999733
random,101,10,27,12,1,1,1771841.00,74.00,36789.00,47912.0,42297,0.999544,0.999504,0.999686,0.999733
random,102,28,3,10,29,1,1805618.00,993.00,3012.00,56370.0,48275,0.999428,0.999381,0.999686,0.999733
random,103,29,18,19,14,1,1803950.00,749.00,4680.00,58236.0,47219,0.999541,0.999493,0.999686,0.999733
random,104,9,10,21,23,1,1804757.00,1146.00,3873.00,53024.0,45306,0.999335,0.999291,0.999686,0.999733
random,105,24,24,3,15,1,1805758.00,1035.00,2872.00,54432.0,48472,0.999407,0.999362,0.999686,0.999733
random,106,2,17,14,27,1,1806018.00,1313.00,2612.00,53708.0,45675,0.999259,0.999215,0.999686,0.999733
random,107,11,4,5,23,1,1806785.00,1119.00,1845.00,51752.0,48401,0.999373,0.999330,0.999686,0.999733
random,108,19,4,3,22,1,1806862.00,1166.00,1768.00,52600.0,49635,0.999348,0.999305,0.999686,0.999733
random,109,3,25,22,3,1,1796583.00,386.00,12047.00,50531.0,42993,0.999655,0.999614,0.999686,0.999733
random,110,3,30,12,12,1,1805024.00,976.00,3606.00,53793.0,45205,0.999430,0.999386,0.999686,0.999733
random,111,25,29,30,23,1,1803712.00,982.00,4918.00,59152.0,47684,0.999412,0.999363,0.999686,0.999733
