method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
tpe,0,12,29,22,18,1,1804522.00,1104.00,4108.00,54540.0,45901,0.999355,0.999310,0.999310,0.999355
tpe,1,5,5,2,26,1,0.00,1.00,1.00,0.0,34389,0.000000,0.000000,0.999310,0.999355
tpe,2,19,22,1,30,1,1806435.00,1407.00,2195.00,59146.0,54690,0.999213,0.999164,0.999310,0.999355
tpe,3,25,7,6,6,1,1803867.00,636.00,4763.00,52113.0,46036,0.999602,0.999559,0.999559,0.999602
tpe,4,10,16,13,9,1,1804318.00,774.00,4312.00,51894.0,44709,0.999532,0.999489,0.999559,0.999602
tpe,5,19,5,9,11,1,1805074.00,768.00,3556.00,53762.0,46840,0.999544,0.999499,0.999559,0.999602
tpe,6,14,24,6,16,1,1805958.00,1066.00,2672.00,53447.0,46021,0.999392,0.999348,0.999559,0.999602
tpe,7,18,2,19,6,1,1803777.00,493.00,4853.00,59186.0,50168,0.999678,0.999630,0.999630,0.999678
tpe,8,2,29,29,25,1,1805706.00,1317.00,2924.00,56186.0,46427,0.999253,0.999207,0.999630,0.999678
tpe,9,10,3,21,14,1,1804231.00,831.00,4399.00,55289.0,47251,0.999500,0.999454,0.999630,0.999678
tpe,10,29,11,18,1,1,1786138.00,71.00,22492.00,55546.0,45848,0.999709,0.999663,0.999663,0.999709
tpe,11,29,12,19,1,1,1785857.00,68.00,22773.00,55578.0,45783,0.999708,0.999662,0.999663,0.999709
tpe,12,29,12,18,1,1,1785372.00,71.00,23258.00,55327.0,45689,0.999701,0.999655,0.999663,0.999709
tpe,13,28,12,19,1,1,1785786.00,68.00,22844.00,55322.0,45612,0.999707,0.999661,0.999663,0.999709
tpe,14,30,11,18,1,1,1786272.00,71.00,22358.00,55628.0,45893,0.999711,0.999665,0.999665,0.999711
tpe,15,24,17,26,7,1,1802507.00,548.00,6123.00,57556.0,46723,0.999634,0.999587,0.999665,0.999711
tpe,16,24,17,14,5,1,1801708.00,417.00,6922.00,54704.0,45810,0.999696,0.999651,0.999665,0.999711
tpe,17,24,16,26,5,1,1801329.00,402.00,7301.00,57242.0,46528,0.999700,0.999653,0.999665,0.999711
