method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
gp,0,7,20,29,15,1,2057.00,3.00,5.00,623.0,297,0.998524,0.998275,0.998275,0.998524
gp,1,11,8,29,21,1,2058.00,2.00,4.00,614.0,293,0.999010,0.998764,0.998764,0.999010
gp,2,7,26,19,23,1,2057.00,3.00,5.00,623.0,297,0.998524,0.998275,0.998764,0.999010
gp,3,11,11,24,21,1,2058.00,2.00,4.00,610.0,292,0.999010,0.998765,0.998765,0.999010
gp,4,4,8,24,3,1,2058.00,2.00,4.00,607.0,297,0.999010,0.998766,0.998766,0.999010
gp,5,22,21,2,24,1,2062.00,5.00,0.00,673.0,340,0.997629,0.997359,0.998766,0.999010
gp,6,2,4,30,1,1,2051.00,0.00,11.00,616.0,320,0.999893,0.999646,0.999646,0.999893
gp,7,30,29,25,2,1,2054.00,0.00,8.00,694.0,367,0.999922,0.999644,0.999646,0.999893
gp,8,28,1,27,27,1,2054.00,0.00,8.00,724.0,391,0.999922,0.999632,0.999646,0.999893
gp,9,2,28,22,30,1,2060.00,4.00,2.00,639.0,308,0.998081,0.997825,0.999646,0.999893
gp,10,30,7,20,18,1,2056.00,2.00,6.00,696.0,366,0.998989,0.998710,0.999646,0.999893
gp,11,1,25,1,3,1,2059.00,5.00,3.00,656.0,322,0.997597,0.997334,0.999646,0.999893
gp,12,5,29,27,30,1,2058.00,2.00,4.00,604.0,295,0.999010,0.998768,0.999646,0.999893
gp,13,3,2,28,2,1,2054.00,0.00,8.00,623.0,340,0.999922,0.999672,0.999672,0.999922
gp,14,26,26,2,28,1,2062.00,5.00,0.00,708.0,370,0.997629,0.997345,0.999672,0.999922
gp,15,21,1,26,10,1,2054.00,0.00,8.00,689.0,370,0.999922,0.999646,0.999672,0.999922
gp,16,1,26,10,30,1,2062.00,5.00,0.00,658.0,321,0.997629,0.997365,0.999672,0.999922
gp,17,30,30,11,3,1,2056.00,2.00,6.00,693.0,365,0.998989,0.998711,0.999672,0.999922
gp,18,3,10,7,2,1,2054.00,0.00,8.00,604.0,291,0.999922,0.999680,0.999680,0.999922
gp,19,30,3,8,29,1,2057.00,3.00,5.00,697.0,366,0.998524,0.998245,0.999680,0.999922
