method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
random,0,12,29,22,18,1,2056.00,2.00,6.00,627.0,295,0.998989,0.998738,0.998738,0.998989
random,1,5,5,2,26,1,2062.00,5.00,0.00,610.0,306,0.997629,0.997385,0.998738,0.998989
random,2,19,22,1,30,1,2062.00,5.00,0.00,672.0,345,0.997629,0.997360,0.998738,0.998989
random,3,25,7,6,6,1,2057.00,3.00,5.00,691.0,360,0.998524,0.998247,0.998738,0.998989
random,4,10,16,13,9,1,2058.00,2.00,4.00,608.0,291,0.999010,0.998766,0.998766,0.999010
random,5,19,5,9,11,1,2056.00,2.00,6.00,654.0,330,0.998989,0.998727,0.998766,0.999010
random,6,14,24,6,16,1,2057.00,3.00,5.00,639.0,312,0.998524,0.998268,0.998766,0.999010
random,7,18,2,19,6,1,2054.00,0.00,8.00,672.0,343,0.999922,0.999653,0.999653,0.999922
random,8,2,29,29,25,1,2060.00,4.00,2.00,639.0,308,0.998081,0.997825,0.999653,0.999922
random,9,10,3,21,14,1,2058.00,2.00,4.00,602.0,293,0.999010,0.998768,0.999653,0.999922
random,10,4,15,2,28,1,2062.00,5.00,0.00,627.0,302,0.997629,0.997378,0.999653,0.999922
random,11,8,20,10,16,1,2057.00,3.00,5.00,623.0,295,0.998524,0.998275,0.999653,0.999922
random,12,17,6,30,24,1,2056.00,2.00,6.00,654.0,330,0.998989,0.998727,0.999653,0.999922
random,13,29,27,18,28,1,2056.00,2.00,6.00,693.0,365,0.998989,0.998711,0.999653,0.999922
random,14,3,6,2,10,1,2062.00,5.00,0.00,618.0,298,0.997629,0.997382,0.999653,0.999922
random,15,12,9,25,11,1,2056.00,2.00,6.00,627.0,295,0.998989,0.998738,0.999653,0.999922
random,16,9,17,5,25,1,2058.00,2.00,4.00,608.0,292,0.999010,0.998766,0.999653,0.999922
random,17,3,30,24,6,1,2058.00,2.00,4.00,603.0,289,0.999010,0.998768,0.999653,0.999922
random,18,1,25,22,22,1,2062.00,5.00,0.00,658.0,321,0.997629,0.997365,0.999653,0.999922
random,19,24,3,11,4,1,2056.00,2.00,6.00,691.0,360,0.998989,0.998712,0.999653,0.999922
random,20,26,19,10,2,1,2054.00,0.00,8.00,689.0,361,0.999922,0.999646,0.999653,0.999922
random,21,10,10,22,20,1,2058.00,2.00,4.00,608.0,290,0.999010,0.998766,0.999653,0.999922
random,22,27,15,4,22,1,2056.00,2.00,6.00,688.0,360,0.998989,0.998713,0.999653,0.999922
random,23,23,17,24,15,1,2056.00,2.00,6.00,674.0,345,0.998989,0.998719,0.999653,0.999922
random,24,16,13,1,4,1,2057.00,2.00,5.00,664.0,337,0.999000,0.998733,0.999653,0.999922
random,25,1,20,10,16,1,2062.00,5.00,0.00,658.0,321,0.997629,0.997365,0.999653,0.999922
random,26,28,8,13,23,1,2056.00,2.00,6.00,696.0,366,0.998989,0.998710,0.999653,0.999922
random,27,7,3,9,5,1,2057.00,3.00,5.00,607.0,300,0.998524,0.998281,0.999653,0.999922
random,28,28,25,20,27,1,2056.00,2.00,6.00,693.0,365,0.998989,0.998711,0.999653,0.999922
random,29,25,6,27,17,1,2056.00,2.00,6.00,691.0,360,0.998989,0.998712,0.999653,0.999922
random,30,25,27,10,4,1,2056.00,2.00,6.00,688.0,359,0.998989,0.998713,0.999653,0.999922
random,31,7,13,25,26,1,2057.00,3.00,5.00,623.0,297,0.998524,0.998275,0.999653,0.999922
random,32,1,16,13,7,1,2062.00,5.00,0.00,658.0,321,0.997629,0.997365,0.999653,0.999922
random,33,4,11,29,10,1,2058.00,2.00,4.00,611.0,296,0.999010,0.998765,0.999653,0.999922
random,34,16,22,11,30,1,2056.00,2.00,6.00,654.0,322,0.998989,0.998727,0.999653,0.999922
random,35,29,8,15,10,1,2056.00,2.00,6.00,696.0,366,0.998989,0.998710,0.999653,0.999922
random,36,9,2,19,16,1,2055.00,0.00,7.00,639.0,322,0.999932,0.999676,0.999676,0.999932
random,37,2,9,28,8,1,2058.00,4.00,4.00,638.0,305,0.998060,0.997804,0.999676,0.999932
random,38,5,15,30,8,1,2058.00,2.00,4.00,604.0,295,0.999010,0.998768,0.999676,0.999932
random,39,21,23,8,22,1,2057.00,3.00,5.00,652.0,329,0.998524,0.998263,0.999676,0.999932
random,40,12,19,20,17,1,2056.00,2.00,6.00,627.0,295,0.998989,0.998738,0.999676,0.999932
random,41,3,26,10,6,1,2058.00,2.00,4.00,603.0,289,0.999010,0.998768,0.999676,0.999932
random,42,2,18,21,1,1,2050.00,0.00,12.00,629.0,310,0.999883,0.999631,0.999676,0.999932
random,43,16,7,20,6,1,2056.00,2.00,6.00,657.0,323,0.998989,0.998726,0.999676,0.999932
random,44,21,12,29,5,1,2056.00,2.00,6.00,652.0,329,0.998989,0.998728,0.999676,0.999932
random,45,11,4,28,27,1,2058.00,2.00,4.00,604.0,296,0.999010,0.998768,0.999676,0.999932
random,46,8,20,25,17,1,2057.00,3.00,5.00,623.0,295,0.998524,0.998275,0.999676,0.999932
random,47,16,8,3,27,1,2056.00,2.00,6.00,658.0,324,0.998989,0.998726,0.999676,0.999932
random,48,28,19,11,11,1,2056.00,2.00,6.00,693.0,365,0.998989,0.998711,0.999676,0.999932
random,49,22,27,27,24,1,2056.00,2.00,6.00,652.0,329,0.998989,0.998728,0.999676,0.999932
random,50,20,3,5,27,1,2056.00,2.00,6.00,651.0,331,0.998989,0.998728,0.999676,0.999932
random,51,19,1,4,20,1,2054.00,0.00,8.00,667.0,363,0.999922,0.999655,0.999676,0.999932
random,52,1,5,17,21,1,2059.00,4.00,3.00,636.0,325,0.998071,0.997816,0.999676,0.999932
random,53,20,7,22,8,1,2056.00,2.00,6.00,653.0,329,0.998989,0.998728,0.999676,0.999932
random,54,10,23,20,26,1,2058.00,2.00,4.00,608.0,291,0.999010,0.998766,0.999676,0.999932
random,55,20,18,3,12,1,2056.00,2.00,6.00,651.0,329,0.998989,0.998728,0.999676,0.999932
random,56,8,8,30,12,1,2057.00,3.00,5.00,622.0,295,0.998524,0.998275,0.999676,0.999932
random,57,27,19,24,16,1,2056.00,2.00,6.00,688.0,359,0.998989,0.998713,0.999676,0.999932
random,58,18,15,6,22,1,2057.00,3.00,5.00,650.0,328,0.998524,0.998264,0.999676,0.999932
random,59,9,1,20,6,1,2053.00,0.00,9.00,643.0,345,0.999912,0.999655,0.999676,0.999932
random,60,29,29,28,12,1,2056.00,2.00,6.00,693.0,365,0.998989,0.998711,0.999676,0.999932
random,61,1,28,13,29,1,2062.00,5.00,0.00,658.0,321,0.997629,0.997365,0.999676,0.999932
random,62,29,26,9,12,1,2056.00,2.00,6.00,693.0,365,0.998989,0.998711,0.999676,0.999932
random,63,26,10,6,17,1,2057.00,3.00,5.00,688.0,359,0.998524,0.998248,0.999676,0.999932
random,64,29,21,18,3,1,2056.00,2.00,6.00,693.0,365,0.998989,0.998711,0.999676,0.999932
random,65,19,30,5,16,1,2056.00,2.00,6.00,651.0,329,0.998989,0.998728,0.999676,0.999932
random,66,27,23,21,22,1,2056.00,2.00,6.00,688.0,359,0.998989,0.998713,0.999676,0.999932
random,67,11,9,25,25,1,2058.00,2.00,4.00,610.0,292,0.999010,0.998765,0.999676,0.999932
random,68,27,28,16,16,1,2056.00,2.00,6.00,688.0,359,0.998989,0.998713,0.999676,0.999932
