method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
tpe,0,12,29,22,18,1,2056.00,2.00,6.00,627.0,295,0.998989,0.998738,0.998738,0.998989
tpe,1,5,5,2,26,1,2062.00,5.00,0.00,610.0,306,0.997629,0.997385,0.998738,0.998989
tpe,2,19,22,1,30,1,2062.00,5.00,0.00,672.0,345,0.997629,0.997360,0.998738,0.998989
tpe,3,25,7,6,6,1,2057.00,3.00,5.00,691.0,360,0.998524,0.998247,0.998738,0.998989
tpe,4,10,16,13,9,1,2058.00,2.00,4.00,608.0,291,0.999010,0.998766,0.998766,0.999010
tpe,5,19,5,9,11,1,2056.00,2.00,6.00,654.0,330,0.998989,0.998727,0.998766,0.999010
tpe,6,14,24,6,16,1,2057.00,3.00,5.00,639.0,312,0.998524,0.998268,0.998766,0.999010
tpe,7,18,2,19,6,1,2054.00,0.00,8.00,672.0,343,0.999922,0.999653,0.999653,0.999922
tpe,8,2,29,29,25,1,2060.00,4.00,2.00,639.0,308,0.998081,0.997825,0.999653,0.999922
tpe,9,10,3,21,14,1,2058.00,2.00,4.00,602.0,293,0.999010,0.998768,0.999653,0.999922
tpe,10,29,11,18,1,1,2053.00,0.00,9.00,694.0,367,0.999912,0.999634,0.999653,0.999922
tpe,11,29,12,19,1,1,2053.00,0.00,9.00,694.0,367,0.999912,0.999634,0.999653,0.999922
tpe,12,29,12,18,1,1,2053.00,0.00,9.00,694.0,367,0.999912,0.999634,0.999653,0.999922
tpe,13,28,12,19,1,1,2053.00,0.00,9.00,694.0,367,0.999912,0.999634,0.999653,0.999922
tpe,14,30,11,18,1,1,2053.00,0.00,9.00,694.0,367,0.999912,0.999634,0.999653,0.999922
tpe,15,22,1,26,6,1,2054.00,0.00,8.00,689.0,370,0.999922,0.999646,0.999653,0.999922
tpe,16,22,18,24,7,1,2056.00,2.00,6.00,652.0,329,0.998989,0.998728,0.999653,0.999922
tpe,17,22,1,26,6,1,2054.00,0.00,8.00,689.0,370,0.999922,0.999646,0.999653,0.999922
tpe,18,22,1,26,7,1,2054.00,0.00,8.00,689.0,370,0.999922,0.999646,0.999653,0.999922
tpe,19,22,1,26,6,1,2054.00,0.00,8.00,689.0,370,0.999922,0.999646,0.999653,0.999922
tpe,20,18,8,14,12,1,2056.00,2.00,6.00,653.0,329,0.998989,0.998728,0.999653,0.999922
tpe,21,18,8,30,11,1,2056.00,2.00,6.00,653.0,329,0.998989,0.998728,0.999653,0.999922
tpe,22,18,8,30,11,1,2056.00,2.00,6.00,653.0,329,0.998989,0.998728,0.999653,0.999922
tpe,23,18,8,12,12,1,2056.00,2.00,6.00,653.0,329,0.998989,0.998728,0.999653,0.999922
tpe,24,17,6,13,11,1,2056.00,2.00,6.00,654.0,330,0.998989,0.998727,0.999653,0.999922
tpe,25,24,3,27,4,1,2056.00,2.00,6.00,691.0,360,0.998989,0.998712,0.999653,0.999922
tpe,26,25,3,26,4,1,2056.00,2.00,6.00,691.0,360,0.998989,0.998712,0.999653,0.999922
tpe,27,25,2,27,4,1,2054.00,0.00,8.00,706.0,370,0.999922,0.999639,0.999653,0.999922
tpe,28,25,3,27,4,1,2056.00,2.00,6.00,691.0,360,0.998989,0.998712,0.999653,0.999922
tpe,29,25,3,26,4,1,2056.00,2.00,6.00,691.0,360,0.998989,0.998712,0.999653,0.999922
tpe,30,14,25,22,21,1,2056.00,2.00,6.00,639.0,312,0.998989,0.998733,0.999653,0.999922
tpe,31,14,25,23,19,1,2056.00,2.00,6.00,639.0,312,0.998989,0.998733,0.999653,0.999922
tpe,32,14,5,21,20,1,2056.00,2.00,6.00,638.0,313,0.998989,0.998734,0.999653,0.999922
tpe,33,12,5,23,17,1,2056.00,2.00,6.00,624.0,296,0.998989,0.998739,0.999653,0.999922
tpe,34,15,5,23,19,1,2056.00,2.00,6.00,650.0,323,0.998989,0.998729,0.999653,0.999922
tpe,35,21,1,25,7,1,2054.00,0.00,8.00,689.0,370,0.999922,0.999646,0.999653,0.999922
tpe,36,21,1,25,8,1,2054.00,0.00,8.00,689.0,370,0.999922,0.999646,0.999653,0.999922
tpe,37,21,1,25,8,1,2054.00,0.00,8.00,689.0,370,0.999922,0.999646,0.999653,0.999922
tpe,38,22,1,16,8,1,2054.00,0.00,8.00,689.0,370,0.999922,0.999646,0.999653,0.999922
