method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
gp,0,7,20,29,15,1,1489379.00,715.00,2196.00,30710.0,24363,0.999500,0.999471,0.999471,0.999500
gp,1,11,8,29,21,1,1489324.00,631.00,2251.00,31075.0,24630,0.999555,0.999525,0.999525,0.999555
gp,2,7,26,19,23,1,1489744.00,744.00,1831.00,30965.0,24498,0.999486,0.999457,0.999525,0.999555
gp,3,11,11,24,21,1,1489399.00,654.00,2176.00,31021.0,24552,0.999541,0.999511,0.999525,0.999555
gp,4,4,8,24,3,1,1487914.00,530.00,3661.00,29555.0,24130,0.999602,0.999574,0.999574,0.999602
gp,5,13,1,2,1,1,1373885.00,84.00,117690.00,22707.0,25770,0.998230,0.998208,0.999574,0.999602
gp,6,22,4,29,30,1,1489142.00,591.00,2433.00,34664.0,26694,0.999579,0.999546,0.999574,0.999602
gp,7,30,18,25,1,1,1481197.00,92.00,10378.00,34664.0,26438,0.999799,0.999766,0.999766,0.999799
gp,8,2,11,22,10,1,1489753.00,728.00,1822.00,30790.0,24554,0.999497,0.999468,0.999766,0.999799
gp,9,2,1,7,29,1,1488511.00,675.00,3064.00,32052.0,27995,0.999515,0.999484,0.999766,0.999799
gp,10,5,27,2,7,1,1489439.00,778.00,2136.00,32011.0,26105,0.999460,0.999429,0.999766,0.999799
gp,11,29,1,30,24,1,1488717.00,301.00,2858.00,38439.0,30595,0.999764,0.999727,0.999766,0.999799
gp,12,1,4,26,1,1,1472299.00,94.00,19276.00,32142.0,26433,0.999676,0.999645,0.999766,0.999799
gp,13,12,29,26,30,1,1489447.00,712.00,2128.00,31861.0,24690,0.999503,0.999473,0.999766,0.999799
gp,14,18,6,1,30,1,1490222.00,1007.00,1353.00,35232.0,31780,0.999320,0.999287,0.999766,0.999799
gp,15,28,4,25,22,1,1489165.00,543.00,2410.00,35619.0,27250,0.999610,0.999577,0.999766,0.999799
gp,16,3,28,3,2,1,1482846.00,187.00,8729.00,30649.0,24908,0.999759,0.999730,0.999766,0.999799
gp,17,3,25,30,27,1,1489953.00,860.00,1622.00,31944.0,24574,0.999413,0.999383,0.999766,0.999799
gp,18,21,22,1,30,1,1490193.00,1017.00,1382.00,36138.0,31225,0.999313,0.999279,0.999766,0.999799
gp,19,24,30,30,4,1,1487705.00,437.00,3870.00,34144.0,25895,0.999660,0.999628,0.999766,0.999799
gp,20,23,23,29,6,1,1488634.00,524.00,2941.00,34110.0,25872,0.999616,0.999583,0.999766,0.999799
gp,21,9,8,1,30,1,1490819.00,1010.00,756.00,33956.0,30418,0.999326,0.999294,0.999766,0.999799
gp,22,26,4,3,1,1,1452337.00,95.00,39238.00,29116.0,26202,0.999396,0.999368,0.999766,0.999799
gp,23,27,29,13,28,1,1489793.00,664.00,1782.00,34318.0,26378,0.999540,0.999507,0.999766,0.999799
gp,24,9,28,5,3,1,1486933.00,521.00,4642.00,30109.0,24831,0.999594,0.999566,0.999766,0.999799
gp,25,30,3,1,14,1,1486746.00,893.00,4829.00,35215.0,33487,0.999347,0.999314,0.999766,0.999799
gp,26,5,28,28,30,1,1489753.00,836.00,1822.00,31345.0,24526,0.999426,0.999396,0.999766,0.999799
gp,27,19,29,12,1,1,1477570.00,102.00,14005.00,31561.0,25109,0.999743,0.999713,0.999766,0.999799
gp,28,8,2,28,2,1,1488078.00,171.00,3497.00,33789.0,28015,0.999840,0.999808,0.999808,0.999840
gp,29,26,10,30,21,1,1489159.00,590.00,2416.00,35052.0,26399,0.999579,0.999546,0.999808,0.999840
gp,30,29,30,10,1,1,1475584.00,100.00,15991.00,32740.0,26067,0.999717,0.999686,0.999808,0.999840
gp,31,2,7,30,30,1,1489566.00,774.00,2009.00,31060.0,25116,0.999464,0.999435,0.999808,0.999840
gp,32,19,1,25,3,1,1488418.00,241.00,3157.00,37179.0,30260,0.999799,0.999764,0.999808,0.999840
gp,33,30,3,9,29,1,1489941.00,630.00,1634.00,34141.0,27611,0.999564,0.999532,0.999808,0.999840
gp,34,1,30,21,13,1,1489811.00,835.00,1764.00,33594.0,25670,0.999427,0.999396,0.999808,0.999840
gp,35,20,29,2,11,1,1489145.00,844.00,2430.00,33122.0,27953,0.999412,0.999381,0.999808,0.999840
gp,36,6,2,29,2,1,1487673.00,172.00,3902.00,33612.0,27972,0.999834,0.999802,0.999808,0.999840
gp,37,25,6,18,29,1,1489470.00,604.00,2105.00,34253.0,26244,0.999575,0.999542,0.999808,0.999840
gp,38,16,22,29,18,1,1489263.00,631.00,2312.00,32712.0,25161,0.999554,0.999523,0.999808,0.999840
gp,39,6,14,1,1,1,1429924.00,93.00,61651.00,26099.0,23920,0.999075,0.999050,0.999808,0.999840
