method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
random,0,12,29,22,18,1,1489478.00,668.00,2097.00,31734.0,24649,0.999533,0.999503,0.999503,0.999533
random,1,5,5,2,26,1,1490678.00,915.00,897.00,31315.0,29105,0.999387,0.999357,0.999503,0.999533
random,2,19,22,1,30,1,1490208.00,1017.00,1367.00,35980.0,30925,0.999313,0.999279,0.999503,0.999533
random,3,25,7,6,6,1,1489252.00,607.00,2323.00,31769.0,26097,0.999570,0.999540,0.999540,0.999570
random,4,10,16,13,9,1,1489628.00,633.00,1947.00,30573.0,24463,0.999558,0.999529,0.999540,0.999570
random,5,19,5,9,11,1,1489787.00,601.00,1788.00,32292.0,26228,0.999581,0.999550,0.999550,0.999581
random,6,14,24,6,16,1,1489999.00,715.00,1576.00,31565.0,25135,0.999509,0.999479,0.999550,0.999581
random,7,18,2,19,6,1,1489107.00,353.00,2468.00,34851.0,27948,0.999735,0.999702,0.999702,0.999735
random,8,2,29,29,25,1,1489913.00,868.00,1662.00,33097.0,25290,0.999407,0.999376,0.999702,0.999735
random,9,10,3,21,14,1,1489368.00,567.00,2207.00,32051.0,26181,0.999597,0.999567,0.999702,0.999735
random,10,4,15,2,28,1,1491089.00,968.00,486.00,32441.0,26538,0.999358,0.999327,0.999702,0.999735
random,11,8,20,10,16,1,1489983.00,740.00,1592.00,30807.0,24651,0.999492,0.999463,0.999702,0.999735
random,12,17,6,30,24,1,1489261.00,615.00,2314.00,33039.0,25478,0.999564,0.999533,0.999702,0.999735
random,13,29,27,18,28,1,1489486.00,627.00,2089.00,34967.0,26537,0.999560,0.999527,0.999702,0.999735
random,14,3,6,2,10,1,1489102.00,825.00,2473.00,30232.0,27933,0.999424,0.999396,0.999702,0.999735
random,15,12,9,25,11,1,1489290.00,607.00,2285.00,31190.0,24542,0.999570,0.999541,0.999702,0.999735
random,16,9,17,5,25,1,1490461.00,784.00,1114.00,31212.0,25305,0.999470,0.999440,0.999702,0.999735
