method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
tpe,0,12,29,22,18,1,1489478.00,668.00,2097.00,31734.0,24649,0.999533,0.999503,0.999503,0.999533
tpe,1,5,5,2,26,1,1490678.00,915.00,897.00,31315.0,29105,0.999387,0.999357,0.999503,0.999533
tpe,2,19,22,1,30,1,1490208.00,1017.00,1367.00,35980.0,30925,0.999313,0.999279,0.999503,0.999533
tpe,3,25,7,6,6,1,1489252.00,607.00,2323.00,31769.0,26097,0.999570,0.999540,0.999540,0.999570
tpe,4,10,16,13,9,1,1489628.00,633.00,1947.00,30573.0,24463,0.999558,0.999529,0.999540,0.999570
tpe,5,19,5,9,11,1,1489787.00,601.00,1788.00,32292.0,26228,0.999581,0.999550,0.999550,0.999581
tpe,6,14,24,6,16,1,1489999.00,715.00,1576.00,31565.0,25135,0.999509,0.999479,0.999550,0.999581
tpe,7,18,2,19,6,1,1489107.00,353.00,2468.00,34851.0,27948,0.999735,0.999702,0.999702,0.999735
tpe,8,2,29,29,25,1,1489913.00,868.00,1662.00,33097.0,25290,0.999407,0.999376,0.999702,0.999735
tpe,9,10,3,21,14,1,1489368.00,567.00,2207.00,32051.0,26181,0.999597,0.999567,0.999702,0.999735
tpe,10,29,11,18,1,1,1481697.00,96.00,9878.00,34087.0,26347,0.999803,0.999771,0.999771,0.999803
tpe,11,29,12,19,1,1,1481564.00,97.00,10011.00,34130.0,26300,0.999801,0.999768,0.999771,0.999803
tpe,12,29,12,18,1,1,1481298.00,96.00,10277.00,34024.0,26268,0.999798,0.999766,0.999771,0.999803
tpe,13,28,12,19,1,1,1481590.00,97.00,9985.00,34060.0,26275,0.999801,0.999769,0.999771,0.999803
tpe,14,30,11,18,1,1,1481675.00,96.00,9900.00,34250.0,26430,0.999803,0.999771,0.999771,0.999803
tpe,15,24,17,26,7,1,1488856.00,521.00,2719.00,34230.0,25929,0.999621,0.999588,0.999771,0.999803
tpe,16,24,17,14,5,1,1488655.00,476.00,2920.00,33165.0,25715,0.999648,0.999616,0.999771,0.999803
tpe,17,24,16,26,5,1,1488442.00,445.00,3133.00,34193.0,25924,0.999665,0.999633,0.999771,0.999803
tpe,18,24,17,26,5,1,1488397.00,445.00,3178.00,34183.0,25916,0.999664,0.999632,0.999771,0.999803
tpe,19,24,17,26,5,1,1488397.00,445.00,3178.00,34183.0,25916,0.999664,0.999632,0.999771,0.999803
tpe,20,30,9,11,20,1,1489891.00,649.00,1684.00,33900.0,26573,0.999551,0.999519,0.999771,0.999803
tpe,21,28,8,13,12,1,1489702.00,608.00,1873.00,33781.0,26368,0.999575,0.999543,0.999771,0.999803
tpe,22,27,9,12,21,1,1489757.00,625.00,1818.00,33642.0,26248,0.999565,0.999533,0.999771,0.999803
tpe,23,30,9,11,20,1,1489891.00,649.00,1684.00,33900.0,26573,0.999551,0.999519,0.999771,0.999803
tpe,24,30,8,12,12,1,1489688.00,609.00,1887.00,33869.0,26436,0.999574,0.999542,0.999771,0.999803
tpe,25,27,12,17,1,1,1480936.00,96.00,10639.00,33622.0,26151,0.999793,0.999761,0.999771,0.999803
tpe,26,27,13,16,2,1,1485859.00,169.00,5716.00,33832.0,26232,0.999812,0.999780,0.999780,0.999812
tpe,27,27,13,16,2,1,1485859.00,169.00,5716.00,33832.0,26232,0.999812,0.999780,0.999780,0.999812
tpe,28,27,12,16,2,1,1485868.00,169.00,5707.00,33823.0,26222,0.999812,0.999780,0.999780,0.999812
tpe,29,21,13,16,2,1,1485775.00,174.00,5800.00,32617.0,25506,0.999807,0.999776,0.999780,0.999812
tpe,30,16,21,21,8,1,1489076.00,568.00,2499.00,32285.0,24996,0.999593,0.999562,0.999780,0.999812
tpe,31,21,20,22,9,1,1489172.00,600.00,2403.00,33435.0,25663,0.999573,0.999541,0.999780,0.999812
tpe,32,22,21,21,3,1,1487513.00,436.00,4062.00,33129.0,25591,0.999658,0.999627,0.999780,0.999812
tpe,33,21,21,23,9,1,1489151.00,598.00,2424.00,33437.0,25682,0.999574,0.999542,0.999780,0.999812
tpe,34,21,22,22,9,1,1489166.00,600.00,2409.00,33409.0,25666,0.999573,0.999541,0.999780,0.999812
tpe,35,26,14,15,4,1,1488466.00,458.00,3109.00,33646.0,26044,0.999657,0.999625,0.999780,0.999812
tpe,36,26,14,16,3,1,1487812.00,437.00,3763.00,33588.0,26003,0.999662,0.999630,0.999780,0.999812
tpe,37,26,14,15,3,1,1487810.00,440.00,3765.00,33518.0,25993,0.999660,0.999628,0.999780,0.999812
tpe,38,26,15,16,3,1,1487804.00,439.00,3771.00,33578.0,25975,0.999660,0.999628,0.999780,0.999812
tpe,39,26,14,15,4,1,1488466.00,458.00,3109.00,33646.0,26044,0.999657,0.999625,0.999780,0.999812
tpe,40,18,7,10,11,1,1489813.00,617.00,1762.00,31934.0,25655,0.999571,0.999540,0.999780,0.999812
tpe,41,16,6,8,30,1,1490078.00,704.00,1497.00,31570.0,25602,0.999517,0.999487,0.999780,0.999812
tpe,42,18,19,8,7,1,1489363.00,603.00,2212.00,31816.0,25456,0.999574,0.999544,0.999780,0.999812
tpe,43,17,5,8,30,1,1490056.00,690.00,1519.00,32049.0,26204,0.999526,0.999496,0.999780,0.999812
tpe,44,17,6,3,7,1,1489274.00,691.00,2301.00,30828.0,26539,0.999515,0.999485,0.999780,0.999812
tpe,45,13,11,17,2,1,1485969.00,175.00,5606.00,30958.0,24654,0.999809,0.999780,0.999780,0.999809
