method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
gp,0,7,20,29,15,1,409328.00,8498.00,7908.00,56155.0,36644,0.979689,0.979505,0.979505,0.979689
gp,1,11,8,29,21,1,407619.00,7485.00,9617.00,55138.0,36097,0.981868,0.981687,0.981687,0.981868
gp,2,7,26,19,23,1,409536.00,8699.00,7700.00,56957.0,37102,0.979247,0.979061,0.981687,0.981868
gp,3,11,11,24,21,1,407879.00,7741.00,9357.00,55610.0,36367,0.981299,0.981116,0.981687,0.981868
gp,4,4,8,24,3,1,407521.00,6830.00,9715.00,53050.0,34998,0.983379,0.983206,0.983206,0.983379
gp,5,7,1,1,1,1,248477.00,816.00,168759.00,25053.0,26606,0.983476,0.983394,0.983394,0.983476
gp,6,30,4,27,28,1,398122.00,3731.00,19114.00,68863.0,46890,0.989958,0.989732,0.989732,0.989958
gp,7,16,16,28,1,1,382160.00,1256.00,35076.00,55549.0,38307,0.994969,0.994787,0.994787,0.994969
gp,8,1,2,29,16,1,402445.00,4824.00,14791.00,64683.0,44940,0.987672,0.987460,0.994787,0.994969
gp,9,29,9,4,12,1,410373.00,8465.00,6863.00,62121.0,45512,0.979864,0.979661,0.994787,0.994969
gp,10,16,1,13,30,1,399799.00,3359.00,17437.00,66361.0,49832,0.990976,0.990759,0.994787,0.994969
gp,11,30,29,29,3,1,396988.00,3252.00,20248.00,69260.0,46929,0.991033,0.990806,0.994787,0.994969
gp,12,2,17,3,3,1,407074.00,7113.00,10162.00,54426.0,36185,0.982682,0.982504,0.994787,0.994969
gp,13,2,28,28,30,1,414056.00,12799.00,3180.00,62595.0,39855,0.970453,0.970248,0.994787,0.994969
gp,14,28,27,1,25,1,415562.00,13967.00,1674.00,75882.0,58309,0.968037,0.967788,0.994787,0.994969
gp,15,21,8,10,8,1,404837.00,5569.00,12399.00,59197.0,39756,0.986102,0.985908,0.994787,0.994969
gp,16,3,26,28,29,1,413820.00,12496.00,3416.00,61680.0,39279,0.971102,0.970900,0.994787,0.994969
gp,17,3,28,3,2,1,392031.00,3252.00,25205.00,54958.0,38031,0.990673,0.990493,0.994787,0.994969
gp,18,27,29,4,29,1,410680.00,8671.00,6556.00,62184.0,45189,0.979422,0.979218,0.994787,0.994969
gp,19,24,30,30,4,1,398500.00,3740.00,18736.00,64516.0,42886,0.989964,0.989753,0.994787,0.994969
gp,20,3,4,30,1,1,382826.00,1261.00,34410.00,54209.0,37693,0.994999,0.994822,0.994822,0.994999
gp,21,30,29,8,29,1,406461.00,6445.00,10775.00,62911.0,44434,0.984185,0.983979,0.994822,0.994999
gp,22,1,2,7,30,1,407898.00,7050.00,9338.00,57913.0,42744,0.982902,0.982712,0.994822,0.994999
gp,23,5,25,6,6,1,410980.00,8989.00,6256.00,56194.0,36877,0.978723,0.978539,0.994822,0.994999
gp,24,25,7,15,12,1,401988.00,4829.00,15248.00,62861.0,42085,0.987624,0.987418,0.994822,0.994999
gp,25,10,2,28,1,1,389407.00,1318.00,27829.00,59987.0,42966,0.995276,0.995080,0.995080,0.995276
gp,26,30,29,14,30,1,402362.00,4905.00,14874.00,65527.0,44892,0.987473,0.987258,0.995080,0.995276
gp,27,1,29,1,4,1,406053.00,7706.00,11183.00,58361.0,39737,0.981211,0.981020,0.995080,0.995276
gp,28,3,5,11,29,1,408367.00,7414.00,8869.00,53818.0,35784,0.982100,0.981923,0.995080,0.995276
gp,29,30,12,13,2,1,396263.00,2494.00,20973.00,64854.0,45324,0.992825,0.992613,0.995080,0.995276
gp,30,24,30,13,7,1,403044.00,4979.00,14192.00,61899.0,41540,0.987351,0.987149,0.995080,0.995276
gp,31,2,2,20,30,1,403760.00,5227.00,13476.00,61752.0,42761,0.986822,0.986619,0.995080,0.995276
gp,32,9,12,29,2,1,396759.00,3147.00,20477.00,53883.0,36544,0.991272,0.991095,0.995080,0.995276
gp,33,30,1,26,14,1,395191.00,2400.00,22045.00,73957.0,55369,0.992982,0.992740,0.995080,0.995276
gp,34,1,30,11,25,1,414241.00,12867.00,2995.00,63347.0,40608,0.970323,0.970115,0.995080,0.995276
gp,35,30,3,29,1,1,386926.00,1100.00,30310.00,68917.0,48112,0.995666,0.995440,0.995440,0.995666
gp,36,1,20,16,27,1,413800.00,12499.00,3436.00,60212.0,38718,0.971093,0.970896,0.995440,0.995666
gp,37,29,30,30,29,1,398186.00,4044.00,19050.00,69174.0,46405,0.989208,0.988981,0.995440,0.995666
gp,38,8,30,27,1,1,375848.00,1283.00,41388.00,49628.0,35808,0.994483,0.994320,0.995440,0.995666
gp,39,29,1,9,30,1,402429.00,4424.00,14807.00,67675.0,51707,0.988622,0.988400,0.995440,0.995666
gp,40,28,23,26,2,1,393477.00,2088.00,23759.00,66795.0,45628,0.993633,0.993414,0.995440,0.995666
gp,41,1,27,4,26,1,414459.00,12866.00,2777.00,62979.0,40433,0.970350,0.970144,0.995440,0.995666
gp,42,29,4,11,30,1,403948.00,5256.00,13288.00,62951.0,43731,0.986768,0.986562,0.995440,0.995666
gp,43,2,2,12,2,1,394189.00,3089.00,23047.00,56237.0,40398,0.991229,0.991044,0.995440,0.995666
gp,44,17,2,28,14,1,400289.00,3986.00,16947.00,62707.0,43841,0.989506,0.989300,0.995440,0.995666
gp,45,26,30,4,1,1,360310.00,1202.00,56926.00,50717.0,39082,0.993612,0.993446,0.995440,0.995666
gp,46,13,3,29,30,1,403224.00,5384.00,14012.00,56881.0,37491,0.986407,0.986221,0.995440,0.995666
gp,47,1,13,1,17,1,416023.00,13569.00,1213.00,67878.0,45295,0.968972,0.968749,0.995440,0.995666
gp,48,2,24,30,2,1,392142.00,3231.00,25094.00,54733.0,37608,0.990732,0.990553,0.995440,0.995666
gp,49,30,19,24,17,1,399137.00,4139.00,18099.00,68663.0,46456,0.989052,0.988827,0.995440,0.995666
gp,50,20,29,14,1,1,383955.00,1311.00,33281.00,58071.0,40354,0.994946,0.994756,0.995440,0.995666
gp,51,29,1,30,28,1,394387.00,2258.00,22849.00,74371.0,55501,0.993276,0.993032,0.995440,0.995666
gp,52,1,10,25,11,1,412122.00,10860.00,5114.00,56604.0,36644,0.974590,0.974404,0.995440,0.995666
gp,53,28,2,1,5,1,396150.00,7622.00,21086.00,59067.0,51700,0.980469,0.980276,0.995440,0.995666
gp,54,18,27,29,23,1,402175.00,5486.00,15061.00,61206.0,40059,0.986080,0.985879,0.995440,0.995666
gp,55,26,4,21,1,1,387076.00,1177.00,30160.00,64052.0,44554,0.995482,0.995272,0.995440,0.995666
gp,56,1,30,1,1,1,351737.00,1179.00,65499.00,48368.0,36512,0.993040,0.992881,0.995440,0.995666
gp,57,30,27,29,30,1,398064.00,3986.00,19172.00,70027.0,47203,0.989338,0.989109,0.995440,0.995666
gp,58,4,1,28,25,1,397310.00,3183.00,19926.00,70124.0,50395,0.991224,0.990994,0.995440,0.995666
gp,59,30,30,5,12,1,409690.00,7929.00,7546.00,62735.0,45741,0.981032,0.980826,0.995440,0.995666
gp,60,30,2,25,5,1,397499.00,3059.00,19737.00,70170.0,50038,0.991537,0.991308,0.995440,0.995666
gp,61,4,30,2,1,1,363364.00,1260.00,53872.00,49695.0,36841,0.993677,0.993514,0.995440,0.995666
gp,62,16,28,29,20,1,403760.00,6172.00,13476.00,59045.0,38601,0.984593,0.984400,0.995440,0.995666
gp,63,22,1,1,28,1,415234.00,13947.00,2002.00,77201.0,62526,0.968042,0.967789,0.995440,0.995666
gp,64,4,1,30,27,1,396820.00,3065.00,20416.00,71217.0,51206,0.991475,0.991242,0.995440,0.995666
gp,65,2,27,18,1,1,365223.00,1251.00,52013.00,49707.0,35912,0.993833,0.993670,0.995440,0.995666
gp,66,29,4,30,29,1,397826.00,3712.00,19410.00,68538.0,46380,0.989981,0.989757,0.995440,0.995666
gp,67,27,7,1,1,1,301547.00,984.00,115689.00,42580.0,35613,0.989246,0.989106,0.995440,0.995666
gp,68,28,29,15,20,1,401931.00,4879.00,15305.00,64798.0,43803,0.987501,0.987288,0.995440,0.995666
gp,69,4,1,17,21,1,400464.00,4101.00,16772.00,64511.0,46471,0.989244,0.989032,0.995440,0.995666
gp,70,28,1,16,1,1,392189.00,1264.00,25047.00,71464.0,53910,0.995584,0.995350,0.995440,0.995666
gp,71,2,30,29,4,1,407570.00,7618.00,9666.00,57583.0,37967,0.981555,0.981366,0.995440,0.995666
gp,72,28,24,25,26,1,399539.00,4364.00,17697.00,67069.0,45005,0.988543,0.988323,0.995440,0.995666
gp,73,20,27,1,2,1,368425.00,2950.00,48811.00,49028.0,38128,0.989612,0.989452,0.995440,0.995666
gp,74,1,1,29,23,1,397418.00,3294.00,19818.00,70404.0,49792,0.990962,0.990732,0.995440,0.995666
gp,75,29,1,19,19,1,396874.00,2713.00,20362.00,71801.0,53939,0.992334,0.992099,0.995440,0.995666
gp,76,2,29,3,1,1,364290.00,1251.00,52946.00,49527.0,36037,0.993767,0.993605,0.995440,0.995666
gp,77,5,4,30,1,1,383508.00,1314.00,33728.00,52448.0,36939,0.994909,0.994738,0.995440,0.995666
gp,78,18,30,28,14,1,402197.00,5432.00,15039.00,61035.0,39986,0.986209,0.986009,0.995440,0.995666
gp,79,27,10,2,1,1,334730.00,1103.00,82506.00,47680.0,38491,0.991907,0.991751,0.995440,0.995666
gp,80,15,19,11,1,1,382651.00,1364.00,34585.00,54336.0,37801,0.994727,0.994549,0.995440,0.995666
gp,81,28,1,30,30,1,394570.00,2297.00,22666.00,73628.0,54919,0.993193,0.992951,0.995440,0.995666
gp,82,1,2,30,5,1,401524.00,4319.00,15712.00,65142.0,45158,0.988803,0.988589,0.995440,0.995666
gp,83,30,30,28,12,1,398432.00,4004.00,18804.00,69390.0,46871,0.989323,0.989096,0.995440,0.995666
gp,84,12,3,15,18,1,404136.00,5545.00,13100.00,55871.0,36913,0.986101,0.985918,0.995440,0.995666
gp,85,27,14,30,1,1,384601.00,1108.00,32635.00,65468.0,45293,0.995500,0.995285,0.995440,0.995666
gp,86,4,1,16,27,1,400798.00,4230.00,16438.00,64013.0,46228,0.988960,0.988750,0.995440,0.995666
gp,87,2,28,7,3,1,405969.00,7047.00,11267.00,56188.0,37213,0.982737,0.982553,0.995440,0.995666
gp,88,29,30,16,28,1,401449.00,4707.00,15787.00,65727.0,44601,0.987872,0.987657,0.995440,0.995666
gp,89,18,2,8,5,1,404494.00,4869.00,12742.00,60281.0,43265,0.987726,0.987528,0.995440,0.995666
gp,90,25,28,21,1,1,384783.00,1172.00,32453.00,62831.0,43543,0.995350,0.995144,0.995440,0.995666
gp,91,2,2,28,27,1,402617.00,4898.00,14619.00,64219.0,44420,0.987510,0.987299,0.995440,0.995666
gp,92,2,9,7,1,1,371779.00,1284.00,45457.00,47633.0,34239,0.994204,0.994048,0.995440,0.995666
gp,93,30,7,13,21,1,402754.00,4935.00,14482.00,64787.0,44506,0.987433,0.987220,0.995440,0.995666
gp,94,30,27,29,28,1,398064.00,3986.00,19172.00,70027.0,47203,0.989338,0.989109,0.995440,0.995666
gp,95,18,8,8,1,1,383287.00,1415.00,33949.00,54588.0,38730,0.994640,0.994461,0.995440,0.995666
gp,96,28,30,25,30,1,399543.00,4374.00,17693.00,67111.0,45046,0.988519,0.988299,0.995440,0.995666
gp,97,2,1,29,24,1,397419.00,3293.00,19817.00,70370.0,49643,0.990965,0.990734,0.995440,0.995666
gp,98,6,28,30,1,1,373977.00,1288.00,43259.00,49234.0,35577,0.994344,0.994182,0.995440,0.995666
gp,99,30,1,11,29,1,401423.00,4003.00,15813.00,68850.0,52556,0.989550,0.989324,0.995440,0.995666
gp,100,30,22,17,1,1,386178.00,1247.00,31058.00,65139.0,45982,0.995250,0.995036,0.995440,0.995666
gp,101,1,1,27,24,1,397766.00,3409.00,19470.00,69601.0,49151,0.990709,0.990481,0.995440,0.995666
gp,102,8,4,6,2,1,399632.00,3354.00,17604.00,53936.0,37176,0.990976,0.990800,0.995440,0.995666
gp,103,29,5,15,30,1,401408.00,4492.00,15828.00,65016.0,44449,0.988381,0.988168,0.995440,0.995666
gp,104,21,30,27,22,1,400860.00,4940.00,16376.00,63436.0,41666,0.987270,0.987062,0.995440,0.995666
gp,105,23,28,30,1,1,383806.00,1146.00,33430.00,62420.0,43069,0.995353,0.995149,0.995440,0.995666
gp,106,3,1,16,25,1,401448.00,4613.00,15788.00,63250.0,44786,0.988096,0.987889,0.995440,0.995666
gp,107,28,2,5,1,1,369692.00,1255.00,47544.00,55876.0,44777,0.994136,0.993953,0.995440,0.995666
gp,108,30,20,19,24,1,400297.00,4400.00,16939.00,67448.0,45831,0.988515,0.988294,0.995440,0.995666
gp,109,1,24,8,1,1,366378.00,1262.00,50858.00,49443.0,35983,0.993886,0.993724,0.995440,0.995666
gp,110,30,22,7,1,1,376891.00,1297.00,40345.00,57004.0,42940,0.994517,0.994330,0.995440,0.995666
gp,111,1,2,29,21,1,402456.00,4843.00,14780.00,64709.0,44951,0.987628,0.987416,0.995440,0.995666
gp,112,27,29,29,26,1,398990.00,4308.00,18246.00,67353.0,44999,0.988635,0.988414,0.995440,0.995666
gp,113,4,28,27,1,1,370853.00,1280.00,46383.00,49360.0,35563,0.994151,0.993989,0.995440,0.995666
gp,114,24,1,11,30,1,401014.00,3742.00,16222.00,67344.0,51142,0.990144,0.989924,0.995440,0.995666
gp,115,30,1,30,24,1,394186.00,2233.00,23050.00,75069.0,56009,0.993324,0.993078,0.995440,0.995666
gp,116,2,25,1,1,1,344854.00,1118.00,72382.00,46968.0,35322,0.992679,0.992525,0.995440,0.995666
gp,117,23,30,29,3,1,398606.00,3719.00,18630.00,63652.0,42350,0.990022,0.989814,0.995440,0.995666
gp,118,1,2,28,2,1,396829.00,2747.00,20407.00,64540.0,45079,0.992248,0.992037,0.995440,0.995666
gp,119,29,6,7,1,1,378111.00,1301.00,39125.00,56494.0,42333,0.994588,0.994403,0.995440,0.995666
gp,120,29,12,22,1,1,385889.00,1162.00,31347.00,65729.0,45916,0.995445,0.995230,0.995440,0.995666
gp,121,5,1,16,30,1,400654.00,4143.00,16582.00,64208.0,46679,0.989157,0.988947,0.995440,0.995666
gp,122,1,29,3,1,1,364210.00,1249.00,53026.00,49714.0,36456,0.993767,0.993604,0.995440,0.995666
gp,123,30,30,29,29,1,398063.00,3983.00,19173.00,70026.0,47201,0.989346,0.989116,0.995440,0.995666
gp,124,13,25,18,15,1,405340.00,6731.00,11896.00,57162.0,37435,0.983419,0.983232,0.995440,0.995666
gp,125,30,2,22,1,1,389909.00,1177.00,27327.00,70213.0,50606,0.995659,0.995429,0.995440,0.995666
gp,126,4,27,1,1,1,351362.00,1180.00,65874.00,46467.0,35155,0.993008,0.992856,0.995440,0.995666
gp,127,30,29,30,30,1,397801.00,3953.00,19435.00,70252.0,47307,0.989398,0.989168,0.995440,0.995666
gp,128,5,1,29,24,1,397175.00,3124.00,20061.00,70215.0,50826,0.991357,0.991127,0.995440,0.995666
gp,129,22,16,16,19,1,402429.00,5158.00,14807.00,62052.0,41100,0.986878,0.986674,0.995440,0.995666
gp,130,17,1,30,1,1,391918.00,1192.00,25318.00,71095.0,52731,0.995746,0.995513,0.995513,0.995746
gp,131,29,29,11,17,1,404281.00,5527.00,12955.00,63554.0,43767,0.986156,0.985947,0.995513,0.995746
gp,132,5,17,1,1,1,349519.00,1175.00,67717.00,44829.0,34278,0.992882,0.992735,0.995513,0.995746
gp,133,7,1,16,28,1,399601.00,3618.00,17635.00,65539.0,48450,0.990339,0.990124,0.995513,0.995746
gp,134,30,9,29,24,1,398012.00,3922.00,19224.00,69754.0,47010,0.989489,0.989260,0.995513,0.995746
gp,135,29,1,20,23,1,396679.00,2675.00,20557.00,72046.0,54124,0.992413,0.992177,0.995513,0.995746
gp,136,1,29,11,1,1,365039.00,1251.00,52197.00,50008.0,36451,0.993820,0.993656,0.995513,0.995746
gp,137,21,16,30,2,1,393758.00,2242.00,23478.00,62778.0,42137,0.993273,0.993067,0.995513,0.995746
