method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
random,0,12,29,22,18,1,405322.00,6827.00,11914.00,57129.0,37402,0.983193,0.983006,0.983006,0.983193
random,1,5,5,2,26,1,414149.00,10787.00,3087.00,60041.0,43043,0.974968,0.974772,0.983006,0.983193
random,2,19,22,1,30,1,416085.00,14044.00,1151.00,73419.0,52796,0.967930,0.967689,0.983006,0.983193
random,3,25,7,6,6,1,407966.00,6832.00,9270.00,58994.0,41205,0.983414,0.983220,0.983220,0.983414
random,4,10,16,13,9,1,408374.00,7640.00,8862.00,55392.0,36303,0.981578,0.981396,0.983220,0.983414
random,5,19,5,9,11,1,405474.00,5925.00,11762.00,57640.0,38818,0.985318,0.985129,0.985129,0.985318
random,6,14,24,6,16,1,409289.00,7992.00,7947.00,56537.0,37447,0.980850,0.980664,0.985129,0.985318
random,7,18,2,19,6,1,400508.00,3893.00,16728.00,63106.0,44140,0.989745,0.989538,0.989538,0.989745
random,8,2,29,29,25,1,414058.00,12745.00,3178.00,62721.0,39969,0.970574,0.970368,0.989538,0.989745
random,9,10,3,21,14,1,406385.00,6364.00,10851.00,55314.0,36547,0.984367,0.984186,0.989538,0.989745
random,10,4,15,2,28,1,414651.00,11560.00,2585.00,61757.0,40512,0.973287,0.973085,0.989538,0.989745
random,11,8,20,10,16,1,409464.00,8341.00,7772.00,55946.0,36695,0.980063,0.979880,0.989538,0.989745
random,12,17,6,30,24,1,402729.00,5539.00,14507.00,58837.0,38365,0.986000,0.985807,0.989538,0.989745
random,13,29,27,18,28,1,400684.00,4527.00,16552.00,66434.0,44975,0.988242,0.988024,0.989538,0.989745
random,14,3,6,2,10,1,414011.00,11165.00,3225.00,59315.0,40957,0.974104,0.973910,0.989538,0.989745
random,15,12,9,25,11,1,404805.00,6380.00,12431.00,55829.0,36396,0.984194,0.984011,0.989538,0.989745
random,16,9,17,5,25,1,410536.00,8703.00,6700.00,56245.0,37079,0.979335,0.979150,0.989538,0.989745
random,17,3,30,24,6,1,411958.00,10188.00,5278.00,60716.0,38919,0.976093,0.975894,0.989538,0.989745
random,18,1,25,22,22,1,413950.00,12644.00,3286.00,61881.0,39704,0.970786,0.970584,0.989538,0.989745
random,19,24,3,11,4,1,403216.00,4556.00,14020.00,60693.0,41505,0.988368,0.988169,0.989538,0.989745
random,20,26,19,10,2,1,396732.00,2737.00,20504.00,61170.0,42708,0.992266,0.992065,0.992065,0.992266
random,21,10,10,22,20,1,408040.00,7753.00,9196.00,55114.0,36036,0.981286,0.981105,0.992065,0.992266
random,22,27,15,4,22,1,410621.00,8611.00,6615.00,61910.0,44983,0.979553,0.979350,0.992065,0.992266
random,23,23,17,24,15,1,400621.00,4727.00,16615.00,64065.0,42390,0.987759,0.987549,0.992065,0.992266
random,24,16,13,1,4,1,397712.00,7329.00,19524.00,53390.0,39565,0.981315,0.981140,0.992065,0.992266
random,25,1,20,10,16,1,413773.00,12296.00,3463.00,59938.0,38566,0.971544,0.971347,0.992065,0.992266
random,26,28,8,13,23,1,402986.00,5064.00,14250.00,63482.0,43203,0.987145,0.986937,0.992065,0.992266
random,27,7,3,9,5,1,406945.00,6008.00,10291.00,53873.0,36056,0.985247,0.985070,0.992065,0.992266
