method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
tpe,0,12,29,22,18,1,405322.00,6827.00,11914.00,57129.0,37402,0.983193,0.983006,0.983006,0.983193
tpe,1,5,5,2,26,1,414149.00,10787.00,3087.00,60041.0,43043,0.974968,0.974772,0.983006,0.983193
tpe,2,19,22,1,30,1,416085.00,14044.00,1151.00,73419.0,52796,0.967930,0.967689,0.983006,0.983193
tpe,3,25,7,6,6,1,407966.00,6832.00,9270.00,58994.0,41205,0.983414,0.983220,0.983220,0.983414
tpe,4,10,16,13,9,1,408374.00,7640.00,8862.00,55392.0,36303,0.981578,0.981396,0.983220,0.983414
tpe,5,19,5,9,11,1,405474.00,5925.00,11762.00,57640.0,38818,0.985318,0.985129,0.985129,0.985318
tpe,6,14,24,6,16,1,409289.00,7992.00,7947.00,56537.0,37447,0.980850,0.980664,0.985129,0.985318
tpe,7,18,2,19,6,1,400508.00,3893.00,16728.00,63106.0,44140,0.989745,0.989538,0.989538,0.989745
tpe,8,2,29,29,25,1,414058.00,12745.00,3178.00,62721.0,39969,0.970574,0.970368,0.989538,0.989745
tpe,9,10,3,21,14,1,406385.00,6364.00,10851.00,55314.0,36547,0.984367,0.984186,0.989538,0.989745
tpe,10,29,11,18,1,1,386248.00,1225.00,30988.00,64743.0,45390,0.995309,0.995097,0.995097,0.995309
tpe,11,29,12,19,1,1,386096.00,1214.00,31140.00,65062.0,45586,0.995327,0.995114,0.995114,0.995327
tpe,12,29,12,18,1,1,386153.00,1226.00,31083.00,64735.0,45390,0.995301,0.995089,0.995114,0.995327
tpe,13,28,12,19,1,1,385775.00,1209.00,31461.00,64216.0,44852,0.995320,0.995109,0.995114,0.995327
tpe,14,30,11,18,1,1,386372.00,1222.00,30864.00,65618.0,46136,0.995325,0.995110,0.995114,0.995327
tpe,15,24,17,26,7,1,399811.00,4293.00,17425.00,64511.0,42749,0.988734,0.988523,0.995114,0.995327
tpe,16,24,17,24,5,1,399465.00,3936.00,17771.00,64067.0,42602,0.989564,0.989354,0.995114,0.995327
tpe,17,24,16,26,5,1,399245.00,3904.00,17991.00,64227.0,42680,0.989625,0.989414,0.995114,0.995327
tpe,18,24,17,26,5,1,399246.00,3905.00,17990.00,64235.0,42689,0.989622,0.989412,0.995114,0.995327
