method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
gp,0,7,20,29,15,1,226370.00,3098.00,1397.00,29867.0,19129,0.986645,0.986269,0.986269,0.986645
gp,1,11,8,29,21,1,225437.00,2089.00,2330.00,30079.0,20018,0.990798,0.990419,0.990419,0.990798
gp,2,7,26,19,23,1,226508.00,3407.00,1259.00,30452.0,19317,0.985366,0.984982,0.990419,0.990798
gp,3,11,11,24,21,1,225553.00,2349.00,2214.00,30302.0,19978,0.989705,0.989323,0.990419,0.990798
gp,4,4,8,24,3,1,224604.00,1535.00,3163.00,27503.0,18820,0.993069,0.992723,0.992723,0.993069
gp,5,7,1,1,1,1,153256.00,222.00,74511.00,19069.0,19390,0.988979,0.988739,0.992723,0.993069
gp,6,30,4,27,28,1,223410.00,985.00,4357.00,34528.0,23425,0.995311,0.994876,0.994876,0.995311
gp,7,15,15,29,1,1,219376.00,359.00,8391.00,30714.0,20952,0.997637,0.997250,0.997250,0.997637
gp,8,3,5,9,29,1,226064.00,2405.00,1703.00,27936.0,19825,0.989534,0.989182,0.997250,0.997637
gp,9,29,9,4,12,1,226094.00,2263.00,1673.00,34067.0,23170,0.990141,0.989712,0.997250,0.997637
gp,10,15,25,1,28,1,227386.00,4553.00,381.00,35253.0,23511,0.980723,0.980279,0.997250,0.997637
gp,11,1,1,28,4,1,222954.00,691.00,4813.00,33507.0,25281,0.996543,0.996121,0.997250,0.997637
gp,12,30,28,23,1,1,219968.00,303.00,7799.00,34377.0,23355,0.997945,0.997512,0.997512,0.997945
gp,13,28,1,21,29,1,223154.00,597.00,4613.00,35067.0,25225,0.996974,0.996532,0.997512,0.997945
gp,14,23,3,1,2,1,211500.00,743.00,16267.00,30137.0,23352,0.995044,0.994664,0.997512,0.997945
gp,15,22,27,25,1,1,219719.00,324.00,8048.00,32835.0,22277,0.997827,0.997413,0.997512,0.997945
gp,16,1,1,7,10,1,224629.00,2316.00,3138.00,28665.0,21898,0.989723,0.989362,0.997512,0.997945
gp,17,30,22,2,30,1,226999.00,3497.00,768.00,36870.0,24947,0.985062,0.984597,0.997512,0.997945
gp,18,23,1,27,30,1,223105.00,597.00,4662.00,34412.0,24980,0.996969,0.996535,0.997512,0.997945
gp,19,29,8,5,1,1,218910.00,391.00,8857.00,32775.0,23180,0.997447,0.997034,0.997512,0.997945
gp,20,30,7,29,1,1,220893.00,293.00,6874.00,34463.0,23445,0.998081,0.997647,0.997647,0.998081
gp,21,1,28,1,3,1,221884.00,1577.00,5883.00,27075.0,19677,0.992560,0.992219,0.997647,0.998081
gp,22,21,2,1,29,1,227230.00,4521.00,537.00,37645.0,26815,0.980829,0.980355,0.997647,0.998081
gp,23,1,8,30,28,1,226379.00,3074.00,1388.00,28851.0,19706,0.986748,0.986384,0.997647,0.998081
gp,24,27,25,13,10,1,224382.00,1334.00,3385.00,33978.0,22706,0.993909,0.993481,0.997647,0.998081
gp,25,22,2,19,1,1,221938.00,343.00,5829.00,33521.0,23542,0.997964,0.997542,0.997647,0.998081
gp,26,28,30,30,28,1,223537.00,1323.00,4230.00,34855.0,23123,0.993859,0.993420,0.997647,0.998081
gp,27,13,29,1,4,1,223307.00,1819.00,4460.00,30900.0,21561,0.991687,0.991298,0.997647,0.998081
gp,28,1,23,29,1,1,211745.00,337.00,16022.00,25635.0,18661,0.996936,0.996613,0.997647,0.998081
gp,29,19,7,23,30,1,224378.00,1422.00,3389.00,32248.0,21603,0.993529,0.993123,0.997647,0.998081
gp,30,18,4,20,1,1,221257.00,358.00,6510.00,31912.0,22053,0.997831,0.997429,0.997647,0.998081
gp,31,1,30,1,24,1,227444.00,4602.00,323.00,31526.0,21148,0.980529,0.980132,0.997647,0.998081
gp,32,29,24,29,27,1,223617.00,1326.00,4150.00,34813.0,23136,0.993856,0.993417,0.997647,0.998081
gp,33,29,29,3,3,1,224411.00,1551.00,3356.00,33606.0,23159,0.992977,0.992554,0.997647,0.998081
gp,34,25,5,2,26,1,226876.00,3178.00,891.00,35624.0,24430,0.986382,0.985933,0.997647,0.998081
gp,35,2,10,30,7,1,226123.00,2581.00,1644.00,28250.0,19223,0.988796,0.988440,0.997647,0.998081
gp,36,28,27,1,22,1,227056.00,4243.00,711.00,37761.0,25931,0.981956,0.981480,0.997647,0.998081
gp,37,30,1,28,23,1,222855.00,531.00,4912.00,35486.0,25422,0.997232,0.996785,0.997647,0.998081
gp,38,17,3,1,7,1,224916.00,2773.00,2851.00,33204.0,23989,0.987814,0.987396,0.997647,0.998081
gp,39,27,30,30,2,1,221859.00,495.00,5908.00,34132.0,22970,0.997288,0.996858,0.997647,0.998081
gp,40,29,1,29,12,1,222876.00,522.00,4891.00,35318.0,25362,0.997273,0.996828,0.997647,0.998081
gp,41,1,30,9,4,1,223789.00,1804.00,3978.00,27862.0,18975,0.991812,0.991461,0.997647,0.998081
gp,42,2,1,15,27,1,224446.00,1529.00,3321.00,32111.0,25042,0.993076,0.992672,0.997647,0.998081
gp,43,30,12,1,2,1,211495.00,711.00,16272.00,31684.0,23894,0.995190,0.994791,0.997647,0.998081
gp,44,5,12,29,1,1,215739.00,347.00,12028.00,25915.0,18344,0.997316,0.996989,0.997647,0.998081
gp,45,29,6,17,1,1,221210.00,345.00,6557.00,33894.0,23212,0.997883,0.997456,0.997647,0.998081
gp,46,30,29,30,30,1,223450.00,1319.00,4317.00,35188.0,23357,0.993867,0.993423,0.997647,0.998081
gp,47,1,26,30,3,1,222971.00,1552.00,4796.00,27397.0,18765,0.992801,0.992456,0.997647,0.998081
gp,48,18,1,27,24,1,223396.00,666.00,4371.00,33517.0,24636,0.996698,0.996276,0.997647,0.998081
gp,49,19,27,8,2,1,222949.00,730.00,4818.00,31984.0,21745,0.996372,0.995969,0.997647,0.998081
gp,50,30,1,21,18,1,223129.00,579.00,4638.00,35288.0,25308,0.997050,0.996605,0.997647,0.998081
gp,51,11,30,1,1,1,205717.00,335.00,22050.00,27313.0,20151,0.996274,0.995930,0.997647,0.998081
gp,52,5,5,30,3,1,224719.00,1422.00,3048.00,28014.0,19734,0.993569,0.993216,0.997647,0.998081
gp,53,30,30,30,6,1,223208.00,966.00,4559.00,34854.0,23269,0.995372,0.994933,0.997647,0.998081
gp,54,3,1,4,19,1,225554.00,3460.00,2213.00,28928.0,22806,0.984999,0.984635,0.997647,0.998081
gp,55,30,19,20,1,1,220540.00,323.00,7227.00,34255.0,23312,0.997914,0.997482,0.997647,0.998081
gp,56,21,1,29,27,1,223247.00,625.00,4520.00,34211.0,24910,0.996861,0.996430,0.997647,0.998081
gp,57,4,2,14,2,1,223539.00,766.00,4228.00,29768.0,23035,0.996277,0.995902,0.997647,0.998081
gp,58,2,28,27,2,1,219161.00,835.00,8606.00,26511.0,18579,0.995501,0.995167,0.997647,0.998081
gp,59,16,27,3,1,1,215602.00,363.00,12165.00,29799.0,21155,0.997229,0.996854,0.997647,0.998081
gp,60,29,3,21,1,1,221514.00,326.00,6253.00,34207.0,23526,0.997997,0.997566,0.997647,0.998081
gp,61,4,30,2,1,1,209009.00,328.00,18758.00,25673.0,18474,0.996678,0.996355,0.997647,0.998081
gp,62,30,19,29,29,1,223565.00,1251.00,4202.00,34998.0,23288,0.994174,0.993734,0.997647,0.998081
gp,63,22,29,30,3,1,223193.00,891.00,4574.00,33026.0,22082,0.995697,0.995280,0.997647,0.998081
gp,64,18,1,17,25,1,223635.00,718.00,4132.00,33374.0,24536,0.996496,0.996076,0.997647,0.998081
gp,65,29,17,14,1,1,220634.00,358.00,7133.00,33799.0,23118,0.997768,0.997342,0.997647,0.998081
gp,66,22,1,30,29,1,223076.00,590.00,4691.00,34341.0,24976,0.996997,0.996564,0.997647,0.998081
gp,67,2,4,26,2,1,223025.00,739.00,4742.00,28953.0,21428,0.996341,0.995976,0.997647,0.998081
gp,68,7,28,1,1,1,208109.00,350.00,19658.00,26252.0,19140,0.996475,0.996144,0.997647,0.998081
gp,69,29,30,28,19,1,223585.00,1234.00,4182.00,34780.0,23131,0.994250,0.993812,0.997647,0.998081
gp,70,30,1,23,8,1,222978.00,538.00,4789.00,35379.0,25377,0.997214,0.996768,0.997647,0.998081
gp,71,1,28,1,1,1,205376.00,320.00,22391.00,25025.0,19272,0.996306,0.995991,0.997647,0.998081
gp,72,30,30,8,15,1,225235.00,1728.00,2532.00,34274.0,23058,0.992316,0.991884,0.997647,0.998081
gp,73,16,20,30,1,1,219544.00,348.00,8223.00,31201.0,21278,0.997703,0.997310,0.997647,0.998081
gp,74,6,3,30,16,1,225242.00,1758.00,2525.00,28833.0,20604,0.992188,0.991825,0.997647,0.998081
gp,75,8,23,14,1,1,215704.00,372.00,12063.00,27600.0,19162,0.997199,0.996852,0.997647,0.998081
gp,76,28,1,30,24,1,222796.00,524.00,4971.00,35249.0,25330,0.997256,0.996812,0.997647,0.998081
gp,77,30,3,2,2,1,218513.00,834.00,9254.00,32906.0,24396,0.995434,0.995019,0.997647,0.998081
gp,78,30,28,25,11,1,223522.00,1121.00,4245.00,34862.0,23239,0.994733,0.994294,0.997647,0.998081
gp,79,1,4,24,10,1,225164.00,1826.00,2603.00,29665.0,21262,0.991888,0.991514,0.997647,0.998081
gp,80,20,16,9,1,1,220170.00,408.00,7597.00,31890.0,21837,0.997500,0.997098,0.997647,0.998081
gp,81,10,1,30,30,1,223593.00,735.00,4174.00,32518.0,25206,0.996418,0.996008,0.997647,0.998081
gp,82,28,27,30,18,1,223510.00,1201.00,4257.00,34758.0,23100,0.994385,0.993947,0.997647,0.998081
gp,83,29,1,2,19,1,226772.00,3230.00,995.00,37126.0,26813,0.986148,0.985681,0.997647,0.998081
gp,84,1,29,25,1,1,209427.00,324.00,18340.00,25704.0,18700,0.996743,0.996419,0.997647,0.998081
gp,85,30,5,29,17,1,223448.00,1026.00,4319.00,34542.0,23342,0.995137,0.994702,0.997647,0.998081
gp,86,4,29,6,1,1,210508.00,328.00,17259.00,25717.0,18117,0.996843,0.996519,0.997647,0.998081
gp,87,16,30,30,30,1,224673.00,1899.00,3094.00,32411.0,21251,0.991514,0.991106,0.997647,0.998081
gp,88,25,6,2,2,1,219444.00,850.00,8323.00,32283.0,23532,0.995466,0.995059,0.997647,0.998081
gp,89,2,1,18,7,1,223802.00,1049.00,3965.00,32020.0,25187,0.995077,0.994673,0.997647,0.998081
gp,90,29,2,18,12,1,223725.00,882.00,4042.00,34366.0,23953,0.995793,0.995360,0.997647,0.998081
gp,91,1,26,3,1,1,209637.00,327.00,18130.00,25303.0,18726,0.996752,0.996434,0.997647,0.998081
gp,92,30,29,30,24,1,223430.00,1241.00,4337.00,35181.0,23351,0.994202,0.993759,0.997647,0.998081
gp,93,13,17,30,2,1,222090.00,727.00,5677.00,30313.0,20453,0.996295,0.995913,0.997647,0.998081
gp,94,1,1,23,23,1,223795.00,1092.00,3972.00,32999.0,24785,0.994889,0.994474,0.997647,0.998081
gp,95,22,2,27,1,1,221827.00,325.00,5940.00,33654.0,23584,0.998033,0.997609,0.997647,0.998081
gp,96,1,25,3,1,1,209773.00,330.00,17994.00,25225.0,18689,0.996753,0.996436,0.997647,0.998081
gp,97,29,30,15,17,1,224195.00,1364.00,3572.00,34392.0,22961,0.993758,0.993325,0.997647,0.998081
gp,98,7,1,17,29,1,223915.00,890.00,3852.00,32118.0,25313,0.995779,0.995374,0.997647,0.998081
gp,99,30,11,2,2,1,218677.00,840.00,9090.00,32898.0,24019,0.995425,0.995011,0.997647,0.998081
gp,100,29,17,29,1,1,220358.00,298.00,7409.00,34202.0,23238,0.998006,0.997575,0.997647,0.998081
gp,101,6,3,18,30,1,225351.00,1797.00,2416.00,28693.0,20530,0.992035,0.991673,0.997647,0.998081
gp,102,1,25,3,1,1,209773.00,330.00,17994.00,25225.0,18689,0.996753,0.996436,0.997647,0.998081
gp,103,30,29,21,30,1,223853.00,1407.00,3914.00,34957.0,23225,0.993533,0.993092,0.997647,0.998081
gp,104,18,1,9,4,1,224131.00,813.00,3636.00,33062.0,24437,0.996136,0.995719,0.997647,0.998081
gp,105,30,1,30,4,1,222688.00,459.00,5079.00,35553.0,25467,0.997530,0.997082,0.997647,0.998081
gp,106,1,24,8,1,1,210826.00,331.00,16941.00,25535.0,18688,0.996864,0.996542,0.997647,0.998081
gp,107,14,2,13,29,1,224470.00,1145.00,3297.00,31519.0,22617,0.994735,0.994338,0.997647,0.998081
gp,108,29,26,19,19,1,224020.00,1324.00,3747.00,34537.0,23013,0.993911,0.993476,0.997647,0.998081
gp,109,25,9,2,1,1,209584.00,318.00,18183.00,30537.0,22767,0.996788,0.996404,0.997647,0.998081
gp,110,23,2,10,1,1,221856.00,390.00,5911.00,33252.0,23524,0.997749,0.997331,0.997647,0.998081
gp,111,30,23,29,23,1,223565.00,1257.00,4202.00,35038.0,23283,0.994148,0.993707,0.997647,0.998081
gp,112,3,28,23,3,1,223064.00,1539.00,4703.00,27104.0,18038,0.992868,0.992527,0.997647,0.998081
gp,113,7,1,22,28,1,223701.00,792.00,4066.00,32399.0,25504,0.996181,0.995773,0.997647,0.998081
gp,114,29,30,10,10,1,224673.00,1436.00,3094.00,34035.0,22867,0.993503,0.993075,0.997647,0.998081
gp,115,1,1,20,1,1,218488.00,343.00,9279.00,31355.0,24269,0.997618,0.997223,0.997647,0.998081
gp,116,30,26,30,17,1,223416.00,1184.00,4351.00,35049.0,23309,0.994448,0.994006,0.997647,0.998081
gp,117,14,30,1,1,1,203656.00,328.00,24111.00,27914.0,20917,0.996069,0.995718,0.997647,0.998081
gp,118,28,2,12,28,1,224166.00,1041.00,3601.00,34075.0,23823,0.995151,0.994722,0.997647,0.998081
gp,119,28,15,16,2,1,222669.00,572.00,5098.00,34062.0,23071,0.997033,0.996604,0.997647,0.998081
gp,120,26,27,13,1,1,220130.00,357.00,7637.00,33329.0,22741,0.997722,0.997302,0.997647,0.998081
gp,121,3,1,27,28,1,223420.00,873.00,4347.00,33251.0,26029,0.995799,0.995380,0.997647,0.998081
gp,122,30,5,30,9,1,223304.00,957.00,4463.00,34596.0,23379,0.995421,0.994986,0.997647,0.998081
gp,123,1,18,30,1,1,213090.00,341.00,14677.00,25619.0,18656,0.997063,0.996740,0.997647,0.998081
gp,124,28,11,13,29,1,224418.00,1405.00,3349.00,34082.0,22886,0.993607,0.993178,0.997647,0.998081
gp,125,11,1,23,1,1,222638.00,365.00,5129.00,32697.0,25117,0.997937,0.997525,0.997647,0.998081
gp,126,30,25,24,27,1,223667.00,1326.00,4100.00,35031.0,23279,0.993861,0.993420,0.997647,0.998081
gp,127,23,24,1,2,1,213554.00,755.00,14213.00,30780.0,22924,0.995227,0.994839,0.997647,0.998081
gp,128,21,5,12,22,1,224563.00,1379.00,3204.00,32588.0,22070,0.993736,0.993326,0.997647,0.998081
gp,129,1,28,17,2,1,219116.00,835.00,8651.00,26788.0,18931,0.995496,0.995159,0.997647,0.998081
gp,130,30,26,30,1,1,220026.00,283.00,7741.00,34503.0,23397,0.998040,0.997605,0.997647,0.998081
gp,131,7,1,16,28,1,223936.00,905.00,3831.00,31994.0,25228,0.995716,0.995313,0.997647,0.998081
gp,132,2,20,4,2,1,219911.00,855.00,7856.00,26255.0,18726,0.995496,0.995165,0.997647,0.998081
gp,133,28,2,7,7,1,225136.00,1397.00,2631.00,33831.0,23819,0.993725,0.993299,0.997647,0.998081
gp,134,28,11,25,24,1,223638.00,1196.00,4129.00,34463.0,23030,0.994421,0.993987,0.997647,0.998081
gp,135,28,1,18,4,1,223282.00,586.00,4485.00,34961.0,25172,0.997035,0.996595,0.997647,0.998081
gp,136,5,30,30,1,1,211063.00,328.00,16704.00,25989.0,18198,0.996904,0.996576,0.997647,0.998081
gp,137,3,1,24,28,1,223606.00,943.00,4161.00,32883.0,25760,0.995515,0.995101,0.997647,0.998081
gp,138,30,26,25,20,1,223608.00,1230.00,4159.00,35006.0,23273,0.994270,0.993829,0.997647,0.998081
gp,139,18,23,1,1,1,199376.00,308.00,28391.00,28439.0,21520,0.995657,0.995299,0.997647,0.998081
gp,140,17,30,13,1,1,219454.00,372.00,8313.00,31429.0,21451,0.997587,0.997191,0.997647,0.998081
gp,141,30,3,30,30,1,223247.00,912.00,4520.00,34625.0,23545,0.995611,0.995175,0.997647,0.998081
gp,142,1,1,24,3,1,222990.00,721.00,4777.00,32939.0,24897,0.996416,0.996001,0.997647,0.998081
gp,143,27,1,1,1,1,184201.00,234.00,43566.00,28052.0,23831,0.994060,0.993707,0.997647,0.998081
gp,144,28,16,11,19,1,224636.00,1481.00,3131.00,34130.0,22884,0.993305,0.992875,0.997647,0.998081
gp,145,19,8,12,1,1,220760.00,369.00,7007.00,31777.0,21774,0.997732,0.997332,0.997647,0.998081
gp,146,4,1,27,30,1,223387.00,831.00,4380.00,33121.0,26064,0.995978,0.995561,0.997647,0.998081
gp,147,30,29,29,15,1,223519.00,1177.00,4248.00,35004.0,23280,0.994490,0.994049,0.997647,0.998081
gp,148,2,30,20,2,1,219026.00,836.00,8741.00,26514.0,18571,0.995482,0.995148,0.997647,0.998081
gp,149,30,2,18,22,1,223691.00,871.00,4076.00,34572.0,24045,0.995837,0.995402,0.997647,0.998081
