method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
random,0,12,29,22,18,1,225434.00,2371.00,2333.00,31282.0,20230,0.989595,0.989201,0.989201,0.989595
random,1,5,5,2,26,1,226857.00,2981.00,910.00,29645.0,21337,0.987208,0.986834,0.989201,0.989595
random,2,19,22,1,30,1,227342.00,4501.00,425.00,36225.0,24447,0.980931,0.980475,0.989201,0.989595
random,3,25,7,6,6,1,225474.00,1703.00,2293.00,33011.0,22399,0.992452,0.992036,0.992036,0.992452
random,4,10,16,13,9,1,225678.00,2261.00,2089.00,30188.0,19754,0.990096,0.989715,0.992036,0.992452
random,5,19,5,9,11,1,225091.00,1549.00,2676.00,31914.0,21669,0.993067,0.992665,0.992665,0.993067
random,6,14,24,6,16,1,225890.00,2428.00,1877.00,31542.0,20800,0.989413,0.989016,0.992665,0.993067
random,7,18,2,19,6,1,224079.00,966.00,3688.00,32515.0,22910,0.995467,0.995057,0.995057,0.995467
random,8,2,29,29,25,1,227233.00,4474.00,534.00,30626.0,19466,0.981025,0.980639,0.995057,0.995467
random,9,10,3,21,14,1,225011.00,1595.00,2756.00,29700.0,20841,0.992860,0.992485,0.995057,0.995467
random,10,4,15,2,28,1,227269.00,4008.00,498.00,29867.0,19555,0.982968,0.982592,0.995057,0.995467
random,11,8,20,10,16,1,226267.00,2897.00,1500.00,30136.0,19496,0.987479,0.987099,0.995057,0.995467
random,12,17,6,30,24,1,224462.00,1507.00,3305.00,31801.0,21329,0.993173,0.992772,0.995057,0.995467
random,13,29,27,18,28,1,224062.00,1452.00,3705.00,34617.0,23037,0.993363,0.992927,0.995057,0.995467
random,14,3,6,2,10,1,226578.00,2916.00,1189.00,28623.0,20661,0.987442,0.987082,0.995057,0.995467
random,15,12,9,25,11,1,225306.00,2087.00,2461.00,30447.0,20079,0.990789,0.990406,0.995057,0.995467
random,16,9,17,5,25,1,226531.00,3025.00,1236.00,30566.0,19833,0.986976,0.986591,0.995057,0.995467
random,17,3,30,24,6,1,225427.00,2417.00,2340.00,28351.0,18322,0.989399,0.989041,0.995057,0.995467
random,18,1,25,22,22,1,227197.00,4288.00,570.00,30565.0,19673,0.981792,0.981406,0.995057,0.995467
random,19,24,3,11,4,1,224355.00,1051.00,3412.00,33069.0,22656,0.995129,0.994712,0.995057,0.995467
random,20,26,19,10,2,1,222888.00,655.00,4879.00,33376.0,22689,0.996693,0.996273,0.996273,0.996693
random,21,10,10,22,20,1,225664.00,2416.00,2103.00,29913.0,19732,0.989434,0.989058,0.996273,0.996693
random,22,27,15,4,22,1,226187.00,2367.00,1580.00,34097.0,23050,0.989712,0.989282,0.996273,0.996693
random,23,23,17,24,15,1,223980.00,1351.00,3787.00,33504.0,22240,0.993790,0.993367,0.996273,0.996693
random,24,16,13,1,4,1,222903.00,1792.00,4864.00,31563.0,22509,0.991754,0.991356,0.996273,0.996693
random,25,1,20,10,16,1,227049.00,3833.00,718.00,29654.0,19400,0.983664,0.983290,0.996273,0.996693
random,26,28,8,13,23,1,224380.00,1316.00,3387.00,33976.0,22891,0.993987,0.993559,0.996273,0.996693
random,27,7,3,9,5,1,225368.00,1595.00,2399.00,28778.0,20590,0.992902,0.992540,0.996273,0.996693
random,28,28,25,20,27,1,223964.00,1371.00,3803.00,34605.0,23022,0.993701,0.993265,0.996273,0.996693
random,29,25,6,27,17,1,223764.00,1172.00,4003.00,33634.0,22577,0.994539,0.994116,0.996273,0.996693
random,30,25,27,10,4,1,224184.00,1111.00,3583.00,33219.0,22378,0.994850,0.994432,0.996273,0.996693
random,31,7,13,25,26,1,226377.00,3142.00,1390.00,29395.0,19091,0.986461,0.986091,0.996273,0.996693
random,32,1,16,13,7,1,226067.00,2658.00,1700.00,28280.0,18951,0.988462,0.988106,0.996273,0.996693
random,33,4,11,29,10,1,226550.00,3071.00,1217.00,28563.0,18737,0.986785,0.986425,0.996273,0.996693
random,34,16,22,11,30,1,225145.00,1949.00,2622.00,32159.0,21205,0.991359,0.990954,0.996273,0.996693
random,35,29,8,15,10,1,224154.00,1188.00,3613.00,34095.0,22949,0.994514,0.994084,0.996273,0.996693
random,36,9,2,19,16,1,224710.00,1286.00,3057.00,30479.0,22318,0.994154,0.993770,0.996273,0.996693
random,37,2,9,28,8,1,226262.00,2635.00,1505.00,28343.0,19313,0.988586,0.988229,0.996273,0.996693
random,38,5,15,30,8,1,226036.00,2506.00,1731.00,28314.0,18475,0.989102,0.988745,0.996273,0.996693
random,39,21,23,8,22,1,225342.00,1873.00,2425.00,32978.0,21981,0.991709,0.991293,0.996273,0.996693
