method,eval,param_1,param_2,param_3,param_4,param_5,good,bad,missed,trie_nodes,n_patterns,f_17,score,best_score_so_far,best_f17_so_far
tpe,0,12,29,22,18,1,225434.00,2371.00,2333.00,31282.0,20230,0.989595,0.989201,0.989201,0.989595
tpe,1,5,5,2,26,1,226857.00,2981.00,910.00,29645.0,21337,0.987208,0.986834,0.989201,0.989595
tpe,2,19,22,1,30,1,227342.00,4501.00,425.00,36225.0,24447,0.980931,0.980475,0.989201,0.989595
tpe,3,25,7,6,6,1,225474.00,1703.00,2293.00,33011.0,22399,0.992452,0.992036,0.992036,0.992452
tpe,4,10,16,13,9,1,225678.00,2261.00,2089.00,30188.0,19754,0.990096,0.989715,0.992036,0.992452
tpe,5,19,5,9,11,1,225091.00,1549.00,2676.00,31914.0,21669,0.993067,0.992665,0.992665,0.993067
tpe,6,14,24,6,16,1,225890.00,2428.00,1877.00,31542.0,20800,0.989413,0.989016,0.992665,0.993067
tpe,7,18,2,19,6,1,224079.00,966.00,3688.00,32515.0,22910,0.995467,0.995057,0.995057,0.995467
tpe,8,2,29,29,25,1,227233.00,4474.00,534.00,30626.0,19466,0.981025,0.980639,0.995057,0.995467
tpe,9,10,3,21,14,1,225011.00,1595.00,2756.00,29700.0,20841,0.992860,0.992485,0.995057,0.995467
tpe,10,29,11,18,1,1,220759.00,337.00,7008.00,33881.0,23120,0.997874,0.997447,0.997447,0.997874
tpe,11,29,12,19,1,1,220759.00,334.00,7008.00,33891.0,23117,0.997887,0.997460,0.997460,0.997887
tpe,12,29,12,18,1,1,220750.00,337.00,7017.00,33864.0,23099,0.997873,0.997446,0.997460,0.997887
tpe,13,28,12,19,1,1,220810.00,334.00,6957.00,33875.0,23092,0.997892,0.997465,0.997465,0.997892
tpe,14,30,11,18,1,1,220757.00,332.00,7010.00,34116.0,23264,0.997896,0.997466,0.997466,0.997896
tpe,15,24,17,26,7,1,223763.00,1137.00,4004.00,33571.0,22361,0.994691,0.994268,0.997466,0.997896
tpe,16,24,17,24,5,1,223604.00,998.00,4163.00,33517.0,22373,0.995276,0.994854,0.997466,0.997896
tpe,17,24,16,26,5,1,223580.00,995.00,4187.00,33514.0,22371,0.995286,0.994864,0.997466,0.997896
tpe,18,24,17,26,5,1,223579.00,995.00,4188.00,33516.0,22372,0.995286,0.994864,0.997466,0.997896
tpe,19,24,17,26,5,1,223579.00,995.00,4188.00,33516.0,22372,0.995286,0.994864,0.997466,0.997896
tpe,20,30,9,14,20,1,224335.00,1357.00,3432.00,34303.0,23049,0.993805,0.993373,0.997466,0.997896
tpe,21,28,9,13,12,1,224393.00,1329.00,3374.00,34035.0,22867,0.993932,0.993503,0.997466,0.997896
tpe,22,27,9,14,21,1,224369.00,1357.00,3398.00,33922.0,22726,0.993809,0.993381,0.997466,0.997896
tpe,23,30,9,13,20,1,224396.00,1384.00,3371.00,34251.0,23028,0.993695,0.993264,0.997466,0.997896
tpe,24,30,8,13,12,1,224355.00,1275.00,3412.00,34189.0,23052,0.994161,0.993730,0.997466,0.997896
tpe,25,27,12,17,1,1,220787.00,345.00,6980.00,33633.0,22927,0.997841,0.997417,0.997466,0.997896
tpe,26,27,13,17,2,1,222651.00,568.00,5116.00,33849.0,22903,0.997049,0.996623,0.997466,0.997896
tpe,27,27,13,16,2,1,222699.00,577.00,5068.00,33826.0,22897,0.997015,0.996589,0.997466,0.997896
tpe,28,27,13,17,2,1,222651.00,568.00,5116.00,33849.0,22903,0.997049,0.996623,0.997466,0.997896
tpe,29,21,13,17,2,1,222689.00,607.00,5078.00,32737.0,22122,0.996882,0.996470,0.997466,0.997896
tpe,30,21,20,22,9,1,224145.00,1355.00,3622.00,33164.0,21994,0.993791,0.993374,0.997466,0.997896
tpe,31,21,20,22,10,1,224149.00,1355.00,3618.00,33168.0,21995,0.993792,0.993374,0.997466,0.997896
tpe,32,22,20,21,9,1,224087.00,1326.00,3680.00,33280.0,22118,0.993910,0.993491,0.997466,0.997896
tpe,33,21,20,21,8,1,224074.00,1245.00,3693.00,33072.0,21974,0.994258,0.993842,0.997466,0.997896
tpe,34,21,21,21,9,1,224174.00,1359.00,3593.00,33168.0,21980,0.993777,0.993360,0.997466,0.997896
tpe,35,26,11,10,4,1,224291.00,1097.00,3476.00,33325.0,22507,0.994923,0.994503,0.997466,0.997896
tpe,36,26,11,10,3,1,224133.00,1029.00,3634.00,33236.0,22476,0.995200,0.994781,0.997466,0.997896
tpe,37,26,11,10,3,1,224133.00,1029.00,3634.00,33236.0,22476,0.995200,0.994781,0.997466,0.997896
tpe,38,26,6,10,3,1,224278.00,1051.00,3489.00,33238.0,22548,0.995120,0.994702,0.997466,0.997896
tpe,39,26,6,19,3,1,223702.00,910.00,4065.00,33600.0,22643,0.995669,0.995246,0.997466,0.997896
tpe,40,29,15,19,7,1,223874.00,1110.00,3893.00,34242.0,22946,0.994820,0.994389,0.997466,0.997896
tpe,41,16,15,19,30,1,224761.00,1756.00,3006.00,31977.0,21115,0.992138,0.991735,0.997466,0.997896
tpe,42,7,15,19,1,1,216227.00,371.00,11540.00,26826.0,18717,0.997259,0.996921,0.997466,0.997896
tpe,43,15,15,19,30,1,224872.00,1960.00,2895.00,31707.0,20851,0.991278,0.990878,0.997466,0.997896
tpe,44,29,15,24,28,1,223695.00,1268.00,4072.00,34607.0,23070,0.994116,0.993680,0.997466,0.997896
tpe,45,29,4,15,1,1,221479.00,351.00,6288.00,33946.0,23379,0.997884,0.997456,0.997466,0.997896
tpe,46,29,4,15,1,1,221479.00,351.00,6288.00,33946.0,23379,0.997884,0.997456,0.997466,0.997896
tpe,47,29,10,24,1,1,220659.00,306.00,7108.00,34127.0,23216,0.998001,0.997571,0.997571,0.998001
tpe,48,28,4,15,1,1,221551.00,352.00,6216.00,33953.0,23373,0.997886,0.997459,0.997571,0.998001
tpe,49,29,4,15,1,1,221479.00,351.00,6288.00,33946.0,23379,0.997884,0.997456,0.997571,0.998001
tpe,50,23,1,30,6,1,222997.00,555.00,4770.00,34413.0,24992,0.997141,0.996708,0.997571,0.998001
tpe,51,23,2,29,6,1,223539.00,823.00,4228.00,33572.0,23440,0.996029,0.995607,0.997571,0.998001
tpe,52,23,1,24,6,1,223122.00,576.00,4645.00,34363.0,24958,0.997062,0.996629,0.997571,0.998001
tpe,53,23,2,30,4,1,223397.00,757.00,4370.00,33592.0,23460,0.996302,0.995879,0.997571,0.998001
