observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,11,24,21,4,2,3,167774,13122,193,0.9287887304856326,0.9287803001337277,1345344,135,328,7439,10226
2,22,21,2,24,2,2,167796,6648,171,0.9626051676952102,0.9625958445141333,1345644,279,28,8444,11309
3,21,7,26,19,1,3,167816,11075,151,0.9392378861617893,0.9392300427852956,1345589,197,83,7297,9514
4,7,20,29,15,1,5,167758,14449,209,0.9221414428805281,0.9221322046130289,1345586,239,86,8015,11206
5,28,21,1,12,2,5,167554,11799,413,0.935401189603165,0.9353922275108945,1343784,224,1888,8750,10871
6,22,29,18,26,2,2,167792,6633,175,0.9626850531831397,0.9626758627310532,1345624,254,48,8179,11148
7,28,2,29,4,1,3,167753,8783,214,0.9511714991362779,0.9511627406717132,1345449,60,223,8585,10624
8,1,1,25,30,2,1,167643,14273,324,0.9229561242526442,0.9229493443568818,1344431,696,1241,6052,8224
9,1,8,1,1,1,5,150639,13533,17328,0.9171441461352018,0.9171389045766831,1206150,0,139522,6236,6358
10,1,30,30,5,1,2,167684,14999,283,0.919377233280048,0.9193653041589777,1345256,232,416,10130,14470
11,21,25,21,29,2,2,167796,6633,171,0.9626863513753549,0.9626772713933598,1345624,254,48,8094,11014
12,24,3,30,1,1,1,167735,5841,232,0.9669739776283033,0.9669633279817251,1345501,127,171,9880,12918
13,2,28,27,6,1,3,167697,14955,270,0.9196016852537011,0.9195907437682246,1345302,213,370,9341,13272
14,1,2,1,8,1,4,162268,14368,5699,0.9195601878743499,0.9195542818464751,1300782,168,44890,7227,7164
15,26,28,2,1,1,5,166286,11722,1681,0.9352040789353951,0.9351965133829375,1332966,2,12706,7508,9177
16,17,30,21,25,1,1,167770,6092,197,0.965615523059488,0.9656053227129087,1345613,253,59,9137,12373
17,24,4,1,1,2,2,167340,5986,627,0.9660613090425163,0.9660523766287777,1341782,54,3890,8765,10835
18,10,4,30,13,1,1,167796,7488,171,0.9580806321153315,0.9580720484243443,1345616,233,56,7833,10412
19,26,23,29,4,2,1,167635,5646,332,0.9680108043483483,0.968001814226353,1344481,683,1191,8049,10905
20,24,1,16,29,2,1,167606,5818,361,0.9670607586677796,0.9670524379615625,1344265,448,1407,7729,10093
21,30,30,30,2,1,1,167732,5642,235,0.9680614519213422,0.9680495343419233,1345520,155,152,10917,14456
22,25,30,8,29,2,2,167786,6024,181,0.9659909424171848,0.965981556581429,1345630,258,42,8455,11385
23,30,3,26,28,1,2,167755,6097,212,0.9655836527386937,0.9655744507449558,1345523,143,149,8692,11162
24,11,23,2,1,2,1,167715,6650,252,0.9625680050579373,0.9625609110643775,1344625,697,1047,6312,8605
25,16,1,9,13,1,2,167751,9216,216,0.9488876444534949,0.9488790236643427,1345412,43,260,8665,10457
26,30,9,30,30,1,2,167785,6116,182,0.9654894698148809,0.965480201044446,1345608,240,64,8506,11243
27,30,3,6,5,2,1,167635,5624,332,0.9681313352872105,0.9681223575312703,1344434,599,1238,8275,10890
28,15,17,29,1,2,1,167672,6120,295,0.9654326603349349,0.9654251689788074,1344515,605,1157,6697,9087
29,8,30,24,28,1,1,167805,9373,162,0.9480841643135707,0.9480748518497414,1345632,261,40,8136,11296
30,27,29,1,20,1,2,167762,6091,205,0.9656184972908208,0.9656080298374532,1345637,359,35,9702,12697
31,20,3,19,8,2,1,167672,5981,295,0.9661904786051896,0.9661824406694304,1344525,628,1147,7282,9750
32,29,30,1,29,2,1,167687,5705,280,0.9677032146742189,0.9676940918232332,1344698,890,974,8425,11066
33,11,25,29,23,2,1,167732,6687,235,0.9623732772673765,0.9623659953097805,1344800,908,872,6347,8833
