observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,1,5,26708,3644,598,0.8817117118306776,0.8816473239435895,215752,244,507,8341,13540
2,21,7,26,19,1,3,26583,2087,723,0.92808923174894,0.9280173065796483,215527,160,732,10201,15125
3,22,21,2,24,2,2,26646,858,660,0.9689440451722979,0.9688662899033335,215862,263,397,11534,16351
4,11,24,21,4,2,3,26676,2573,630,0.9132445102967668,0.9131777684950473,215613,203,646,9055,14035
5,28,21,1,12,2,5,26645,2267,661,0.9226146369029234,0.9225441240824106,214690,299,1569,11229,14828
6,1,1,25,30,2,1,26565,3572,741,0.8831337901981291,0.8831036838677632,213382,1826,2877,4309,6331
7,22,29,18,26,2,2,26500,806,806,0.970482677799751,0.97040240693313,215321,118,938,11402,16880
8,1,30,30,5,1,2,26750,4056,556,0.8703149401353463,0.8702315972912468,215866,314,393,10539,17526
9,28,2,29,4,1,3,26446,983,860,0.9642484979877156,0.9641700103897547,215238,56,1021,11679,16505
10,1,8,1,1,1,5,22705,2961,4601,0.8835042881379676,0.8834674386743747,180998,6,35261,6777,7749
11,21,25,21,29,2,2,26491,814,815,0.9701878995144484,0.9701078093523849,215281,110,978,11359,16842
12,2,28,27,6,1,3,26749,4016,557,0.871421581179457,0.871343749824363,215836,304,423,9784,16367
13,24,3,30,1,1,1,26406,729,900,0.9730116933852451,0.9729203805190806,215030,44,1229,13566,19202
14,26,28,2,1,1,5,25611,2041,1695,0.9264216272841316,0.9263611673434787,205205,6,11054,9784,12714
15,1,2,1,8,1,4,25816,3604,1490,0.8787611836452931,0.8787136155482071,207006,224,9253,8484,10003
16,15,1,3,7,2,1,26442,653,864,0.9757476414450307,0.9757053756000942,213100,1406,3159,6273,8888
17,16,1,29,30,2,1,26230,652,1076,0.9754381476269669,0.9753906270837119,211921,848,4338,6778,9993
18,30,26,23,23,1,1,26393,728,913,0.973024586447039,0.9729302919556748,215057,53,1202,14138,19829
19,24,13,29,1,1,2,26444,801,862,0.9705566496930583,0.9704763217618402,214963,19,1296,11559,16892
20,20,18,1,30,2,2,26677,913,629,0.96710740014617,0.9670268915103943,215944,307,315,12052,16930
21,30,13,26,8,2,2,26463,814,843,0.9701373802221459,0.9700535190412892,215231,86,1028,12088,17635
22,14,30,3,29,2,1,26476,700,830,0.9741487788186294,0.9741058947738908,213302,1607,2957,6279,9018
23,15,4,4,1,2,1,26400,660,906,0.9754324047512426,0.9753891783189212,212941,1311,3318,6291,9090
24,30,3,9,29,1,1,26423,718,883,0.9734272020276817,0.9733356704138949,215217,69,1042,13812,19248
25,29,30,30,29,2,3,26506,829,800,0.9696931561013551,0.9696143261158114,215291,110,968,11140,16577
26,11,3,1,12,2,1,26649,866,657,0.9686734164957642,0.968634512706675,214082,2206,2177,5897,8181
27,30,5,30,1,2,2,26456,798,850,0.9706828535199361,0.9706001574079374,215162,66,1097,12013,17390
28,19,30,7,30,1,1,26488,794,818,0.9708794801645598,0.9707944348933127,215348,105,911,12475,17884
29,13,14,29,23,1,2,26610,2168,696,0.9256115784581905,0.9255395391597047,215583,194,676,10109,15149
30,29,26,1,1,2,2,26319,920,987,0.9661773678302106,0.9661027748910034,212487,173,3772,11802,15686
31,12,27,27,29,1,1,26482,820,824,0.9699627281144879,0.9698807167776546,215241,107,1018,11693,17246
32,30,4,26,18,1,2,26459,791,847,0.9709325708447947,0.9708496417190243,215223,77,1036,12034,17439
33,28,30,30,1,1,1,26395,732,911,0.9728874207628442,0.9727940107727354,215021,42,1238,13979,19643
34,30,22,1,30,2,3,26692,1002,614,0.9640890203942465,0.9640025913065192,216063,369,196,12970,18175
35,12,29,3,4,1,1,26560,824,746,0.9699646927008696,0.9698867709934968,215677,208,582,11312,16386
36,18,5,27,26,1,1,26456,802,850,0.970543263572785,0.9704574764617753,215146,73,1113,12453,18040
37,22,20,2,30,1,2,26646,858,660,0.9689440451722979,0.9688661995510547,215863,264,396,11536,16370
38,12,2,9,2,2,1,26316,755,990,0.9719416303179604,0.971898960265461,212404,1191,3855,6035,8973
39,28,26,5,1,2,2,26546,814,760,0.9702868388079646,0.9702082846346404,215453,171,806,11608,16519
40,30,27,30,17,2,4,26578,2086,728,0.9281051959643593,0.9280303700113804,215438,147,821,10474,15735
41,30,25,29,14,2,3,26502,815,804,0.9701729120342881,0.9700940012072319,215293,112,966,11188,16594
42,14,27,12,1,2,1,26289,649,1017,0.9756410751238804,0.9755945864987567,212233,1047,4026,6563,9776
43,10,1,29,7,1,1,26464,878,842,0.9679137187432337,0.9678352977206361,215206,72,1053,11345,16491
44,25,30,3,29,2,1,26403,597,903,0.9776672843044466,0.9776184179877762,213066,1338,3193,7383,10276
45,30,5,1,2,2,2,26538,960,768,0.9652231601183671,0.9651457472369853,214681,219,1578,12152,16279
46,28,30,27,2,1,1,26398,732,908,0.9728925697808469,0.9727990837046087,215033,47,1226,13980,19659
47,11,4,16,2,1,1,26489,786,817,0.9711603255947987,0.9710811674878216,215257,99,1002,11282,16646
48,27,1,30,23,1,2,26400,879,906,0.9677582539881537,0.967674388051914,215179,43,1080,12752,17636
49,12,27,21,30,1,1,26481,819,825,0.9699957362824778,0.969913796276391,215260,109,999,11685,17231
50,16,28,1,5,2,5,26444,2954,862,0.9007990145850139,0.9007375560139114,212441,213,3818,9534,12924
51,10,29,18,2,2,1,26357,787,949,0.9708905951396901,0.9708474780811799,212576,1334,3683,6042,9067
52,24,12,27,8,2,2,26475,808,831,0.9703681277961079,0.9702875002757548,215259,105,1000,11500,16955
53,14,3,21,30,2,1,26277,648,1029,0.9756570285401124,0.9756111771363233,212165,1067,4094,6470,9642
54,23,1,1,1,2,1,26512,745,794,0.9726326015354035,0.9725858561195928,213274,1831,2985,7356,9830
55,30,30,29,27,1,2,26463,814,843,0.9701373802221459,0.9700532099413881,215225,86,1034,12135,17700
56,30,29,5,27,2,1,26287,563,1019,0.9786992276738775,0.978646704467608,212533,983,3726,7855,11045
57,30,3,29,23,1,1,26393,729,913,0.9729894328916364,0.9728951146233568,215030,48,1229,14152,19834
58,30,28,30,2,1,2,26457,813,849,0.9701614038793257,0.9700774618569564,215189,68,1070,12130,17652
59,8,20,28,30,2,1,26430,2106,876,0.9269976220038301,0.926957153693703,212906,1585,3353,5638,8510
60,26,4,2,3,2,1,26480,603,826,0.9775741247056756,0.9775255532227569,213366,1534,2893,7450,10214
61,10,27,30,1,1,1,26496,825,810,0.9698140970033712,0.9697345014011495,215201,85,1058,11322,16738
62,13,30,3,28,2,1,26490,823,816,0.9698727998459333,0.9698306243532756,213391,1688,2868,6149,8869
63,29,28,7,5,2,3,26607,838,699,0.9695644157068926,0.9694894661139534,215686,208,573,10865,15761
64,16,4,1,6,1,1,26635,839,671,0.9695806140665089,0.9694996679354886,215841,262,418,12284,17022
65,28,9,19,30,2,1,26143,552,1163,0.9788738775507149,0.9788188577683212,211696,688,4563,8048,11570
66,16,1,2,2,1,1,26572,793,734,0.9710632506718725,0.9709842922909854,215665,199,594,11997,16604
67,27,9,1,30,1,1,26611,772,695,0.9718619825239415,0.9717736512829768,215856,255,403,13825,18575
68,30,15,28,2,1,3,26475,798,831,0.9707168014853893,0.9706393458055598,215023,27,1236,11122,16288
69,22,25,21,28,2,1,26182,641,1124,0.9757511927628496,0.9756992069148697,211804,777,4455,7499,10932
70,29,30,5,8,1,1,26483,724,823,0.9733183676859625,0.9732300602219132,215502,145,757,13396,18570
71,11,3,8,28,1,1,26500,781,806,0.9713542143943698,0.9712757981271553,215312,111,947,11217,16490
72,11,27,2,1,2,1,26556,830,750,0.9697492002746088,0.9697092693227712,213607,1777,2652,5907,8397
73,11,27,29,26,1,1,26497,811,809,0.9703031643520791,0.9702221326241631,215252,110,1007,11508,17040
74,30,28,6,30,1,3,26602,838,704,0.9695553355794225,0.969480067375816,215732,225,527,10968,15828
75,20,10,23,9,2,1,26200,647,1106,0.9755668900044608,0.975516278462195,211882,836,4377,7251,10643
76,26,6,29,21,2,1,26128,548,1178,0.9789947767960852,0.9789399757613138,211585,673,4674,7940,11524
77,11,1,6,29,2,1,26368,751,938,0.9721731653955317,0.9721322976332247,212703,1207,3556,5892,8594
78,11,25,2,1,1,1,26587,812,719,0.9704297601866472,0.9703538024524921,215593,193,666,11160,15973
79,30,30,26,2,1,2,26459,813,847,0.9701650149526926,0.9700810871964726,215198,69,1061,12124,17649
80,30,29,6,30,1,3,26601,841,705,0.969449635704727,0.9693742105734784,215732,225,527,10988,15861
81,24,30,18,1,1,1,26418,719,888,0.9733835709006284,0.9732930046296097,215126,49,1133,13480,19045
82,29,17,30,24,2,1,26119,541,1187,0.9792328698920104,0.9791766279761617,211553,633,4706,8196,11827
83,13,28,6,29,1,1,26527,828,779,0.9697660526679441,0.9696856629167457,215507,161,752,11646,16905
84,23,1,12,30,2,2,26502,885,804,0.9677426422419554,0.9676648822176078,215471,131,788,11697,16352
85,10,5,1,1,1,1,26612,843,694,0.9694004302779905,0.969326331898625,215479,219,780,11089,15582
86,26,25,28,28,2,1,26132,546,1174,0.9790727508152695,0.9790178832051348,211595,682,4664,7953,11538
87,30,4,30,4,1,1,26393,729,913,0.9729894328916364,0.9728950670695258,215032,51,1227,14152,19844
88,12,2,2,7,1,1,26585,800,721,0.9708429407283679,0.9707675774170995,215710,213,549,11209,15848
89,28,30,12,1,2,2,26508,816,798,0.9701489259849713,0.970068441126111,215381,127,878,11756,16925
90,30,13,1,22,1,3,26701,1031,605,0.9631186272430445,0.9630305813250654,216079,426,180,13274,18515
91,11,3,24,3,1,1,26494,782,812,0.9713087408254694,0.971229620761557,215243,99,1016,11305,16638
92,27,30,29,2,2,1,26126,547,1180,0.979027687529557,0.9789723253595807,211578,664,4681,8047,11642
93,17,20,1,2,2,1,26618,776,688,0.9717350607325287,0.9716913349849825,213910,2077,2349,6678,9195
94,13,3,1,29,1,1,26635,842,671,0.9694768574026393,0.9693980892370759,215861,259,398,11848,16564
95,29,14,15,20,1,3,26557,818,749,0.9701676285416397,0.9700924221580135,215547,171,712,10735,15815
96,12,8,30,28,1,1,26481,813,825,0.970204702530644,0.9701232618397819,215239,103,1020,11611,17126
97,10,30,28,3,2,1,26356,791,950,0.9707486285542122,0.9707052404388656,212576,1351,3683,6060,9124
98,23,26,2,10,1,2,26645,857,661,0.9689767431035187,0.9688987738423149,215848,263,411,11585,16396
99,29,3,3,30,2,1,26381,594,925,0.9777396612953558,0.9776893826299066,213010,1280,3249,7630,10573
100,27,4,22,1,1,2,26448,786,858,0.9710876710638785,0.971006306459146,215008,18,1251,11852,17110
101,27,29,23,1,2,1,26126,544,1180,0.9791355603926436,0.9790803789272248,211585,646,4674,8029,11604
102,7,17,30,25,1,4,26709,3511,597,0.8855264222332149,0.8854610975356573,215776,250,483,8614,13737
103,14,3,19,3,1,4,26539,2692,767,0.909103365590477,0.9090365905010758,215333,70,926,9974,14042
104,8,23,1,6,2,4,26719,3465,587,0.8868953650016398,0.8868247951165299,215028,256,1231,10037,14840
105,17,2,2,30,1,4,26698,2534,608,0.9145192693711062,0.9144413952175644,215992,356,267,12829,16376
106,26,29,28,7,2,1,26132,546,1174,0.9790727508152695,0.9790178832051348,211595,682,4664,7953,11538
107,30,7,25,30,2,3,26506,789,800,0.9710857798544948,0.9710083764838793,215309,105,950,11059,16277
108,25,2,11,1,1,2,26464,867,842,0.9682954940451144,0.9682176769561697,215195,51,1064,11504,16364
109,10,3,2,30,1,1,26598,817,708,0.9702759511790469,0.9702020287488559,215728,218,531,10844,15545
110,28,29,2,26,1,3,26684,1034,622,0.9629819962352616,0.9628993571878599,216054,354,205,12216,17378
111,29,27,3,30,2,1,26386,593,920,0.9777829163322284,0.9777325092714355,213027,1296,3232,7647,10600
