observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,28,21,1,12,2,5,11295,1080,319,0.9138512174164912,0.913767111934856,92728,112,263,6871,9077
2,22,21,2,24,2,2,11252,627,362,0.9476405838112805,0.9475520770843244,92900,97,91,6828,9552
3,21,7,26,19,1,3,11224,769,390,0.9364711457754505,0.9363884950212161,92777,42,214,6250,8920
4,7,20,29,15,1,5,11313,1841,301,0.8620610826627653,0.8619882536349308,92903,98,88,4943,7860
5,11,24,21,4,2,3,11284,1507,330,0.8838093089776666,0.8837338299368601,92829,68,162,5314,8146
6,29,12,14,1,2,1,10960,424,654,0.9623658746465765,0.962302329929924,90390,417,2601,4708,6858
7,1,4,25,5,1,5,11234,1682,380,0.871531021042734,0.8714538648958159,92760,38,231,5910,8327
8,22,1,30,27,2,2,11155,597,459,0.949423111622539,0.9493323069822366,92730,23,261,7044,9800
9,3,30,2,3,1,3,11313,1910,301,0.8576419055070117,0.8575623680547304,92867,93,124,5376,8584
10,25,25,3,30,2,5,11301,1116,313,0.9113018851796719,0.9112195957908428,92962,120,29,6227,8881
11,28,18,14,1,2,1,10966,424,648,0.9623958267511988,0.9623331344862717,90423,434,2568,4643,6766
12,8,29,30,21,1,4,11319,1780,295,0.8660754592824407,0.86599959107889,92907,104,84,5131,8188
13,30,3,30,29,1,2,11170,610,444,0.9484846323412031,0.9483904086282199,92729,25,262,7201,10169
14,1,4,26,1,1,1,11311,1883,303,0.8593417613809031,0.859269858931031,92857,75,134,4844,7760
15,4,1,1,29,2,4,11289,1905,325,0.8576703336777487,0.8575944840057573,92277,115,714,6356,8186
16,25,2,28,8,2,1,10979,429,635,0.9620473671850628,0.9619875936407167,90444,476,2547,4395,6451
17,16,19,4,3,1,1,11207,619,407,0.9479975908832525,0.9479041640273169,92804,42,187,7117,10083
18,19,26,30,30,2,2,11202,608,412,0.9488331436005855,0.9487444978869352,92764,41,227,6595,9567
19,18,1,7,30,2,2,11200,602,414,0.9492941320061298,0.9492077934716054,92800,39,191,6724,9318
20,29,30,1,28,1,3,11297,737,317,0.9394125864821714,0.9393162223740954,92960,132,31,7636,10400
21,30,25,23,1,2,1,10943,420,671,0.9626126625392989,0.962548144915786,90313,395,2678,4775,6963
22,30,1,22,26,1,2,11144,602,470,0.9489617962831763,0.9488655711617946,92717,17,274,7571,10385
23,29,24,1,27,1,2,11275,664,339,0.9448983867588518,0.9448001139001735,92960,120,31,7793,10606
24,21,30,30,30,1,1,11156,625,458,0.9472170193400047,0.9471151235614939,92710,22,281,7814,10997
25,20,6,3,3,1,1,11195,628,419,0.9472180809928571,0.9471208551672762,92822,51,169,7541,10493
26,16,1,2,2,2,1,11159,525,455,0.9551812096622329,0.9551332870500243,91259,907,1732,3679,5172
27,30,4,8,27,2,1,10983,432,631,0.9618197071892587,0.9617570612532297,90507,468,2484,4692,6761
28,25,27,22,30,1,1,11141,565,473,0.9518837746578994,0.9517783671489116,92703,18,288,8113,11376
29,30,30,2,8,1,2,11247,643,367,0.946360295107569,0.9462680357398658,92890,94,101,7227,9957
30,16,25,29,3,2,2,11218,763,396,0.9368898064585098,0.9368034030635282,92764,39,227,6439,9325
31,27,10,30,27,2,1,10971,424,643,0.9624207632344917,0.962359312584034,90417,465,2574,4517,6632
32,28,30,30,1,1,1,11128,559,486,0.9522880414597871,0.9521790851572037,92699,16,292,8457,11759
33,23,1,17,5,2,3,11179,752,435,0.9374690766864632,0.937381431677012,92758,30,233,7192,9459
34,29,30,1,29,2,1,11209,520,405,0.9558528827376841,0.9557933223062693,91612,1189,1379,4739,6428
35,14,20,1,1,1,1,11240,629,374,0.9474118965938689,0.9473222687075786,92746,71,245,7049,9673
36,27,4,22,4,2,1,10971,424,643,0.9624207632344917,0.962359433039169,90413,464,2578,4512,6619
37,11,24,5,29,2,1,11130,529,484,0.9547010233228399,0.954655194776826,91101,859,1890,3367,4946
38,30,30,30,18,2,3,11202,607,412,0.9489119109537404,0.9488234042267844,92764,41,227,6597,9552
39,25,27,1,1,1,1,11208,628,406,0.9472968906889708,0.947197376215823,92714,69,277,8034,10740
40,30,1,1,21,1,3,11282,753,332,0.9380887999747226,0.937989035325525,92889,128,102,8852,10767
41,27,25,30,1,1,3,11178,608,436,0.9486902676498147,0.9486038735206126,92508,7,483,6499,9324
42,13,30,29,27,1,1,11186,618,428,0.9479500347451738,0.9478572379622525,92741,31,250,6976,10015
43,14,3,12,28,2,1,11057,490,557,0.9574536253695336,0.9574039329934171,90769,666,2222,3611,5363
44,18,28,2,16,1,2,11261,630,353,0.9474601740277616,0.9473739466825928,92897,96,94,6591,9306
45,30,5,1,2,2,2,11235,633,379,0.9470686812353115,0.9469783398839902,92530,66,461,7287,9750
46,11,4,28,3,2,1,11090,515,524,0.9556077544682633,0.9555611475967611,90888,762,2103,3384,5030
47,30,5,19,30,2,1,10946,421,668,0.9625446493738095,0.962480196610754,90329,404,2662,4769,6956
48,27,30,27,14,2,3,11206,614,408,0.9483847161616401,0.9482974788464924,92764,44,227,6498,9415
49,17,27,3,1,1,1,11204,628,410,0.947272659634551,0.9471790845261414,92808,47,183,7189,10099
50,30,1,1,7,1,1,11214,640,400,0.9463930054349661,0.9462868844609473,92884,90,107,8624,11453
51,9,27,2,1,2,1,11224,551,390,0.9534666804850244,0.9534241412907766,91460,1041,1531,3201,4591
52,29,12,29,28,2,1,10951,422,663,0.9624866626471502,0.9624225527179407,90344,413,2647,4733,6919
53,19,1,21,2,2,2,11168,598,446,0.9494208940606786,0.9493321742207913,92744,27,247,6888,9575
54,30,30,4,23,2,2,11222,625,392,0.9476167716853257,0.9475250775301794,92859,63,132,7038,9896
55,11,7,2,30,1,1,11224,609,390,0.9488849925012387,0.9487975513389393,92862,69,129,6639,9437
56,2,24,3,1,2,1,11366,1835,248,0.8630705142126437,0.8630297355165242,92222,1788,769,2727,4401
57,1,1,30,8,2,1,11266,1749,348,0.8674842034098768,0.867453033327226,91619,1282,1372,2239,3364
58,30,28,30,2,1,2,11176,619,438,0.9478110280560884,0.947716220598989,92728,24,263,7163,10232
59,30,2,1,5,2,3,11258,680,356,0.9435511988413883,0.9434611725265741,92558,104,433,7571,9716
60,25,29,4,29,1,5,11298,1109,316,0.911780514141556,0.9116987251048265,92961,119,30,6142,8827
61,30,1,8,26,1,1,11151,565,463,0.9519411027526131,0.9518327672572645,92744,25,247,8502,11692
62,9,21,1,25,1,1,11261,630,353,0.9474601740277616,0.9473738818221354,92898,96,93,6595,9313
63,28,29,7,1,1,2,11197,620,417,0.9478588734049272,0.9477689397479093,92623,21,368,6898,9706
64,18,10,30,30,2,1,11020,493,594,0.9570109300722014,0.9569556782283113,90629,577,2362,4002,5963
65,8,1,18,5,1,1,11198,743,416,0.938291300988901,0.9382059075638982,92752,34,239,6519,9216
66,12,29,3,29,2,1,11151,521,463,0.95545821894568,0.9554122884760903,91215,914,1776,3425,4957
67,15,30,28,2,2,1,11055,498,559,0.9567932755304989,0.9567418782509317,90757,653,2234,3731,5547
68,30,29,28,30,1,3,11202,607,412,0.9489119109537404,0.9488233949610048,92764,41,227,6598,9553
69,10,7,3,1,1,1,11225,603,389,0.9493628062910828,0.9492766716037102,92802,42,189,6481,9296
70,28,3,24,12,2,1,10956,422,658,0.9625115965252593,0.962448515097588,90378,427,2613,4659,6808
71,9,6,2,2,2,1,11226,554,388,0.9532397925391537,0.9531978000259036,91470,1074,1521,3169,4532
72,25,30,15,30,2,1,10990,429,624,0.9621024433375062,0.9620428365771934,90501,493,2490,4387,6433
73,10,29,29,7,2,1,11122,530,492,0.9545765085947934,0.9545310136168459,91005,836,1986,3295,4910
74,30,7,28,11,1,5,11222,902,392,0.926381482276412,0.9263018058374365,92793,45,198,6136,8599
75,11,3,21,27,1,1,11184,600,430,0.9493574181281089,0.9492680867467665,92743,28,248,6713,9641
76,12,6,3,2,1,1,11214,620,400,0.94796104686549,0.9478723362913822,92821,51,170,6729,9574
77,10,27,30,11,2,1,11122,530,492,0.9545765085947934,0.9545310136168459,91005,836,1986,3295,4910
78,28,1,29,6,2,3,11155,595,459,0.9495815201476427,0.9494905672548664,92729,18,262,7281,9816
79,29,23,22,30,2,1,10952,422,662,0.9624916511407179,0.9624276894639824,90347,414,2644,4727,6903
80,30,30,12,2,2,4,11227,762,387,0.9370279180403123,0.9369456379172627,92623,19,368,6266,8880
81,22,30,22,29,2,1,10998,441,616,0.9611535940572428,0.9610953956954326,90547,526,2444,4254,6281
82,9,22,30,10,2,1,11141,537,473,0.9541206777245665,0.9540760815272425,91057,884,1934,3226,4813
