observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,21,7,26,19,1,3,276238,14181,357,0.952076931019969,0.9520711568240475,2208226,8,235,10293,13186
2,11,24,21,4,2,3,276162,23344,433,0.9234711590234846,0.9234647529327721,2207639,21,822,10498,14629
3,7,20,29,15,1,5,276182,28316,413,0.908672943740135,0.9086660279297156,2208231,49,230,11458,15793
4,22,21,2,24,2,2,276200,10057,395,0.9655190157606823,0.9655115192901847,2208367,89,94,13315,17119
5,28,21,1,12,2,5,275706,20943,889,0.9306596988090247,0.9306533448288319,2204378,86,4083,11847,14510
6,1,8,1,1,1,5,244989,24720,31606,0.9078820746829904,0.907878164642388,1957283,0,251178,9103,8929
7,1,1,25,30,2,1,275935,27560,660,0.9108058239288084,0.9108004241404034,2206558,747,1903,9192,12331
8,22,29,18,26,2,2,276166,10005,429,0.9656846708022546,0.9656771366720537,2208257,35,204,12951,17205
9,28,2,29,4,1,3,276133,11035,462,0.9622816054305646,0.96227467779675,2208211,6,250,12922,15820
10,1,30,30,5,1,2,275991,30930,604,0.9010053981124235,0.9009953307103125,2207520,65,941,16741,22990
11,23,14,29,25,2,2,276163,9898,432,0.9660383288054277,0.9660309807842262,2208256,34,205,12708,16780
12,10,3,25,2,1,1,276180,10257,415,0.96485412808601,0.9648473607248867,2208231,6,230,12021,15454
13,4,26,1,2,2,5,271714,29903,4881,0.9023548887513858,0.9023482606435844,2171233,9,37228,12976,15136
14,30,2,2,9,2,3,276087,10500,508,0.9640341417541206,0.9640270061161302,2207528,77,933,13922,16295
15,2,2,11,30,1,4,276029,23808,566,0.9220262832722991,0.9220197418693963,2206962,63,1499,12501,14938
16,4,8,30,30,2,2,276186,27908,409,0.9098713260765274,0.9098642898426379,2208313,70,148,11472,16068
17,30,26,23,23,1,1,276049,5864,546,0.9795688277607653,0.9795585374657584,2208243,36,218,18154,23499
18,24,1,29,3,1,4,275976,19909,619,0.933931462420203,0.9339241792087236,2206973,3,1488,14520,16632
19,3,2,3,8,2,4,272499,27759,4096,0.908982225045878,0.9089766746186593,2178285,54,30176,11385,12675
20,22,29,1,5,2,4,275608,21077,987,0.9302181156407112,0.9302119963768095,2203125,55,5336,11126,13974
21,30,9,30,29,2,2,276132,8553,463,0.9705078531381625,0.9705000996182939,2208246,29,215,13423,17706
22,21,29,6,19,1,1,276115,8048,480,0.972196069147025,0.9721870408899862,2208271,47,190,15833,20617
23,6,2,30,1,1,3,275903,25565,692,0.9167109844039885,0.9167038894910262,2206498,4,1963,13024,16202
24,1,1,6,26,1,1,276189,27478,406,0.911137285816478,0.9111306366893074,2208245,23,216,11931,15184
25,29,4,1,2,1,2,275686,8827,909,0.9695146877153122,0.969507336628786,2204406,61,4055,13892,16787
26,16,29,24,12,2,1,275899,8458,696,0.9707856840858409,0.9707792184402485,2206596,800,1865,10758,14765
27,29,10,17,3,2,1,275760,5695,835,0.9801043368977151,0.9800966079004442,2206019,543,2442,13307,17650
28,12,26,2,30,1,1,276191,9932,404,0.965930973064826,0.9659232015909128,2208358,112,103,13545,17747
29,18,3,29,30,2,2,276191,11057,404,0.9622208362508062,0.9622143627229504,2208237,10,224,11642,14783
