observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,21,7,26,19,1,3,237521,4622,1132,0.9811949443391504,0.9811747645450645,1906754,1040,2447,24848,32603
2,11,24,21,4,2,3,237485,6738,1168,0.9728542191358379,0.9728353230546904,1905956,906,3245,23569,30529
3,7,20,29,15,1,5,237705,25520,948,0.9047378644738039,0.9047191615066568,1907322,1149,1879,23924,30217
4,22,21,2,24,2,2,237798,3073,855,0.9874239826623832,0.9874030694064687,1908254,1526,947,27583,33788
5,28,21,1,12,2,5,236197,7170,2456,0.9709144535400435,0.9708952690258056,1894767,1214,14434,27890,30995
6,29,12,14,1,2,1,236674,2629,1979,0.9890676584896988,0.9890468102240729,1902292,1677,6909,24456,33683
7,25,25,3,30,2,5,237795,6814,858,0.9726169443086969,0.9725970207620346,1908195,1594,1006,26770,32189
8,22,1,30,27,2,2,237307,2766,1346,0.9885954526783772,0.988572723408113,1905447,690,3754,28541,36722
9,3,30,2,3,1,3,237236,26355,1417,0.9017217687606446,0.9017022778636177,1903944,977,5257,25437,31490
10,1,4,25,5,1,5,236113,23845,2540,0.9097648497159695,0.9097457320488856,1895146,776,14055,25684,30887
11,30,3,26,14,1,1,237194,2688,1459,0.988895819858314,0.9888699803385241,1904346,660,4855,30502,41747
12,30,25,14,30,1,2,237550,2689,1103,0.9889375542656326,0.9889157088632932,1906763,1116,2438,26643,35294
13,26,21,1,1,1,1,236124,3636,2529,0.9849257851888724,0.9849049288768299,1895121,903,14080,29065,33696
14,1,17,26,3,2,3,237366,45907,1287,0.8405889073116214,0.8405693935132547,1905084,867,4117,24769,31527
15,2,30,4,25,2,4,237889,35509,764,0.8723369848014196,0.8723167833439041,1908460,1567,741,25929,32638
16,17,30,21,25,1,1,237347,2685,1306,0.9889276205829878,0.988904329301466,1905264,911,3937,27886,37630
17,15,12,29,2,2,5,236938,8370,1715,0.9664039834420244,0.9663853956005314,1901863,407,7338,24088,30031
18,13,9,5,30,1,4,237785,7094,868,0.9715246070266008,0.9715057462258957,1908227,1384,974,25711,30472
19,19,29,1,2,2,3,231945,5578,6708,0.9764230530895964,0.9764056195994198,1859868,632,49333,24417,28166
20,29,1,1,9,1,5,228764,13836,9889,0.9432747819921288,0.9432578455229211,1835187,817,74014,27971,27363
21,9,27,30,22,2,1,237012,3215,1641,0.9867461308187598,0.9867282628220824,1903943,2587,5258,21202,28868
22,11,23,2,1,2,1,236970,3130,1683,0.9870827412516945,0.9870661464457183,1903065,2706,6136,20957,26811
23,30,27,23,2,1,5,236722,4918,1931,0.9798896648260915,0.9798705069269242,1900348,348,8853,24248,30952
24,14,1,24,5,1,1,237280,2763,1373,0.988604055076512,0.9885811203131447,1905098,702,4103,28074,37054
25,27,30,6,29,1,5,237758,6250,895,0.9748139510760314,0.9747944948404917,1908110,1444,1091,25221,31434
26,7,1,4,18,2,1,237149,4965,1504,0.9797732469173679,0.9797567740455523,1905407,2727,3794,20632,26614
27,18,11,26,7,1,1,237290,2717,1363,0.9887910621855365,0.9887674205754113,1904888,824,4313,28175,38196
28,9,30,25,24,2,1,237028,3180,1625,0.9868892470508195,0.9868714211430908,1904071,2599,5130,21174,28800
29,24,28,1,29,2,2,237806,3776,847,0.9846084491516393,0.9845865003837933,1908392,1726,809,29888,35461
30,29,30,11,1,1,3,236298,2559,2355,0.9893033754831215,0.9892834537933245,1896975,347,12226,25255,32186
31,16,25,25,30,1,5,237727,8315,926,0.9667856365228918,0.9667668029562124,1907539,1308,1662,23818,30428
32,28,30,30,1,1,1,237073,2727,1580,0.9887226075755537,0.9886969822142387,1903373,440,5828,30244,41401
33,9,14,8,1,2,1,236929,3064,1724,0.9873432175031316,0.9873260811114172,1903524,2303,5677,20563,27686
34,30,2,17,9,2,5,237492,5179,1161,0.9789825361769935,0.9789618698841758,1906655,861,2546,28746,33389
35,14,1,2,27,2,2,237756,5129,897,0.9792242482671772,0.9792039155911743,1908101,1399,1100,29925,32850
36,30,1,28,5,2,2,237296,2718,1357,0.9887877990612651,0.9887643858455828,1905369,569,3832,29153,37827
37,29,10,11,30,2,3,237648,2792,1005,0.9885348953466966,0.9885146369453092,1907535,1226,1666,25386,32730
38,6,17,30,14,1,1,237520,5120,1133,0.9792205862576171,0.9792003928465183,1906253,1289,2948,24518,32625
39,20,15,3,4,1,5,236212,6775,2441,0.9724647542662767,0.9724467575269323,1895319,629,13882,25815,29076
40,9,29,6,26,1,1,237612,2957,1041,0.9878656643717965,0.9878447789688629,1907113,1210,2088,25511,33743
41,26,1,28,5,2,1,236556,2752,2097,0.9885542901248626,0.9885326564051775,1901778,1588,7423,25185,34952
42,3,6,2,1,2,2,236515,25032,2138,0.9058784218967071,0.905860569992863,1897886,631,11315,24588,28842
43,25,2,3,30,1,2,237716,2919,937,0.98803235440617,0.988011595889038,1908042,1329,1159,28569,33538
44,1,10,29,29,1,1,237772,26497,881,0.9014823814130509,0.901462397827741,1907646,1563,1555,24348,32286
45,24,28,23,19,1,5,237644,6406,1009,0.9741821480067847,0.9741630674770086,1907236,1105,1965,23911,30827
46,14,30,30,2,1,2,237235,4542,1418,0.9814677248185173,0.98144753883488,1904506,729,4695,24665,32613
47,2,2,4,1,1,4,164288,8145,74365,0.9455021771734614,0.945491313273029,1317709,122,591492,17115,17552
48,25,19,2,12,1,3,237674,4071,979,0.9834115045500068,0.983391124833414,1907393,1436,1808,27648,32926
49,1,30,11,24,1,2,237823,36338,830,0.8697102557812586,0.8696891351753758,1908079,1647,1122,25774,34123
50,2,4,28,30,1,4,237542,24821,1111,0.9070338250433008,0.9070140333340809,1906606,972,2595,27006,31976
51,15,21,30,30,2,1,236878,2859,1775,0.9881637936198653,0.9881445125486272,1903294,2284,5907,22657,31151
52,25,12,28,2,2,3,237210,2926,1443,0.9879372614650659,0.9879168551334024,1904444,597,4757,24892,32969
53,26,1,2,23,2,3,237595,4221,1058,0.9828016840677796,0.9827805547965249,1906864,1544,2337,32171,34137
54,1,1,20,14,2,1,236940,25632,1713,0.9040281102607535,0.9040112827276486,1903638,2352,5563,21676,27187
55,5,28,2,27,2,5,237843,26603,810,0.9011589203112613,0.9011387714649318,1908244,1617,957,27353,32553
56,27,26,29,1,1,3,236599,2770,2054,0.98848704357901,0.988466538833481,1899439,290,9762,25143,33128
57,13,20,1,7,1,2,237568,5550,1085,0.9775306373280193,0.9775103492167856,1906635,1425,2566,27553,32778
58,30,29,5,27,2,1,237103,2964,1550,0.9877698064712226,0.9877501001778106,1905096,2611,4105,23915,31838
59,9,2,25,12,1,1,237379,2981,1274,0.9877380653084941,0.9877167868690533,1905629,939,3572,25865,34378
60,29,6,28,26,2,5,237541,5087,1112,0.9793546445350106,0.9793346541411942,1906963,951,2238,25470,32297
61,30,28,29,24,2,4,237574,4601,1079,0.9812867630415554,0.981266596245527,1906931,1093,2270,24671,32582
62,23,29,1,15,1,3,237571,4252,1082,0.9826745246103981,0.9826534584725667,1906438,1580,2763,29364,34035
