observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,1,5,178837,22546,2004,0.8898595705992313,0.8898215587969931,1443487,582,3233,39562,45992
2,22,21,2,24,2,2,179086,3949,1755,0.9786595109096006,0.9786168534224524,1445421,956,1299,45414,51613
3,11,24,21,4,2,3,178353,6708,2488,0.9641922275574317,0.9641535975427202,1439824,321,6896,39450,46740
4,21,7,26,19,1,3,178746,4075,2095,0.9779222612366466,0.9778792698486439,1443382,632,3338,42033,52017
5,28,21,1,12,2,5,176402,4174,4439,0.9768564076125268,0.9768194694172444,1421308,504,25412,43535,44693
6,30,30,29,26,1,2,178645,4041,2196,0.9780776362982353,0.9780290322352239,1442627,577,4093,45744,58808
7,21,9,8,13,1,3,178922,3975,1919,0.9784864451720121,0.9784463274802258,1444379,633,2341,41539,48540
8,1,1,25,30,2,1,178382,20266,2459,0.8995931552611388,0.8995642943258858,1437397,3907,9323,26584,34920
9,1,30,30,1,2,4,174981,30697,5860,0.8528118016235986,0.8527757568610483,1410294,36,36426,38437,43612
10,4,30,2,29,1,4,179168,23629,1673,0.8854016458365744,0.8853592900172776,1445845,877,875,44722,51248
11,30,28,23,1,2,3,177142,3786,3699,0.9790839649258212,0.9790415132340018,1429528,61,17192,41601,51364
12,21,19,4,28,2,2,179029,4391,1812,0.9763349654209814,0.9762927021682581,1445073,963,1647,43271,51136
13,3,1,30,4,1,1,178599,7076,2242,0.9623915121119752,0.9623489000816265,1442266,569,4454,43010,51558
14,2,30,29,27,2,5,178998,26283,1843,0.8740469607729201,0.8740067009253244,1444489,767,2231,40999,48712
15,1,21,5,1,1,5,162768,28301,18073,0.8527937419877689,0.8527634999922981,1308905,25,137815,34191,36591
16,9,25,30,29,1,1,178527,4545,2314,0.9754114384416146,0.9753650634147537,1442060,825,4660,44307,56111
17,13,17,8,11,1,1,178742,3965,2099,0.9784984568867695,0.9784523339385242,1443345,623,3375,44264,55806
18,28,29,30,3,1,4,178033,3856,2808,0.9789130624600122,0.9788719067002225,1436868,125,9852,40931,49796
19,27,4,27,30,1,5,178774,4104,2067,0.9777766304307995,0.9777332216667286,1443723,564,2997,44525,52522
20,20,27,2,30,2,4,179040,4585,1801,0.975326378067969,0.9752840677054716,1445069,878,1651,46621,51193
21,11,29,29,27,2,1,178304,3848,2537,0.9790157110102699,0.978982401920563,1437240,3818,9480,28396,40302
22,11,23,2,1,2,1,178141,3751,2700,0.9794910655894635,0.9794639435834136,1434080,3959,12640,25601,32816
23,26,15,30,2,2,4,177770,3816,3071,0.9790655010626692,0.9790251164154966,1434518,87,12202,40407,48863
24,30,2,2,11,2,1,178967,4282,1874,0.9768896256152537,0.9768580513223136,1441296,5126,5424,30023,38203
25,18,8,12,30,2,5,178989,6716,1852,0.9643402763635048,0.9643016562666406,1444799,726,1921,41765,46728
26,24,19,19,1,2,1,177893,3443,2948,0.9810667079918445,0.9810299020345242,1434421,2310,12299,31171,44533
27,30,28,30,29,1,3,178723,4429,2118,0.9760642181803326,0.9760187993992361,1443336,678,3384,43613,54954
28,16,6,29,15,1,3,178757,4196,2084,0.9772907837679972,0.9772489428502658,1443378,594,3342,41535,50625
29,26,27,1,17,1,3,178621,4435,2220,0.9760086376991197,0.9759657909463881,1441448,802,5272,48528,51842
30,15,1,2,27,2,3,178901,4714,1940,0.9746212018859062,0.9745786972989019,1444532,920,2188,51029,51428
31,26,28,9,29,2,1,178462,3704,2379,0.9798094317816839,0.9797744631055512,1438220,3544,8500,30161,42310
32,8,22,2,4,1,1,178893,4259,1948,0.9769926432688254,0.9769518924877949,1444140,681,2580,41987,49306
33,30,30,26,7,1,5,178456,4050,2385,0.977987392086597,0.9779471735633645,1440857,289,5863,40618,48662
34,14,1,2,27,2,2,179033,3910,1808,0.9788521613008483,0.9788110460389344,1445487,811,1233,47652,49747
35,18,2,26,1,1,3,178026,4048,2815,0.9778997276232915,0.9778553072388096,1437262,42,9458,45087,53746
36,18,30,15,2,2,1,178244,3442,2597,0.9811464910653492,0.9811115777638633,1436631,2898,10089,29680,42243
37,30,12,19,30,1,1,178550,4319,2291,0.9765986079627434,0.9765448937289798,1441837,401,4883,49679,64991
38,5,25,29,21,1,2,178796,7528,2045,0.9601623591394733,0.96012153066864,1443762,939,2958,41238,49400
39,29,1,2,2,2,2,176724,3553,4117,0.980230107026369,0.9801930969266947,1425053,266,21667,43421,44780
40,2,2,7,28,1,3,178889,14182,1952,0.9277204781088066,0.9276804240565396,1444002,679,2718,46033,48463
41,19,29,30,9,1,2,178611,4410,2230,0.9761369436881275,0.9760916902044837,1442489,514,4231,43386,54754
42,27,6,8,7,1,1,178755,3945,2086,0.9786063743021158,0.9785573082327239,1443158,499,3562,46867,59367
