observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,11,24,21,4,2,3,7405,826,678,0.8999713175920391,0.8999220762420674,58194,25,86,1442,2778
2,21,7,26,19,1,3,7394,771,689,0.9057544932478784,0.905700306492348,58193,21,87,1788,3057
3,22,21,2,24,2,2,7399,761,684,0.9069113533681602,0.9068486938389486,58239,52,41,2202,3535
4,7,20,29,15,1,5,7427,838,656,0.8990045222578364,0.8989585246685001,58237,58,43,1308,2595
5,28,21,1,12,2,5,7413,838,670,0.8988025665523713,0.898747989836546,58069,70,211,1829,3079
6,22,1,30,27,2,2,7373,754,710,0.9073210831245416,0.907258795830157,58177,16,103,2162,3514
7,25,25,3,30,2,5,7414,827,669,0.8999932021015218,0.8999381822489977,58271,77,9,1729,3104
8,29,12,14,1,2,1,7287,479,796,0.9375554852206671,0.937504932186067,57420,139,860,1844,2852
9,1,4,25,5,1,5,7394,833,689,0.8990627568663883,0.899011902498833,58177,10,103,1535,2869
10,3,30,2,3,1,3,7429,873,654,0.8953169704083821,0.895260816125909,58233,68,47,1645,3168
11,29,26,27,23,2,1,7287,480,796,0.9374372854841947,0.9373867324495946,57423,147,857,1842,2852
12,9,16,30,2,1,3,7406,828,677,0.8997713516494998,0.8997234042586887,58128,4,152,1425,2705
13,3,30,10,29,1,4,7428,875,655,0.8950907381968043,0.8950392102614668,58251,71,29,1482,2907
14,1,2,1,8,1,4,7382,832,701,0.8989962710287431,0.8989531981416189,57726,54,554,1570,2430
15,23,30,1,2,2,4,7298,746,785,0.907172104147037,0.9071235895412514,57254,3,1026,1699,2737
16,26,29,9,2,2,1,7292,481,791,0.9373714520773343,0.9373222639037665,57441,152,839,1790,2775
17,9,28,13,30,1,4,7416,826,667,0.9001289019544061,0.9000819294643323,58240,61,40,1326,2650
18,29,7,2,25,2,1,7327,489,756,0.936795996593934,0.9367473756353407,57612,228,668,1821,2743
19,19,1,29,16,1,5,7382,819,701,0.9003932359513286,0.9003344405741306,58166,12,114,2102,3317
20,1,23,29,1,2,4,7409,864,674,0.8959754268853094,0.8959262918881454,58008,1,272,1461,2772
21,26,30,3,29,1,1,7358,522,725,0.9332754951129241,0.9331968294861516,58183,17,97,2908,4438
22,12,1,15,29,1,1,7373,758,710,0.9068836069687234,0.906820894263108,58177,16,103,2164,3538
23,30,30,30,2,1,1,7348,524,735,0.9329348342225079,0.9328528184822924,58170,12,110,3026,4627
24,3,4,29,1,2,1,7405,812,678,0.9014744981933988,0.9014539011996381,57833,386,447,537,1162
25,29,4,1,2,1,2,7384,544,699,0.93101839593499,0.9309516595481494,58101,54,179,2489,3765
26,1,2,29,29,1,2,7407,852,676,0.8972222087631488,0.8971745095288891,58206,36,74,1381,2691
