observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,22,21,2,24,2,2,253003,4091,13701,0.9833523912281342,0.9833512096769841,2001909,26,30,1223,1930
2,7,20,29,15,1,5,253009,21820,13695,0.9211498307948003,0.9211488671878001,2001904,23,35,965,1574
3,21,7,26,19,1,3,253000,6404,13704,0.9747640146407245,0.9747629139003265,2001902,22,37,1151,1798
4,11,24,21,4,2,3,253002,8266,13702,0.9679591969782161,0.9679580882791835,2001900,20,39,1155,1811
5,28,21,1,12,2,5,253002,7784,13702,0.969711659858808,0.9697104758588472,2001915,39,24,1242,1934
6,1,4,25,5,1,5,252993,29068,13711,0.8979220373413873,0.8979209647623122,2001893,16,46,1176,1752
7,29,12,14,1,2,1,252998,3867,13706,0.9841914266679395,0.9841906950857506,2001723,258,216,772,1195
8,25,25,3,30,2,5,253003,7781,13701,0.9697227775597311,0.9697216039672156,2001924,39,15,1210,1917
9,22,1,30,27,2,2,252995,4026,13709,0.9835947919920273,0.9835936245215385,2001899,20,40,1274,1907
10,3,30,2,3,1,3,253008,47728,13696,0.8432044006812609,0.8432033678953592,2001918,36,21,1002,1687
11,2,30,4,9,2,1,253012,20572,13692,0.925270912325048,0.9252703356301343,2001780,332,159,582,942
12,30,7,28,26,1,5,252998,6389,13706,0.9748188806879302,0.9748177977014096,2001901,22,38,1136,1769
13,27,25,19,2,1,3,253001,4091,13703,0.9833521089360157,0.9833509586072016,2001880,12,59,1208,1879
14,4,1,1,29,2,4,252992,47722,13712,0.843211664819097,0.8432105897912112,2001824,36,115,1466,1756
15,1,1,30,5,2,4,252985,6606,13719,0.9740184988245248,0.9740172787046066,2001888,16,51,1440,1993
16,21,21,20,19,2,1,252997,3949,13707,0.9838837158547469,0.9838829928433954,2001736,291,203,744,1181
17,2,24,30,2,1,3,253007,52300,13697,0.8307979373401291,0.8307969235325101,2001875,12,64,969,1656
18,6,7,2,2,1,5,252939,33799,13765,0.8833602270217518,0.8833592499462929,2001317,10,622,1125,1596
19,1,26,4,26,1,4,253009,52311,13695,0.8307697500765726,0.8307687148418602,2001914,31,25,1004,1691
20,3,1,28,27,1,3,252989,6780,13715,0.9733801653433123,0.9733789874653781,2001897,17,42,1364,1924
21,30,25,6,29,1,1,252996,3864,13708,0.9842024068758636,0.984201163492244,2001900,20,39,1299,2031
22,5,29,27,29,2,4,253009,29123,13695,0.8977571205574667,0.8977561330745625,2001904,23,35,979,1613
23,16,2,30,15,1,2,252997,6380,13707,0.9748518381030099,0.9748507171599239,2001901,22,38,1188,1831
24,30,30,30,2,1,1,252994,3863,13710,0.984205883014281,0.9842046341208374,2001880,18,59,1307,2040
25,29,4,1,2,1,2,252999,4031,13705,0.9835766159450141,0.9835754001105145,2001909,34,30,1274,1986
26,4,28,18,1,2,1,253008,8273,13696,0.9679349733535545,0.9679343287041446,2001765,311,174,665,1053
27,30,15,4,25,1,1,252996,3864,13708,0.9842024068758636,0.9842011757362973,2001900,20,39,1289,2011
28,21,29,20,29,1,5,253002,8261,13702,0.9679773435407076,0.9679762409637017,2001902,22,37,1151,1801
29,2,1,20,28,2,1,253007,15996,13697,0.9406967700638562,0.9406962098984145,2001746,277,193,613,915
30,28,2,21,2,1,2,252995,4005,13709,0.9836734966839049,0.9836723267646055,2001900,20,39,1246,1911
31,6,2,1,30,2,1,253003,6420,13701,0.9747056481634799,0.9747050224923528,2001749,285,190,651,1022
32,30,7,13,20,2,1,252999,3870,13705,0.9841803087693146,0.9841795845335578,2001726,274,213,767,1183
33,10,30,4,13,2,4,253007,8722,13697,0.9663080986218078,0.9663070486942313,2001909,26,30,1099,1715
34,24,21,25,3,1,3,253001,6408,13703,0.9747494653346942,0.9747483186790962,2001900,20,39,1181,1873
35,14,15,30,30,1,2,253002,6408,13702,0.9747496377273365,0.9747485045401971,2001902,22,37,1165,1851
36,5,29,28,11,1,1,253002,7778,13702,0.9697335147372265,0.9697323735914525,2001902,22,37,1175,1864
37,29,10,30,29,2,3,253002,4086,13702,0.9833709783943055,0.9833698335753155,2001902,22,37,1202,1870
38,2,1,23,1,2,5,248311,6268,18393,0.9744507429710602,0.9744495755005714,1964682,8,37257,1463,1907
39,4,15,1,26,2,5,253008,47718,13696,0.8432319411758669,0.843230884514061,2001913,47,26,1109,1726
40,29,1,2,2,2,2,252996,4004,13708,0.9836773847982816,0.9836762093691581,2001905,22,34,1287,1920
41,28,23,3,27,2,2,253001,4032,13703,0.9835731492900303,0.983571956719232,2001902,22,37,1237,1948
42,24,1,26,29,1,4,252988,6249,13716,0.97533277966758,0.9753315417937843,2001889,13,50,1409,2022
43,26,28,30,5,2,4,253001,6418,13703,0.9747126631625949,0.9747115379340903,2001900,20,39,1144,1838
44,7,29,17,19,1,2,253003,8279,13701,0.9679122159173075,0.9679111023206536,2001903,23,36,1149,1819
45,9,3,20,1,2,1,252999,4096,13705,0.9833330988353169,0.983332441329651,2001731,276,208,695,1074
46,29,28,28,29,2,4,253002,6408,13702,0.9747496377273365,0.9747485045401971,2001902,22,37,1167,1851
47,3,29,27,6,2,2,253008,21808,13696,0.9211889180035256,0.921187905420312,2001903,23,36,999,1654
48,12,1,1,1,1,2,251301,6313,15403,0.9748064165513947,0.9748053347892794,1988523,12,13416,1348,1767
49,25,7,4,27,2,3,253001,6391,13703,0.9748120354056496,0.9748109218089958,2001907,25,32,1156,1819
50,30,5,30,3,1,3,252998,4062,13706,0.9834603212216712,0.9834591800758972,2001900,20,39,1213,1864
51,6,29,8,30,1,3,253007,20554,13697,0.9253289014353027,0.925327874159225,2001902,22,37,1035,1678
52,1,1,2,3,1,1,253003,29078,13701,0.8978950679031305,0.8978940926642796,2001903,23,36,1049,1593
53,25,11,23,12,2,2,253001,4033,13703,0.9835694020154929,0.9835682167911267,2001902,22,37,1231,1936
54,22,28,2,2,2,4,253000,7777,13704,0.969736776642483,0.9697356201916423,2001853,12,86,1211,1889
55,10,1,30,30,1,1,252997,4062,13707,0.9834601804690268,0.9834590393232528,2001901,22,38,1222,1864
56,26,18,6,15,2,1,252999,3915,13705,0.9840115001450744,0.9840107667262776,2001736,282,203,748,1198
57,15,29,30,2,2,4,253002,8265,13702,0.9679628262362834,0.9679617126396295,2001879,12,60,1166,1819
58,11,1,12,1,1,1,252996,4062,13708,0.9834600397153099,0.9834588875498879,2001900,20,39,1228,1882
59,29,1,30,11,1,4,252987,6247,13717,0.9753399793510302,0.9753387267843705,2001888,13,51,1420,2046
60,2,3,29,28,1,2,253004,33816,13700,0.8833393245835941,0.8833383126125831,2001903,23,36,1049,1653
61,2,29,2,3,2,4,253006,52305,13698,0.8307839597219218,0.8307829348946547,2001898,30,41,1007,1674
62,18,24,22,15,1,1,253000,4024,13704,0.9836029882869602,0.9836017828599061,2001902,22,37,1246,1969
63,30,8,4,1,1,5,252984,6376,13720,0.9748643272964478,0.9748632075777671,2001724,7,215,1204,1829
64,4,2,3,28,2,3,253003,29079,13701,0.8978919450607373,0.8978909636998598,2001893,24,46,1148,1603
65,30,30,2,30,1,3,253003,4094,13701,0.9833411546247152,0.9833399363414049,2001924,39,15,1254,1990
66,7,25,30,5,1,2,253003,8279,13701,0.9679122159173075,0.9679111090548829,2001902,22,37,1145,1808
67,29,1,1,28,2,1,252996,3838,13708,0.9842999726881618,0.9842992478402024,2001720,250,219,791,1184
68,28,30,16,18,2,1,252999,3910,13705,0.9840302537991304,0.9840295118094963,2001735,281,204,778,1212
69,20,1,29,17,1,4,252987,7611,13717,0.9703393815559767,0.970338136335749,2001889,13,50,1455,2034
70,1,13,4,18,1,5,253005,38420,13699,0.8696404482471385,0.8696393964829541,2001924,39,15,1075,1718
71,29,23,3,4,2,2,253001,4031,13703,0.983576896593121,0.9835757040223227,2001902,22,37,1236,1948
72,7,2,6,12,2,1,253003,6411,13701,0.974738769254715,0.9747381239931024,2001742,280,197,679,1054
73,28,7,28,16,1,1,252994,3904,13710,0.9840520662238407,0.9840508301866531,2001880,18,59,1301,2019
74,2,30,1,22,2,4,253010,52306,13694,0.8307837271070666,0.8307826728940715,2001927,43,12,1043,1722
75,6,25,30,11,1,5,253008,47720,13696,0.8432264329330234,0.8432254485111325,2001904,23,35,968,1608
76,25,28,27,30,2,1,252997,3914,13707,0.9840149733849964,0.9840142344563756,2001710,280,229,753,1207
77,20,5,23,1,1,5,252991,8231,13713,0.968084078912144,0.9680829879669888,2001834,7,105,1180,1782
78,4,30,24,8,1,5,253007,47721,13697,0.8432231001276065,0.8432220991762436,2001906,25,33,972,1635
79,7,1,29,26,2,1,253002,6383,13702,0.9748416549859983,0.974841003602359,2001734,270,205,695,1064
80,30,18,8,11,2,1,252999,3871,13705,0.9841765568373156,0.9841758148476815,2001736,281,203,777,1212
81,17,29,1,11,2,3,253004,7784,13700,0.9697120407048783,0.9697108530317015,2001926,43,13,1197,1940
82,30,6,18,1,1,4,252995,6378,13709,0.9748588565288436,0.9748577392589737,2001849,8,90,1182,1825
83,17,2,3,28,1,1,252998,4022,13706,0.9836102030031996,0.9836090373693188,2001902,22,37,1226,1904
84,21,23,29,29,2,3,253002,6408,13702,0.9747496377273365,0.9747485045401971,2001902,22,37,1167,1851
85,2,2,30,18,1,1,253002,16020,13702,0.9406130607217813,0.9406120762998904,2001902,22,37,1044,1608
86,8,3,2,19,2,1,253004,6413,13700,0.9747315812739532,0.9747309305025166,2001749,286,190,683,1063
87,6,30,21,16,1,3,253004,20554,13700,0.9253278790810885,0.9253268444585788,2001902,22,37,1040,1690
88,30,30,28,2,1,5,253001,6416,13703,0.9747200233746954,0.9747189030438121,2001867,10,72,1145,1830
89,17,3,30,6,2,1,252999,4029,13705,0.983584110691827,0.9835834231882303,2001727,273,212,724,1123
90,27,24,3,27,1,4,253003,6421,13701,0.9747019681811737,0.9747007835690102,2001924,39,15,1188,1935
91,1,5,3,21,2,1,253013,47732,13691,0.8431962788760724,0.8431957670746416,2001779,315,160,508,836
92,28,30,29,3,1,5,253001,7779,13703,0.9697296818287328,0.9697285608856467,2001880,12,59,1156,1831
93,1,29,26,27,2,1,253016,47740,13688,0.8431759850938579,0.8431754432944963,2001798,334,141,518,885
94,30,7,6,6,2,2,253001,4031,13703,0.983576896593121,0.9835757150419708,2001902,22,37,1230,1930
95,25,2,29,25,1,5,252984,7616,13720,0.9703205804433594,0.9703193713430892,2001895,15,44,1392,1975
96,29,25,27,29,2,2,253001,4030,13703,0.9835806439247652,0.9835794525783723,2001902,22,37,1234,1946
97,7,14,30,16,2,1,253006,6417,13698,0.9747172058009169,0.9747165489074536,2001762,312,177,678,1073
98,27,1,27,1,1,2,252992,3967,13712,0.983815528366476,0.9838143076343551,2001882,12,57,1363,1994
99,10,30,3,21,1,1,253002,4088,13702,0.983363486984024,0.9833623066572792,2001902,22,37,1223,1928
100,16,1,12,27,2,5,252995,8281,13709,0.9679033834286157,0.9679022318753964,2001892,18,47,1518,1881
101,13,30,30,16,2,1,253000,4041,13704,0.9835392843861468,0.9835385834140914,2001742,298,197,725,1145
102,27,2,29,1,2,1,252995,3907,13709,0.9840409518485633,0.9840402312860226,2001689,245,250,745,1177
103,30,2,3,27,2,3,252998,4062,13706,0.9834603212216712,0.9834591751782757,2001906,24,33,1244,1872
104,9,14,4,3,2,1,253000,4100,13704,0.9833182583777939,0.9833175929134932,2001747,303,192,695,1087
105,8,3,27,29,2,1,253004,6413,13700,0.9747315812739532,0.9747309311147193,2001745,285,194,682,1062
106,22,1,1,20,2,1,252994,3915,13710,0.984010806484046,0.9840101000021666,2001721,261,218,760,1154
107,8,29,26,3,2,1,253006,6418,13698,0.9747135257749753,0.9747128529642426,2001764,314,175,690,1099
108,11,27,6,28,2,2,253002,7778,13702,0.9697335147372265,0.9697323846111005,2001902,22,37,1149,1846
109,30,24,2,1,2,2,253001,4033,13703,0.9835694020154929,0.9835682063836814,2001902,21,37,1241,1953
110,28,16,30,30,1,3,253002,4091,13702,0.9833522500826127,0.983351108324636,2001902,22,37,1197,1865
111,11,4,14,29,2,1,252998,4097,13706,0.9833292121278644,0.9833285368683211,2001734,287,205,710,1103
112,8,29,28,8,1,1,253002,6406,13702,0.9747569984687575,0.9747558340592821,2001902,22,37,1186,1902
113,30,22,27,30,1,2,253001,4031,13703,0.983576896593121,0.9835757040223227,2001902,22,37,1236,1948
114,30,4,29,2,2,2,252998,4028,13706,0.9835877178236367,0.9835865552507693,2001900,20,39,1223,1899
115,23,30,1,21,1,1,252998,3938,13706,0.9839251034957386,0.983923878478199,2001909,26,30,1264,2001
116,26,30,24,30,2,2,253001,4031,13703,0.983576896593121,0.9835757083077414,2001902,22,37,1230,1941
117,12,1,29,29,2,3,252986,8096,13718,0.9685734504915189,0.9685722622061393,2001895,15,44,1362,1941
118,30,4,29,4,2,1,252996,3867,13708,0.9841911505267529,0.9841904183323614,2001699,264,240,773,1196
119,7,30,22,5,2,1,253006,6418,13698,0.9747135257749753,0.9747128566374587,2001764,314,175,686,1093
120,15,21,4,17,1,1,253001,4030,13703,0.9835806439247652,0.9835794397221163,2001902,22,37,1244,1967
121,28,2,6,29,2,2,252996,4004,13708,0.9836773847982816,0.9836762179399955,2001901,22,38,1251,1906
122,30,28,27,21,2,3,253002,4089,13702,0.9833597413216857,0.9833585756878049,2001902,22,37,1214,1904
123,11,27,1,25,2,1,252999,4100,13705,0.9833181171054888,0.983317424092068,2001753,303,186,720,1132
124,23,1,29,8,1,1,252992,3910,13712,0.9840292831481717,0.9840280960871975,2001900,21,39,1254,1939
125,30,19,3,1,2,3,253002,4089,13702,0.9833597413216857,0.9833585671169676,2001870,10,69,1230,1918
126,29,1,1,2,1,2,252982,4007,13722,0.9836641803725203,0.9836629504573594,2001856,34,83,1445,2009
127,11,11,27,1,2,1,252998,4096,13706,0.9833329576168484,0.9833322750108731,2001732,275,207,714,1115
128,19,30,30,27,2,1,253000,3950,13704,0.9838803837895713,0.9838796724100706,2001741,296,198,733,1162
129,9,10,2,29,2,1,253000,4101,13704,0.9833145130303943,0.983313848790499,2001749,304,190,695,1085
130,13,30,2,3,2,3,253002,8263,13702,0.9679700848340641,0.9679689608299648,2001909,26,30,1160,1836
131,28,29,25,30,2,2,253001,4031,13703,0.983576896593121,0.9835757052467281,2001902,22,37,1235,1946
132,9,29,1,25,2,1,253000,4101,13704,0.9833145130303943,0.9833138347098377,2001757,308,182,705,1108
133,19,12,1,4,2,1,253000,3951,13704,0.9838766341588122,0.9838759356355675,2001745,297,194,726,1141
134,26,1,5,25,1,3,252989,5228,13715,0.9791098413177084,0.9791086426248835,2001889,20,50,1396,1958
135,12,5,27,19,2,1,252999,4037,13705,0.9835541323898641,0.9835534522326994,2001735,291,204,715,1111
136,10,2,27,1,2,1,252998,4093,13706,0.9833441942550013,0.983343524505282,2001727,267,212,708,1094
137,30,10,3,3,1,3,253002,4088,13702,0.983363486984024,0.9833623391040206,2001907,24,32,1207,1875
138,29,14,27,29,1,3,253002,4089,13702,0.9833597413216857,0.9833585867074529,2001902,22,37,1208,1886
139,11,3,8,30,1,1,253002,4086,13702,0.9833709783943055,0.9833698243922755,2001902,22,37,1207,1885
140,20,30,2,22,1,1,253000,3941,13704,0.983914131752558,0.9839129214278824,2001902,22,37,1249,1977
141,8,19,11,1,1,1,253001,6406,13703,0.9747568261026056,0.9747556616931302,2001900,20,39,1186,1902
142,11,30,2,30,1,1,253002,4088,13702,0.983363486984024,0.9833622980864418,2001902,22,37,1228,1942
143,20,3,28,4,1,1,253000,3939,13704,0.9839216316142965,0.9839204512875517,2001902,22,37,1229,1928
144,30,23,20,20,2,3,253002,4090,13702,0.983355995687882,0.9833548331150146,2001902,22,37,1214,1899
