observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,21,7,26,19,1,3,39879,3089,1889,0.9286279806259314,0.9285535903149946,326892,30,124,25025,32480
2,11,24,21,4,2,3,39906,3960,1862,0.9105961020480996,0.9105307013298484,326866,33,150,23280,28555
3,22,21,2,24,2,2,39975,2534,1793,0.9407170581947928,0.9406461766879309,326957,35,59,26541,30948
4,7,20,29,15,1,5,39993,5185,1775,0.886570102283761,0.8865124955996266,326938,42,78,22310,25152
5,28,21,1,12,2,5,39767,3396,2001,0.9219174176019066,0.9218542522575308,324080,44,2936,27849,27579
6,29,12,14,1,2,1,39413,2123,2355,0.9487817231511118,0.948722444517255,321820,863,5196,17256,25882
7,22,1,30,27,2,2,39795,2546,1973,0.940123611076331,0.9400414679574348,326881,30,135,27127,35865
8,25,25,3,30,2,5,40038,3508,1730,0.9201929467962172,0.9201287851530342,326943,41,73,25889,28014
9,3,30,2,3,1,3,39992,6278,1776,0.8660033486386737,0.8659446471710225,326540,39,476,23882,25630
10,1,4,25,5,1,5,39774,5150,1994,0.8866076635144027,0.88653895554218,325512,30,1504,25723,29999
11,30,3,30,29,1,2,39788,2555,1980,0.9399147207162515,0.9398293482150147,326880,29,136,27611,37275
12,18,24,27,1,1,1,39765,2631,2003,0.938220210535058,0.9381318193629525,326858,29,158,28417,38593
13,24,10,2,6,2,3,39961,2772,1807,0.9355546346956598,0.9354883980025473,326359,36,657,25817,28920
14,2,30,29,27,2,5,40054,9020,1714,0.8186334662364281,0.8185740387303357,326944,44,72,23039,25947
15,3,1,15,18,2,3,39872,4203,1896,0.9055878348882982,0.9055183825548977,326753,30,263,28368,30324
16,30,19,11,4,2,1,39424,2126,2344,0.948733177457191,0.9486744485054348,321906,935,5110,17163,25642
17,15,28,2,30,2,5,40020,4229,1748,0.9054425650314551,0.9053817060615594,326926,48,90,25183,26572
18,1,6,1,8,2,1,40011,6304,1757,0.8655881807007001,0.8655551951939848,324209,3134,2807,11803,14402
19,6,30,29,9,2,4,39992,5447,1776,0.8815494037550057,0.8814906839646178,326910,38,106,22474,25638
20,3,2,26,30,1,4,39894,4427,1874,0.9011532430357937,0.9010801994460031,326839,30,177,29311,31892
21,30,30,30,2,1,1,39740,2480,2028,0.9414616488229597,0.9413662011068888,326869,28,147,30425,41674
22,28,7,29,26,1,1,39758,2600,2010,0.9388799939545934,0.9387856135379344,326873,28,143,30104,41208
23,8,1,3,24,2,1,39678,2324,2090,0.9447745713297897,0.9447310891852966,322676,1820,4340,13571,18985
24,26,30,3,29,1,1,39868,2635,1900,0.9383289046631662,0.9382467936090592,326920,33,96,28158,35851
25,13,1,27,3,2,4,39755,3769,2013,0.9141417300238589,0.914067552714736,326573,27,443,29037,32387
26,30,11,30,30,2,2,39790,2563,1978,0.9397444103038878,0.9396590286412827,326882,29,134,27532,37279
27,22,29,30,3,2,3,39859,2767,1909,0.935463157410528,0.9353878830275462,326849,30,167,25240,32866
28,29,16,1,8,2,3,39822,2787,1946,0.9349603612681953,0.9348923129144932,325119,39,1897,28220,29711
29,15,3,4,30,1,1,39855,2503,1913,0.941170636326282,0.9410919149784615,326915,31,101,26576,34371
30,7,1,23,7,2,2,39813,4027,1955,0.909002487753022,0.9089310794674804,326878,31,138,26012,31178
31,23,25,3,12,2,1,39604,2261,2164,0.9460369117785465,0.9459864418003506,322680,1676,4336,15630,22036
32,21,30,26,30,2,2,39832,2546,1936,0.9401923249413443,0.9401114850270947,326893,30,123,26468,35296
33,30,13,30,1,1,2,39767,2566,2001,0.939636167734283,0.9395508364592038,326729,16,287,27556,37257
34,8,1,29,26,2,3,39773,4299,1995,0.9033996336703468,0.9033254952970394,326879,30,137,28259,32370
