observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,22,21,2,24,2,2,21426,66,1006,0.9960577942242967,0.9960441809549143,170846,18,50,1209,2106
2,21,7,26,19,1,3,21431,75,1001,0.9956551876650443,0.995642194943554,170813,10,83,1115,2010
3,11,24,21,4,2,3,21451,82,981,0.9953607678165911,0.9953489967987633,170814,12,82,938,1821
4,7,20,29,15,1,5,21467,167,965,0.9915491760723808,0.9915380126743639,170835,19,61,845,1727
5,28,21,1,12,2,5,21432,129,1000,0.9932145170962472,0.9932012981333379,170690,32,206,1246,2045
6,29,12,14,1,2,1,21392,36,1040,0.9973853137437011,0.9973751264158062,170520,64,376,849,1576
7,3,30,2,3,1,3,21475,207,957,0.9897681707148455,0.9897555852279093,170848,25,48,955,1947
8,1,4,25,5,1,5,21458,121,974,0.9936071672332825,0.9935952798627249,170808,7,88,968,1839
9,22,1,30,27,2,2,21426,54,1006,0.9966026390015555,0.9965891097647002,170801,4,95,1180,2093
10,25,25,3,30,2,5,21442,91,990,0.9949431533972005,0.9949297081928722,170876,35,20,1174,2080
11,29,9,29,21,2,1,21392,34,1040,0.9974764666056145,0.9974662211013547,170521,63,375,851,1585
12,4,26,1,2,2,5,21447,159,985,0.991882537280576,0.9918714062027618,170381,2,515,933,1722
13,2,2,11,30,1,4,21478,128,954,0.9933162277107386,0.9933041916672485,170820,13,76,1145,1862
14,1,30,28,16,1,1,21484,213,948,0.9895125669569864,0.9895002335676314,170846,34,50,915,1908
15,27,28,3,28,1,4,21445,87,987,0.9951276102088168,0.9951137254497315,170874,32,22,1258,2148
16,28,1,23,26,2,1,21391,34,1041,0.9974754186729486,0.9974651796327294,170520,62,376,853,1584
17,1,29,1,4,1,2,21486,248,946,0.9879547323059268,0.9879416878721121,170859,31,37,1015,2018
18,30,30,1,29,2,4,21432,153,1000,0.9921331139703196,0.9921178846908015,170874,41,22,1418,2356
19,1,26,27,28,2,4,21506,210,926,0.9896770963336019,0.9896648275846524,170856,28,40,954,1898
