observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,22,21,2,24,2,2,148416,2792,954,0.981774046438992,0.9817433624409444,1192528,662,684,26616,32439
2,11,24,21,4,2,3,148139,3525,1231,0.9770534023242078,0.9770260611310894,1190423,365,2789,22632,28905
3,21,7,26,19,1,3,148256,2624,1114,0.982805413066507,0.9827757241535713,1191414,441,1798,23948,31387
4,28,21,1,12,2,5,146780,4394,2590,0.971165939031052,0.9711384720334469,1178691,565,14521,26632,29038
5,7,20,29,15,1,5,148362,14088,1008,0.9147509932892858,0.9147246169125307,1191853,538,1359,22331,27885
6,30,30,29,26,1,2,148131,2768,1239,0.9818555798489836,0.9818213667040229,1190619,373,2593,26491,36170
7,4,30,2,29,1,4,148468,14817,902,0.9108091875978105,0.9107796727301795,1192814,724,398,24897,31203
8,1,1,25,30,2,1,147841,13112,1529,0.9198591798699538,0.9198359779282136,1189044,2211,4168,19383,24529
9,21,14,9,14,1,3,148336,2824,1034,0.9815502745423963,0.9815217207075351,1191896,480,1316,23755,30187
10,1,30,30,1,2,4,146684,19675,2686,0.8835362556214877,0.8835089938838345,1178583,63,14629,23314,28821
11,29,30,13,20,2,1,147642,2681,1728,0.9822896192874252,0.9822594470204095,1188519,1686,4693,22883,31898
12,20,2,29,29,1,3,148192,2671,1178,0.9824896571138146,0.9824581766693181,1191263,309,1949,26220,33281
13,1,4,26,1,1,1,148060,14416,1310,0.9127455677652245,0.91271925003417,1189717,392,3495,22171,27823
14,28,1,4,6,1,5,146579,3128,2791,0.9791499360121353,0.9791241536595725,1177915,427,15297,28022,27257
15,4,26,1,2,2,5,141383,15316,7987,0.9031032544881773,0.9030792428574106,1134151,100,59061,22688,25385
16,14,26,19,18,1,2,148242,2642,1128,0.9826870693013073,0.9826569774356552,1191426,502,1786,24057,31813
17,30,30,1,29,2,4,148243,6164,1127,0.9607063252002866,0.9606742535692929,1191038,755,2174,29524,33906
18,29,2,6,2,2,4,147088,2894,2282,0.9807843928002552,0.9807571376838908,1181954,128,11258,26578,28814
19,4,1,29,3,1,2,148167,7279,1203,0.9539191761659205,0.9538882027229638,1190915,214,2297,27125,32745
20,3,7,3,29,1,3,148471,14435,899,0.9129077036667568,0.9128812128362959,1192560,656,652,24187,28006
21,25,30,25,1,1,2,147716,2599,1654,0.9828332205559561,0.9828006674626791,1187220,104,5992,25617,34415
22,30,9,30,29,2,2,148121,2763,1249,0.9818849677687762,0.9818508179990079,1190567,367,2645,26363,36103
23,12,1,4,20,1,1,148278,2772,1092,0.9818668700882818,0.9818357698949401,1191802,466,1410,25869,32879
24,8,4,29,7,2,2,148253,3328,1117,0.9783301453284147,0.978302286728874,1191270,442,1942,23056,29452
25,22,29,1,27,1,5,148169,3955,1201,0.9743542598974203,0.9743233810443032,1190310,689,2902,28873,32645
26,17,8,13,2,2,1,147684,2543,1686,0.983184459395675,0.9831565733650809,1188419,1758,4793,20978,29481
27,6,30,2,21,1,1,148398,2949,972,0.9807712058612313,0.9807419709795254,1192311,625,901,24281,30907
28,13,30,29,2,1,5,147434,5614,1936,0.9637819233069262,0.9637558004309411,1184583,78,8629,22412,27617
29,26,26,30,28,1,2,148172,2545,1198,0.9832898069056446,0.9832564535823252,1190914,403,2298,25902,35261
30,25,1,2,29,1,4,148246,3178,1124,0.9792782435429308,0.9792470572728352,1191136,704,2076,31582,32970
31,30,29,23,10,1,1,147966,2599,1404,0.9828943723674133,0.982855895112486,1189543,306,3669,29611,40678
32,18,21,11,30,1,5,148396,3666,974,0.9762370651680805,0.9762099141005396,1192213,534,999,23063,28704
33,24,2,28,27,2,1,147391,2525,1979,0.9832288538854053,0.983197998679748,1186525,1380,6687,22821,32620
34,10,25,2,1,1,1,147904,2653,1466,0.9825336938826675,0.9825048969519187,1188524,363,4688,24496,30444
35,26,1,11,1,1,5,139477,2963,9893,0.9782463848010852,0.9782208862180409,1120211,37,73001,26131,26957
36,9,27,26,28,2,1,147803,2798,1567,0.9815815734180886,0.9815557976868146,1188818,2244,4394,19621,27250
37,15,30,2,5,1,1,148334,2949,1036,0.9807547687278249,0.9807239608170873,1191927,522,1285,26061,32570
38,28,2,14,3,1,2,148198,2724,1172,0.982152940109865,0.9821202281056576,1191195,292,2017,26362,34583
39,18,13,30,10,2,4,148288,3228,1082,0.9789726332890306,0.9789446942881264,1191379,444,1833,23062,29537
40,20,6,1,30,2,1,148217,3827,1153,0.9751726620844512,0.9751469270268082,1190988,3192,2224,22139,27207
41,26,27,27,29,2,1,147402,2595,1968,0.9827818161961579,0.982750447367672,1186657,1448,6555,23269,33163
42,20,30,3,12,1,2,148362,2770,1008,0.9819006046191857,0.9818705562648598,1192165,564,1047,25597,31767
43,30,2,11,22,2,2,148251,2904,1119,0.9810196315096751,0.980987233543735,1191619,377,1593,26362,34251
44,16,14,29,1,1,3,147486,2852,1884,0.9811557635167534,0.9811276797933947,1184989,66,8223,23142,29690
45,7,1,1,4,1,1,148359,2899,1011,0.981078987839194,0.9810512446392575,1191928,545,1284,26130,29330
46,19,30,30,16,2,3,148248,2704,1122,0.9822929126328614,0.9822632804738295,1191361,462,1851,23865,31327
47,30,22,1,25,2,1,148230,3527,1140,0.9770662647751364,0.9770391146534938,1191043,3100,2169,23689,28703
48,28,5,27,28,2,2,148192,2735,1178,0.982081284403694,0.9820478260856527,1190992,379,2220,26012,35372
49,8,27,1,3,1,1,148288,2755,1082,0.9819776949191422,0.9819486350286394,1191320,575,1892,25224,30722
50,13,2,19,2,1,2,148205,2668,1165,0.9825120088484088,0.9824817486128423,1191045,299,2167,24895,31991
51,9,5,4,30,2,2,148428,3307,942,0.9785104527262263,0.978483205177049,1192276,565,936,23413,28806
52,22,28,30,8,1,1,147932,2765,1438,0.9818248381268632,0.9817875167597752,1189233,319,3979,28543,39456
53,10,25,1,1,2,2,145029,3146,4341,0.9786105025071036,0.9785854210652517,1163943,196,29269,22991,26516
54,30,1,14,3,2,3,148090,2595,1280,0.9829502046679017,0.9829182153300684,1190657,214,2555,27589,33819
55,20,4,27,22,1,5,148238,3323,1132,0.9783577017470891,0.9783285387536612,1191590,324,1622,25235,30831
56,16,4,27,30,2,2,148229,2521,1141,0.9834570044001423,0.9834261851386241,1191221,459,1991,24451,32582
57,24,27,3,1,2,1,147515,2722,1855,0.9819952994168673,0.9819697043521867,1186317,2084,6895,20890,27059
58,6,26,30,7,1,1,148173,2782,1197,0.9817768363135447,0.9817466072926252,1190794,465,2418,24191,31958
59,28,1,16,6,2,3,148164,2971,1206,0.980571106362223,0.980538730151946,1191266,240,1946,27755,34228
60,13,30,10,28,2,3,148344,3325,1026,0.9783738643380142,0.9783455961644684,1191980,565,1232,23218,29885
61,13,30,3,28,2,1,148010,2986,1360,0.9804357981148817,0.9804110080097356,1190099,2588,3113,19727,26208
62,28,9,19,30,2,1,147524,2650,1846,0.9824590004976095,0.9824280734036742,1187766,1540,5446,23076,32696
63,8,21,30,16,2,1,147816,2746,1554,0.9819171431350032,0.9818919945343653,1188756,2244,4456,19194,26587
64,29,23,4,2,1,2,147888,2852,1482,0.9812583685770134,0.981228902896099,1188141,361,5071,25246,31151
65,22,1,29,1,2,2,148077,2497,1293,0.983574086256572,0.9835403441690121,1190344,166,2868,27236,35672
66,16,27,24,30,2,1,147546,2658,1824,0.9824131624427416,0.9823847552221315,1187299,1737,5913,21215,30032
67,24,1,28,18,2,3,148143,2518,1227,0.9834555247983904,0.9834223379531886,1191135,235,2077,27799,35085
68,12,30,1,7,2,2,148231,3178,1139,0.9792742492446564,0.9792449500418596,1190841,623,2371,25926,30975
69,30,15,15,1,1,5,146483,2720,2887,0.9817478265333767,0.9817206934379052,1176571,40,16641,23249,28685
70,12,2,1,30,1,2,148451,3381,919,0.9780491539355326,0.9780189835603136,1192659,726,553,29523,31896
71,26,28,1,30,2,2,148434,3297,936,0.9785752965808209,0.9785428210512124,1192599,732,613,29159,34333
72,13,14,28,3,2,1,147660,2673,1710,0.982345326515061,0.9823181253149051,1188107,1842,5105,20433,28757
73,29,30,30,13,2,2,148139,2749,1231,0.9819787715093514,0.9819447002491499,1190647,376,2565,26399,36020
74,22,2,24,30,1,4,148206,2922,1164,0.9808936015763553,0.9808625798925805,1191494,302,1718,26542,32796
75,27,1,3,1,2,4,131808,2241,17562,0.9810396930767662,0.9810190412770999,1056992,48,136220,23034,21833
76,11,1,6,29,2,1,147832,2604,1538,0.9828296014724096,0.9828043989555632,1189264,2096,3948,19642,26644
77,23,8,30,23,1,4,148267,2888,1103,0.9811255081250376,0.9810965617423423,1191490,445,1722,23625,30602
78,27,29,24,3,1,1,147955,2557,1415,0.9831605146842468,0.983122521729298,1189363,309,3849,29155,40166
79,18,30,1,20,2,3,148341,3353,1029,0.9781960166575755,0.9781647017452981,1191684,712,1528,28133,33106
80,26,2,3,1,2,3,144541,2811,4829,0.9806546282317482,0.9806287096698164,1161002,104,32210,25242,27401
81,12,7,23,30,1,1,148152,2595,1218,0.9829653052100902,0.9829321022846156,1190807,544,2405,25738,35102
82,7,30,21,12,2,1,147897,2896,1473,0.9809800102862385,0.9809556884007982,1189181,2367,4031,18793,25713
83,17,1,30,1,2,2,148094,2528,1276,0.9833797441860713,0.9833470577211206,1190435,173,2777,26733,34556
84,28,27,4,27,1,1,148278,2683,1092,0.9824342781163987,0.9824003402278709,1191842,530,1370,28010,35879
85,9,7,1,6,1,1,148375,2807,995,0.9816682915881993,0.9816386991568999,1192203,603,1009,25737,31285
86,12,28,16,1,1,1,147974,2525,1396,0.9833700190368697,0.9833372143346196,1189399,283,3813,25704,34681
87,6,1,29,18,1,1,148167,2772,1203,0.9818390880460509,0.9818083245925381,1190795,415,2417,25085,32523
