observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,21,7,26,19,1,3,29617,1016,1657,0.9664287005536155,0.9663996058778919,238367,156,629,5681,8258
2,7,20,29,15,1,5,29688,3092,1586,0.9065071383467666,0.9064814329999417,238597,248,399,4976,7296
3,11,24,21,4,2,3,29630,1832,1644,0.941883589164556,0.9418563653138273,238324,151,672,5445,7727
4,22,21,2,24,2,2,29671,1081,1603,0.9645203696455809,0.9644882626245261,238787,380,209,6386,9113
5,28,21,1,12,2,5,29619,1903,1655,0.9397773394963487,0.9397484385972252,237899,290,1097,6285,8203
6,21,14,2,16,1,3,29698,1222,1576,0.9602587764509292,0.9602279342625925,238871,391,125,6294,8754
7,1,30,30,1,2,4,29438,3717,1836,0.888898819894569,0.8888721245254774,236308,15,2688,5291,7577
8,30,2,28,3,1,5,29570,1657,1704,0.9469084416070992,0.9468767045231904,238181,28,815,6523,9008
9,29,28,25,27,2,2,29566,571,1708,0.9803134907661671,0.9802779697537373,238255,173,741,6839,10082
10,1,1,19,30,2,5,29620,1886,1654,0.9402768642369728,0.9402485129587519,238320,222,676,6260,8047
11,8,28,1,25,1,4,29728,2920,1546,0.911328206907799,0.911296808052138,238934,454,62,6061,8912
12,4,30,28,2,1,3,29584,3108,1690,0.9057165704740806,0.9056885503776856,237675,56,1321,5395,7953
13,25,27,28,30,1,1,29531,558,1743,0.9806825691485652,0.9806412559773935,238127,110,869,7900,11726
14,29,20,8,8,2,2,29609,556,1665,0.9808468363060082,0.9808127281011546,238494,188,502,6661,9681
15,1,3,25,29,1,2,29636,3214,1638,0.9030278062847518,0.9030007973498889,238419,205,577,5314,7666
16,4,30,2,30,2,1,29711,2023,1563,0.9365228464797257,0.9365062098777922,238021,1713,975,3044,4722
17,1,16,29,20,1,1,29693,3295,1581,0.9010515353046636,0.9010193648658125,238790,519,206,5885,9131
18,16,19,14,3,2,5,29616,2547,1658,0.9213189394877372,0.9212945024968412,237987,47,1009,4901,6936
19,24,3,2,13,1,1,29638,558,1636,0.9808204236212322,0.9807834334298514,238616,216,380,7504,10499
20,29,1,30,27,1,3,29545,991,1729,0.9670790513885744,0.9670438862204468,238154,39,842,7118,9981
21,11,23,2,1,2,1,29615,849,1659,0.9716143594858302,0.9715962219960474,237429,1026,1567,3521,5148
22,30,30,25,1,2,1,29402,469,1872,0.9833753970860621,0.9833484621386285,236241,447,2755,4968,7645
23,11,4,29,3,1,2,29609,1693,1665,0.9459309220278683,0.9459032648221973,238286,128,710,5469,7850
24,27,12,30,30,1,2,29574,579,1700,0.9800692086473032,0.98003471641246,238260,160,736,6638,9790
25,12,3,2,28,2,3,29700,1977,1574,0.937827410705884,0.9378005074673486,238784,317,212,5852,7636
26,30,1,25,14,2,1,29399,463,1875,0.9835652038926418,0.9835383887343792,236217,434,2779,4950,7611
27,30,28,30,29,1,3,29588,1045,1686,0.9654824051045134,0.9654496181037524,238349,193,647,6292,9306
28,13,5,1,4,2,1,29658,894,1616,0.9702798232309684,0.9702609141579956,237818,1380,1178,3746,5367
29,12,26,2,30,1,1,29654,741,1620,0.975057032320178,0.9750244355728064,238689,314,307,6355,9252
30,29,30,11,1,1,3,29515,922,1759,0.9691748862372898,0.9691443505683025,237394,21,1602,6085,8667
31,30,8,30,27,2,4,29614,1002,1660,0.9668564204829646,0.9668269030219313,238362,150,634,5775,8378
32,25,29,20,1,2,4,29510,1649,1764,0.9470079874716395,0.9469795868684658,237324,16,1672,5653,8061
33,11,1,27,8,2,1,29487,859,1787,0.9710992024913254,0.9710803039879854,236610,633,2386,3509,5364
34,28,24,1,29,1,1,29663,745,1611,0.9749445527606612,0.9749048567432987,238764,362,232,8210,11267
35,29,1,1,1,2,4,27217,891,4057,0.9661244130555473,0.9661049015135084,217751,11,21245,5626,5538
36,8,27,8,5,2,1,29585,1030,1689,0.9659405162174179,0.965922674677352,237322,1233,1674,3266,5064
37,27,28,2,30,1,2,29662,782,1612,0.9737825256232641,0.9737487345073927,238782,386,214,6778,9591
