observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,11,24,21,4,2,3,11441,308,677,0.9731737150381325,0.9731578534826623,89194,25,28,780,1406
2,28,21,1,12,2,5,11443,301,675,0.9737496894008244,0.973732293583943,89184,37,38,912,1542
3,7,20,29,15,1,5,11447,842,671,0.9317427423043926,0.9317277832556347,89205,34,17,721,1326
4,21,7,26,19,1,3,11443,294,675,0.9743184538963371,0.9743015544581475,89194,23,28,843,1498
5,22,21,2,24,2,2,11442,103,676,0.990095582903415,0.9900778824905182,89209,35,13,928,1569
6,29,12,14,1,2,1,11423,86,695,0.9914783034376686,0.9914661308783852,88979,132,243,647,1079
7,22,1,30,27,2,2,11435,100,683,0.9903296710910341,0.9903116999261236,89186,13,36,949,1593
8,1,4,25,5,1,5,11436,950,682,0.923700228744233,0.9236837805593996,89180,12,42,862,1458
9,25,25,3,30,2,5,11444,312,674,0.9728612185078261,0.9728441385682941,89218,40,4,860,1514
10,3,30,2,3,1,3,11449,1138,669,0.910267602296778,0.9102526883733556,89209,35,13,678,1322
11,28,10,12,5,2,1,11423,88,695,0.9913096603877068,0.9912974991097574,88982,136,240,647,1078
12,2,1,1,25,1,1,11444,767,674,0.9373305572710281,0.937315383876926,89207,31,15,765,1345
13,9,29,1,1,1,3,11429,377,689,0.967555687998212,0.9675401197574233,89003,1,219,833,1380
14,1,1,30,5,2,4,11436,311,682,0.9729106157513514,0.9728930619957954,89165,6,57,993,1556
15,2,30,29,27,2,5,11451,1395,667,0.8924173748230909,0.8924032957183776,89204,33,18,636,1248
16,23,30,27,11,1,4,11441,294,677,0.974310760934916,0.9742940307167349,89194,23,28,842,1483
17,19,2,3,15,1,4,11438,313,680,0.9727563584655657,0.9727385339579959,89218,40,4,979,1580
18,1,29,1,4,1,2,11453,1402,665,0.8919601316484245,0.8919449356916546,89217,37,5,702,1347
19,30,9,23,30,1,2,11439,100,679,0.9903398790363774,0.9903219529968025,89195,26,27,931,1589
20,4,1,29,3,1,2,11435,765,683,0.9374210959506032,0.9374043770137561,89181,7,41,850,1482
21,18,27,23,2,2,5,11430,305,688,0.9733740055489983,0.9733580424615229,89127,2,95,790,1415
22,14,30,3,29,2,1,11431,102,687,0.9901513248503643,0.9901402691431375,89002,155,220,555,980
23,30,1,30,12,2,4,11433,196,685,0.982319452726145,0.9823002518958388,89172,3,50,1029,1702
24,8,2,4,2,2,1,11436,197,682,0.9822463861475431,0.9822363006350321,89011,152,211,499,894
25,12,13,26,24,2,2,11443,293,675,0.9743997602106331,0.9743828720537775,89195,26,27,847,1497
26,29,1,18,4,1,1,11431,85,687,0.9915822637673012,0.9915630403743272,89193,21,29,1059,1704
27,27,4,1,30,1,1,11436,89,682,0.9912575865530135,0.9912383518787057,89208,34,14,1058,1705
28,17,16,2,1,1,1,11437,87,681,0.9914284822657656,0.9914097552514834,89190,23,32,1005,1660
29,15,10,30,18,2,5,11444,312,674,0.9728612185078261,0.972845447203027,89197,26,25,794,1398
30,16,30,4,27,1,5,11447,385,671,0.9669936440463198,0.9669771507361509,89218,40,4,813,1462
31,22,10,30,10,2,3,11443,199,675,0.9821036225316526,0.9820865877174562,89195,26,27,864,1510
32,3,1,28,29,2,1,11436,311,682,0.9729106157513514,0.972901410182885,89035,168,187,454,816
33,30,30,16,15,1,1,11433,86,685,0.9915028904741835,0.9914836219558739,89194,25,28,1051,1708
34,28,10,1,29,1,4,11446,305,672,0.9734367266127703,0.9734181011304932,89219,41,3,965,1651
35,15,2,3,2,2,3,11437,307,681,0.9732391154135479,0.9732225431340416,89184,16,38,855,1469
36,30,30,25,20,2,1,11423,87,695,0.9913939747408472,0.9913818247442316,88982,136,240,646,1077
37,20,11,22,2,1,1,11435,89,683,0.9912551101433095,0.9912361010956797,89194,23,28,1006,1685
38,22,20,2,30,1,2,11442,103,676,0.990095582903415,0.9900778824905182,89209,35,13,928,1569
39,6,4,2,7,2,4,11446,776,672,0.9366673431577294,0.936651492883593,89215,36,7,804,1405
40,13,2,27,29,1,3,11434,305,684,0.9733897015131212,0.9733724636349145,89183,9,39,869,1528
41,13,7,3,3,1,1,11439,100,679,0.9903398790363774,0.9903219868408042,89195,26,27,930,1586
42,14,9,28,30,1,1,11439,100,679,0.9903398790363774,0.9903219529968025,89195,26,27,931,1589
43,30,1,30,1,1,4,11428,196,690,0.982303410384154,0.9822834762671441,89158,1,64,1069,1767
44,20,30,19,9,1,1,11435,89,683,0.9912551101433095,0.9912361349396814,89195,26,27,1005,1682
45,30,1,2,29,2,2,11437,101,681,0.9902507446145321,0.9902325591042773,89202,25,20,971,1612
46,13,1,1,2,1,1,11439,101,679,0.990255861545973,0.9902380031944015,89207,31,15,954,1583
47,25,29,10,1,1,1,11432,87,686,0.99141616757639,0.9913970118714194,89186,21,36,1037,1698
48,14,2,29,27,2,1,11431,100,687,0.9903194562123031,0.9903086261317544,88999,151,223,544,960
49,30,25,30,23,1,4,11443,199,675,0.9821036225316526,0.9820865877174562,89195,26,27,865,1510
50,28,13,2,29,1,2,11442,102,676,0.9901795511739884,0.9901616476970813,89209,35,13,940,1587
51,19,13,13,23,2,1,11426,90,692,0.9911485386934812,0.9911367496995506,88993,145,229,607,1045
52,26,1,1,1,2,2,11434,99,684,0.9904111843529931,0.990393280876086,89142,14,80,979,1587
53,29,29,29,2,2,3,11436,116,682,0.9889893214059631,0.9889718804637461,89174,11,48,901,1546
54,15,30,2,8,2,2,11445,200,673,0.982027481324746,0.9820102885718749,89209,35,13,882,1524
55,12,3,30,7,2,1,11431,100,687,0.9903194562123031,0.9903086599757561,89000,150,222,543,957
56,26,3,30,2,2,3,11436,196,682,0.9823290716492065,0.9823118224896659,89183,11,39,887,1529
57,30,9,4,14,1,3,11442,110,676,0.9895082035263228,0.9894906384894329,89207,33,15,910,1557
58,12,28,28,30,1,2,11443,293,675,0.9743997602106331,0.9743826689897672,89195,26,27,857,1515
59,21,28,12,4,2,1,11426,90,692,0.9911485386934812,0.9911366820115471,88992,144,230,611,1051
60,1,13,20,1,1,4,11427,1311,691,0.8979537310617968,0.8979388397010423,89051,1,171,727,1320
61,18,1,30,16,2,2,11434,118,684,0.9888163606991763,0.9887987730996186,89186,13,36,921,1559
62,30,28,29,30,2,5,11443,293,675,0.9743997602106331,0.9743828720537775,89195,26,27,847,1497
63,30,28,1,2,2,2,11442,102,676,0.9901795511739884,0.9901613431010658,89201,32,21,963,1614
64,23,11,4,26,2,1,11425,90,693,0.9911460511179782,0.9911341831547101,88990,144,232,611,1052
65,10,30,24,1,2,1,11431,113,687,0.9892276218729122,0.9892169271683704,89004,150,218,534,948
66,26,27,27,1,2,1,11423,87,695,0.9913939747408472,0.9913819375575706,88980,134,242,628,1067
67,10,3,19,2,1,1,11439,108,679,0.9896681380327068,0.9896505504331491,89194,23,28,902,1559
68,11,7,2,29,2,1,11431,104,687,0.9899832505676965,0.9899726122698242,89008,156,214,535,943
69,30,26,1,17,1,3,11442,118,676,0.9888377656172762,0.9888188919456533,89219,41,3,991,1673
70,30,1,24,23,1,3,11428,107,690,0.9897234351751936,0.9897039974368754,89176,5,46,1041,1723
71,27,30,10,6,1,3,11438,120,680,0.9886595443072987,0.988642182334419,89194,23,28,891,1539
72,17,1,5,11,1,1,11435,86,683,0.9915078028672655,0.9914891999476563,89193,21,29,1003,1649
73,10,2,26,30,1,1,11439,108,679,0.9896681380327068,0.9896505391518151,89194,23,28,903,1560
74,12,20,26,1,2,1,11431,101,687,0.9902353833946078,0.9902243389687149,88999,150,223,554,979
75,30,27,30,27,2,2,11439,100,679,0.9903398790363774,0.9903217499327922,89195,26,27,941,1607
76,30,6,29,2,2,1,11423,86,695,0.9914783034376686,0.9914661760037209,88981,134,241,645,1075
77,29,1,2,25,1,1,11432,85,686,0.9915847140520183,0.9915655470657139,89197,23,25,1060,1699
78,1,18,30,11,2,3,11451,1395,667,0.8924173748230909,0.89240347621972,89204,33,18,615,1232
79,20,27,9,1,1,5,11424,301,694,0.9736756425969457,0.9736600066681536,88998,0,224,804,1386
80,25,28,27,30,2,1,11423,89,695,0.9912253603745883,0.9912133344726457,88984,139,238,629,1066
81,27,28,4,10,2,3,11441,122,677,0.9885001857595839,0.9884828689120398,89207,33,15,896,1535
82,11,17,1,27,1,1,11442,104,676,0.99001162887283,0.989993590019916,89209,35,13,943,1599
83,19,1,9,2,2,1,11424,87,694,0.9913964422891678,0.9913847999525779,88982,134,240,600,1032
84,9,28,26,2,1,1,11438,121,680,0.9885758043522228,0.9885581152206598,89194,23,28,906,1568
85,29,30,30,29,1,2,11439,100,679,0.9903398790363774,0.9903217499327922,89195,26,27,941,1607
86,28,2,29,12,1,2,11436,99,682,0.9904162762218687,0.990398327619626,89193,21,29,947,1591
87,15,27,29,2,1,1,11439,101,679,0.990255861545973,0.9902375745037131,89194,23,28,948,1621
88,25,19,20,30,1,1,11433,88,685,0.9913343865484431,0.9913151405928012,89194,25,28,1037,1706
89,8,17,8,13,1,1,11442,199,676,0.9821004004964577,0.982083038523578,89195,26,27,881,1539
90,20,1,1,4,2,4,11432,312,686,0.9728136370908175,0.9727958125832477,89142,30,80,1079,1580
91,23,1,17,11,1,1,11433,87,685,0.9914186313514788,0.9913997576798559,89193,21,29,1014,1673
92,29,23,5,4,2,3,11440,118,678,0.9888324171074923,0.9888149987279431,89198,24,24,901,1544
93,13,30,1,27,2,1,11434,105,684,0.9899070003411083,0.989895888227212,89029,172,193,558,985
94,28,21,30,30,1,3,11438,120,680,0.9886595443072987,0.9886422161784207,89195,26,27,889,1536
95,11,30,30,1,2,1,11431,105,687,0.989899234822007,0.9898883708974566,89001,153,221,545,963
96,19,22,29,6,1,1,11435,89,683,0.9912551101433095,0.9912361123770136,89195,26,27,1008,1684
97,20,18,1,28,1,1,11438,91,680,0.9910941894741949,0.9910752368332346,89209,35,13,1013,1680
98,30,2,27,24,1,5,11432,289,686,0.9746831341962703,0.9746642605246474,89177,6,45,1003,1673
