observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,1,5,39225,7601,2615,0.8394633598052316,0.8393099504164708,329277,7087,4353,30362,46823
2,28,21,1,12,2,5,38847,5460,2993,0.8777463607429765,0.8775812809306469,324382,7635,9248,37143,50385
3,21,7,26,19,1,3,37832,3702,4008,0.9107340084718099,0.9105588046817071,321457,3482,12173,34913,53475
4,11,24,21,4,2,3,38616,5094,3224,0.8842157325187875,0.8840619135840003,325102,4510,8528,30912,46948
5,22,21,2,24,2,2,39220,5264,2620,0.882714637848427,0.8825291233275631,329960,7488,3670,43022,56622
6,2,28,2,30,1,1,39130,7754,2710,0.8364127916222776,0.8362377811378993,328870,7072,4760,34620,53416
7,21,6,24,15,1,3,37837,3698,4003,0.910832885985205,0.9106579770682413,321517,3476,12113,34853,53385
8,30,25,2,3,1,5,35352,3560,6488,0.9071463176305397,0.90701208482492,292722,1899,40908,31615,40970
9,1,30,30,1,2,4,34278,6835,7562,0.8334561221021243,0.8333213945649047,285678,694,47952,29783,41121
10,2,2,3,5,1,4,37175,7147,4665,0.8396886906412939,0.839554143304326,308750,5343,24880,31655,41066
11,16,28,28,13,1,4,38507,4974,3333,0.8862741776525508,0.886116102715457,324432,4762,9198,31453,48247
12,15,29,3,30,1,3,39313,5253,2527,0.8832103538233284,0.8830482948224896,330024,7529,3606,33691,49463
13,25,1,30,17,1,1,34918,3650,6922,0.903828393226179,0.9035495579095508,308954,675,24676,66228,85105
14,15,4,5,10,2,4,38970,4933,2870,0.8884736446844106,0.8883228465611143,328433,5938,5197,31932,46026
15,28,23,12,2,1,5,36683,3485,5157,0.9124797519690837,0.9123277874587041,309647,1228,23983,32666,46382
16,13,26,24,18,2,1,35943,2809,5897,0.9260375701812964,0.9259349117361297,301650,8821,31980,19999,31333
17,30,3,28,1,2,1,32764,2654,9076,0.9217238069410046,0.9215607748588072,284712,2006,48918,36413,49760
18,29,29,10,5,1,1,36107,3784,5733,0.9042579034600068,0.904000574224318,315582,1656,18048,61595,78541
19,17,1,1,12,2,1,40081,5067,1759,0.8890719633448857,0.8889848447141455,326232,23618,7398,21252,26590
20,24,18,4,30,1,5,39381,5435,2459,0.8798949336498313,0.8797228882786843,331275,7995,2355,36350,52511
21,14,30,3,29,2,1,38268,3375,3572,0.9188670284059286,0.9187867311738045,315494,14654,18136,17340,24508
22,27,3,26,2,2,1,33152,2577,8688,0.9247105119435267,0.9245532364402765,286957,2544,46673,34762,48003
23,9,23,30,16,2,1,37156,3115,4684,0.9219306651368976,0.9218521142090301,308186,12438,25444,14409,23975
24,30,23,1,1,1,3,28990,1916,12850,0.9314151984855747,0.9312909553266315,239178,631,94452,32183,37921
25,21,1,9,24,2,5,38926,4750,2914,0.8919945516974614,0.8918279221629678,327437,5933,6193,40351,50858
26,1,29,25,30,2,1,40483,9598,1357,0.8110195932461177,0.8109471527449644,330170,29959,3460,12531,22110
27,30,2,29,27,1,2,36339,3521,5501,0.91076101013544,0.910531533305916,315814,1834,17816,50202,70040
28,12,19,30,6,2,5,38679,5672,3161,0.8730997512910608,0.8729516954879574,325185,4429,8445,29816,45189
29,26,8,3,1,1,3,34044,2662,7796,0.92489054212213,0.9247515192661853,284306,808,49324,32862,42432
30,4,1,4,26,2,5,39227,7990,2613,0.8326777679047902,0.8325169604766082,327579,7864,6051,33561,49081
31,21,19,10,1,1,2,36960,3477,4880,0.9133805806787386,0.9131930446386883,315908,1426,17722,39893,57239
32,2,30,3,30,2,2,39458,8769,2382,0.8203452610289639,0.8201587537685319,331784,9600,1846,35786,56925
33,26,30,30,26,1,4,38029,3730,3811,0.9106426101911322,0.9104705582672489,322386,3915,11244,34357,52513
34,1,1,27,27,2,2,37553,5823,4287,0.8663688410825815,0.8661750799429295,321009,3134,12621,40183,59139
35,29,5,1,27,2,4,39449,6011,2391,0.8691580960438535,0.8689555640664998,331809,10168,1821,47881,61816
36,28,9,5,30,2,1,37057,3157,4783,0.9207504151911768,0.9206385960204911,308904,10577,24726,25995,34129
37,10,2,28,25,1,1,37180,3666,4660,0.9098054416055644,0.9096071558014126,318497,2729,15133,40553,60520
38,25,5,18,1,2,4,36309,3220,5531,0.9174680519779801,0.917305956937091,308195,786,25435,34087,49474
39,7,29,29,1,1,1,37570,3657,4270,0.9110250765896382,0.9108490471547461,319655,2814,13975,35353,53727
40,30,29,1,6,1,2,39203,5656,2637,0.8750939203037951,0.8748875713574751,328787,8509,4843,52299,62981
41,8,12,30,12,2,1,37469,3340,4371,0.9176916170172537,0.9176187800755468,309830,13455,23800,13099,22231
42,26,30,20,1,1,4,35512,3092,6328,0.918365024753858,0.9182047317154851,301536,580,32094,34129,48924
43,30,18,26,27,2,3,37393,3687,4447,0.9099116198485467,0.9097158011496581,319693,2974,13937,40103,59767
44,16,2,2,30,1,2,39121,4450,2719,0.8985818297249335,0.8984114159851557,329650,7157,3980,38170,52013
45,12,23,1,7,1,1,39228,5145,2612,0.8850615739150957,0.8848733105213024,329866,7423,3764,44455,57461
46,30,27,4,1,1,5,30530,2066,11310,0.9313355834254602,0.9312106555055608,252413,329,81217,29344,38130
47,14,17,1,23,2,1,40076,5090,1764,0.8886133498656746,0.8885339732930179,326179,23569,7451,18679,24227
