observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,22,21,2,24,2,2,21642,912,1151,0.9593603909431272,0.9589632480139997,181354,2074,1076,21374,31526
2,21,7,26,19,1,3,21391,733,1402,0.966284176356913,0.9659148482976553,179706,997,2724,19614,29318
3,11,24,21,4,2,3,21507,783,1286,0.9644368669860081,0.9641002919438071,179850,1091,2580,17593,26718
4,7,20,29,15,1,5,21822,953,971,0.9581407275230776,0.9578241192239669,181442,2204,988,16517,25133
5,28,21,1,12,2,5,21553,939,1240,0.9579954147076055,0.9576226979708138,179803,2089,2627,21108,29587
6,2,28,2,30,1,1,21804,1164,989,0.949465479326787,0.9491103232460635,181735,3298,695,17570,28193
7,21,6,24,15,1,3,21384,730,1409,0.9663957830002197,0.9660272359744455,179691,960,2739,19612,29256
8,30,25,2,3,1,5,20830,606,1963,0.9705010543657638,0.9701619850553408,172862,511,9568,19904,26916
9,1,30,30,1,2,4,20068,691,2725,0.964822535731319,0.9645396756370911,166272,181,16158,16503,22454
10,2,2,3,5,1,4,20130,719,2663,0.963716758234919,0.9634755070696674,166292,1115,16138,17443,19151
11,20,12,5,1,2,3,21107,643,1686,0.9695069464412522,0.9691536799576665,176551,361,5879,19387,28043
12,29,2,23,27,1,3,21285,662,1508,0.9690893064625986,0.9687016367137891,179260,642,3170,21324,30774
13,30,25,28,4,1,3,21255,686,1538,0.9679825703933502,0.9675927716984319,178996,646,3434,20697,30943
14,6,6,1,30,2,3,21846,1088,947,0.952676661209759,0.9523339134835742,181972,3003,458,18951,27208
15,4,27,30,22,1,4,21879,1072,914,0.9534230672690764,0.9530959906018219,181780,2723,650,16504,25964
16,29,29,26,27,2,1,20625,483,2168,0.9755601489000413,0.9752732576652525,171867,672,10563,14730,22774
17,30,3,28,1,2,1,20595,481,2198,0.9755882662240399,0.9752996491571986,171689,575,10741,14826,22911
18,13,27,18,5,1,1,21179,672,1614,0.9684112915320827,0.968001072590761,178397,508,4033,21924,32564
19,14,5,15,30,1,3,21500,767,1293,0.9650984490194601,0.9647509773004306,180190,1185,2240,18710,27583
20,19,11,1,1,2,5,17227,382,5566,0.9725800951634648,0.9722940857406737,142755,98,39675,17784,22704
21,30,2,2,4,2,3,21464,791,1329,0.9639913481507032,0.9636102164079907,179612,1373,2818,21474,30255
22,7,26,7,4,2,5,21533,764,1260,0.9653058333467821,0.965007503750652,178700,1009,3730,16167,23682
23,26,30,3,29,1,1,21405,747,1388,0.9657195501700442,0.9652957261293297,179886,919,2544,23378,33644
24,16,10,30,8,2,5,21596,785,1197,0.9645704811775657,0.9642401795978625,180482,1215,1948,17665,26220
25,2,3,6,27,1,3,21719,902,1074,0.9599795619250687,0.9596614293509336,181112,1847,1318,18873,25254
26,28,30,28,6,2,1,20623,481,2170,0.975646449154074,0.9753596586977992,171818,650,10612,14718,22766
27,16,14,30,28,1,1,21126,667,1667,0.9685050199422364,0.9680801125324962,177992,455,4438,22828,33730
28,30,22,1,29,1,1,21646,943,1147,0.9580809699253047,0.9576416385907452,181352,2119,1078,24492,34875
29,12,26,5,10,1,5,21765,912,1028,0.9596848582761741,0.959360943534797,181088,1768,1342,16930,25713
30,10,1,23,3,2,5,21075,635,1718,0.9697832563182012,0.9694363136863703,176492,387,5938,22624,27541
31,24,2,28,27,2,1,20676,490,2117,0.9753501892111438,0.9750701131233657,172082,725,10348,14407,22233
32,24,30,2,24,2,1,21391,732,1402,0.9663269546990477,0.9660726149242878,176875,2845,5555,13707,20190
33,28,28,30,2,2,4,21206,644,1587,0.9696893207967859,0.9693213910394102,178009,400,4421,19666,29207
34,29,1,1,1,2,4,15807,343,6986,0.9707754043208625,0.9704798965231249,131055,120,51375,20402,23458
35,3,25,9,2,1,2,21502,790,1291,0.9641279130769321,0.9638205134145401,178713,1103,3717,16220,24402
36,16,30,28,10,2,1,20801,519,1992,0.9743103572643056,0.9740494290941915,172814,1128,9616,13382,20713
37,7,4,1,30,2,1,21659,934,1134,0.958490065052883,0.9582788206901811,178348,4479,4082,11155,16769
38,27,15,2,1,1,4,19311,470,3482,0.9732758638068992,0.9729495933677569,160830,132,21600,19567,25900
39,29,6,30,29,1,5,21427,733,1366,0.9663702956704338,0.9660125697376026,179886,973,2544,19350,28397
40,4,2,21,3,2,2,21570,788,1223,0.9643800828910836,0.9640559539953641,180433,1239,1997,18326,25730
