observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,21,7,26,19,1,3,3494,61,214,0.981995806703653,0.9819527821822368,28250,27,28,838,1344
2,28,21,1,12,2,5,3496,70,212,0.9795900068369554,0.979546662192612,28262,36,16,843,1354
3,11,24,21,4,2,3,3498,141,210,0.9608886984325812,0.9608490992264861,28248,24,30,767,1237
4,7,20,29,15,1,5,3500,548,208,0.8660793823616748,0.8660408715735322,28258,29,20,758,1203
5,22,21,2,24,2,2,3491,45,217,0.9863142191985174,0.9862663928331931,28259,28,19,939,1494
6,29,12,14,1,2,1,3450,27,258,0.9909180209212954,0.9908783897029075,28059,105,219,723,1238
7,3,30,2,3,1,3,3502,818,206,0.8129515107619738,0.812911175273146,28256,29,22,712,1260
8,22,1,30,27,2,2,3490,36,218,0.9887693929125915,0.9887206381907783,28245,23,33,962,1523
9,1,4,25,5,1,5,3496,482,212,0.8800281931228918,0.8799863530563062,28237,19,41,920,1307
10,25,25,3,30,2,5,3497,67,211,0.9804086484546719,0.980367192535599,28267,34,11,805,1295
11,30,27,3,2,2,3,3493,45,215,0.9863330886090248,0.9862865107231166,28248,24,30,921,1455
12,15,3,30,27,2,2,3492,61,216,0.9819746351339953,0.9819313545142373,28250,27,28,844,1352
13,14,1,9,4,2,4,3489,77,219,0.9776285851985519,0.9775845042714759,28210,11,68,987,1377
14,13,21,1,30,1,3,3498,75,210,0.9782699890930447,0.9782265804241159,28272,41,6,825,1356
15,13,29,27,8,1,5,3499,224,209,0.9399092056840465,0.9398703747729766,28251,24,27,768,1213
16,30,30,1,29,2,4,3495,65,213,0.9809259716640099,0.9808794257903943,28272,41,6,893,1454
17,23,4,22,21,2,5,3496,71,212,0.9793210862172324,0.9792802065194284,28250,23,28,814,1277
18,29,29,30,6,2,1,3450,27,258,0.9909180209212954,0.9908783897029075,28059,105,219,723,1238
19,2,26,1,10,2,1,3499,281,209,0.9260141429539296,0.9259894934885349,28189,200,89,464,770
20,2,30,29,28,2,5,3503,815,205,0.8135538111384644,0.8135145960798819,28264,32,14,702,1225
21,2,30,29,3,2,2,3502,819,206,0.8127666092639613,0.8127273301807934,28258,29,20,691,1227
22,6,3,30,28,1,1,3494,64,214,0.9811850603762988,0.9811434443957623,28250,27,28,810,1300
23,24,13,3,28,2,5,3495,70,213,0.979578795132096,0.9795371471392668,28267,34,11,820,1301
24,1,1,1,11,1,4,3491,798,217,0.8161538137832036,0.8161099569421767,28141,35,137,1249,1370
25,28,2,23,1,1,1,3478,32,230,0.9897665312069575,0.9897113740266001,28243,21,35,1072,1723
26,30,28,30,29,1,3,3492,37,216,0.9885126451488715,0.9884659072014997,28250,27,28,916,1460
27,30,1,1,26,1,2,3488,34,220,0.9893014760105737,0.9892493279857322,28266,34,12,1086,1629
28,29,26,1,1,2,2,3488,36,220,0.9887518142235123,0.988703987858188,28228,23,50,948,1494
29,15,17,29,1,2,1,3471,32,237,0.9897065951926093,0.9896714136829096,28102,132,176,638,1099
30,10,30,7,25,2,1,3482,38,226,0.9881490226349128,0.9881164021086307,28120,149,158,601,1019
31,17,10,2,30,1,4,3498,72,210,0.9790750008396869,0.9790332568099795,28267,34,11,819,1304
32,26,18,30,4,2,1,3456,28,252,0.9906893546759621,0.9906502676665505,28062,108,216,709,1221
33,8,1,27,15,1,1,3492,38,216,0.9882384903609955,0.9881937371757724,28248,24,30,882,1398
34,19,30,21,23,2,4,3495,72,213,0.9790409600484058,0.9790008806579199,28256,31,22,783,1252
35,29,1,1,1,2,4,3270,39,438,0.9858365139373768,0.9857938415511805,26303,5,1975,1057,1333
36,30,27,21,24,1,4,3494,62,214,0.981725409099083,0.9816821925039104,28256,31,22,834,1350
37,22,5,2,29,2,3,3494,61,214,0.981995806703653,0.9819517898011625,28261,29,17,862,1375
38,21,29,1,3,1,2,3493,37,215,0.9885214910741577,0.9884729284261008,28260,30,18,951,1517
39,1,1,9,5,1,2,3492,201,216,0.9454958979774187,0.9454547301689803,28237,22,41,894,1286
40,4,20,29,14,2,3,3501,550,207,0.8656970332382162,0.865658810560708,28258,29,20,745,1194
41,13,30,9,5,1,1,3488,36,220,0.9887518142235123,0.9887038598090172,28250,27,28,934,1498
42,27,15,27,1,2,1,3456,28,252,0.9906893546759621,0.9906502676665505,28062,108,216,709,1221
43,2,3,6,19,2,5,3494,483,214,0.8797417678428451,0.8797013043048465,28237,25,41,969,1264
44,30,18,5,26,1,3,3493,45,215,0.9863330886090248,0.9862860625510185,28259,28,19,922,1469
45,23,1,28,30,1,5,3483,47,225,0.9856914839425395,0.9856437856263861,28235,12,43,1026,1490
46,11,23,1,30,1,4,3500,226,208,0.9394359089981855,0.9393929485013547,28272,40,6,820,1342
47,27,23,4,1,2,1,3468,28,240,0.9907892030260781,0.9907505962010573,28095,114,183,707,1206
48,9,5,22,17,2,5,3496,365,212,0.9061830925312473,0.906143397288274,28253,25,25,804,1240
49,25,29,30,28,1,1,3481,33,227,0.9895164132943705,0.989461960384453,28247,25,31,1056,1701
50,27,1,5,26,1,5,3494,75,214,0.9782237427837102,0.9781798539303905,28252,24,26,1021,1371
51,14,18,9,16,1,5,3498,232,210,0.9379122470210964,0.9378734481223193,28260,29,18,769,1212
52,1,30,16,28,2,4,3503,820,205,0.8126290393671561,0.8125880316201813,28265,36,13,735,1281
53,30,27,13,1,1,1,3475,33,233,0.9894646924829158,0.9894085749337769,28243,21,35,1093,1753
54,28,2,13,30,1,1,3478,32,230,0.9897665312069575,0.9897114700634784,28247,25,31,1071,1720
