observation,param_1,param_2,param_3,param_4,param_5,param_6,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,21,7,26,19,1,3,3765,329,350,0.9195441601008202,0.9194156759465628,31717,15,81,2602,4038
2,28,21,1,12,2,5,3789,438,326,0.8968556793758699,0.8967214678447512,31639,38,159,2978,4218
3,22,21,2,24,2,2,3759,240,356,0.9394399848050143,0.9393049141673664,31749,26,49,2829,4245
4,7,20,29,15,1,5,3806,906,309,0.8097768964651515,0.8096592625081704,31750,29,48,2451,3697
5,11,24,21,4,2,3,3786,435,329,0.8973945691747574,0.8972682168774428,31720,16,78,2590,3971
6,29,12,14,1,2,1,3658,158,457,0.9570955368683248,0.9570044715762286,30463,242,1335,1678,2862
7,22,1,30,27,2,2,3740,217,375,0.9444062866146822,0.944264470399842,31705,8,93,2882,4457
8,3,30,2,3,1,3,3818,970,297,0.7996581869667025,0.7995137934322747,31740,35,58,2768,4538
9,25,25,3,30,2,5,3794,467,321,0.8910119114718371,0.8908787817785699,31787,41,11,2823,4184
10,1,4,25,5,1,5,3746,599,369,0.8630540963966457,0.8629182621087496,31710,9,88,3067,4269
11,29,7,9,29,2,1,3664,158,451,0.9571927917948932,0.9571020765091608,30487,248,1311,1673,2851
12,3,27,28,2,2,4,3797,929,318,0.8055106517487028,0.8053803857438664,31590,3,208,2577,4094
13,29,3,26,1,1,5,3735,393,380,0.9048535033698828,0.9047158554126472,31648,0,150,2942,4326
14,26,30,2,1,1,2,3742,226,373,0.9423461447415473,0.9422109786476184,31502,3,296,2838,4248
15,1,2,1,8,1,4,3674,608,441,0.8586800540356093,0.85857470212012,30157,31,1641,2848,3311
16,28,10,9,25,2,1,3663,158,452,0.9571766033949327,0.9570867153969691,30503,253,1295,1652,2825
17,11,2,28,30,1,4,3743,512,372,0.8802502234137622,0.8801121936314026,31705,7,93,3006,4338
18,1,24,30,4,1,2,3809,971,306,0.7990853210816707,0.7989391775154241,31758,39,40,2750,4593
19,4,28,1,28,2,5,3818,958,297,0.8016326599171072,0.8014820617244128,31789,52,9,3090,4733
20,7,3,3,2,1,3,3776,531,339,0.8774946783294137,0.8773884036698745,31403,5,395,2490,3340
21,11,23,2,1,2,1,3743,191,372,0.9505742047226499,0.9505128263339518,30916,496,882,1153,1929
22,30,30,30,2,1,1,3720,229,395,0.9412193344668448,0.941039685745959,31702,4,96,3671,5646
23,11,21,27,26,1,1,3744,228,371,0.9419199669925482,0.9417792326155595,31710,13,88,2816,4423
24,15,2,21,4,1,1,3739,225,376,0.9425210863570135,0.94237150636465,31706,8,92,2988,4701
25,26,30,3,29,1,1,3729,230,386,0.9411628118280114,0.9409944587670467,31708,8,90,3451,5291
26,15,30,22,14,2,1,3703,169,412,0.9551544290998385,0.9550841096394846,30679,360,1119,1270,2210
27,10,4,26,30,1,1,3744,226,371,0.9423846560447029,0.9422456080620123,31710,13,88,2763,4370
28,29,26,1,1,2,2,3741,222,374,0.9432582626498976,0.9431203919613397,31436,11,362,2936,4333
29,30,5,30,1,2,2,3739,224,376,0.9427539813012475,0.942604305852603,31704,7,94,2990,4704
30,30,1,1,26,1,2,3772,275,343,0.9317353199814246,0.931577148923769,31787,44,11,3603,4971
31,28,30,30,1,1,1,3721,231,394,0.9407725408696269,0.9405962331185769,31702,4,96,3583,5541
32,25,1,14,10,2,1,3664,161,451,0.9564581810587867,0.9563728749623122,30539,269,1259,1569,2681
33,12,27,27,29,1,1,3739,225,376,0.9425210863570135,0.9423785701294457,31710,13,88,2848,4479
34,14,26,6,1,2,2,3766,339,349,0.9173730877910943,0.9172433627051836,31711,12,87,2642,4077
35,25,18,1,29,2,2,3759,244,356,0.9385205380950955,0.9383808855559584,31752,29,46,2930,4389
36,27,10,30,30,1,1,3722,230,393,0.9410253687494627,0.9408496973736196,31702,4,96,3572,5521
37,20,6,21,4,2,1,3675,165,440,0.9556624626186452,0.9555824702551476,30589,304,1209,1469,2514
38,7,1,2,21,2,1,3748,290,367,0.9278284161067845,0.9277745151267667,30947,526,851,1028,1694
39,27,28,2,30,1,2,3754,239,361,0.939571111066616,0.9394325721840908,31749,26,49,2902,4354
40,11,28,27,20,1,1,3744,228,371,0.9419199669925482,0.9417792326155595,31710,13,88,2816,4423
41,12,5,28,4,2,1,3715,180,400,0.9527106734369389,0.9526457631658432,30763,424,1035,1180,2040
42,19,30,2,2,2,1,3712,178,403,0.953139042239055,0.9530635681395259,30815,405,983,1431,2372
43,1,28,27,29,1,1,3808,986,307,0.7965827270407203,0.7964257014584369,31771,41,27,2975,4935
44,1,10,5,16,1,1,3812,969,303,0.7995503053896236,0.7994087755436263,31760,38,38,2665,4448
45,30,1,15,16,1,4,3725,316,390,0.9214640517702006,0.921315585434449,31703,4,95,3363,4666
46,26,23,2,28,2,1,3700,165,415,0.9560723514211886,0.9559890180878553,30778,362,1020,1592,2619
47,9,28,4,4,2,1,3728,277,387,0.9303254142543422,0.9302651177034958,30837,502,961,1102,1895
48,30,1,1,7,1,1,3739,240,376,0.9390414192861377,0.9388706161806267,31745,21,53,3684,5368
49,22,2,25,26,1,1,3730,230,385,0.9411824077111353,0.941018763826701,31706,8,92,3325,5143
50,28,23,30,6,2,1,3657,158,458,0.9570792986129286,0.9569890287898409,30481,249,1317,1657,2837
51,17,4,23,23,2,1,3699,167,416,0.9555719740220822,0.9554987908732976,30642,339,1156,1334,2300
52,15,25,30,4,2,1,3703,169,412,0.9551544290998385,0.9550841096394846,30679,360,1119,1270,2210
53,30,26,1,1,1,1,3738,235,377,0.9401786792225039,0.9400093397799686,31717,21,81,3662,5322
54,13,28,6,28,1,1,3738,227,377,0.9420362903225807,0.9418921831569959,31709,12,89,2881,4529
55,9,8,8,2,1,1,3746,310,369,0.9233014063955752,0.9231643948135465,31713,13,85,2734,4306
56,1,29,30,4,2,1,3874,1062,241,0.7874655966566252,0.7873940999021387,31568,1275,230,1223,2247
