observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,167715,14279,252,0.9229640996324653,0.9229553766172583,1345033,275,639,7328,10581
2,19,23,11,11,5,4,3,5,167835,11731,132,0.9358793161498304,0.9358721380670966,1345616,804,56,6244,8707
3,2,24,12,30,2,4,5,1,167695,15037,272,0.9191955346703816,0.9191856533680217,1345051,332,621,8117,11986
4,12,26,22,29,4,1,1,3,167814,12659,153,0.9311470330515194,0.9311386851399812,1345627,250,45,7354,10126
5,27,10,28,28,3,4,4,1,167767,8850,200,0.950822923987214,0.950815250437876,1345196,222,476,7063,9308
6,18,24,10,12,4,5,4,5,167769,11716,198,0.9359255637678334,0.9359194153652804,1344897,844,775,5381,7458
7,29,2,28,26,3,1,1,1,167754,7785,213,0.9564760465337451,0.956467224590098,1345457,69,215,8684,10701
8,22,12,17,30,1,4,5,3,167784,9625,183,0.9467545904484006,0.9467471971963095,1345238,244,434,6819,8968
9,23,17,30,16,4,2,4,4,167744,9343,223,0.9482172877358759,0.9482104575514898,1344823,274,849,6206,8285
10,26,17,3,7,2,1,5,1,167765,8909,202,0.9505106689603039,0.9505026607030768,1345151,202,521,7435,9714
11,30,1,9,14,3,1,3,3,167715,7406,252,0.9584923629221332,0.9584830273750012,1345406,60,266,9720,11324
12,27,28,27,29,5,4,3,5,167816,8956,151,0.9502825377033102,0.9502747248297523,1345626,815,46,6837,9477
13,19,9,28,2,5,1,2,1,167777,11617,190,0.9364360742299326,0.9364285911178417,1345327,56,345,6778,9077
14,29,28,5,1,3,5,5,2,167625,7839,342,0.9561412244973392,0.9561332739483688,1344077,16,1595,7372,9644
15,15,1,24,27,5,2,4,2,167601,11526,366,0.9368219121114254,0.9368146820912605,1344158,37,1514,7277,8770
16,8,8,14,20,1,2,4,3,167736,13911,231,0.9248103635924562,0.9248030024921081,1344992,223,680,6591,8929
17,28,30,26,2,1,1,5,2,167721,8842,246,0.9508474011270864,0.9508392634384835,1344995,74,677,7393,9871
18,24,28,1,29,2,3,5,1,167747,9389,220,0.9479769217319303,0.9479677642559905,1345304,333,368,8382,11108
19,3,26,2,2,1,5,4,5,167490,15113,477,0.9187084787539133,0.9187007953117312,1342975,1264,2697,6662,9320
20,28,2,7,3,3,3,1,3,167766,8782,201,0.9511817852254367,0.9511732196713303,1345406,95,266,8501,10390
21,4,21,25,11,4,1,1,3,167766,14622,201,0.9212871331169463,0.9212770333476145,1345588,277,84,8558,12251
22,25,1,2,29,4,4,3,3,167763,9485,204,0.9474796396614572,0.9474705242301045,1345425,298,247,9263,11057
23,20,29,5,3,3,5,5,4,167771,11718,196,0.935916254152661,0.9359093497719448,1345060,713,612,6150,8375
24,21,1,28,3,1,2,4,2,167632,10929,335,0.9399093194292184,0.9399013433237343,1344401,27,1271,8082,9675
25,1,1,1,2,4,3,5,4,145874,13146,22093,0.9163000708421802,0.9162968853464086,1168222,333,177450,4457,3864
26,10,2,3,22,3,4,2,2,167623,13751,344,0.9255526022183932,0.9255438965156633,1344412,169,1260,8624,10560
27,5,29,28,1,1,3,5,5,167456,14452,511,0.9219663932854842,0.9219571137978017,1343151,121,2521,8032,11256
28,17,25,29,30,4,1,1,3,167819,11665,148,0.9362096149110707,0.9362016412787976,1345627,250,45,6983,9672
29,17,24,2,6,4,1,3,5,167791,11726,176,0.9358845643273874,0.935876603885573,1345394,486,278,7177,9656
30,17,1,23,2,2,2,2,1,167696,11485,271,0.9370757354068626,0.9370667444604637,1345116,21,556,9158,10906
31,13,27,9,26,2,1,4,5,167775,11882,192,0.93507974442547,0.9350720387243889,1345254,331,418,6917,9347
32,30,2,29,5,5,1,2,1,167747,7415,220,0.9584551540669223,0.9584464063196053,1345443,58,229,8478,10611
33,6,7,4,3,4,5,1,1,167648,14262,319,0.9230135317104766,0.9230053445576536,1344352,130,1320,7497,9931
34,30,4,4,29,4,5,2,3,167778,7445,189,0.9583049554860957,0.9582966644584107,1345558,158,114,7837,10057
35,6,7,29,28,3,3,3,2,167776,14238,191,0.92320021464449,0.9231915592303838,1345593,203,79,7655,10499
36,11,8,23,16,1,2,2,2,167803,13097,164,0.928929114454089,0.9289211787443846,1345607,213,65,7149,9626
37,30,28,3,1,1,5,5,4,167536,7548,431,0.9576678305213292,0.9576602748617156,1343315,531,2357,6952,9165
38,29,30,28,30,5,2,1,5,167802,7882,165,0.9559751896061327,0.9559666092127602,1345628,305,44,7650,10408
39,29,2,3,26,5,2,5,3,167690,7782,277,0.9564692146274939,0.9564617644915497,1344594,148,1078,7407,9037
40,11,24,6,28,2,5,4,5,167791,13238,176,0.928213084014539,0.9282061392380431,1345224,1138,448,6005,8424
41,30,1,26,26,2,4,4,1,167643,7361,324,0.9587091079052283,0.9587007154758921,1344589,45,1083,8402,10180
42,24,29,1,8,1,2,1,5,167753,9484,214,0.9474808473913819,0.94747187375746,1345289,832,383,8311,10885
43,27,10,18,1,4,1,2,2,167714,8833,253,0.950892244610076,0.9508841448440418,1344915,16,757,7416,9825
44,23,7,1,30,4,1,5,4,167727,9483,240,0.9474755958390996,0.9474682553488432,1344847,881,825,6983,8904
45,29,30,30,14,3,5,3,3,167804,7880,163,0.9559865836918959,0.955977826051735,1345615,231,57,7810,10623
46,30,1,23,15,3,1,1,5,167711,7408,256,0.9584802392282917,0.958470808874738,1345394,167,278,9641,11439
47,23,30,1,4,5,5,5,1,167560,9368,407,0.948012201272337,0.9480045730652006,1343488,144,2184,7090,9253
48,26,30,28,30,5,2,4,3,167730,8863,237,0.9507399594423506,0.9507325365117274,1344824,258,848,6581,9004
49,23,6,1,30,1,5,3,2,167778,9465,189,0.9475905790594105,0.9475812814348472,1345562,339,110,8825,11278
50,23,20,30,6,1,4,1,4,167830,9427,137,0.9478108241204667,0.9478032429043394,1345575,689,97,6805,9196
51,30,4,29,24,4,2,5,1,167684,7371,283,0.9586695666948941,0.9586626194451872,1344514,128,1158,6505,8427
52,23,30,2,2,5,5,2,2,167583,9364,384,0.9480424557921882,0.9480342991423009,1343746,77,1926,7492,9894
53,26,17,6,30,3,1,1,4,167820,8910,147,0.950526731822663,0.9505184729467209,1345627,346,45,7586,10018
54,23,21,30,10,3,4,1,5,167832,9437,135,0.9477591745699304,0.9477515455383904,1345611,768,61,6817,9254
55,30,3,3,5,2,3,5,5,167720,7468,247,0.9581613904377414,0.9581536435164769,1344840,367,832,7651,9397
56,30,1,28,28,5,1,4,5,167585,7355,382,0.9587212945680833,0.9587136754293872,1344111,150,1561,7635,9242
57,23,26,5,4,1,4,1,3,167800,9377,167,0.9480611640699509,0.9480528590274034,1345459,142,213,7515,10074
58,29,14,1,24,5,5,5,1,167708,7928,259,0.9556957834342797,0.9556874008977875,1344875,301,797,7722,10168
59,30,30,26,17,2,4,5,4,167779,7577,188,0.9575977656756058,0.9575901168583778,1345278,800,394,6867,9278
60,25,5,25,1,2,4,3,1,167741,9218,226,0.9488731590307364,0.9488650947140599,1344994,10,678,7628,9782
61,30,1,27,26,1,2,2,4,167717,7404,250,0.958503792935703,0.9584943032250851,1345394,148,278,9638,11511
62,25,29,2,4,5,2,5,1,167673,9294,294,0.9484464355410749,0.9484386976882507,1344406,156,1266,7042,9386
63,29,20,30,1,4,5,3,4,167718,7892,249,0.9558915641734499,0.9558837100797086,1344873,451,799,6972,9527
64,23,29,19,25,1,5,1,1,167822,9389,145,0.9480069946740061,0.9479986220303579,1345628,244,44,7461,10156
65,30,13,2,28,4,5,5,2,167734,7528,233,0.9578445385661285,0.9578367726835797,1344863,320,809,7059,9420
66,30,3,28,5,3,2,1,1,167768,7405,199,0.958516103171088,0.9585075392657889,1345469,79,203,8274,10388
67,23,25,1,23,5,4,5,4,167743,9527,224,0.9472513430636341,0.9472442960610834,1344925,1261,747,6383,8548
68,23,17,30,30,4,2,2,5,167820,9375,147,0.9480796725888033,0.9480717451231356,1345626,284,46,7161,9616
69,25,26,19,2,1,5,3,3,167775,9288,192,0.9485186318401041,0.9485103127826943,1345306,77,366,7495,10091
70,26,1,12,23,1,4,1,5,167748,8833,219,0.9509053747456476,0.950896668218514,1345435,532,237,8822,10561
71,14,8,12,12,1,2,1,2,167814,11778,153,0.9356292808577188,0.9356216567726008,1345605,212,67,7020,9248
72,29,30,29,27,3,4,5,2,167770,7874,197,0.9560063834809026,0.9559981551078962,1345283,238,389,7416,9981
73,30,27,1,3,4,5,2,5,167491,7621,476,0.9572604534172034,0.9572526009722695,1342911,954,2761,7375,9525
74,30,1,1,29,1,4,2,3,167695,7605,272,0.9574182256530192,0.9574077235746975,1345157,360,515,10766,12739
75,9,28,5,26,5,5,3,3,167792,13992,175,0.9244348144866172,0.9244254212312285,1345631,264,41,7984,11394
76,16,20,7,24,1,4,5,3,167789,11750,178,0.9357608792401167,0.9357536681812362,1345236,240,436,6518,8747
77,29,4,28,5,4,2,1,1,167774,7770,193,0.9565633551180023,0.9565551226229776,1345518,119,154,7692,9986
78,29,30,1,4,1,4,1,5,167623,8026,344,0.9551420618755961,0.9551336983003883,1344020,1022,1652,7821,10145
79,28,30,30,25,5,4,4,1,167732,8845,235,0.950835804921408,0.950828466079959,1344806,238,866,6487,8902
80,27,3,13,30,5,5,1,5,167788,8835,179,0.9509102528151336,0.9509025330991902,1345491,531,181,7269,9364
81,30,3,30,9,3,2,5,3,167709,7389,258,0.9585815537653085,0.9585737763411083,1344858,85,814,7486,9434
82,26,30,2,30,3,2,3,5,167811,8983,156,0.9501382252921089,0.9501293843871774,1345647,654,25,8013,10724
83,24,24,15,5,2,5,1,1,167804,9324,163,0.948341058718997,0.9483327825305778,1345503,147,169,7442,10039
84,24,19,30,28,5,1,2,1,167816,9328,151,0.9483248404756632,0.9483166871233906,1345625,236,47,7279,9890
85,28,2,1,18,4,1,1,1,167700,8921,267,0.9504220848848771,0.9504122357342603,1345167,276,505,10077,11947
86,30,4,29,5,5,5,2,1,167774,7407,193,0.9585074491798062,0.9584992504853319,1345503,112,169,7620,9945
87,26,30,8,30,1,1,4,4,167773,8906,194,0.9505296061137389,0.9505215640559614,1345298,331,374,7319,9755
88,23,14,1,2,2,1,2,1,167267,9385,700,0.9478049142585803,0.9477966199332805,1340960,57,4712,8148,10061
89,29,3,3,24,5,4,3,4,167799,7891,168,0.9559260762806211,0.9559182601094485,1345540,800,132,7517,9481
90,23,20,30,19,2,1,5,2,167778,9366,189,0.948110103240012,0.9481024280418666,1345252,236,420,7008,9310
91,30,2,29,1,3,3,3,2,167733,7414,234,0.958455664289951,0.9584468662540103,1345253,15,419,8617,10672
92,24,27,2,28,5,3,5,4,167745,9383,222,0.9480076213607432,0.94800012423379,1344925,620,747,6726,9094
93,23,7,13,20,1,1,1,1,167816,9346,151,0.9482303177624802,0.9482223573206658,1345591,197,81,7440,9656
94,30,30,22,11,3,5,5,5,167779,7574,188,0.9576138344689157,0.957606192246917,1345278,790,394,6867,9270
95,29,18,1,5,1,4,1,3,167652,7951,315,0.955552764008128,0.9555434226901705,1344423,198,1249,8849,11331
96,30,2,30,22,4,1,5,2,167648,7370,319,0.958662483764301,0.9586552751786314,1344305,68,1367,7002,8744
97,29,27,1,1,2,5,1,5,166697,7856,1270,0.9557148072758094,0.95570690866427,1336208,598,9464,7548,9581
98,24,14,6,29,1,2,1,2,167816,9339,151,0.9482670743562628,0.948258792397018,1345627,247,45,7576,10046
99,23,1,14,3,3,5,4,5,167652,9280,315,0.9485116776151087,0.9485041524584308,1344512,483,1160,7563,9128
100,23,28,27,16,2,4,4,4,167793,9440,174,0.9477277533374061,0.9477205488737549,1345289,821,383,6448,8739
101,30,4,30,10,1,4,5,1,167729,7401,238,0.9585240573085709,0.9585163878812512,1344984,118,688,7239,9303
102,25,27,2,26,5,2,1,3,167796,9364,171,0.9481278097714189,0.9481185541914426,1345644,332,28,8354,11227
103,27,28,22,1,2,1,1,5,167722,8858,245,0.9507632714981781,0.9507547405690256,1344974,66,698,7701,10348
