observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,167813,12674,154,0.9310706038618128,0.9310621561974308,1345619,319,53,7549,10247
2,19,22,1,30,5,2,1,1,167776,11779,191,0.9356065616481165,0.9355971428362141,1345612,358,60,8617,11425
3,10,16,13,9,4,1,2,2,167783,13909,184,0.9248446263453085,0.9248360624400094,1345577,211,95,7549,10388
4,14,24,6,16,3,1,4,1,167778,11811,189,0.9354439001283255,0.9354362801652257,1345217,238,455,6867,9243
5,2,29,29,25,2,1,4,3,167667,14965,300,0.9195360063442374,0.9195254325427966,1345084,350,588,8788,12826
6,4,15,2,28,2,4,2,3,167773,14650,194,0.9211520668202973,0.9211422086012401,1345628,369,44,8681,11958
7,17,6,30,24,5,5,3,5,167828,11691,139,0.9360807050289379,0.936073775091708,1345577,627,95,6225,8406
8,3,6,2,10,2,2,5,2,167478,14690,489,0.9207957732176303,0.920787574523156,1343101,250,2571,7835,9945
9,9,17,5,25,1,5,4,1,167749,13956,218,0.9245922840646631,0.9245842502509223,1345130,257,542,7078,9745
10,1,25,22,22,4,1,2,1,167746,15004,221,0.9193861872510132,0.9193749786587484,1345641,317,31,9532,13596
11,26,19,10,2,2,2,4,4,167742,8863,225,0.9507446031405599,0.9507368553948917,1344998,109,674,7153,9398
12,27,15,4,22,4,3,4,3,167730,8868,237,0.950713553798212,0.9507062858554783,1344837,241,835,6610,8816
13,16,13,1,4,1,4,2,3,167519,11801,448,0.9353746719440754,0.9353665293090505,1343176,167,2496,7790,9877
14,28,8,13,23,2,1,2,1,167797,8843,170,0.9508714796584099,0.950863096297514,1345608,213,64,7734,10169
15,28,25,20,27,5,1,5,3,167729,8832,238,0.9509033210211605,0.9508959838285188,1344798,235,874,6530,8900
16,25,27,10,4,2,3,5,5,167761,9303,206,0.9484342278691237,0.9484262954570339,1345171,209,501,7244,9622
17,1,16,13,7,1,2,5,2,167656,14864,311,0.9200294969613498,0.9200204549019235,1344762,213,910,7884,10968
18,16,22,11,30,5,2,3,2,167816,11760,151,0.9357222345325307,0.9357143557066794,1345626,246,46,6953,9557
